Organization URL,Organization Name,Last Funding Type,Full Description,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Operating Status,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions,Exit Date,Closed Date,Company Type,Website,Facebook,LinkedIn,Twitter,Contact Email,Phone Number,Number of Articles,Hub Tags,Actively Hiring,Number of Sub-Orgs,Investor Type,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),IPO Status,IPO Date,Delisted Date,Money Raised at IPO,Valuation at IPO,Stock Symbol,Stock Exchange,Number of Events,Last Leadership Hiring Date,Last Layoff Mention Date,Similar Companies,Tags,Number of Private Notes,Date of Most Recent Valuation,Most Recent Valuation Range,IT Spend,Most Popular Trademark Class,Most Popular Patent Class,Trademarks Registered,Patents Granted,Total Products Active,Downloads Last 30 Days,Number of Apps,Active Tech Count,Monthly Visits,Average Visits (6 months),Visit Duration,Monthly Visits Growth,Visit Duration Growth,Page Views / Visit,Page Views / Visit Growth,Bounce Rate,Bounce Rate Growth,Global Traffic Rank,Monthly Rank Change (#),Monthly Rank Growth,Contact Job Departments,Number of Contacts,Number of Private Contacts,Transaction Name,Acquired by,Announced Date,Price,Acquisition Type,Acquisition Terms,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days)
https://www.crunchbase.com//organization/katonic-ai, Katonic AI ,Seed,Katonic AI is an Australian AI-ML company with offices in Sydney  Singapore  and Mumbai. Katonic AI combines the revolutionary capabilities of Generative AI and the power of traditional machine learning all in one place. It has two flagship products: MLOps platform and a Generative AI platform.The Katonic Machine Learning Operations (MLOps) Platform is a collaborative platform with a unified UI to manage all data science in one place. Katonic MLOps Platform is for customers and developers to introduce the MLOps practice into their production systems. The Platform combines the creative scientific process of data scientists with the professional software engineering process to build and deploy Machine Learning Models into production safely  quickly  and sustainably. The Katonic Generative AI Platform is known for its simplicity and intuitiveness  allowing smalll  medium  and large business owners to rapidly build powerful Enterprise-grade AI Applications in minutes. This no-code platform is powered by the highly awarded Katonic MLOps Platform that Enterprises use to manage the entire process of data preparation  model training  model deployment  model monitoring  and automation end-to-end with high accuracy  reliability  and efficiency. Both platforms run in a Kubernetes cluster and can be deployed anywhere  such as multi-cloud  on-premises  or the edge. Katonic AI is also part of the NVIDIA Cloud Validated ecosystem.As a company  Katonic AI is backed by Australia’s largest investment fund  Artesian Investments and Boab AI and has the unique distinction of being the only AI company from APAC to be featured in the prestigious Everest Group’s MLOps Products PEAK Matrix® 2022 and to win the Frost & Sullivan Best Practices Entrepreneurial Company of the Year Award in the APAC MLOps industry., Analytics  Artificial Intelligence  Enterprise Software  Machine Learning  Predictive Analytics  SaaS, Sydney  New South Wales  Australia,Katonic AI's award-winning platform allows companies build enterprise-grade Generative AI apps and Traditional ML models  all in one place.,3 390,Apr 8  2020,Active,—, — , Asia-Pacific (APAC)  Australasia,—,—,For Profit, katonic.ai/ ,https://www.facebook.com/Katonicai,https://www.linkedin.com/company/katonic/,https://twitter.com/AiKatonic,prem.naraindas@katonic.ai,0478320790,51, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Science and Engineering  Software,1, Prem Naraindas,11-50,2,Seed,Dec 22  2022,A$1 600 000,A$1 600 000,Seed,A$1 900 000,A$1 900 000, Artesian VC  Boab AI,1,2,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,29, — ,—,—,—,—,—,—,—,—,—,—,—,37,19 026,15 059.83,1 326,-18.45%,17.24%,4.11,9.07%,33.07%,-11.84%,1 299 613,252 926,24.16%, —,—,—,—,—,—,—,—,—,3 398,—,0.5,6.5,6.2
https://www.crunchbase.com//organization/archistar, Archistar.ai ,Series A,Archistar creates cutting-edge technology that revolutionises the way property professionals plan  design  and build. We believe every person should have access to vibrant well-designed spaces and so  using incredible technology  are on a mission to create better-built environments.We are a fast-growing tech start-up  with a smart  fun team. We are investor-backed and are bringing to market exciting SaaS products: • Archistar: Find profitable sites  design feasible buildings. Our all-in-one property platform gives you everything you need to know about any site  including lightning-fast feasibility  compliance checks and concept designs to help you understand what to do with a site. Visit www.archistar.ai• Archistar Homes: Sell more homes & delight more customers. Showcase your homes in high-definition 3D and move your customers through your sales & drafting pipeline with ease. Visit www.archistar.ai/for-home-builders• Archistar Academy (formerly IDDA): Rapid online learning for the AEC industry. Whether you’re a student or an experienced professional  we have the online training you need. Visit www.academy.archistar.aiBenjamin and Robert Coorey headquartered the company in Sydney  New South Wales in 2010., 3D Technology  Architecture  Artificial Intelligence  Big Data  Construction  Real Estate  Software, Sydney  New South Wales  Australia,Archistar creates cutting-edge technology that revolutionises the way property professionals plan  design  and build.,4 369,Apr 2010,Active,—, — , Asia-Pacific (APAC)  Australasia,—,—,For Profit, archistar.ai ,https://www.facebook.com/archistarai,https://www.linkedin.com/company/archistarai,—,support@archistar.ai,+61 2 9899 5247,488, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Hardware  Real Estate  Science and Engineering  Software,2, Benjamin Coorey  Robert Coorey,51-100,6,Early Stage Venture,Jan 1  2022,A$11 000 000,A$11 000 000,Series A,A$30 550 000,A$30 550 000, AirTree Ventures  Skip Capital  NAB Ventures  Skyfield Capital,3,4,1, Made Acquisitions,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,115, — ,—,—,—,—,—,—,—,—,27,—,—,—,35 558,48 751.33,754,-31.49%,41.46%,2.38,-57.3%,66.38%,18.68%,897 031,312 897,53.57%, Engineering  Management  Operations  Pro Services  Sales,12,—,—,—,—,—,—,—,4 378,—,-1.3,-2.8,-1.8
https://www.crunchbase.com//organization/plotlogic, Plotlogic ,Series B,Plotlogic is a global technology company allowing mine operators to understand the location and material properties of every rock in the mine. It utilizes an AI and sensor-driven platform to enhance yield in the critical mineral industry., Analytics  Artificial Intelligence  Mining  Mining Technology, Red Hill  Queensland  Australia,Plotlogic utilizes an AI and sensor-driven platform to enhance yield in the critical mineral industry.,4 787,2018,Active,$1M to $10M, — , Asia-Pacific (APAC)  Australasia,—,—,For Profit, www.plotlogic.com/ ,https://www.facebook.com/people/Plotlogic/100070446665808/,https://www.linkedin.com/company/plotlogic,—,info@plotlogic.com,61 409 046 383,4, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Natural Resources  Science and Engineering  Software,1, Andrew Job,51-100,4,Early Stage Venture,Jul 30  2023,A$42 000 000,A$42 000 000,Series B,$50 970 445,$50 970 445, Creative Destruction Lab (CDL)  Schneider Electric  DCVC  SE Ventures  Galvanize Climate Solutions,5,11,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,6, — ,—,—,—,—,Scientific and electric apparatus and instruments,—,3,4,—,—,—,48,642,—,40,248.91%,—,1.33,33.33%,66.67%,-33.33%,5 971 624,-1 535 108,-20.45%, Engineering  Management  Medical & Science  Operations,15,—,—,—,—,—,—,—,4 796,—,-0.8,-2.3,8.6
https://www.crunchbase.com//organization/kupu, KUPU ,Seed,KUPU is an AI-based mobile recruitment platform connecting job providers and seekers, Artificial Intelligence  Recruiting, Jakarta Pusat  Jakarta Raya  Indonesia,KUPU is an AI based mobile recruitment application for business owners and job seekers.,5 582,2021,Active,—, — , Asia-Pacific (APAC)  Association of Southeast Asian Nations (ASEAN)  Southeast Asia,—,—,For Profit, www.kupu.id/ ,https://www.facebook.com/Kupu.official,https://www.linkedin.com/company/kupu-id/,—,care@kupu.id,—,3, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Professional Services  Science and Engineering  Software,—, — ,1-10,2,Seed,Sep 3  2023,$6 000 000,$6 000 000,Seed,$11 000 000,$11 000 000, Ascend Global Investments  Smartfren,2,2,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,11, — ,—,—,—,—,—,—,—,—,—,111 064,1,4,201 027,89 673.17,249,67.31%,-81.85%,1.19,-18.5%,82.36%,30.13%,236 490,-74 318,-23.91%, —,—,—,—,—,—,—,—,—,5 592,—,-0.2,9.1,9.1
https://www.crunchbase.com//organization/reejig, Reejig ,Venture - Series Unknown,At Reejig  we believe in zero wasted potential in people and in business – and that starts with harnessing the skills you have within your organisation. Our workforce intelligence platform provides 100% visibility of your people’s skills  potential  passions and experiences  creating a powerful central nervous system for all talent decisions.Powered by the world’s first independently audited Ethical Talent AI engine  Reejig generates the intelligence to instantly fill roles  track retention risks  mobilise talent to opportunities  pivot talent for reskilling and much more. Plus  we give you the power to ‘nudge’ people to new career opportunities  taking your engagement with internal and external talent to the next level. Put simply  we make workforce agility a reality.Reejig is trusted and used by some of the largest and most complex organisations including Woolworths  KPMG  NSW Government  John Holland  MYOB and UTS  and together we are creating a world where everyone can reach their full potential at work. It’s what we call zero-wasted potential in people and in business., Artificial Intelligence  SaaS  Software, Sydney  New South Wales  Australia,Reejig is a workforce intelligence platform powered by the world's first independently audited Ethical Talent AI.,7 943,Jan 15  2019,Active,—, — , Asia-Pacific (APAC)  Australasia,—,—,For Profit, reejig.com/ ,—,https://www.linkedin.com/company/reejig/about/?viewAsMember=true,https://twitter.com/REEJIG_ai,Samantha.lidbetter@reejig.com,—,16, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Science and Engineering  Software,3, MIke Reed  Shujia Zhang  Siobhan Savage,11-50,4,—,Sep 8  2022,—,—,Venture - Series Unknown,A$23 200 000,A$23 200 000, AirTree Ventures  Salesforce Ventures  Skip Capital  Right Click Capital  Didier Elzinga,3,8,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,Apr 29  2022,—,33, — ,—,—,—,—,—,—,—,—,—,—,—,59,214,2 395.17,0,-84.79%,120%,1,-35.81%,100%,76.09%,7 533 052,3 199 018,73.81%, Engineering  Management  Operations  Pro Services,32,—,—,—,—,—,—,—,7 959,—,-0.4,2.9,2.2
https://www.crunchbase.com//organization/naluri-hidup, Naluri Life ,Series B,Naluri provides behaviour  science  psychology  digital health  data science  wellness  diet  exercise  fitness  digital behaviour change  multidisciplinary care  cancer  diabetes  heart disease  anxiety  depression  chronic stress  and pain, Artificial Intelligence  Health Care  InsurTech  mHealth  Therapeutics, Kuala Lumpur  Kuala Lumpur  Malaysia,Naluri is a digital health solution platform that predicts  prevents  and manages cardiometabolic and mental health conditions.,8 144,2017,Active,$1M to $10M, — , Asia-Pacific (APAC)  Association of Southeast Asian Nations (ASEAN)  Southeast Asia,—,—,For Profit, www.naluri.life ,https://www.facebook.com/naluri.life,https://www.linkedin.com/company/naluri,https://twitter.com/naluri_life,hello@naluri.life,+6021-2960 8191,—, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Financial Services  Health Care  Mobile  Science and Engineering  Software,3, Azran Osman-Rani  Hariyati Abdul Majid  Jeremy Ting,101-250,5,Early Stage Venture,Jun 21  2022,MYR30 800 000,MYR30 800 000,Series B,$14 843 183,$14 843 183, 500 Global  Global Founders Capital  Palm Drive Capital  M Venture Partners (MVP)  StartX (Stanford-StartX Fund),6,17,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,8, — ,—,—,—,—,—,—,—,—,14,3 422,1,30,6 084,9 524.67,965,34.19%,1 169.74%,1.39,-14.64%,85.26%,23.78%,2 452 398,-226 682,-8.46%, Engineering  Marketing  Operations,9,—,—,—,—,—,—,—,8 160,—,-0.1,-0.1,1.9
https://www.crunchbase.com//organization/ada-3894, ADA ,Corporate Round,ADA is end-to-end commerce excellence  from marketing and content optimization to store operations offers comprehensive messaging solutions and extensive integration knowledge., Advertising  Artificial Intelligence  E-Commerce  Marketing, Kuala Lumpur  Kuala Lumpur  Malaysia,ADA is a data and AI company that designs and executes integrated digital  analytics  marketing  and eCommerce solutions.,8 368,2013,Active,$100M to $500M, — , Asia-Pacific (APAC)  Association of Southeast Asian Nations (ASEAN)  Southeast Asia,—,—,For Profit, ada-asia.com/ ,https://www.facebook.com/analytics.data.advertising/,https://www.linkedin.com/company/ada-asia/,—,info@ada-asia.com,—,43, —,—,—, —, —, Advertising  Artificial Intelligence  Commerce and Shopping  Data and Analytics  Sales and Marketing  Science and Engineering  Software,—, — ,1001-5000,3,—,May 11  2021,$60 000 000,$60 000 000,Corporate Round,$80 000 000,$80 000 000, SoftBank  Axiata  Sumitomo,2,3,3, Made Acquisitions,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,16, — ,—,—,—,—,Household or kitchen utensils  containers and materials; glassware; porcelain; earthenware,—,1,0,19,—,—,42,81 229,42 821.17,571,163.59%,85.99%,1.23,-37.39%,89.68%,95.17%,467 483,-410 029,-46.73%, Engineering  Finance  Human Resources  Information Technology  Management  Marketing  Operations  Product  Sales,116,—,—,—,—,—,—,—,8 384,—,0.9,1.1,2.1
https://www.crunchbase.com//organization/reask, Reask ,Seed,Reask is a science and technology company that focuses on natural hazard modeling. Reask offers real-time  post-event  and longer-term AI solutions for global weather-related catastrophes by Global Risk mapping and probabilistic trend forecasting of catastrophe risk analytics., Analytics  Artificial Intelligence  Commercial Insurance  Information Technology  Insurance  InsurTech  Machine Learning  Property Insurance  Risk Management, Sydney  New South Wales  Australia,Reask is an IT company that builds climate forecasting tools  hazard models  and event response applications using machine learning.,8 701,Apr 28  2018,Active,$1M to $10M, — , Asia-Pacific (APAC)  Australasia,—,—,For Profit, reask.earth ,—,https://www.linkedin.com/company/reask-earth,https://twitter.com/reaskearth,info@reask.earth,+61 (0) 477 967 165,14, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Financial Services  Information Technology  Professional Services  Science and Engineering  Software,2, Nick Hassam  Thomas Loridan,11-50,2,Seed,Jun 15  2023,$4 600 000,$4 600 000,Seed,$4 600 000,$4 600 000, Tencent  Collaborative Fund  SVA  Macdoch Ventures  Mastry Ventures,3,6,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,Sep 15  2022,—,37, — ,—,—,—,—,—,—,—,—,—,—,—,26,—,—,—,—,—,—,—,—,—,—,—,—, Management  Pro Services,8,—,—,—,—,—,—,—,8 720,—,-0.3,-0.1,-1.4
https://www.crunchbase.com//organization/indebted, InDebted ,Venture - Series Unknown,InDebted develops a cloud-based debt collection software designed to offer tailored debt management tools. Its cloud collections platform leverages machine learning to understand consumer preferences for servicing overdue accounts and provides application programming interfaces (APIs) to link to customer account systems  enabling small and medium businesses to get flexible payment options.The company was founded in 2016 and is headquartered in North Sydney  New South Wales., Debt Collections  Finance  Financial Services  FinTech  Machine Learning  Software, North Sydney  New South Wales  Australia,InDebted provides a debt collection software that allows customers to effectively manage the repayment of their overdue accounts.,9 216,2016,Active,—, — , Asia-Pacific (APAC)  Australasia,—,—,For Profit, www.indebted.co/ ,—,https://www.linkedin.com/company/10600091/,https://twitter.com/indebtedhq,info@indebted.co,—,26, —,—,—, —, —, Administrative Services  Artificial Intelligence  Data and Analytics  Financial Services  Software,1, Josh Foreman,101-250,6,—,Jul 26  2022,A$22 500 000,A$22 500 000,Venture - Series Unknown,$56 663 730,$64 356 925, MassMutual Ventures  OneVentures  Reinventure  Carthona Capital  Perennial Partners,4,11,2, Made Acquisitions,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,Jul 26  2022,73, — ,—,—,—,—,Scientific and electric apparatus and instruments,—,3,0,31,—,—,42,147 265,67 205.5,272,131.8%,-39.15%,1.39,-6.67%,73.71%,-16.37%,299 387,-205 465,-40.7%, Engineering  Finance  Management  Operations  Sales  Support,41,—,—,—,—,—,—,—,9 235,—,0,-0.2,1.7
https://www.crunchbase.com//organization/relevance-ai, Relevance AI ,Seed,Rapidly get insights hiding in your text fields and image files with Relevance AI's unstructured data platform. Saves time manually going through qualitative data for patterns and get started with any amount of data with no labelling required., Analytics  Artificial Intelligence  Machine Learning  Software, Sydney  New South Wales  Australia,Build and deploy LLM chains and agents to automate more internal workflows,9 495,Jan 2020,Active,$1M to $10M, — , Asia-Pacific (APAC)  Australasia,—,—,For Profit, relevanceai.com ,—,https://www.linkedin.com/company/relevanceai,https://twitter.com/RelevanceAI_,jacky@relevanceai.com,—,2, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Science and Engineering  Software,2, Daniel Vassilev  Jacky Koh,11-50,1,Seed,Dec 12  2021,$3 000 000,$3 000 000,Seed,$3 000 000,$3 000 000, Insight Partners  Archangel Ventures  Galileo Ventures,1,3,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,4, — ,—,—,—,—,—,—,—,—,18,—,—,83,35 715,27 091.17,518,-2.38%,-31.12%,3.25,33.46%,38.98%,-29.52%,894 689,140 321,18.6%, —,—,—,—,—,—,—,—,—,9 515,—,0.1,0.4,3.4
