Organization URL,Organization Name,Last Funding Type,Full Description,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Operating Status,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions,Exit Date,Closed Date,Company Type,Website,Facebook,LinkedIn,Twitter,Contact Email,Phone Number,Number of Articles,Hub Tags,Actively Hiring,Number of Sub-Orgs,Investor Type,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),IPO Status,IPO Date,Delisted Date,Money Raised at IPO,Valuation at IPO,Stock Symbol,Stock Exchange,Number of Events,Last Leadership Hiring Date,Last Layoff Mention Date,Similar Companies,Tags,Number of Private Notes,Date of Most Recent Valuation,Most Recent Valuation Range,IT Spend,Most Popular Trademark Class,Most Popular Patent Class,Trademarks Registered,Patents Granted,Total Products Active,Downloads Last 30 Days,Number of Apps,Active Tech Count,Monthly Visits,Average Visits (6 months),Visit Duration,Monthly Visits Growth,Visit Duration Growth,Page Views / Visit,Page Views / Visit Growth,Bounce Rate,Bounce Rate Growth,Global Traffic Rank,Monthly Rank Change (#),Monthly Rank Growth,Contact Job Departments,Number of Contacts,Number of Private Contacts,Transaction Name,Acquired by,Announced Date,Price,Acquisition Type,Acquisition Terms,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days)
https://www.crunchbase.com//organization/gitai, GITAI ,Series B,GITAI is a robotics startup for space development. The company aims to replace astronauts with robots that can work for a long time while being remotely controlled from Earth while in low earth orbit space stations to decrease the burden on astronauts and shorten the time it takes to perform work in space.  GITAI develops robots to help build and maintain satellites  space stations  lunar bases  and cities on Mars., Artificial Intelligence  Robotics  Space Travel  Virtual Reality  Virtual World  Virtualization, Tokyo  Tokyo  Japan,GITAI is a robotics startup that develops remote controlled robots to replace astronaut's operations in commercial space stations.,532,Jul 2016,Active,—, — , Asia-Pacific (APAC),—,—,For Profit, gitai.tech ,https://www.facebook.com/GITAI-1515952648445089,https://www.linkedin.com/company/gitai,https://twitter.com/gitai64818084,info@gitai.tech,—,24, —,—,—, —, —, Artificial Intelligence  Community and Lifestyle  Data and Analytics  Hardware  Information Technology  Media and Entertainment  Science and Engineering  Software  Transportation,1, Sho Nakanose,11-50,7,Early Stage Venture,Aug 29  2023,$8 000 000,$8 000 000,Series B,$59 010 270,$66 010 270, Global Brain Corporation  MITSUI SUMITOMO INSURANCE Venture Capital (MSIVC)  MUFG Bank  ANRI  Spiral Ventures,5,19,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,1,—,—,10, — ,—,—,—,—,Scientific and electric apparatus and instruments,Electric Communication Technique,0,1,—,—,—,4,119,—,0,—,—,1,—,100%,—,8 161 340,—,—, Engineering  Operations,4,—,—,—,—,—,—,—,533,—,-0.7,9.7,7.4
https://www.crunchbase.com//organization/smartnews-inc, SmartNews ,Series F,SmartNews is the award-winning news app loved by millions. We are a machine-learning company deeply committed to helping users find quality news beyond the filter bubble. Our algorithms evaluate tens of millions of articles  behaviors and social interactions to deliver only the most interesting and important stories on a global scale—a fascinating engineering challenge that has attracted a world-class data science and engineering team. SmartNews won numerous “App of the Year” awards and has been downloaded by more than 35 million people and has over 10million monthly active users. SmartNews has offices in Tokyo  San Francisco  and New York. Join our international culture—smart work  smart people and a global mission to bring quality information to the world. Travel between our amazing offices in the U.S. and Japan  and collaborate with coworkers from around the world., Apps  Artificial Intelligence  Journalism  Media and Entertainment  Mobile  News, Tokyo  Tokyo  Japan,SmartNews is a news app that helps users find quality news beyond the filter bubble.,3 687,Jun 15  2012,Active,—, — , Asia-Pacific (APAC),—,—,For Profit, www.smartnews.com/ ,http://www.facebook.com/SmartNewsApp/,http://www.linkedin.com/company/smartnews-inc-/,http://twitter.com/smartnews,info@smartnews.com,81357285596,69, Unicorn,—,—, —, —, Apps  Artificial Intelligence  Content and Publishing  Data and Analytics  Media and Entertainment  Mobile  Science and Engineering  Software,2, Kaisei Hamamoto  Ken Suzuki,501-1000,6,Late Stage Venture,Sep 15  2021,$230 000 000,$230 000 000,Series F,$410 285 114,$410 285 114, Atomico  Dentsu  Social Starts  Globis Capital Partners  Woodline Partners,6,21,2, Made Acquisitions,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,1,—,Jan 12  2023,8, — ,—,—,—,—,—,Computing; Calculating,0,1,24,—,1,227,5 873 731,5 078 441.17,464,-11.9%,115.81%,1.12,-6.39%,90.43%,10.25%,16 398,3 696,29.1%, Engineering  Finance  Human Resources  Management  Marketing  Medical & Science  Operations  Pro Services  Product  Sales,89,—,—,—,—,—,—,—,3 696,—,0,-0.1,0.1
https://www.crunchbase.com//organization/soundraw, SOUNDRAW ,Series A,SOUNDRAW is an AI royalty-free music generator for video creators. Users can choose the mood  the genre  and the length they prefer  and the AI will generate songs in seconds. They can then further customize the song to fit their content., Artificial Intelligence  Content Creators  Music, Tokyo  Tokyo  Japan,SOUNDRAW is an AI royalty-free music generator for video creators.,6 004,Feb 12  2020,Active,Less than $1M, — , Asia-Pacific (APAC),—,—,For Profit, soundraw.io ,https://www.facebook.com/soundraw.io,https://www.linkedin.com/company/soundraw,—,info@soundraw.co.jp,—,1, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Media and Entertainment  Music and Audio  Science and Engineering  Software,1, Daigo Kusunoki,1-10,3,Early Stage Venture,Jul 29  2022,¥180 000 000,¥180 000 000,Series A,¥245 000 000,¥245 000 000, Mint  Ceres  SMBC Venture Capital  Deepcore  ANOBAKA,—,10,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,8, — ,—,—,—,—,—,—,—,—,—,—,—,46,1 309 209,1 974 227.67,315,-22.65%,-39.66%,2.82,7.69%,36.34%,-16.65%,57 135,16 427,40.35%, —,—,—,—,—,—,—,—,—,6 016,—,0.3,-0.2,3.9
https://www.crunchbase.com//organization/preferred-networks, Preferred Networks ,Venture - Series Unknown,Preferred Networks (PFN) was established in March 2014 in Tokyo with the goal to develop practical  real-world applications of deep learning  robotics and other latest technologies. PFN is currently focused on three priority areas – transportation systems  manufacturing and bio-healthcare – and also exploring the use of deep learning in personal robots  plant optimization  materials discovery  sports analytics and entertainment. PFN has a U.S. subsidiary in Burlingame  California., Artificial Intelligence  Biotechnology  Internet of Things  Machine Learning  Robotics  Software, Tokyo  Tokyo  Japan,Preferred Networks develops real-world applications of deep learning  robotics and other latest technologies.,8 278,Mar 26  2014,Active,$10M to $50M, — , Asia-Pacific (APAC),—,—,For Profit, www.preferred.jp/ ,https://www.facebook.com/PreferredNet/,https://www.linkedin.com/company/preferred-networks,https://twitter.com/preferrednet,—,—,42, Unicorn,—,—, —, —, Artificial Intelligence  Biotechnology  Data and Analytics  Hardware  Internet Services  Science and Engineering  Software,4, Daisuke Okanohara  Morikawa Hiroyuki  Nishitoba Jiro  Toru Nishikawa,251-500,8,—,Jan 1  2020,—,—,Venture - Series Unknown,¥16 500 000 000,¥16 500 000 000, Toyota Motor  Mitsui & Co  Mizuho Bank  Hitachi  Tokyo Electron,2,12,—, —,4,4,—,—,1,1,—,—,—,Private,—,—,—,—,—,—,3,—,—,9, — ,—,—,—,—,Scientific and electric apparatus and instruments,Computing; Calculating,12,170,10,—,1,19,108 346,61 232,52,378.22%,126.09%,1.09,-26.28%,91.34%,76.2%,377 805,-693 175,-64.72%, Operations,3,—,—,—,—,—,—,—,8 294,—,-0.1,-0.3,-0.3
https://www.crunchbase.com//organization/zeals, ZEALS ,Series E,ZEALS is the leading conversational commerce company in Japan serving over 400 large domestic and multi-national enterprises. Our vision is to revolutionize how we do commerce and the overall engagement experience. We offer ZEALS Chatbot Commerce  a fully automated conversational engagement on messaging applications that services end customer like a human sales representative., E-Commerce  Information Technology  Marketing  Messaging  Natural Language Processing, Tokyo  Tokyo  Japan,Conversational Commerce OMOTENASHI REVOLUTION with Chatbot Technology,9 502,Apr 1  2014,Active,$1M to $10M, — , Asia-Pacific (APAC),—,—,For Profit, zeals.co.jp/en/ ,https://www.facebook.com/zeals.co.jp/,https://www.linkedin.com/company/zeals-co-ltd/,https://twitter.com/chat_co_mouse,ir@zeals.co.jp,+81-3-5719-2133,2, —,—,—, —, —, Artificial Intelligence  Commerce and Shopping  Data and Analytics  Information Technology  Internet Services  Messaging and Telecommunications  Sales and Marketing  Software,2, Shimizu Masahiro  Sou Shimada,251-500,8,Late Stage Venture,May 12  2022,¥3 500 000 000,¥3 500 000 000,Series E,¥5 351 090 000,¥6 851 090 000, Mizuho Bank  Salesforce Ventures  FreakOut Holdings  Mitsubishi UFJ Financial Group  Z Venture Capital,4,12,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,1,—,—,7, — ,—,—,—,—,—,—,—,—,17,—,1,44,8 274,18 503,0,1 994.68%,960.24%,1,-69.92%,100%,63.21%,2 071 840,-4 731 061,-69.54%, Operations,2,—,—,—,—,—,—,—,9 522,—,0.5,1.8,0.7
https://www.crunchbase.com//organization/revcomm, RevComm ,Series A,RevComm is the startup company developing Voice x AI-enabled cloud services ., Artificial Intelligence  Task Management  Telecommunications, Tokyo  Tokyo  Japan,RevComm is the startup company developing Voice x AI-enabled cloud services .,10 366,Jul 7  2017,Active,Less than $1M, — , Asia-Pacific (APAC),—,—,For Profit, www.revcomm.co.jp/ ,https://www.facebook.com/revcomm/,https://www.linkedin.com/company/revcomm/,https://twitter.com/RevComm_inc,info@revcomm.co.jp,03-4405-4621,—, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Hardware  Science and Engineering  Software,1, Takeshi Aida,11-50,4,Early Stage Venture,Oct 5  2020,¥700 000 000,¥700 000 000,Series A,¥1 504 500 006,¥1 504 500 006, Google for Startups  Global Brain Corporation  BizReach  World Innovation Lab (WiL)  DNX Ventures,3,19,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,6, — ,—,—,—,—,—,—,—,—,—,—,2,71,9 044,10 807.33,623,44.43%,180.83%,1.03,2.72%,97.28%,-2.72%,1 994 604,-284 213,-12.47%, Operations  Sales,2,—,—,—,—,—,—,—,10 391,—,-0.1,-0.2,0.4
https://www.crunchbase.com//organization/i-mbesideyou, I'mbesideyou ,Seed,Multimodal AI analytics for online communicaiotn, Artificial Intelligence  Education  Information Technology  SaaS, Setagaya  Tokyo  Japan,I'mbesideyou deals with online communication platform intended to improve the quality of online communication with video analysis AI.,10 694,Jun 25  2020,Active,—, — , Asia-Pacific (APAC),—,—,For Profit, www.imbesideyou.com/ ,—,https://www.linkedin.com/company/imbesideyou,https://twitter.com/BesideIm,info@imbesideyou.com,1-704-368-4330,4, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Education  Information Technology  Science and Engineering  Software,2, Kotaro Ando  Shozo Kamiya,1-10,1,Seed,Jan 3  2021,¥115 000 000,¥115 000 000,Seed,¥115 000 000,¥115 000 000, Beyond Next Ventures  Japan Finance,—,2,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,4, — ,—,—,—,—,—,—,—,—,—,—,—,13,4 663,—,444,444.74%,-22.78%,1.58,5.15%,55.63%,11.26%,2 782 325,-2 358 328,-45.88%, —,—,—,—,—,—,—,—,—,10 720,—,3.8,7.1,6.7
https://www.crunchbase.com//organization/ubie, Ubie ,Series C,Ubie is a developer of an AI (Artificial Intelligence) symptom checker software that will provide its patients with individualized evaluation reports.Ubie provides AI-based healthcare products such as the hospital SaaS product  “Ubie for Hospital”  also known as AI Monshin (Monshin means an interview with a doctor/record taking in Japanese) is an AI-driven medical questionnaire software targeting users at medical institutions  in order to support document creation of clinical records under supervision from specialists.Ubie was established on May 1  2017 by Kota Kubo  and Yoshinori Abe MD in Nihonbashi Muromachi  Tokyo ., Artificial Intelligence  Health Care  Machine Learning  Medical  SaaS, Tokyo  Tokyo  Japan,Ubie is a Tokyo based health-tech startup  that provides AI-based healthcare products  hospital SaaS products  and AI symptom checkers.,10 912,May 1  2017,Active,$10M to $50M, — , Asia-Pacific (APAC),—,—,For Profit, ubiehealth.com/ ,https://www.facebook.com/pg/ubie.inc/,https://www.linkedin.com/company/ubie-inc/,https://twitter.com/UbieCorp_JP,info@dr-ubie.com,—,1, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Health Care  Science and Engineering  Software,2, Abe Yoshinori  Kubo Kota,101-250,9,Late Stage Venture,Dec 8  2022,$17 100 000,$17 100 000,Series C,$75 841 724,$77 741 724, Google for Startups  Mizuho Bank  AAIC Investment  Rakuten Capital  Dai-ichi Life,7,15,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,6, — ,—,—,—,—,—,—,—,—,—,4 720,3,36,52 038,97 524.33,127,-14.99%,7.63%,1.41,-12.43%,71.3%,1.44%,651 516,132 041,25.42%, —,—,—,—,—,—,—,—,—,10 938,—,-0.2,-0.3,0.4
https://www.crunchbase.com//organization/abeja-inc-, ABEJA ,Secondary Market,ABEJA is a platform that integrate state-of-the-art AI technologies including IoT  big data and deep learning and enables to carry out sophisticated analyses with accumulated data. Also  on the basis of the platform  ABEJA offers variety of services optimized for each industries  especially for Retail  Manufacture  Infrastructure. Its platform supports the entire pipeline of machine learning / deep learning  from development  deployment  and operation., Analytics  Artificial Intelligence  Big Data  CRM  Machine Learning  Marketing  Marketing Automation, Tokyo  Tokyo  Japan,ABEJA is a platform that integrate state-of-the-art AI technologies including IoT  big data  and deep learning.,11 296,Sep 10  2012,Active,$10M to $50M, — , Asia-Pacific (APAC),—,—,For Profit, abejainc.com ,https://www.facebook.com/abejainc,https://www.linkedin.com/company/abeja-inc.,https://twitter.com/abeja_inc,info@abejainc.com,+81364528848,7, Pledge 1%,—,—, —, —, Artificial Intelligence  Data and Analytics  Information Technology  Sales and Marketing  Science and Engineering  Software,4, Keisuke Tomimatsu  Ozeki Masayuki  Takanori Ogata  Yousuke Okada,51-100,10,Late Stage Venture,Apr 23  2021,—,¥6 000 000 000,Series C,$104 360 023,$104 360 023, Google  NVIDIA  SBI Investment  Salesforce Ventures  ITOCHU Corporation,5,23,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,4,—,—,4, — ,—,—,—,—,Advertising; business,—,3,5,15,—,2,15,39 311,43 271.33,542,31.97%,81.02%,1.2,19.71%,80.29%,-19.71%,802 382,-93 899,-10.48%, —,—,—,—,—,—,—,—,—,11 324,—,0.8,2.6,0
https://www.crunchbase.com//organization/tripla, tripla ,Venture - Series Unknown,Tripla provides IT services for various industries such as hotels  railways  travel-related  restaurants  real estate  and apparel. It is one of the fastest-growing startups in Japan that aims to provide a platform where any tourists can make any reservations they want to make in their language through any chat and voice platforms. It provides the service to hundreds of customers like hotels  rent- a- car companies  transportation companies that provide services to tourists. Tripla chatbot  a BPO service that solves daily inquiry cost reduction and multilingual support at once  has been well received by customers due to its learning AI and double support from operators who are familiar with the industry. Also  the new hotel reservation engine equipped with the OTA price comparison of each company and the automatic best rate adjustment function has significantly increased the ratio of in-house reservations and contributed to the improvement of profitability., Artificial Intelligence  Software  Travel, Tokyo  Tokyo  Japan,Tripla provides IT services for various industries such as hotels  railways  travel related  restaurants  real estate  and apparel.,12 661,Apr 15  2015,Active,Less than $1M, — , Asia-Pacific (APAC),—,—,For Profit, corp.tripla.jp ,https://www.facebook.com/tripla.K.K,https://www.linkedin.com/company/tripla.jp/,https://twitter.com/tripla55269321,support@tripla.jp,136-276-6553,2, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Science and Engineering  Software  Travel and Tourism,2, Kaku Toriu  Takahashi Kazuhisa,51-100,6,—,Aug 1  2019,¥20 000 000,¥20 000 000,Venture - Series Unknown,¥1 089 160 000,¥1 089 160 000, MITSUI SUMITOMO INSURANCE Venture Capital (MSIVC)  Rakus  VOYAGE VENTURES  JR East Start Up  Sansei Capital Investment,3,14,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,4, — ,—,—,—,—,—,—,—,—,—,—,3,33,—,—,—,—,—,—,—,—,—,—,—,—, —,—,—,—,—,—,—,—,—,12 693,—,5.5,5.7,4.1
