Organization URL,Organization Name,Last Funding Type,Full Description,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Operating Status,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions,Exit Date,Closed Date,Company Type,Website,Facebook,LinkedIn,Twitter,Contact Email,Phone Number,Number of Articles,Hub Tags,Actively Hiring,Number of Sub-Orgs,Investor Type,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),IPO Status,IPO Date,Delisted Date,Money Raised at IPO,Valuation at IPO,Stock Symbol,Stock Exchange,Number of Events,Last Leadership Hiring Date,Last Layoff Mention Date,Similar Companies,Tags,Number of Private Notes,Date of Most Recent Valuation,Most Recent Valuation Range,IT Spend,Most Popular Trademark Class,Most Popular Patent Class,Trademarks Registered,Patents Granted,Total Products Active,Downloads Last 30 Days,Number of Apps,Active Tech Count,Monthly Visits,Average Visits (6 months),Visit Duration,Monthly Visits Growth,Visit Duration Growth,Page Views / Visit,Page Views / Visit Growth,Bounce Rate,Bounce Rate Growth,Global Traffic Rank,Monthly Rank Change (#),Monthly Rank Growth,Contact Job Departments,Number of Contacts,Number of Private Contacts,Transaction Name,Acquired by,Announced Date,Price,Acquisition Type,Acquisition Terms,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days)
https://www.crunchbase.com//organization/patsnap, PatSnap ,Series E,PatSnap is a connected innovation intelligence platform that provides IP and R&D intelligence. It is used by more than 10 000 customers in over 50 countries around the world to access market  technology  and competitive intelligence as well as patent insights needed to take products from ideation to commercialization. The company was founded in 2007 and is headquartered in Singapore., Analytics  Artificial Intelligence  Business Intelligence, Singapore  Central Region  Singapore,PatSnap is an innovation intelligence platform that provides intellectual property and research and development intelligence.,2 429,2007,Active,$50M to $100M, — , Asia-Pacific (APAC)  Association of Southeast Asian Nations (ASEAN)  Southeast Asia,—,—,For Profit, www.patsnap.com/ ,https://www.facebook.com/pg/PatSnap/about/?ref=page_internal,https://www.linkedin.com/company/patsnap/,https://twitter.com/PatSnap,hello@patsnap.com,(+65) 6589 8770,27, Unicorn,—,—, —, —, Artificial Intelligence  Data and Analytics  Science and Engineering  Software,3, Guan Dian  Jeffrey Tiong  Ray Chohan,501-1000,6,Late Stage Venture,Mar 16  2021,$300 000 000,$300 000 000,Series E,$351 602 006,$351 602 006, Tencent  Temasek Holdings  Sequoia Capital China  Vertex Ventures  Global Brain Corporation,7,13,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,6,—,—,2, — ,—,—,—,—,—,Computing; Calculating,0,1,27,—,1,91,122 808,100 288.83,1 493,60.56%,-17.65%,2.64,-67.8%,69.3%,86.74%,342 706,-91 180,-21.01%, Engineering  Finance  Human Resources  Legal  Management  Marketing  Operations  Pro Services  Product  Sales  Support,213,—,—,—,—,—,—,—,2 436,—,-0.5,-1.3,2.7
https://www.crunchbase.com//organization/invideo, InVideo ,Series B,At InVideo  our mission is to re-invent video creation and make it accessible to the world. We firmly believe that the future of video creation is in the browser  across devices  collaborative  easy and fun! Currently armed with 5000+ unique designer templates  9M+ premium media (including iStock)  a large audio library for every mood/genre and a lot of customisable features  we are aggressively moving towards our north star metric. InVideo's flexible timeline and drag & drop editor further enhance the user journey of making professional videos on the browser. Our 24*7 live customer support service and 26K+ strong Facebook Community further add value to every creator's workflow. Customer feedback is key to the way our product is shaping up everyday. We're only and only building for the end user  who makes videos for a living. In a nutshell  anybody can make scroll-stopping videos with InVideo. What's even better is that we're now even on mobile! Check out Filmr by InVideo.With 7M+ users from 195+ countries who have made millions of videos in 100+ foreign languages on InVideo  we look forward to the road ahead., Animation  Artificial Intelligence  Machine Learning  Natural Language Processing  Software  Video  Video Advertising  Video Editing, Singapore  Central Region  Singapore,InVideo is re-inventing video creation using AI and making it accessible to the world.,2 687,Aug 4  2017,Active,—, — , Asia-Pacific (APAC)  Association of Southeast Asian Nations (ASEAN)  Southeast Asia,—,—,For Profit, invideo.io ,https://www.facebook.com/invideo.io/,https://www.linkedin.com/company/invideoio,https://twitter.com/@InVideoOfficial,info@invideo.io,415-670-9803,20, —,—,—, —, —, Advertising  Artificial Intelligence  Content and Publishing  Data and Analytics  Media and Entertainment  Sales and Marketing  Science and Engineering  Software  Video,4, Anshul Khandelwal  Harsh Vakharia  Pankit Chheda  Sanket Shah,101-250,7,Early Stage Venture,Jul 6  2021,$35 000 000,$35 000 000,Series B,$52 500 000,$52 500 000, Blume Ventures  Tiger Global Management  Hummingbird Ventures  Lightspeed Venture Partners  RTP Global,2,13,1, Made Acquisitions,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,Dec 17  2020,—,9, — ,—,—,—,—,—,—,—,—,32,—,—,69,9 058 900,6 739 126.67,510,42.33%,25.62%,2.41,4.08%,43.23%,3%,11 161,-2 050,-15.52%, Engineering  Management  Operations  Product  Sales,14,—,—,—,—,—,—,—,2 695,—,0.8,1.9,0.4
https://www.crunchbase.com//organization/traxretail, Trax ,Venture - Series Unknown,Trax provides offers in-store execution tools  market measurement services  and data science solutions for retail.Its mission is to enable brands and retailers to harness digital technologies' power to produce the best shopping experiences imaginable. Trax’s retail platform allows customers to understand what is happening on a shelf  in every store  all the time so they can focus on what they do best – delighting shoppers. Many of the world’s top CPG companies and retailers use Trax’s dynamic merchandising  in-store execution  shopper engagement  market measurement  analytics  and shelf monitoring solutions at scale to drive positive shopper experiences and unlock revenue opportunities at all points of sale. As a pioneer in computer vision  Trax continues to lead the industry in innovation and excellence through the development of advanced technologies and autonomous data collection methods. Trax is a global company with hubs in the United States  Singapore  and Israel  serving customers in more than 90 countries worldwide., Analytics  Artificial Intelligence  Computer Vision  E-Commerce  Image Recognition  Retail Technology, Singapore  Central Region  Singapore,Trax provides in-store execution tools  market measurement services  and data science solutions for retail.,2 774,2010,Active,$100M to $500M, — , Asia-Pacific (APAC)  Association of Southeast Asian Nations (ASEAN)  Southeast Asia,—,—,For Profit, traxretail.com/ ,https://www.facebook.com/TraxRetailTech/,https://www.linkedin.com/company/trax-retail/,http://twitter.com/TraxRetail,info@trax-tech.com,(656) 224-9145,78, Unicorn,—,—, —, —, Artificial Intelligence  Commerce and Shopping  Data and Analytics  Hardware  Science and Engineering  Software,2, Dror Feldheim  Joel Bar-El,1001-5000,12,—,Oct 10  2021,$400 000,$400 000,Venture - Series Unknown,$1 027 300 000,$1 027 300 000, BlackRock  Investec  Warburg Pincus  Boyu Capital  SoftBank Vision Fund,7,18,6, Made Acquisitions,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,Feb 1  2022,Jun 20  2022,4, — ,—,—,—,—,Scientific and electric apparatus and instruments,Computing; Calculating,21,53,47,51,7,64,114 753,65 926.17,1 556,76.27%,-10.63%,7.61,-0.53%,29.12%,-17.58%,360 513,-135 652,-27.34%, Engineering  Finance  Human Resources  Information Technology  Legal  Management  Marketing  Medical & Science  Operations  Product  Sales,173,—,—,—,—,—,—,—,2 782,—,-0.1,-0.7,0
https://www.crunchbase.com//organization/appier, Appier ,Venture - Series Unknown,Appier is a technology company providing an AI-powered platform to brands and retailers to help increase customer engagement. The company makes it easy for businesses to use artificial intelligence to grow and succeed in a cross-screen era. It also offers a platform that facilitates real-time bidding and programmatic media buying  artificial intelligence  data  and cross-screen targeting solutions.Appier also provides deep learning to help publishers and brands discover new audiences for their products. Appier’s products help retailers retain customers and advertisers understand and capitalize on consumer tendencies  predicting user behavior using its AI platform. The company uses a technology known as automated machine learning that enables clients to better target users without the hassle of hiring specialized AI engineers.Appier serves around 1 000 global brands and agencies from offices in 14 markets across Asia  including Taipei  Singapore  Kuala Lumpur  Tokyo  Osaka  Sydney  Ho Chi Minh City  Manila  Hong Kong  Mumbai  New Delhi  Jakarta  Seoul  and Bangkok. It was founded in 2012 and is headquartered in Taipei  Taiwan., Analytics  Artificial Intelligence  Information Technology  Machine Learning  SaaS, Taipei  T'ai-pei  Taiwan,Appier is a Taipei-based startup providing an AI powered platform to brands and retailers to help increase customer engagement.,2 896,2012,Active,$100M to $500M, — , Asia-Pacific (APAC),Mar 30  2021,—,For Profit, appier.com ,http://www.facebook.com/appierinc,http://www.linkedin.com/company/appier,http://twitter.com/GoAppier,press@appier.com,1287808891,60, —,Yes,—, —, —, Artificial Intelligence  Data and Analytics  Information Technology  Science and Engineering  Software,4, Chih-Han Yu  Joe Su  Su Jiayong  Winnie Lee,251-500,7,IPO,Feb 1  2021,¥12 126 000,¥12 126 000,Venture - Series Unknown,$164 460 856,$164 460 856, SoftBank  Naver  Temasek Holdings  Sequoia Capital  EDBI,4,27,4, Made Acquisitions,—,—,—,—,—,—,—,—,—,Public,Mar 30  2021,—,¥29 800 000 000,—, 4180 ,TYO - Tokyo Stock Exchange,5,—,—,97, — ,—,—,—,—,Advertising; business,—,2,0,35,—,6,65,188 153,208 406.67,800,-32.65%,49.25%,1.76,19.04%,58.38%,-17.01%,248 475,84 287,51.34%, Engineering  Finance  Human Resources  Information Technology  Management  Marketing  Operations  Product  Sales,92,—,—,—,—,—,—,—,2 904,—,-0.3,-0.8,-0.3
https://www.crunchbase.com//organization/glance-6e2a, Glance ,Series D,Glance is the world’s first “screen zero” content delivery platform. It leverages AI to bring users personalized content from across the internet  right to the lock screen of their smartphones and other connected devices. Glance is one of the world’s fastest-growing consumer internet services  having crossed the 100 million user mark in 21 months - the shortest ever for any consumer platform globally. In 2019  Glance acquired Roposo  a hugely popular Indian short video platform. Together  they enable users to discover the latest news  entertainment  games  and unique shopping experiences in 10+ languages. Part of the Indian media and tech conglomerate InMobi Group  Glance is funded by Google and Peter Thiel-backed Mithril Partners., Artificial Intelligence  Information Technology  Internet  Software, Singapore  Central Region  Singapore,Glance is an artificial intelligence-driven software company that delivers personalized content on the lock screen of smartphones.,3 626,Feb 19  2019,Active,$10M to $50M, — , Asia-Pacific (APAC)  Association of Southeast Asian Nations (ASEAN)  Southeast Asia,—,—,For Profit, glance.com/ ,https://www.facebook.com/pg/glancescreen,https://www.linkedin.com/company/glancescreen/,https://twitter.com/glancescreen,—,—,6, Unicorn,—,—, —, —, Artificial Intelligence  Data and Analytics  Information Technology  Internet Services  Science and Engineering  Software,4, Abhay Singhal  Mohit Saxena  Naveen Tewari  Piyush Shah,251-500,3,Late Stage Venture,Feb 14  2022,$200 000 000,$200 000 000,Series D,$390 000 000,$390 000 000, Google  Reliance Jio  Mithril Capital Management,3,3,2, Made Acquisitions,1,1,1,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,10, — ,—,—,—,—,Education; entertainment,Computing; Calculating,16,1,—,20 381,5,41,7 333 859,2 824 490.83,709,123.46%,7.42%,1.27,-8.21%,80.94%,8.17%,13 418,-10 278,-43.37%, Engineering  Marketing  Operations  Product  Sales,22,—,—,—,—,—,—,—,3 634,—,0,0.3,1.8
https://www.crunchbase.com//organization/umami-meats, UMAMI Bioworks ,Convertible Note,UMAMI Bioworks is building the discovery and development platform for scalable production of cultivated seafood that keeps endangered  threatened  and protected (ETP) species in the ocean while providing consumers with sustainable seafood without compromises.Through systems engineering-led thinking  we will accelerate discovery and industrialization and enable local  price competitive  scale production of novel cell cultivation products with our automated  modular production system., Food and Beverage  Food Processing  Innovation Management  Machine Learning  Manufacturing  Seafood, Singapore  Central Region  Singapore,UMAMI Bioworks is building the development and production platform for seafood that is cultivated  not caught.,4 274,Feb 25  2020,Active,—, — , Asia-Pacific (APAC)  Association of Southeast Asian Nations (ASEAN)  Southeast Asia,—,—,For Profit, www.umamibioworks.com/ ,—,https://www.linkedin.com/company/umamibioworks/,https://twitter.com/UmamiBioworks,mihir@umamibioworks.com,—,7, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Food and Beverage  Manufacturing  Professional Services  Software,1, Mihir Pershad,11-50,6,Seed,Aug 31  2023,—,$2 400 000,Pre-Seed,$2 400 000,$2 400 000, Creative Destruction Lab (CDL)  Plug and Play Ventures  Prithvi Ventures  Impact Venture Capital  Katapult Ocean,4,12,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,10, — ,—,—,—,—,—,—,—,—,—,—,—,10,—,—,—,—,—,—,—,—,—,—,—,—, —,—,—,—,—,—,—,—,—,4 283,—,-0.5,9,8.8
https://www.crunchbase.com//organization/tookitaki, Tookitaki ,Series A,Money laundering needs to be a collective effort through centralised intelligence-gathering. For this reason  Tookitaki developed the AML Ecosystem  which includes our network of experts and the Typology Repository (TR).  The AML ecosystem is a game changer since it helps remove the information vacuum created by siloed AML operations. It also lays the foundation of a  democratized detection approach where AML behavioural models are shared across an ecosystem through a privacy-protected framework. Our network of experts includes risk advisers  legal firms  AML specialists  consultancies  and financial institutions from across the globe. Driven by effective collaboration between experts  the TR has grown exponentially over the past few months.In addition to our AML ecosystem  which is a first-of-its-kind community-driven initiative  we have Tookitaki’s Anti-Money Laundering Suite or AMLS for our customers. The AMLS is an operating system comprising of four modules  such as Transaction Monitoring  Smart Screening  Customer Risk Scoring and the Case Manager  under one roof to address our customers’ compliance requirements. It provides holistic risk coverage  sharper detection  and significantly fewer false alerts.  It can be deployed in multiple environments including the public cloud  private cloud  and data centre.Tookitaki’s AML Ecosystem and the AMLS work in tandem and help our stakeholders widen their view of risk from an internal one to an industry-wide one across organizations and borders. Moreover  they can do so without compromising privacy and security. Founded in November 2014  Tookitaki employs over 100 people across Asia  Europe  the Middle East  and the Americas. Tookitaki’s innovations in regulatory compliance have been acknowledged worldwide. Chartis Research named the company a Rising Star in its 2021 RiskTech 100 report. In 2020   the company won the Regulation Asia  Awards for Excellence and the G20TechSprint  accelerator. In  2019  the company was featured in the World Economic Forum’s Technology Pioneer List., Compliance  Finance  FinTech  Predictive Analytics  SaaS  Software, Singapore  Central Region  Singapore,Tookitaki is a Regtech company offering financial crime detection and prevention to some of the world's leading banks and fintech firms.,4 832,2012,Active,$1M to $10M, — , Asia-Pacific (APAC)  Association of Southeast Asian Nations (ASEAN)  Southeast Asia,Apr 18  2022,—,For Profit, www.tookitaki.com ,—,http://www.linkedin.com/company/tookitaki,https://twitter.com/tookitaki,marketing@tookitaki.com,65-6250-2620,67, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Financial Services  Professional Services  Software,2, Abhishek Chaterjee  Jeeta Bandopadhyay,101-250,8,M&A,Nov 25  2019,$11 700 000,$11 700 000,Series A,$20 456 000,$20 456 000, Jungle Ventures  Blume Ventures  Illuminate Financial  Nomura Holdings  SIG China (SIG Asia Investments),6,29,—, Was Acquired,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,6, — ,—,—,—,—,—,Computing; Calculating,0,0,26,—,—,7,10 852,10 522,415,-16.34%,-79.24%,1.27,-50.27%,85.73%,43.15%,1 822 823,306 093,20.18%, Management  Operations,3,—, Tookitaki acquired by Thunes , Thunes ,Apr 18  2022,$20 000 000,Acquisition,—,4 841,—,0,-0.1,6
https://www.crunchbase.com//organization/una-brands, Una Brands ,Series C,Una Brands provides a fast and fair way for e-commerce business owners to sell their companies. The company uses significant growth capital to transform its e-commerce brand into a household name. Una's data analytics and AI platform will help automate and optimize their processes  giving them a competitive edge.Una Brands was founded in 2020 and is based in Singapore., Analytics  Artificial Intelligence  E-Commerce  Retail, Singapore  Central Region  Singapore,Una Brands provides a streamlined way for e-commerce business owners to sell their companies.,4 980,2020,Active,Less than $1M, — , Asia-Pacific (APAC)  Association of Southeast Asian Nations (ASEAN)  Southeast Asia,—,—,For Profit, www.una-brands.com ,https://www.facebook.com/unabrands,https://www.linkedin.com/company/una-brands,https://twitter.com/UnaBrands,info@una-brands.com,—,25, —,—,—, —, —, Artificial Intelligence  Commerce and Shopping  Data and Analytics  Science and Engineering  Software,5, Adrian Johnston  Kiren Tanna  Kushal Patel  Srinivasan Shridharan  Tobias Heusch,101-250,8,Late Stage Venture,Mar 1  2023,$30 000 000,$30 000 000,Series C,$115 000 000,$115 000 000, 500 Global  White Star Capital  Alpha JWC Ventures  Kingsway Capital  Global Founders Capital,5,12,3, Made Acquisitions,1,1,1,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,Jun 29  2022,9, — ,—,—,—,—,Advertising; business,—,2,0,—,—,—,36,5 319,3 124.67,61,99.36%,369.23%,1.1,-0.19%,90.05%,0.23%,2 668 558,-656 338,-19.74%, Management  Marketing,2,—,—,—,—,—,—,—,4 989,—,-0.2,1.3,-0.8
https://www.crunchbase.com//organization/axinan, Igloo ,Series B,Igloo is the first full-stack insurtech firm to emerge from Singapore. It has offices in Singapore  Indonesia  Thailand  The Philippines  Vietnam  and Malaysia and tech centers in China and India. With a mission of making insurance accessible for all  the firm leverages big data  real-time risk assessment  and end-to-end automated claims management to create B2B2C insurance solutions for platform companies and insurance companies. Igloo’s insurance solutions enable companies to eliminate their exposure to operational risk  create new revenue streams  and optimize and enhance existing products and services. Igloo has partnered with over 55 well-known brand names across the markets in various verticals  including insurance  telecommunications  e-commerce  hospitality  health tech and financial services.For more information  please visit https://www.iglooinsure.com/., Artificial Intelligence  Financial Services  FinTech  Insurance  InsurTech, Singapore  Central Region  Singapore,Igloo is an insurtech AI platform that provides insurance accessible through creating digital insurance products.,5 570,Jun 2016,Active,—, — , Asia-Pacific (APAC)  Association of Southeast Asian Nations (ASEAN)  Southeast Asia,—,—,For Profit, www.iglooinsure.com ,https://www.facebook.com/igloo.insurance/,https://www.linkedin.com/company/iglooinsure/,https://twitter.com/iglooinsure,partnerships@iglooinsure.com,—,3, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Financial Services  Science and Engineering  Software,2, Raunak Mehta  Wei Zhu,101-250,3,Early Stage Venture,Nov 28  2022,$27 000 000,$27 000 000,Series B,$62 000 000,$62 000 000, Finnfund  Partech  Openspace  Cathay Innovation  Singtel Innov8,3,11,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,1,Mar 10  2022,—,22, — ,—,—,—,—,Insurance; financial affairs,Computing; Calculating,4,1,—,—,—,41,72 237,49 707,544,132.11%,305.97%,2.33,14.24%,68.37%,42.08%,511 621,-361 013,-41.37%, Operations,4,—,—,—,—,—,—,—,5 580,—,0,-0.1,1.4
https://www.crunchbase.com//organization/bigo-technology, BIGO Technology ,Series D,BIGO is a fast-growing Singapore technology company established in 2014. Dedicated to creating a better-connected world for everyone  BIGO provides a portfolio of video broadcast and VoIP related products and services powered by advanced Artificial Intelligence (AI) technology. The major products include BIGO LIVE  Likee (Formerly LIKE video)  and imo  and the company group now has over 400 million monthly active users in over 150 countries worldwide., Artificial Intelligence  Internet  Social Media, Singapore  Central Region  Singapore,BIGO is a fast-growing Singapore technology company specialising in AI technology.,5 884,2014,Active,$500M to $1B, — , Asia-Pacific (APAC)  Association of Southeast Asian Nations (ASEAN)  Southeast Asia,Mar 4  2019,—,For Profit, www.bigo.sg ,https://www.facebook.com/BIGOGlobal,https://www.linkedin.com/company/bigo-technology-pte.-ltd.?,https://twitter.com/BIGOLIVEapp,press@bigo.sg,—,15, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Internet Services  Media and Entertainment  Science and Engineering  Software,1, David Xueling Li,501-1000,3,M&A,Jun 5  2018,$272 000 000,$272 000 000,Series D,$272 000 000,$272 000 000, JOYY  5Y Capital  Xueling Li  Ping An Overseas Holdings,2,4,—, Was Acquired,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,23, — ,—,—,—,—,Scientific and electric apparatus and instruments,Electric Communication Technique,21,196,6,—,—,18,86 634,102 805.17,1 808,-22.19%,-45.92%,6.68,-16.62%,41.98%,-25.91%,445 946,117 694,35.85%, Management  Marketing  Operations  Sales,24,—, BIGO Technology acquired by JOYY , JOYY ,Mar 4  2019,$1 450 000 000,Acquisition,—,5 894,—,0.3,0.3,-0.2
