Organization URL,Organization Name,Last Funding Type,Full Description,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Operating Status,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions,Exit Date,Closed Date,Company Type,Website,Facebook,LinkedIn,Twitter,Contact Email,Phone Number,Number of Articles,Hub Tags,Actively Hiring,Number of Sub-Orgs,Investor Type,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),IPO Status,IPO Date,Delisted Date,Money Raised at IPO,Valuation at IPO,Stock Symbol,Stock Exchange,Number of Events,Last Leadership Hiring Date,Last Layoff Mention Date,Similar Companies,Tags,Number of Private Notes,Date of Most Recent Valuation,Most Recent Valuation Range,IT Spend,Most Popular Trademark Class,Most Popular Patent Class,Trademarks Registered,Patents Granted,Total Products Active,Downloads Last 30 Days,Number of Apps,Active Tech Count,Monthly Visits,Average Visits (6 months),Visit Duration,Monthly Visits Growth,Visit Duration Growth,Page Views / Visit,Page Views / Visit Growth,Bounce Rate,Bounce Rate Growth,Global Traffic Rank,Monthly Rank Change (#),Monthly Rank Growth,Contact Job Departments,Number of Contacts,Number of Private Contacts,Transaction Name,Acquired by,Announced Date,Price,Acquisition Type,Acquisition Terms,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days)
https://www.crunchbase.com//organization/sima-ai, SiMa.ai ,Venture - Series Unknown,SiMa.ai is a machine learning company delivering the industry’s first software-centric purpose-built MLSoC™ platform. With push-button performance  they enable effortless ML deployment and scaling at the embedded edge by allowing customers to address any computer vision problem while achieving 10x better performance at the lowest power. Initially focused on computer vision applications  SiMa.ai is led by technologists and business veterans backed by a set of top investors committed to helping customers bring ML onto their platforms., Artificial Intelligence  Machine Learning  Semiconductor  Software, San Jose  California  United States,SiMa.ai is a machine learning startup that aims to deliver the industry's first software-centric platform.,737,Nov 2018,Active,$1M to $10M, — , San Francisco Bay Area  Silicon Valley  West Coast,—,—,For Profit, sima.ai ,—,https://www.linkedin.com/company/sima-ai,https://www.twitter.com/SiMa_Inc,mlsoc@sima.ai.,(408) 827-7462,24, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Hardware  Science and Engineering  Software,2, Krishna Rangasayee  Steven J. Rosston,101-250,5,—,Jun 13  2023,$13 000 000,$13 000 000,Venture - Series Unknown,$190 000 000,$190 000 000, Fidelity Management and Research Company  Dell Technologies Capital  Adage Capital Management  Wing Venture Capital  MSD Partners,3,11,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,9, — ,—,—,—,—,—,—,—,—,—,—,—,64,7 358,15 629.33,303,108.32%,119.57%,2.61,-25.51%,59.72%,227.05%,2 271 072,-660 677,-22.54%, Engineering  Finance  Human Resources  Management  Medical & Science  Operations  Product  Sales,47,—,—,—,—,—,—,—,740,—,5.5,7.4,-1.5
https://www.crunchbase.com//organization/relativity-space, Relativity Space ,Secondary Market,Relativity Space is an aerospace company that designs  develops  and builds 3D-printed rockets. a vertically integrated technology platform  Relativity is at the forefront of an inevitable shift toward software-defined manufacturing by fusing 3D printing  artificial intelligence  and autonomous robotics. It offers a radically simplified supply chain  building a rocket with 100x fewer parts in less than 60 days. Relativity Space is backed by leading investors including Bond  Tribe Capital  Playground Global  Y Combinator  Social Capital  and Mark Cuban., 3D Technology  Aerospace  Artificial Intelligence  Manufacturing, Long Beach  California  United States,Relativity Space is an aerospace company that designs  develops  and builds 3D printed rockets.,800,2015,Active,$1M to $10M, — , Greater Los Angeles Area  West Coast  Western US,—,—,For Profit, relativityspace.com ,https://www.facebook.com/relativityspace,https://www.linkedin.com/company/relativity,https://www.twitter.com/relativityspace,info@relativityspace.com,—,142, Unicorn,—,—, —, —, Artificial Intelligence  Data and Analytics  Hardware  Manufacturing  Science and Engineering  Software,2, Jordan Noone  Tim Ellis,501-1000,8,Late Stage Venture,Feb 3  2022,—,$650 000 000,Series E,$1 335 720 000,$1 335 720 000, BlackRock  Y Combinator  General Catalyst  Tribe Capital  Baillie Gifford,8,56,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,1,—,—,182, — ,—,Jun 8  2021,$1B to $10B,$352 789,Transport  packaging and storing,Additive Manufacturing Technology,12,14,19,—,—,66,37 241,38 095.83,154,96.93%,165.52%,2.06,-0.44%,49.25%,0.2%,839 935,-348 678,-29.33%, Engineering  Finance  Human Resources  Information Technology  Legal  Management  Marketing  Medical & Science  Operations  Pro Services  Product  Sales,613,—,—,—,—,—,—,—,803,—,-0.4,-0.1,2.1
https://www.crunchbase.com//organization/vectra-networks, Vectra ,Series F,Vectra is a cybersecurity platform that uses AI to detect and automatically stop attackers in real-time while collecting data to perform conclusive incident investigations. It specializes in cloud and network detection and response (NDR) – from cloud and data center workloads to accounts  user  and IoT devices. The company offers four applications on the Cognito platform to address high-priority use cases. Cognito Detect for Office365 and Azure AD finds and stops attacks in enterprise SaaS applications and the Microsoft 365 ecosystem. Cognito Stream sends security-enriched metadata in zeek format to data lakes and SIEMs. Cognito Recall is a cloud-based application to store and investigate threats in enriched metadata. And Cognito Detect uses AI to reveal and prioritize hidden and unknown attackers at speed. Vectra was founded in 2011 and is based in San Jose  California., Artificial Intelligence  Cloud Security  Cyber Security  Network Security  Software, San Jose  California  United States,Vectra is a cybersecurity platform that uses AI to detect attackers in real time and perform conclusive incident investigations.,832,2011,Active,$100M to $500M, Middle Eastern / North African Founded, San Francisco Bay Area  Silicon Valley  West Coast,—,—,For Profit, vectra.ai/ ,http://www.facebook.com/pages/Vectra-Networks-Inc/531850146935853,https://www.linkedin.com/company/vectra_ai,https://twitter.com/vectra_ai,info@vectra.ai,408 326 2020,185, Unicorn,—,—, —, —, Artificial Intelligence  Data and Analytics  Information Technology  Privacy and Security  Science and Engineering  Software,3, Hitesh Sheth  James Harlacher  Mark Abene,251-500,9,Late Stage Venture,Apr 29  2021,$130 000 000,$130 000 000,Series F,$352 540 000,$352 540 000, Intel Capital  Juniper Networks  Matrix Partners  Accel  Khosla Ventures,7,14,1, Made Acquisitions,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,20,Aug 11  2023,—,17, — ,—,Apr 29  2021,$1B to $10B,$831 464,Scientific and technological services,Electric Communication Technique,6,17,31,—,1,36,158 280,68 333.17,245,41.14%,-85.5%,1.07,-4.9%,95.14%,1.29%,283 134,-43 399,-13.29%, Engineering  Finance  Human Resources  Information Technology  Management  Marketing  Medical & Science  Operations  Pro Services  Product  Sales  Support,383,—,—,—,—,—,—,—,836,—,-0.2,0.9,6.6
https://www.crunchbase.com//organization/tusimple-llc, TuSimple ,Venture - Series Unknown,TuSimple is a self-driving truck company developing a technology that allows driving from depot to depot without human intervention.The company's trucks are capable of self-driving from depot to depot and do so every day for its customers. It develops a commercial-ready Level 4 (SAE) fully autonomous driving solution for the logistics industry. The company is driven by a mission to increase safety  decrease transportation costs  and reduce carbon emissions. In 2015  Jianan Hao  Mo Chen  and Xiaodi Hou headquartered the company in San Diego  California., Autonomous Vehicles  Electric Vehicle  Last Mile Transportation  Machine Learning  Transportation, San Diego  California  United States,TuSimple is a self-driving truck company developing technology that allows them to drive from depot-to-depot without human intervention.,1 216,2015,Active,$10M to $50M, — , Greater San Diego Area  West Coast  Western US,Apr 15  2021,—,For Profit, www.tusimple.com ,https://www.facebook.com/TuSimple.Inc,https://www.linkedin.com/company/tusimple,https://www.twitter.com/tusimpleai,info@tusimple.ai,—,264, Exited Unicorn,—,—, —, —, Artificial Intelligence  Data and Analytics  Software  Transportation,2, Mo Chen  Xiaodi Hou,501-1000,11,IPO,Feb 4  2021,—,—,Venture - Series Unknown,$648 071 101,$648 071 101, Sequoia Capital China  Navistar  Volkswagen Group  CDH Investments  Sky9 Capital,9,22,—, —,—,—,—,—,—,—,—,—,—,Public,Apr 15  2021,—,$1 350 000 000,$8 500 000 000, TSP ,NASDAQ,5,Dec 16  2022,May 18  2023,23, — ,—,Nov 25  2020,$1B to $10B,$392 617,Scientific and electric apparatus and instruments,—,6,208,20,—,—,41,9 179,22 638.33,50,143.28%,284.62%,1.65,17.15%,40.29%,-32.08%,1 982 904,-869 755,-30.49%, Engineering  Finance  Human Resources  Information Technology  Legal  Management  Marketing  Medical & Science  Operations  Pro Services  Product  Sales,442,—,—,—,—,—,—,—,1 222,—,-0.4,-0.6,-1.5
https://www.crunchbase.com//organization/camino-financial, Camino Financial ,Debt Financing,Camino Financial is an AI-powered community lending platform that offers affordable credit and wealth building solutions to overlooked entrepreneurs. The company builds proprietary credit assessment and data aggregation AI to identify  price and provide affordable loans tailored to credit-invisible  cash-heavy businesses. By partnering with other financial institutions  public agencies and mission-aligned companies  Camino Financial is able to pool and distribute low-cost funding and educational resources to entrepreneurs. The winning combination of community-driven partnerships and AI technology results in offering loans with monthly payments 40% lower than alternative products in the market. All loans are tailored for upward mobility  setting entrepreneurs on a graduation path to an expanded suite of credit and other wealth building solutions.Camino Financial is a nationally certified Community Development Financial Institution (CDFI) with oversight by the U.S. Department of Treasury. Since inception  the company has funded over $140 000 000 across the United States  netting above $95 000 000 in incremental revenues and fees saved among its members. Camino Financial is headquartered in Los Angeles  California with supporting offices in Mexico City  Mexico and Bogota  Colombia., Artificial Intelligence  Commercial Lending  Credit  Financial Services  FinTech  Small and Medium Businesses, Los Angeles  California  United States,Camino Financial is an online finance company that offers business loans and wealth-building solutions to help small businesses grow.,1 418,2014,Active,$1M to $10M, Hispanic / Latine Founded  Hispanic / Latine Led, Greater Los Angeles Area  West Coast  Western US,—,—,For Profit, www.caminofinancial.com/ ,https://www.facebook.com/caminofinancial/info/?tab=page_info,https://www.linkedin.com/company/camino-financial,https://twitter.com/caminofinancial,press@caminofinancial.com,1-800-852-0655,23, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Financial Services  Lending and Investments  Other  Science and Engineering  Software,2, Kenneth Salas  Sean Salas,101-250,12,Early Stage Venture,Apr 7  2022,$150 000 000,—,Series A,$10 750 000,$170 350 000, Collaborative Fund  Community Investment Management  CV Catalyst Fund  Comcast Ventures  Impact America Fund,4,10,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,Apr 19  2022,—,10, — ,—,Dec 11  2019,$10M to $50M,—,Advertising; business,—,1,0,32,—,—,61,129 520,188 289.67,185,27.75%,-70.21%,1.2,5.02%,87.04%,-1.44%,329 162,-23 063,-6.55%, Engineering  Finance  Management  Marketing  Operations  Sales,27,—,—,—,—,—,—,—,1 424,—,-0.2,-0.3,0.1
https://www.crunchbase.com//organization/netradyne, Netradyne ,Debt Financing,Netradyne engages in improving fleet safety through computer vision and in-depth data analysis. Through processing visual and sensory inputs  the company targets industries where the timeliness of actionable data is a key differentiator of performance.There is a continuing technology movement that is driving rapid improvements in camera technology together with reductions in the cost of sensors  processing  and connectivity. These improvements  along with advancements in deep learning technology  have created a perfect opportunity to deliver vision-based solutions across multiple industries., Analytics  Artificial Intelligence  Fleet Management  Location Based Services  Machine Learning, San Diego  California  United States,Netradyne engages in improving fleet safety through computer vision and in-depth data analysis.,1 422,2015,Active,$1M to $10M, — , Greater San Diego Area  West Coast  Western US,—,—,For Profit, www.netradyne.com ,https://www.facebook.com/NetraDyne/,https://www.linkedin.com/company/netradyne,https://twitter.com/netradyne,info@netradyne.com,833-476-9663,45, Emerging Unicorn,—,—, —, —, Artificial Intelligence  Data and Analytics  Internet Services  Navigation and Mapping  Science and Engineering  Software  Transportation,2, Avneesh Agrawal  David Julian,251-500,5,Late Stage Venture,Sep 7  2022,$65 000 000,$150 000 000,Series C,$197 520 546,$262 520 546, Reliance Industries  Silicon Valley Bank  Point72 Ventures  M12 - Microsoft's Venture Fund  SoftBank Vision Fund,5,6,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,3,Feb 13  2020,—,6, — ,—,Jul 15  2021,$500M to $1B,—,Scientific and electric apparatus and instruments,Computing; Calculating,11,41,34,—,2,49,192 196,181 534.33,2 060,35.32%,-36.71%,4.66,-46.25%,49.41%,-17.26%,244 588,-28 072,-10.3%, Engineering  Finance  Human Resources  Management  Marketing  Medical & Science  Operations  Pro Services  Product  Sales  Support,137,—,—,—,—,—,—,—,1 428,—,4.9,4.8,5.8
https://www.crunchbase.com//organization/hayden-technologies-331a, Hayden AI ,Series B,At Hayden AI  we’re pioneering real world problem solving powered by AI and machine learning. From bus lane and bus stop enforcement to digital twin modeling and more  our clients use our mobile perception system to speed up transit  make streets safer  and create a more sustainable future. Our privacy first approach ensures that our technologies comply with security and privacy regulations and protect personal information while fostering innovation., Artificial Intelligence  Big Data  Computer Vision  Geospatial  GovTech  Machine Learning  Smart Cities, Oakland  California  United States,We deliver leading edge technology that powers safer and smarter communities.,2 041,2019,Active,—, — , San Francisco Bay Area  West Coast  Western US,—,—,For Profit, www.hayden.ai ,https://www.facebook.com/haydenaitech,https://www.linkedin.com/company/haydenaitech,https://twitter.com/haydenaitech,info@hayden.ai,—,21, —,Yes,—, —, —, Artificial Intelligence  Data and Analytics  Government and Military  Hardware  Information Technology  Navigation and Mapping  Real Estate  Science and Engineering  Software,4, Bo Shen  Chris Carson  Michael Byrne  Vaibhav Ghadiok,101-250,6,Early Stage Venture,Jan 1  2023,$53 000 000,$53 000 000,Series B,$78 800 000,$103 300 000, Alumni Ventures  Autotech Ventures  Propel(X)  Berkeley SkyDeck Fund  Foothill Ventures,3,15,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,1,Sep 28  2023,—,8, — ,—,—,—,—,Scientific and electric apparatus and instruments,—,3,12,—,—,—,28,5 285,4 647.17,4,2 369.63%,-95.12%,1.19,18.69%,81.31%,-18.69%,2 672 915,-4 642 856,-63.46%, Engineering  Human Resources  Management  Operations  Product,33,—,—,—,—,—,—,—,2 048,—,0,1.8,5.9
https://www.crunchbase.com//organization/vivun-inc, Vivun ,Series C,Vivun is the world’s leading provider of PreSales software. Our AI-powered platform includes solutions for PreSales Operations  Demo Automation  and aligning Sales with Product teams. Revenue leaders can now drive growth efficiently by scaling their technical selling efforts  maximizing every R&D investment and de-risking their deals. Customers include Snowflake  Zoom  Okta  Elastic  ADP  Coupa  and Harness. To learn more visit www.vivun.com., Artificial Intelligence  B2B  CRM  Enterprise Software  Machine Learning  Sales  Sales Automation  Software, Oakland  California  United States,Vivun’s AI-powered platform lets any B2B business unlock the power of PreSales to grow revenue efficiently.,2 114,May 2018,Active,Less than $1M, Women Founded  Women Led, San Francisco Bay Area  West Coast  Western US,—,—,For Profit, www.vivun.com ,https://www.facebook.com/Vivun.Inc/,https://www.linkedin.com/company/vivun/,https://twitter.com/vivun_inc,contact@vivun.com,—,17, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Information Technology  Other  Sales and Marketing  Science and Engineering  Software,5, Claire Bruce  Dominique Darrow  John Bruce  Joseph Miller  Matthew Darrow,101-250,4,Late Stage Venture,May 17  2022,$75 000 000,$75 000 000,Series C,$131 000 000,$131 000 000, Accel  Tiger Global Management  Unusual Ventures  Salesforce Ventures  Menlo Ventures,4,7,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,11, — ,—,—,—,—,Scientific and technological services,—,0,0,16,—,1,11,29 068,36 736.67,1 982,-13.35%,93.37%,1.85,29.1%,67.47%,1.57%,1 033 790,220 954,27.18%, Engineering  Finance  Information Technology  Management  Marketing  Medical & Science  Operations  Pro Services  Product  Sales,92,—,—,—,—,—,—,—,2 121,—,-0.3,5.3,4.4
https://www.crunchbase.com//organization/ceres-imaging, Ceres Imaging ,Venture - Series Unknown,Ceres Imaging is a SaaS-based aerial spectral imagery and analytics company that serves farmers and agribusinesses. Using proprietary sensors  analytics  machine learning models  and plant science  Ceres delivers university-validated imagery-based intelligence to farms in the US  Australia and South America. This enables customers to identify pest  disease  water  and fertilizer issues weeks before they are visible to the naked eye., Agriculture  AgTech  Enterprise Software  Machine Learning  SaaS  Software, Oakland  California  United States,Ceres Imaging is a SaaS-based aerial spectral imagery and analytics company that serves farmers and agribusinesses.,2 187,2014,Active,$1M to $10M, — , San Francisco Bay Area  West Coast  Western US,—,—,For Profit, www.ceresimaging.net/ ,https://www.facebook.com/ceresimaging/,https://www.linkedin.com/company/ceres-imaging/,https://twitter.com/ceresimaging,info@ceresimaging.net,—,23, —,—,—, —, —, Agriculture and Farming  Artificial Intelligence  Data and Analytics  Software,1, Ashwin Madgavkar,51-100,7,—,Sep 5  2023,$25 336 385,$25 336 385,Venture - Series Unknown,$83 836 385,$83 836 385, Elemental Excelerator  Insight Partners  XTX Ventures  LaunchCapital  Romulus Capital,4,9,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,9, — ,—,Sep 29  2021,$100M to $500M,—,Scientific and electric apparatus and instruments,Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing,0,4,28,—,2,48,3 763,7 503.17,60,124.93%,-82.2%,2.19,-58.05%,20.44%,356.25%,3 078 023,-992 125,-24.38%, Engineering  Finance  Human Resources  Management  Marketing  Medical & Science  Operations  Product  Sales,65,—,—,—,—,—,—,—,2 194,—,0.2,8.2,8.2
https://www.crunchbase.com//organization/mosaic-tech, Mosaic.tech ,Series C,Mosaic.tech combines big data and machine learning that provides predictive reporting capabilities  leveling the playing field  and giving startups tools and insights for large enterprises. Its one-click integrations and real-time analytics offer clear insights and straightforward recommendations. Mosaic provides greater visibility into the most important dynamics of the business.Founded in 2019  Mosaic.tech is headquartered in San Diego  California., Analytics  Artificial Intelligence  B2B  Big Data  FinTech  Machine Learning  SaaS  Software, San Diego  California  United States,Mosaic.tech is a finance platform that provides predictive reporting capabilities to assist with financial strategy and planning.,2 796,Mar 2019,Active,—, — , Greater San Diego Area  West Coast  Western US,—,—,For Profit, mosaic.tech ,—,https://www.linkedin.com/company/mosaictech/,https://twitter.com/mosaictech1,info@mosaic.tech,—,2, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Financial Services  Other  Science and Engineering  Software,3, Bijan Moallemi  Brian Campbell  Joe Garafalo,101-250,7,Late Stage Venture,Jun 7  2023,$26 000 000,$26 000 000,Series C,$71 900 000,$71 900 000, General Catalyst  Founders Fund  Village Global  Felicis  OMERS Ventures,4,10,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,7, — ,—,—,—,—,—,—,—,—,14,—,—,57,45 332,47 858.33,1 088,90.41%,784.55%,1.11,-21.01%,92.02%,12.58%,722 150,-311 760,-30.15%, Engineering  Finance  Management  Marketing  Operations  Product  Sales,46,—,—,—,—,—,—,—,2 804,—,-0.2,-0.3,-1.6
