Organization URL,Organization Name,Last Funding Type,Full Description,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Operating Status,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions,Exit Date,Closed Date,Company Type,Website,Facebook,LinkedIn,Twitter,Contact Email,Phone Number,Number of Articles,Hub Tags,Actively Hiring,Number of Sub-Orgs,Investor Type,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),IPO Status,IPO Date,Delisted Date,Money Raised at IPO,Valuation at IPO,Stock Symbol,Stock Exchange,Number of Events,Last Leadership Hiring Date,Last Layoff Mention Date,Similar Companies,Tags,Number of Private Notes,Date of Most Recent Valuation,Most Recent Valuation Range,IT Spend,Most Popular Trademark Class,Most Popular Patent Class,Trademarks Registered,Patents Granted,Total Products Active,Downloads Last 30 Days,Number of Apps,Active Tech Count,Monthly Visits,Average Visits (6 months),Visit Duration,Monthly Visits Growth,Visit Duration Growth,Page Views / Visit,Page Views / Visit Growth,Bounce Rate,Bounce Rate Growth,Global Traffic Rank,Monthly Rank Change (#),Monthly Rank Growth,Contact Job Departments,Number of Contacts,Number of Private Contacts,Transaction Name,Acquired by,Announced Date,Price,Acquisition Type,Acquisition Terms,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days)
https://www.crunchbase.com//organization/anthropic, Anthropic ,Corporate Round,Anthropic is an AI-driven research company that focuses on increasing the safety of AI systems. Its research interests span multiple areas including natural language  human feedback  scaling laws  reinforcement learning  code generation  and interpretability. The initial product from the company is Claude  an AI helper for tasks of any size., Artificial Intelligence  Information Technology  Machine Learning, San Francisco  California  United States,Anthropic is an AI safety and research company that focuses on increasing the safety of large-scale AI systems.,8,2021,Active,—, — , San Francisco Bay Area  West Coast  Western US,—,—,For Profit, www.anthropic.com ,https://www.facebook.com/AnthropicAI,https://www.linkedin.com/company/anthropicresearch,https://www.twitter.com/AnthropicAI,—,—,183, Unicorn,—,—, —, —, Artificial Intelligence  Data and Analytics  Information Technology  Science and Engineering  Software,6, Daniela Amodei  Dario Amodei  Jack Clark  Jared Kaplan  Sam McCandlish  Tom Brown,101-250,7,—,Sep 25  2023,$1 250 000 000,$1 250 000 000,Corporate Round,$2 804 000 000,$2 804 000 000, Google  SAP  Amazon  SK Telecom  Raison,6,22,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,9, — ,—,—,—,—,Scientific and technological services,—,2,0,—,—,—,39,3 392 254,2 741 237,280,1.86%,-28.21%,1.35,-5.36%,80.94%,1.33%,26 243,2 849,12.18%, Engineering  Finance  Management  Medical & Science  Operations  Product,37,—,—,—,—,—,—,—,8,—,-0.4,-0.6,-0.1
https://www.crunchbase.com//organization/openai, OpenAI ,Secondary Market,OpenAI is an AI research and deployment company that conducts research and implements machine learning. The research organization is dedicated to advancing artificial intelligence safely and beneficially., Artificial Intelligence  Machine Learning  Natural Language Processing  Software, San Francisco  California  United States,OpenAI is an AI research and deployment company that conducts research and implements machine learning.,13,Dec 11  2015,Active,$50M to $100M, LGBTQ+ Founded  LGBTQ+ Led, San Francisco Bay Area  West Coast  Western US,—,—,For Profit, www.openai.com ,https://www.facebook.com/openai,https://www.linkedin.com/company/openai,https://www.twitter.com/OpenAI,press@openai.com,—,2 317, Unicorn,—,—, Micro VC, Early Stage Venture, Artificial Intelligence  Data and Analytics  Science and Engineering  Software,7, Elon Musk  Greg Brockman  Jersey Luxury 360  John Schulman  Sam Altman  SLOKI88 slot anti rungkat terpercaya  Wojciech Zaremba,501-1000,10,—,Aug 14  2023,—,$300 000 000,Venture - Series Unknown,$11 303 370 000,$11 303 370 000, Andreessen Horowitz  Microsoft  Sequoia Capital  Y Combinator  Thrive Capital,4,17,1, Made Acquisitions,7,7,3,1,—,—,—,—,—,Private,—,—,—,—,—,—,3,Apr 18  2023,—,8, — ,—,—,—,$465 598,Scientific and technological services,—,2,0,28,30,4,66,1 998 248 547,1 964 425 836.67,877,8.88%,19.16%,1.83,-6.82%,65.62%,5.65%,34,5,17.24%, Engineering  Finance  Human Resources  Management  Marketing  Medical & Science  Operations  Pro Services  Product  Sales,144,—,—,—,—,—,—,—,13,—,1.1,2.7,5
https://www.crunchbase.com//organization/adept-48e7, Adept AI ,Series B,Adept AI is a research and product AI lab that automates software processes for developers. It's similar to robotic process automation (RPA)  or software robots that use a combination of automation  computer vision  and machine learning to automate repetitive tasks like filing forms and responding to emails. Adept is creating general intelligence by allowing humans and computers to collaborate creatively., Artificial Intelligence  Machine Learning  Software, San Francisco  California  United States,Adept AI is a machine learning research and product lab that builds general artificial intelligence.,129,Jan 2022,Active,—, — , San Francisco Bay Area  West Coast  Western US,—,—,For Profit, adept.ai ,—,https://www.linkedin.com/company/adeptai,https://www.twitter.com/adeptailabs,info@adept.ai,—,33, Unicorn,—,—, —, —, Artificial Intelligence  Data and Analytics  Science and Engineering  Software,3, Ashish Vaswani  David Luan  Niki Parmar,11-50,2,Early Stage Venture,Mar 14  2023,$350 000 000,$350 000 000,Series B,$415 000 000,$415 000 000, NVIDIA  Microsoft  General Catalyst  Spark Capital  Scott Belsky,4,20,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,9, — ,—,—,—,—,—,—,—,—,—,—,—,3,51 378,93 013.5,588,99.93%,84.33%,1.32,-10.24%,83.33%,-1.44%,656 998,-321 541,-32.86%, Engineering  Human Resources  Management,8,—,—,—,—,—,—,—,130,—,4,0,0
https://www.crunchbase.com//organization/weights-biases, Weights & Biases ,Venture - Series Unknown,Weights & Biases offers performance visualization tools for machine learning. It helps companies turn deep learning research projects into deployed software by helping teams track their models  visualize model performance  and easily automate training and improving models., Artificial Intelligence  Data Visualization  Developer Tools  Machine Learning  Software, San Francisco  California  United States,Weights & Biases is a developer-first MLOps platform that builds machine learning performance visualization tools.,152,Jul 2017,Active,$10M to $50M, — , San Francisco Bay Area  West Coast  Western US,—,—,For Profit, www.wandb.ai ,https://www.facebook.com/weightsandbiases,https://www.linkedin.com/company/wandb,https://www.twitter.com/weights_biases,support@wandb.com,(415) 609-3701,20, Unicorn,—,—, —, —, Artificial Intelligence  Data and Analytics  Design  Information Technology  Science and Engineering  Software,3, Chris Van Pelt  Lukas Biewald  Shawn Lewis,251-500,6,—,Aug 9  2023,$50 000 000,$50 000 000,Venture - Series Unknown,$250 000 000,$250 000 000, NVIDIA  Gaingels  Insight Partners  Felicis  Hack VC,8,16,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,9,—,—,9, — ,—,—,—,—,—,—,—,—,18,—,—,27,2 224 121,1 913 851.17,1 167,82.04%,-19.74%,1.73,-37.99%,77.77%,25.72%,37 253,-15 507,-29.39%, Engineering  Finance  Human Resources  Information Technology  Management  Marketing  Operations  Product  Sales,20,—,—,—,—,—,—,—,153,—,-1.4,-2.5,8.4
https://www.crunchbase.com//organization/forethought-7dc2, Forethought ,Series C,Launched in 2018  Forethought is a generative AI for customer service automation to maximize efficiency and productivity. Forethought’s products enable seamless customer experiences by infusing generative AI  powered by Large Language Models (LLMs)  at each stage of the customer support journey: resolving common cases instantly  predicting and prioritizing cases  and assisting agents with relevant knowledge—all from one platform., Artificial Intelligence  Customer Service  Enterprise Software  Machine Learning  SaaS, San Francisco  California  United States,Forethought is the leading generative AI suite for customer support automation.,179,Sep 2017,Active,$1M to $10M, Black / African American Founded  Black / African American Led, San Francisco Bay Area  West Coast  Western US,—,—,For Profit, www.forethought.ai ,https://www.facebook.com/forethought.tech,https://www.linkedin.com/company/forethought-ai,https://twitter.com/forethought_ai,press@forethought.ai,—,87, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Other  Professional Services  Science and Engineering  Software,3, Colm Doyle  Deon Nicholas  Sami Ghoche,101-250,4,Late Stage Venture,Dec 15  2021,$65 000 000,$65 000 000,Series C,$92 000 000,$92 000 000, 8VC  Village Global  Neo  Collaborative Fund  South Park Commons,3,42,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,2,Jan 13  2022,—,8, — ,—,Dec 3  2021,$100M to $500M,$79 847,—,—,—,—,39,—,—,88,302 095,472 562,1 360,128.76%,0.82%,7.29,3.85%,30.48%,-22.52%,174 259,-114 601,-39.67%, Engineering  Finance  Human Resources  Management  Marketing  Medical & Science  Operations  Pro Services  Product  Sales,89,—,—,—,—,—,—,—,180,—,-0.6,-2,-0.7
https://www.crunchbase.com//organization/generally-intelligent, Imbue ,Series B,Imbue is an independent research lab that trains foundational models to develop AI agents that can code. The company's AI models are optimized to perform well on its internal benchmarks for reasoning., Artificial Intelligence  Machine Learning  Robotics, San Francisco  California  United States,Imbue is a research lab that trains foundational models to develop AI agents.,182,2021,Active,—, Women Founded  Women Led, San Francisco Bay Area  West Coast  Western US,—,—,For Profit, imbue.com ,—,https://www.linkedin.com/company/imbue-ai,https://twitter.com/genintelligent,—,—,4, Unicorn,—,—, —, —, Artificial Intelligence  Data and Analytics  Hardware  Science and Engineering  Software,2, Josh Albrecht  Kanjun Qiu,11-50,5,Early Stage Venture,Oct 19  2023,$12 000 000,$12 000 000,Series B,$232 000 000,$232 000 000, NVIDIA  Y Combinator  Kyle Vogt  Astera Institute  Simon Last,1,11,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,8, — ,—,—,—,—,Scientific and electric apparatus and instruments,—,0,0,—,—,—,6,16 040,—,1 062,—,—,1.63,—,52.56%,—,1 438 491,—,—, —,—,—,—,—,—,—,—,—,183,—,3.6,9.8,9.8
https://www.crunchbase.com//organization/writer, Writer ,Series B,Writer is a full-stack generative AI platform that helps businesses use large language models to generate writing and content that can be used across different departments  including operations  product  sales  human resources  marketing  and more. The company's platform snaps into your business data sources and delivers accurate answers and content that are fine-tuned on your own data and follow your own AI guardrails., Content  Natural Language Processing  Productivity Tools  Software  Virtual Assistant, San Francisco  California  United States,Writer is a full-stack generative AI platform that helps businesses use large language models to generate written content.,186,Aug 30  2020,Active,—, South Asian Founded  Women Founded  Women Led, San Francisco Bay Area  West Coast  Western US,—,—,For Profit, writer.com ,https://www.facebook.com/WriterAI,http://www.linkedin.com/company/getwriter,http://twitter.com/get_writer,marketing@writer.com,(415) 400-5299,30, Emerging Unicorn,—,—, —, —, Artificial Intelligence  Data and Analytics  Media and Entertainment  Software,2, May Habib  Waseem AlShikh,51-100,3,Early Stage Venture,Sep 18  2023,$100 000 000,$100 000 000,Series B,$126 000 000,$126 000 000, Accenture  Gradient Ventures  Insight Partners  WndrCo  ICONIQ Growth,3,27,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,1,—,—,10, — ,—,—,—,$198 815,Scientific and electric apparatus and instruments,Computing; Calculating,1,1,27,—,—,76,4 547 113,4 258 456.67,693,76.83%,-6.48%,1.29,7.7%,82.94%,-3.89%,20 415,-8 548,-29.51%, Engineering  Finance  Information Technology  Management  Marketing  Medical & Science  Operations  Product  Sales  Support,29,—,—,—,—,—,—,—,187,—,8.5,8.8,9.1
https://www.crunchbase.com//organization/perplexity-ai, Perplexity AI ,Series A,Perplexity is a search engine platform that uses artificial intelligence to provide large language models and search engines. The company's platform enables the development of beneficial artificial general intelligence  as well as an open-source environment that is accessible to the public  allowing clients to develop skills and knowledge in artificial intelligence., Artificial Intelligence  Search Engine  Software, San Francisco  California  United States,Perplexity AI is an AI-chat-based conversational search engine that delivers answers to questions using language models.,247,2022,Active,—, — , San Francisco Bay Area  West Coast  Western US,—,—,For Profit, www.perplexity.ai ,—,https://www.linkedin.com/company/perplexity-ai,https://twitter.com/perplexity_ai,support@perplexity.ai,—,11, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Internet Services  Science and Engineering  Software,4, Andy Konwinski  Aravind Srinivas  Denis Yarats  Johnny Ho,1-10,2,Early Stage Venture,Mar 28  2023,$25 600 000,$25 600 000,Series A,$28 700 000,$28 700 000, Elad Gil  Amjad Masad  Nat Friedman  Databricks Ventures  Clément Delangue,2,16,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,12, — ,—,—,—,—,—,—,—,—,—,82 675,1,23,35 276 145,20 820 337.33,1 351,34.58%,-8.47%,1.76,11.54%,66.22%,-7.9%,3 024,-382,-11.22%, Management,1,—,—,—,—,—,—,—,248,—,-0.2,8.1,8.6
https://www.crunchbase.com//organization/typeface, Typeface ,Series B,Typeface is a generative AI application for creating enterprise content. Enterprises can now create on-brand content faster combining content velocity with brand personalization and control. It offers self-service content development solutions for the entire lifecycle  allowing every employee to create captivating content with ease  speed  and brand authenticity., Artificial Intelligence  Content  Enterprise Software  Software, San Francisco  California  United States,Typeface offers a generative AI application that provides streamlined and personalized content creation for enterprises.,280,May 2022,Active,—, — , San Francisco Bay Area  West Coast  Western US,—,—,For Profit, www.typeface.ai ,https://www.facebook.com/typefaceai,https://www.linkedin.com/company/typefaceai,https://www.twitter.com/typefaceai,info@typeface.ai,(650) 384-6565,23, Unicorn,—,—, —, —, Artificial Intelligence  Data and Analytics  Media and Entertainment  Science and Engineering  Software,1, Abhay Parasnis,11-50,2,Early Stage Venture,Jun 30  2023,$100 000 000,$100 000 000,Series B,$165 000 000,$165 000 000, Google Ventures  Lightspeed Venture Partners  M12 - Microsoft's Venture Fund  Madrona  Salesforce Ventures,2,6,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,7, — ,—,—,—,—,—,—,—,—,—,—,—,59,20 721,27 277.83,318,43.23%,-10.67%,1.74,-18.1%,65.3%,10.23%,1 241 444,-169 142,-11.99%, —,—,—,—,—,—,—,—,—,281,—,-0.5,-1.8,6.8
https://www.crunchbase.com//organization/speak-3, Speak ,Venture - Series Unknown,Speak offers a mobile app where you can have English conversations with your phone about real-world scenarios like interviewing for a job or asking for directions. It uses speech recognition to identify English words through thick accents and teach people to speak more clearly. Meanwhile  it’s building a massive database of accented English speech  which can be used to improve its system and other speech recognition systems. Speak’s team formerly built accent detection systems and sold Flashcards+ to Chegg. Though AI translation might reduce the need for people to know other languages  speaking English remains a valuable skill people are willing to pay for., Artificial Intelligence  E-Learning  Speech Recognition, San Francisco  California  United States,Speak is a language-learning mobile app that uses speech recognition methods to teach people how to speak English.,293,2016,Active,$1M to $10M, — , San Francisco Bay Area  West Coast  Western US,—,—,For Profit, usespeak.com ,—,https://www.linkedin.com/company/usespeak,—,support@usespeak.com,—,9, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Education  Science and Engineering  Software,1, Connor Zwick,51-100,5,—,Oct 17  2023,$20 034 998,$20 034 998,Venture - Series Unknown,$74 034 998,$74 034 998, Y Combinator  Figma  Founders Fund  Khosla Ventures  Notion,5,15,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,1,—,—,8, — ,—,—,—,—,—,—,—,—,12,263 127,3,70,160 463,85 739.17,271,68.42%,-57.46%,1.81,-18.54%,57.28%,18.27%,280 296,-89 556,-24.21%, Management  Medical & Science  Sales,9,—,—,—,—,—,—,—,294,—,-0.9,1,9.1
