Organization URL,Organization Name,Last Funding Type,Full Description,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Operating Status,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions,Exit Date,Closed Date,Company Type,Website,Facebook,LinkedIn,Twitter,Contact Email,Phone Number,Number of Articles,Hub Tags,Actively Hiring,Number of Sub-Orgs,Investor Type,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),IPO Status,IPO Date,Delisted Date,Money Raised at IPO,Valuation at IPO,Stock Symbol,Stock Exchange,Number of Events,Last Leadership Hiring Date,Last Layoff Mention Date,Similar Companies,Tags,Number of Private Notes,Date of Most Recent Valuation,Most Recent Valuation Range,IT Spend,Most Popular Trademark Class,Most Popular Patent Class,Trademarks Registered,Patents Granted,Total Products Active,Downloads Last 30 Days,Number of Apps,Active Tech Count,Monthly Visits,Average Visits (6 months),Visit Duration,Monthly Visits Growth,Visit Duration Growth,Page Views / Visit,Page Views / Visit Growth,Bounce Rate,Bounce Rate Growth,Global Traffic Rank,Monthly Rank Change (#),Monthly Rank Growth,Contact Job Departments,Number of Contacts,Number of Private Contacts,Transaction Name,Acquired by,Announced Date,Price,Acquisition Type,Acquisition Terms,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days)
https://www.crunchbase.com//organization/bigdataboss, BigDataBoss ,—,50 Hours Event-based platform where ML Enthusiasts predict Kollywood and related things. In these 50 hours  you will be given 70% Machine Learning  Data  and Analytics related tasks and 30% social and gaming related tasks.This platform encourages fresh talents to dig more into Machine Learning and evaluate their skills during the hackathon., Information Technology  Machine Learning  Media and Entertainment  Software, Toronto  Ontario  Canada,ML Enthusiasts predict Kollywood,3 002 856,Mar 1  2020,Active,—, — , Great Lakes,—,—,For Profit, thebigdataboss.com/ ,—,https://www.linkedin.com/company/bigdataboss/,—,bigdataboss101@gmail.com,—,—, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Information Technology  Media and Entertainment  Software,1, Raja CSP Raman,1-10,—,—,—,—,—,—,—,—, — ,—,—,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,1,—,—,3, — ,—,—,—,—,—,—,—,—,—,—,—,3,—,—,—,—,—,—,—,—,—,—,—,—, —,—,—,—,—,—,—,—,—,3 075 022,—,0,-0.1,-0.3
https://www.crunchbase.com//organization/uw-insuretech, UW InsureTech ,—,—, Artificial Intelligence  Business Intelligence  InsurTech  Training, Edmonton  Alberta  Canada,UW InsureTech provides business intelligence  resource planning  and virtual office solutions.,2 963 773,2019,Active,—, — , — ,—,—,For Profit, www.uwinsuretech.com ,—,https://www.linkedin.com/company/uwinsuretech,—,—,+1 780 669 9878,—, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Education  Financial Services  Science and Engineering  Software,—, — ,1-10,—,—,—,—,—,—,—,—, — ,—,—,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,—, — ,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—, —,—,—,—,—,—,—,—,—,3 031 695,—,0,0,0.1
https://www.crunchbase.com//organization/molecule-robotics, Molecule Robotics ,—,Molecule Robotics is a collaborative research venture focused on the development of data science libraries and cultivation of AI and machine learning solutions towards application spaces in the Healthcare  Manufacturing  Energy and Natural Resources verticals, Artificial Intelligence  Industrial  Machine Learning, Vancouver  British Columbia  Canada,Molecule Robotics is a collaborative research venture focused on the development of data science libraries,2 962 579,2019,Active,—, — , — ,—,—,For Profit,—,—,https://www.linkedin.com/company/molecule-robotics/,—,—,—,—, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Manufacturing  Science and Engineering  Software,—, — ,1-10,—,—,—,—,—,—,—,—, — ,—,—,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,—, — ,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—, —,—,—,—,—,—,—,—,—,3 030 390,—,0,-0.1,-0.3
https://www.crunchbase.com//organization/pixedate, Pixedate ,—,—, Dating  Predictive Analytics  Social  Social Recruiting, Toronto  Ontario  Canada,Pixedate is a social networking app that sets you up on spontaneous blind dates or meetups.,2 934 758,Feb 12  2017,Active,—, — , Great Lakes,—,—,For Profit, www.pixedate.com/ ,—,—,https://twitter.com/pixedateapp,contact@pixedate.com,—,—, —,—,—, —, —, Artificial Intelligence  Community and Lifestyle  Data and Analytics  Professional Services  Software,—, — ,1-10,—,—,—,—,—,—,—,—, — ,—,—,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,3, — ,—,—,—,—,—,—,—,—,—,—,—,5,—,—,—,—,—,—,—,—,—,—,—,—, —,—,—,—,—,—,—,—,—,3 000 359,—,0,-0.2,-0.6
https://www.crunchbase.com//organization/chatbot-incubator, Chatbot Incubator ,—,Chatbot Incubator is a company that specializes in applications for artificial intelligence  particularly in customer service delivery and sales & marketing., Artificial Intelligence  Customer Service  Marketing, Montréal  Quebec  Canada,Chatbot Incubator is a customer service delivery and sales & marketing.,2 904 224,—,Active,—, — , — ,Jun 30  2017,—,For Profit,—,—,—,—,—,—,—, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Other  Professional Services  Sales and Marketing  Science and Engineering  Software,—, — ,—,—,M&A,—,—,—,—,—,—, — ,—,—,—, Was Acquired,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,3, — ,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—, —,—,—, Chatbot Incubator acquired by Visionstate , Visionstate ,Jun 30  2017,—,Acquisition,—,2 967 802,—,0,0.2,-0.2
https://www.crunchbase.com//organization/neuro-systems, Neuro Systems ,—,—, Artificial Intelligence  Computer  Market Research  Technical Support  Web Design, Burnaby  British Columbia  Canada,Neuro Systems is a technology consulting firm that focuses on artificial intelligence  language processing  comprehension and development.,2 887 466,2005,Active,—, — , — ,—,—,For Profit, www.neurosysinc.com ,—,https://www.linkedin.com/company/neuro-systems-inc-/,—,vancouver@neurosysinc.com,+1(604)670-0589,—, —,—,—, —, —, Artificial Intelligence  Consumer Electronics  Data and Analytics  Design  Hardware  Information Technology  Other  Science and Engineering  Software,—, — ,1-10,—,—,—,—,—,—,—,—, — ,—,—,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,3, — ,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—, —,—,—,—,—,—,—,—,—,2 950 034,—,-0.1,-0.3,-0.5
https://www.crunchbase.com//organization/stratemia, Stratemia ,—,—, Artificial Intelligence  Business Development  Consulting  Industrial Automation, Montréal  Quebec  Canada,Stratemia offers AI-driven industrial automation and advanced analytics solutions as well as strategic industrial consultation services.,2 881 253,Jan 2020,Active,—, — , — ,—,—,For Profit, stratemia.com/ ,—,https://www.linkedin.com/company/stratemia/,—,info@stratemia.com,+1 514-250-0945,—, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Manufacturing  Professional Services  Science and Engineering  Software,—, — ,1-10,—,—,—,—,—,—,—,—, — ,—,—,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,3, — ,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—, —,—,—,—,—,—,—,—,—,2 943 469,—,-0.1,-0.3,-0.4
https://www.crunchbase.com//organization/undergraduate-artificial-intelligence-society, Undergraduate Artificial Intelligence Society ,—,—, Artificial Intelligence  Education  Software, Edmonton  Alberta  Canada,Undergraduate Artificial Intelligence Society is a group of students interested in learning AI and the basics of programming AI systems.,2 856 523,2018,Active,—, — , — ,—,—,For Profit, uais.dev/ ,—,https://www.linkedin.com/company/undergraduate-artificial-intelligence-society/,https://twitter.com/uais_uofa,—,—,—, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Education  Science and Engineering  Software,—, — ,1-10,—,—,—,—,—,—,—,—, — ,—,—,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,10, — ,—,—,—,—,—,—,—,—,—,—,—,2,—,—,—,—,—,—,—,—,—,—,—,—, —,—,—,—,—,—,—,—,—,2 917 440,—,-0.1,-0.4,-0.6
https://www.crunchbase.com//organization/icelabs, Icelabs ,—,Icelabs is an awesome AI company focused on creating great AI products. Some of our products are Searcholic.com  PresentationGPT.com  HappyDiffusion.com  Liro.ai, Artificial Intelligence  Information Technology  SaaS  Software, Cambridge  Ontario  Canada,The Awesome AI Company,2 850 972,Mar 1  2023,Active,—, — , Great Lakes,—,—,For Profit,—,—,—,https://twitter.com/IcelabsAI,icelabs@skiff.com,437-255-7786,—, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Information Technology  Science and Engineering  Software,—, — ,1-10,—,—,—,—,—,—,—,—, — ,—,—,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,10, — ,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—, —,—,—,—,—,—,—,—,—,2 911 632,—,0.8,0.8,0.2
https://www.crunchbase.com//organization/hudify, Hudify ,—,—, Automotive  GPS  Intelligent Systems, Toronto  Ontario  Canada,Hudify is a transparent GPS system for a fraction of the cost.,2 799 171,—,Active,—, — , Great Lakes,—,—,For Profit,—,https://www.facebook.com/pg/gethudify,—,https://twitter.com/gethudify,hello@gethudify.com,—,—, —,—,—, —, —, Artificial Intelligence  Data and Analytics  Hardware  Navigation and Mapping  Science and Engineering  Transportation,—, — ,—,—,—,—,—,—,—,—,—, — ,—,—,—, —,—,—,—,—,—,—,—,—,—,Private,—,—,—,—,—,—,—,—,—,1, — ,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—, —,—,—,—,—,—,—,—,—,2 857 468,—,-0.1,-0.3,-1
