Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Desired Temp Service Contractors,(205) 432-0349,gregdillard@desiredtempservices.com,http://www.desiredrestaurantequipment.com,1125 4th Ave N,Bessemer,AL,35020,https://www.facebook.com/desiredtempsc,,,,['Mo-Fr 08:00-17:00'],,,25 Years,,,,Accredited Business,https://www.yellowpages.com/bessemer-al/mip/desired-temp-service-contractors-14342513?lid=1000625273999,"Desired Restaurant Equipment Sales and Service has years of experience in the restaurant equipment and supply business.  
Sells new and used restaurant equipment including: ice machines, cooking equipment, walk-in coolers, hoods, dishwashers, bakery equipment, ice merchandisers, parts and supplies.  Annual auction when warehouse is full of used equipment.Desired Restaurant Equipment Sales and Service is the authorized Manitowoc and Scotsman Service Agent for central and northern Alabama.  
 
Also provides service on cooking equipment, refrigeration, and HVAC. Call today!"
Palmer And Lawrence Inc,(205) 836-1112,bkpalco@bellsouth.net,http://palmer-lawrence.com,5520 Eastcliff Industrial Loop,Birmingham,AL,35210,,,,,,,,82 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/palmer-and-lawrence-inc-469093677,We are a manufacturer's representative for commercial and industrial HVAC products. Thank you for visiting our site. We hope that you will find it easy to navigate and find the information you are looking for. If not please email us by clicking here.
Sullivan Service Co,(205) 250-1170,jstrawbridge@sullivanserviceco.com,http://sullivanserviceco.com,3615 5th Ave S,Birmingham,AL,35222,,,,,['Mo-Fr 07:30-17:00'],,,59 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/sullivan-service-co-559160334,"Heating and Air service company. We perform maintenance, service, and installations."
Dowdy & Associates Inc,(205) 942-4766,sales@dowdyinc.com,http://dowdyandassociates.com,149 W Valley Ave,Birmingham,AL,35209,,,,,['Mo-Fr 08:00-17:00'],,,87 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/dowdy-associates-inc-15013813,"Established in 1936, Dowdy & Associates Inc. offers equipment, accessories and services for heating, ventilating and air conditioning (HVAC) and industrial applications. Its product range includes pumps, boilers, towers, accessories, heat exchanges, fire protection and mechanical treatment. The company works with mechanical engineers, plant engineers and equipment manufacturers to provide mechanical solutions for various applications. Its services include restoration and upgrade of cooling towers, closed circuit coolers and evaporative condensers. The company also offers inspection and service of all manufacturers including EVAPCO, B.A.C., Marley Imeco and Recold. Dowdy & Associates Inc. has worked on various projects, including Pensacola Christian College and University of Alabama EVAPCO cooling tower."
Comfort Zone Heating & Air,(205) 854-1674,comfortzoneheatingandair@yahoo.com,,1845 Pebble Lake Dr,Birmingham,AL,35235,,,,,"['Mo-Fr 07:00-17:00', 'Sa-Su 07:00-13:00']",,,20 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/comfort-zone-heating-air-7472895,
Acton Plumbing & Heating Co,(205) 252-7204,actonplumbing@bellsouth.net,,3409 5th Ave S,Birmingham,AL,35222,,,,,['Mo-Fr 07:00-16:00'],5,2,49 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/acton-plumbing-heating-co-532679,
HVAC Fabricators,(205) 849-6567,hvac.cliff@yahoo.com,,2501 Cone Dr,Birmingham,AL,35217,,,,,['Mo-Fr 06:00-16:00'],5,2,16 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/hvac-fabricators-25046577,
"M & A Supply Company, Inc.",(205) 731-2650,,,100 Republic St,Birmingham,AL,35214,,,,,['Mo-Fr 07:30-17:00'],,,29 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/m-a-supply-company-inc-17756222,
Climate Control Systems Inc,(205) 956-9220,insidesales@ccsi-se.com,http://www.ccsi-se.com,710 Maple St,Birmingham,AL,35210,,,,,,,,38 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/climate-control-systems-inc-464181167,
R.E. Michel Company,(205) 320-0095,,https://www.remichel.com,480 28th St N,Birmingham,AL,35203,,,,,"['Mo-Fr 07:30-17:00', 'Sa 08:00-12:00']",,,88 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/r-e-michel-company-25015963,
