Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Marsh Rickard & Bryan PC,(205) 879-1981,ssilvernail@mrblaw.com,http://www.mrblaw.com,800 Shades Creek Pkwy,Birmingham,AL,35209,https://www.facebook.com/MarshRickardBryan,,,,['Mo-Fr 09:00-17:00'],,,27 Years,4 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/marsh-rickard-bryan-pc-22437490?lid=1001975328634,"Since 1996, our firm has served as a fierce advocate for the rights and interests of our clients. Due to our experience, skill and record of success, our peers recognize the legal team at Marsh, Rickard & Bryan as a force in and out of the courtroom."
Abbott Law Firm LLC,(205) 338-7800,matt@outlawyer.com,http://abbottfirm.com,2100 Morris Ave,Birmingham,AL,35203,https://www.facebook.com/abbottfirm?ref=hl,,,,['Mo-Fr 09:00-17:00'],,,23 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/abbott-law-firm-llc-505759185?lid=1000437178821,"Matt Abbott with the Abbott Law Firm proudly represents the legal needs of those with with personal injury and wrongful death claims. From his law office in Birmingham, Alabama, Abbott focuses on the areas of tractor-trailer and automobile collisions, defective product liability and medical/pharmaceutical negligence. Abbott serves clients who need representation for worker's compensation as well as those who have fallen victim to consumer fraud and insurance bad faith. Abbott strives to protect those who are the victim of civil rights violations and wrongful government indictment. Abbott also represents ""whistle-blowers"" who come forward to expose fraud and corruption against the United States government through the False Claims Act."
Killings and Poe LLC,(205) 424-8703,,,1817 3rd Ave N,Bessemer,AL,35020,https://www.facebook.com/killings-poe-llc-194535813946820/likes,,,,['Mo-Fr 08:00-17:00'],,,13 Years,10 Years ,,,,https://www.yellowpages.com/bessemer-al/mip/killings-and-poe-llc-474929143?lid=1000124628991,
Forstman & Cutchen LLP,(205) 328-7400,kforstman@forstmancutchen.com,https://www.forstmancutchen.com,15 Office Park Cir,Mountain Brk,AL,35223,,,,,['Mo-Fr 08:00-17:00'],5,1,56 Years,10 Years ,,,Accredited Business,https://www.yellowpages.com/mountain-brk-al/mip/forstman-cutchen-llp-472784634?lid=1000625279671,"Since 1967, Forstman & Cutchen, LLP has been here to fight for your rights in auto and truck accident cases. Don't let a negligent driver bring you down. Well aggressively pursue the compensation you deserve for lost wages, medical expenses and suffering. Well attempt to negotiate a settlement with the insurance company, but we are also prepared to go to court when needed. You will pay no fee unless we win. Call to schedule a free consultation."
"Moore, Thomas Shea, Atty",(205) 314-2900,,http://www.mlgllc.net,3532 Vann Rd Ste 106,Birmingham,AL,35235,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/moore-thomas-shea-atty-457426307,
"Morris, Haynes, Wheeles, Knowles, & Nelson",(205) 324-4008,bgray@mhhlaw.net,http://www.mhhlaw.net,3500 Colonnade Pkwy,Birmingham,AL,35243,,,,,['Mo-Fr 08:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/morris-haynes-wheeles-knowles-nelson-551871664,"Alabama Personal Injury LawyerOur goal at Morris Haynes is to represent the victims of wrongdoing and injury in their claims against the powerful corporations of the world, with an absolute commitment to the highest principles of professionalism and advocacy. Were dedicated to serving you however we can, and doing whats best for you in your personal injury case.If you or someone you love has been injured as the result of the negligence of someone else, you may be entitled to compensation. Call Morris Haynes. Common causes of personal injury lawsuits are: Car AccidentsCar accidents are extremely common, and anything from a fender bender to a serious highway accident can cause personal injury. Even without medical expenses, these kinds of accidents can lead to serious vehicle damage and repair costs. If you were harmed in a car accident due to the negligence of someone else, you deserve to be compensated for your injuries. The attorneys at Morris Haynes have extensive experience in these kinds of cases, and will do whatever we can to help you.Truck AccidentsIts easy for an accident involving an 18-wheeler to get complicatedand fast. When a truck is owned by a company, there are a lot of legal questions that need answering if you want to get the compensation you deserve. Luckily, our attorneys are no strangers to these kinds of accidents. Well help you gather, and sort through, all the evidence you need to make a successful case and maximize your recovery.Motorcycle AccidentsAccording to the U.S. Department of Transportation motorcyclists are 35 times more likely to experience a deadly accident on the road than those in passenger cars. Due to the weight difference between motorcycles and other vehicles, these accidents almost always result in injuries with extensive medical bills.Boating Accidents2019 was the deadliest year on Alabama waters since 1998, with 25 boating deaths. That number surpasses year-end totals for the last 20 years. Boating accidents are a serious threat to the safety and wellbeing of Alabamas residents, and you need expert legal help to recover what you deserve. The primary cause of boating accidents is operator error.Product LiabilityWhen a product doesnt work the way its meant to, especially if it causes harm to those who put their trust in it, someone needs to be held responsible. Our track record regarding product defect cases has earned our firm the respect of many opposing attorneys and a reputation for providing excellent representation. We have over 30 years of experience as a law firm helping clients receive compensation from some of the most powerful corporations in the country. If you or a loved one have been injured as a result of a defective product contact us.Gun DefectsMost people expect their guns to protect them, or at least to allow them to participate in a hobby they love. When a gun is defective, it can lead to very serious injuries and even death. Gun manufacturers have a responsibility to check each and every brand, make, and model they produce for quality assurance. When they slip up, it has serious consequences. If youve been harmed, or a loved one was killed, by a defective gun, the attorneys at Morris Haynes are ready to fight for you.Slip and Fall AccidentsSlip and fall accidents can result in serious injuries. All property owners are expected to keep their properties clean and safe for the people who use them. When they dont, personal injuries are bound to happen. Whether you or a loved one tripped over something left in a pathway, or slipped on a slick floor with no warning, well fight to get you the compensation you deserve."
Pitt Redding,(205) 324-1212,,http://www.frplegal.com,2025 3rd Ave N,Birmingham,AL,35203,,,,,,,,15 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/pitt-redding-451204731,
Turnbull Brett,(205) 324-1212,,http://www.frplegal.com,2025 3rd Ave N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/turnbull-brett-544413793,
Hollis Wright,(205) 324-3600,info@hollis-wright.com,http://www.hollis-wright.com,2201 Morris Ave,Birmingham,AL,35203,,,,,['Mo-Fr 08:00-17:00'],,,,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/hollis-wright-483318128,
Tipler Steven D,(205) 328-6800,,http://www.tiplerlawoffices.com,1929 3rd Ave N Ste 800,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/tipler-steven-d-454102337,
