Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Lloyd's Restaurant,(205) 991-5530,lloydsbus@aol.com,http://www.lloyds280.com,5301 Highway 280,Birmingham,AL,35242,https://www.facebook.com/lloydsrestaurant,,,,['Mo-Su 10:30-21:00'],4,8,86 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/lloyds-restaurant-1546947?lid=1000621618228,"Established in 1937, Lloyd's Restaurant serves the Birmingham families. Located in Birmingham, Ala., the restaurant specializes in hamburger steak, baked ham plate with honey, golden brown fried and fried chicken livers. Its menu items include salads, beverages, side orders, vegetables and desserts, among others. The desserts serves various food items, such as chocolate, lemon, coconut, cherry or blueberry cheesecake and banana pudding, to name a few. Lloyd's Restaurant hosts various special occasions and offers catering services to its guests."
Highway 55 Burger Shakes and Fries,(205) 874-9199,,https://www.hwy55.com,437 Green Springs Hwy,Birmingham,AL,35209,https://www.facebook.com/pages/Hwy-55-Burger-Shakes-and-Fries-Homewood-Al/1111783198909245,,,,"['Mo-Th 11:00-21:00', 'Fr-Sa 11:00-22:00', 'Su 11:00-21:00']",4,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/highway-55-burger-shakes-and-fries-537168490?lid=1001173814351,"Our Burgers are fresh never frozen, cheesesteaks, shrimp po boys, hand squeezed orange and lemonade and house made custard ice cream. Dine in, carry out or we can cater your next meeting, party or get together."
Logan's Roadhouse,(205) 981-9950,investorrelations@logansroadhouse.com,http://www.logansroadhouse.com,100 Resource Center Pkwy,Birmingham,AL,35242,,,,,,3,3,32 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/logans-roadhouse-18328056,
Sneaky Pete's Hot Dogs,(205) 923-1800,,http://sneakypeteshotdogs.com,1500 31st St SW,Birmingham,AL,35221,,,,,"['Mo-Fr 06:00-15:00', 'Sa 06:30-13:00']",,,19 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/sneaky-petes-hot-dogs-5551302,
Ruby Tuesday,(205) 655-8284,,http://www.rubytuesday.com,5957 Chalkville Mountain Rd,Birmingham,AL,35235,,,,,"['Mo-Th 11:00-22:00', 'Fr-Sa 11:00-23:00', 'Su 11:00-22:00']",5,1,8 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/ruby-tuesday-17662732,
Salem's Diner,(205) 877-8797,waynesalem1@bellsouth.net,http://www.salemsdiner.com,2913 18th St S,Birmingham,AL,35209,,,,,"['Mo-Fr 06:30-14:00', 'Sa 06:30-15:00']",,,17 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/salems-diner-3911378,
Fife's Restaurant,(205) 254-9167,,https://www.facebook.com/fifesresturant,2321 4th Ave N,Birmingham,AL,35203,,,,,['Mo-Sa 06:00-18:30'],5,5,73 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/fifes-restaurant-4419142,
Fish Market Restaurant,(205) 980-8600,info@restaurant-guide.com,http://www.fishmarketrestaurant.com/locations,5407 Highway 280,Birmingham,AL,35242,,,,,"['Mo-Th 10:30-21:00', 'Fr-Sa 10:30-22:00', 'Su 10:30-20:00']",3.5,8,20 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/fish-market-restaurant-9188382,"Founded in 1976, The Fish Market is a chain of nearly eight seafood restaurants in California and Arizona. The restaurant outlets each feature a bar and lounge area, full-service oyster bar with counter seating, retail seafood market and signature mesquite wood broilers. The restaurant serves shellfish specialties, chowders and cioppino, seafood cocktails, smoked fish and pasta appetizers, as well as salads and sandwiches. Its signature items include made-from-scratch au gratin potatoes and cheesy garlic bread. The Fish Market has banquet facilities at all locations for groups of up to 45 people for various occasions, such as birthdays, office parties and graduation celebrations. The restaurant chain operates a fishery and fishing boat and has a partnership in an oyster farm."
Fish Market Restaurant,(205) 322-3330,george@thefishmarket.net,http://www.birminghammenus.com/thefishmarket,612 22nd St S,Birmingham,AL,35233,,,,,"['Mo-Th 10:00-21:00', 'Fr-Sa 10:00-22:00', 'Su 10:30-16:00']",3.5,6,41 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/fish-market-restaurant-7030597,
Galley & Garden,(205) 939-5551,galleyandgarden@gmail.com,https://www.galleyandgarden.com?y_source=1_nduzotq2mdatntuzlwxvy2f0aw9ulndlynnpdgu%3d,2220 Highland Ave S,Birmingham,AL,35205,,,,,"['Mo-Fr 11:00-22:00', 'Sa-Su 10:30-15:30']",5,3,9 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/galley-garden-5589082,"Celebrated as the “Most Romantic Restaurant in Alabama”, Galley and Garden features the finest locally sourced ingredients crafted into a creative and fresh menu. This beloved neighborhood gem is also recognized as Wine Enthusiast magazine's 100 Best Wine Restaurants in America and has garnered Wine Spectator’s Best Award of Excellence. 
  
Artfully presented dishes, impeccable service, and the perfect address are signature to Galley and Garden, making it the perfect venue to celebrate any momentous occasion."
Yo' Mama's Restaurant,(205) 626-9860,hello@yomamasrestaurant.com,http://yomamasrestaurant.com,2328 2nd Ave N,Birmingham,AL,35203,,,,,['Mo-Fr 10:30-15:00'],4.5,3,9 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/yo-mamas-restaurant-497669220,"OPENING AUGUST 2014   
HistoryEstablished in 2014.Yo' Mama's started as Jazzy Fish & Chicken down at the famous Seabreeze Jazz Festival in Destin and Panama City, Florida in 2007.  Each year it was the most popular vendor with an endless line serving an average of 600 plates a day.   
 
Jazzy Fish & Chicken eventually became a restaurant reality starting in downtown Birmingham, Alabama as Yo' Mama's Restaurant, serving fresh meals made from scratch."
Green Acres Cafe,(205) 251-3875,,https://www.birminghamgrub.com/greenacresdowntown,1705 4th Ave N,Birmingham,AL,35203,,,,,['Mo-Sa 09:00-23:00'],4.5,3,65 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/green-acres-cafe-1402045,
The Purple Onion Deli & Grill,(205) 941-9979,,http://www.thepurpleoniononline.com/ordereze/?aspxerrorpath=/ordereze/ordereze/Default.aspx,479 Green Springs Hwy,Birmingham,AL,35209,,,,,['Mo-Su'],4,3,25 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/the-purple-onion-deli-grill-2379804,
Five Guys Burgers & Fries,(205) 991-0335,online@gofiveguys.com,http://www.fiveguys.com,300 Doug Baker Blvd Ste 300,Birmingham,AL,35242,,,,,['Mo-Su 11:00-22:00'],5,2,,,,,,https://www.yellowpages.com/birmingham-al/mip/five-guys-burgers-fries-468175105,"Family owned and operated, Five Guys is one of the leading fast casual burger restaurants in the world, offering a classic take on burgers, hot dogs, fries, milkshakes and more. Our business started in 1986 with a fanatical focus on quality ingredients, clean restaurants and exceptional customer service.Family owned and operated, Five Guys is one of the leading fast casual burger restaurants in the world, offering a classic take on burgers, hot dogs, fries, milkshakes and more. Our business started in 1986 with a fanatical focus on quality ingredients, clean restaurants and exceptional customer service."
Chicken Salad Chick,(205) 378-6993,info@chickensaladchick.com,http://www.chickensaladchick.com,210 Doug Baker Blvd Ste 200,Birmingham,AL,35242,,,,,['Mo-Sa 11:00-20:00'],5,2,,,,,,https://www.yellowpages.com/birmingham-al/mip/chicken-salad-chick-503097731,"Welcome to Chicken Salad Chick, where we offer delicious, scratch-made, Southern-style, craveable favorites served from the heart. We don’t believe in strangers, just friends we haven’t met yet—so come in and enjoy! You’ll find fresh, healthy fare and gracious hospitality at our chicken salad restaurant."
Paw Paw Patch,(205) 941-1117,,http://www.thepawpawpatch.net,410 Green Springs Hwy,Birmingham,AL,35209,,,,,['Mo-Fr 11:00-20:00'],5,2,,,,,,https://www.yellowpages.com/birmingham-al/mip/paw-paw-patch-5350333,
