Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Beverly Paschal Poston Atty At Law,(256) 739-3970,bposton@beverlypaschalposton.com,http://www.cullmansattorney.com,200 1st Ave SE,Cullman,AL,35055,https://facebook.com/pages/beverly-paschal-poston-attorney-at-law/143732742340193,,,,['Mo-Fr 08:00-17:00'],,,41 Years,7 Years ,,,Accredited Business,https://www.yellowpages.com/cullman-al/mip/beverly-paschal-poston-atty-at-law-21769344?lid=1001484491143,"Real Estate, Domestic, Divorce/Custody, Probate, Family, Civil Litigation, Personal Injury, Criminal, Business, DUI, DWI, Social Security Disability. Bankruptcy Law, Serving Cullman, Blount County and Surrounding Areas. Serving the area since 1982."
Marcus A Jones III Attorney at Law,(205) 847-1475,,https://www.mjlaw-al.com,300 Richard Arrington Jr Blvd N,Birmingham,AL,35203,https://www.facebook.com/Marcus-A-Jones-Attorney-at-Law-2200442626866211/,,,,['Mo-Fr 08:00-17:00'],,,69 Years,4 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/marcus-a-jones-iii-attorney-at-law-451066302?lid=1002012456624,"For more than 35 years, Marcus A. Jones, III, P.C. Attorney at law in Birmingham, AL, has represented clients as a general practice attorney with focus on family law, criminal defense and probate cases. We are passionate about the law and a leader in the local legal community. We are responsive and accessible, returning calls and emails and answering questions promptly. We have a 24-hour answering service to ensure clients can reach us whenever necessary. Schedule a free initial consultation."
Schwartz And McClure,(205) 933-9451,karen@schwartzmcclure.com,http://www.schwartzmcclure.com,1609 Richard Arrington Jr Blvd S,Birmingham,AL,35205,,,,,['Mo-Fr 09:00-17:00'],,,,4 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/schwartz-and-mcclure-8090951?lid=1002004359842,
Bond Botes Reese & Shinn PC,(205) 802-2200,bondnbotes@gmail.com,http://www.bondandbotes.com,600 University Park Pl Ste 510,Birmingham,AL,35209,https://www.facebook.com/bondandbotesbirmingham,,,,['Mo-Fr 09:00-18:00'],5,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/bond-botes-reese-shinn-pc-7041315?lid=1001081324326,
"Randall, Frank C",(205) 933-9120,,,1615 Richard Arrington Jr Blvd S,Birmingham,AL,35205,https://www.facebook.com/pages/randall-frank-c/146913488687406,,,,['Mo-Fr 08:00-05:00'],,,43 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/randall-frank-c-8217709?lid=1001329784689,
"Brent W. Davis & Associates, LLC",(205) 989-1919,brent@brentwdavis.com,http://brentwdavis.com,2473 Valleydale Rd Suite B,Birmingham,AL,35244,https://www.facebook.com/bankruptcyanswers,,,,['Mo-Fr 08:00-18:00'],4,1,32 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/brent-w-davis-associates-llc-13000419?lid=1001459165225,"Effective, Experienced Bankruptcy and Debt Relief Law"
The Alexis Firm,(205) 587-8710,,,2107 5th Ave N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/the-alexis-firm-504731672?lid=1000701974153,"Attorney Profile: Ms. Alexis also earned her JD from Birmingham School of Law and is barred in Alabama.   Upon being barred in Alabama, Ms. Alexis earned her LLM, in International Tax and Finance, from Thomas Jefferson School of Law,  graduating with honors, near the top of her class.    Please contact The Alexis Firm LLC, to schedule a consultation to discuss and review the facts of your case.  Trust is built on a solid foundation. From the start of your case, it’s important that we are on the same page and we strive to create an effective relationship with our clients built on honest communication."
Over The Mountain Law Center LLC,(205) 870-8480,lbrown@otmlawcenter.com,http://www.otmlawcenter.com,1903 Oxmoor Rd,Birmingham,AL,35209,https://www.facebook.com/otmlc,,,,['Mo-Su'],,,12 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/over-the-mountain-law-center-llc-461842751?lid=1001218257390,"Birmingham Bankruptcy Attorneys,  Birmingham Chapter 7 Attorneys, Birmingham Chapter 13 Attorneys, Alabama Chapter 7 Lawyers, Alabama Chapter 13 Lawyers,  Birmingham Bankruptcy Law Firm, Birmingham Debt Relief."
Beverly Paschal Poston Atty At Law,(256) 739-3970,bposton@beverlypaschalposton.com,http://www.cullmansattorney.com,200 1st Ave SE,Cullman,AL,35055,https://facebook.com/pages/beverly-paschal-poston-attorney-at-law/143732742340193,,,,['Mo-Fr 08:00-17:00'],,,41 Years,7 Years ,,,Accredited Business,https://www.yellowpages.com/cullman-al/mip/beverly-paschal-poston-atty-at-law-21769344?lid=1001484491143,"Real Estate, Domestic, Divorce/Custody, Probate, Family, Civil Litigation, Personal Injury, Criminal, Business, DUI, DWI, Social Security Disability. Bankruptcy Law, Serving Cullman, Blount County and Surrounding Areas. Serving the area since 1982."
Clint Thomas Attorney At Law,(205) 668-4507,,http://www.clintthomaslaw.com,8254 Highway 31,Calera,AL,35040,https://www.facebook.com/pages/thomas-clint-attorney-at-law/161686203855216,,,,,,,27 Years,10 Years ,,,,https://www.yellowpages.com/calera-al/mip/clint-thomas-attorney-at-law-451073542?lid=1001677266028,"Whether you have been arrested, were injured in an accident or on the job, are getting divorced, or wanting to adopt a child, the Law Office of Clint C. Thomas, P.C., Attorney at Law, is the place for you.  I have over 20 years of legal experience in central Alabama and have successfully handled almost all types of cases in Shelby, Chilton, Bibb, Jefferson, Talladega, Coosa and the other Birmingham metropolitan area counties.  I do return telephone calls and do my best to treat you like I would like someone to treat me."
