Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Nuisance Wildlife Control Animal Removal,(256) 636-1168,jds@otelco.net,http://www.theanimalcontrol.com,,Birmingham,AL,35216,https://www.facebook.com/wix,,,,,,,33 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/nuisance-wildlife-control-animal-removal-505139856?lid=1000810573160,"Whether it's wild animal removal or animal exclusion, Nuisance Wildlife Control is ready to help you. We have a lifetime of experience in this field and 20 years of experience as a company. 

Wildlife removal and repair 
Squirrels
Raccoons
Bats
Snakes
Moles
Opossums
Coyotes
Fox

We do not handle removal of domestic animals."
THE BUG MAN Environmental Services LLC,(205) 238-9090,the.bugman@live.com,,PO Box 660114,Birmingham,AL,35266,,,,,['Mo-Su'],,,14 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/the-bug-man-environmental-services-llc-23295876,"FULL SERVICE PEST CONTROL General Pest Control (ants, roaches etc) Repair & Retreat Termite Warranties (Bond), Fungus Treatments. Realtor Services order online. Wood Infestation Reports. Same day service (in most cases)"
Dolphin Pest Control,(205) 655-8204,,http://www.dolphinpestcontrol.com,6259 Service Rd,Birmingham,AL,35235,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/dolphin-pest-control-504332437,
Havard Pest Control,(205) 208-8648,havardpest@bellsouth.net,,237 Oxmoor Cir Ste 105,Birmingham,AL,35209,,,,,['Mo-Su'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/havard-pest-control-466924483,"You don't have to let the termites eat you out of house and home, especially with Havard Pest Control's thorough Total Home Protection Inspection at No Charge! Havard Pest Control has been protecting the tri-states since 1947 (MS, AL, LA). We offer many pest control schedules to fit yours, including monthly, quarterly, annual, and even one time services. Our highly trained and certified technicians use environmentally safe products, including EPA approved products. Our outdoor treatments are harmless to soil, lawn and shrubs. We protect from: roaches, termites, wasps, spiders, mice, rats, crickets, earwigs, ants, bedbugs and silverfish. Give us a call or visit us online www.havardpest.com for a Free thorough Total Home Protection Inspection. Hours of Operation: Please contact Havard Pest Control for hours of operation."
Ferguson Honeybee Services,(205) 670-1440,honeybees@n4osx.me,,6063 Riverview Dr,Irondale,AL,35210,,,,,['Mo-Su 09:00-17:00'],3,1,9 Years,,,,,https://www.yellowpages.com/irondale-al/mip/ferguson-honeybee-services-511115554,"Seasoned Beekeeper providing honeybee removal and relocation services, local honey (in season), and honeybees / beehives for sale (when available)"
Hive Dynamics,(205) 602-0954,,https://hivedynamics.weebly.com/contact.html,3517 Teton Cir,Hoover,AL,35216,,,,,,,,,,,,,https://www.yellowpages.com/hoover-al/mip/hive-dynamics-540677976,
Orkin Pest & Termite Control,(866) 574-1660,webmaster@orkin.com,http://www.orkin.com/locations/alabama-al/birmingham,2485 Valleydale Rd,Hoover,AL,35244,,,,,,,,122 Years,,,,,https://www.yellowpages.com/hoover-al/mip/orkin-pest-termite-control-469555470,"THE ORKIN SERVICE DIFFERENCE 
 
When you hire The Orkin Man, you can be confident that you are receiving the service you expect, from the pest control experts you can trust. 
 
Orkin Pest Control: Customized Protection 
 
Not all pest problems are the same, and not all homes need the same types of treatment. The Orkin Man is trained to identify and treat the root of your particular pest problem. Upon thorough inspection, he will create a customized treatment plan that effectively targets pest problems exactly where they appear in your home – both inside and out, all year long. Have children or pets? Trust the Orkin pest control experts to use the most responsible means of treatment application for your family. 
 
The Orkin Guarantee: Our Promise To You 
 
We’re not satisfied until you’re satisfied. Orkin means peace of mind when it comes to pest control. If pests return between regularly scheduled visits, we’ll retreat at no charge. And if we’re unable to solve your pest problem satisfactorily, we will refund your last service payment, too."
Elite Pest Control,(205) 822-9695,,,1441 Montgomery Hwy,Vestavia Hills,AL,35216,,,,,['Mo-Fr 08:00-17:00'],,,,,,,,https://www.yellowpages.com/vestavia-hills-al/mip/elite-pest-control-537185082,
Guaranty Pest Control Inc,(205) 923-2022,,http://www.guarantypestcontrol.com,,,,,,,,,,,,65 Years,,,,,https://www.yellowpages.com/nationwide/mip/guaranty-pest-control-inc-458562702,
Envirocare LLC,(205) 991-2882,kevin@envirocarellc.com,,,Birmingham,AL,35242,https://www.facebook.com/100366543367762,,,,['Mo-Fr 08:00-17:00'],1,1,18 Years,6 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/envirocare-llc-467752269?lid=1001809825187,"EnviroCare is located in Birmingham, Alabama. Our company offeres Lawn Care Service , Pest Control Service and Termite Control Service in the Jefferson and Shelby county area. We can help you with maintaining your lawn, shrubs and trees with services that include core aeration, lawn fertilization, fungus treatment, disease control and fire ant control. EnviroCare also specializes in pest control with our perimeter pest control program and termite protection program that provides protection with an environmentally friendly solution."
