Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
AiA American Insurance Agency,(205) 578-8020,lcwoodgett@aol.com,https://aiainsuranceagencyal.com,438 Carr Ave Ste 11,Birmingham,AL,35209,https://www.facebook.com/American-Insurance-Agency-115898023391440/,,,,['Mo-Fr 08:00-18:00'],,,37 Years,1 Year ,,,,https://www.yellowpages.com/birmingham-al/mip/aia-american-insurance-agency-467686902?lid=1002108513623,"American Insurance Agency is proud to be partnered with Dairyland, Progressive, and GMAC. Being partnered with multiple insurance companies allows us to shop around for the best prices. When it comes to your future, were determined to make sure you stay protected from any unexpected accidents. Our certified insurance agents have helped enough clients to know that every situation is unique. Well work with you to better understand your needs and requirements, so you only receive insurance plans that are perfect for your lifestyle. Give us a call today!"
Godwin Sol Insurance,(205) 833-1876,,,524 Red Lane Rd,Birmingham,AL,35215,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/godwin-sol-insurance-16409965,
McGriff Seibels & Williams Inc,(205) 252-9871,rdrew@mcgriff.com,http://www.mcgriff.com,2211 7th Ave S,Birmingham,AL,35233,,,,,['Mo-Fr 09:00-17:00'],,,120 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/mcgriff-seibels-williams-inc-14822839,"McGriff, Seibels & Williams is an insurance brokerage that offers a variety of programs designed to protect clients  financial interests. The company provides property and casualty insurance, employee benefits, life and pension plans, financial services and surety products. Its areas of expertise include energy and marine, financial services, commercial, construction risk, surety, health care and public entities. McGriff, Seibels & Williams was founded in 1886 and is based in Birmingham, Ala. The company maintains additional offices in Dallas, Houston, Atlanta, St. Louis and Irvine, Calif. It is a part of BB&T."
Allstate Insurance Agent: Red Mountain Insurance Group,(205) 824-4714,briancampbell@allstate.com,https://agents.allstate.com/red-mountain-insurance-group-homewood-al.html,2718 20th St S Ste 201,Birmingham,AL,35209,,,,,"['Mo-Fr 09:00-18:00', 'Sa 09:00-13:00']",,,17 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/allstate-insurance-agent-red-mountain-insurance-group-543907453,"As a Personal Financial Representative in Birmingham, I know many local families. My knowledge and understanding of the people in this community help me provide customers with an outstanding level of service. I look forward to helping families like yours protect the things that are important - your family, home, car and more. I can also help you prepare a strategy to achieve your financial goals."
Allstate Insurance Agent Breck Price,(205) 991-5106,breckprice@allstate.com,,122 Edenton St,Birmingham,AL,35242,,,,,['Mo-Fr 08:00-17:00'],,,20 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/allstate-insurance-agent-breck-price-549703293,"As a Personal Financial Representative in Birmingham, I know many local families. My knowledge and understanding of the people in this community help me provide customers with an outstanding level of service. I look forward to helping families like yours protect the things that are important - your family, home, car and more. I can also help you prepare a strategy to achieve your financial goals. I'm proud to work with a company who's been serving satisfied customers for over 80 years. Customers count on outstanding financial strength and superior claims service to help protect what they value most. Allstate delivers on their promise. In fact, their outstanding financial strength and superior claims service received an A+ (Superior) rating by AM Best. Quality service, strength and satisfaction - that's something I'm glad to be a part of."
Chad Watts: Allstate Insurance,(205) 995-4014,chadwatts2@allstate.com,,3000 Eagle Point Corporate Dr Ste 500,Birmingham,AL,35242,,,,,['Mo-Fr 08:00-17:00'],,,92 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/chad-watts-allstate-insurance-521750431,"Our knowledge and understanding of the people in this community help us provide customers with an outstanding level of service. We look forward to helping families like yours protect the things that are important - your family, home, car, boat, and more."
Truitt Insurance Agency Inc,(205) 254-3005,info@truittinsurance.com,http://www.truittinsurance.com,3004 7th Ave S,Birmingham,AL,35233,,,,,['Mo-Fr 08:00-16:30'],,,32 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/truitt-insurance-agency-inc-7571450,"Founded in 1991, Truitt Insurance & Bonding Inc. is a provider of commercial, life and home insurance products. Based in Birmingham, Ala., the company serves the insurance and bonding needs of a variety of businesses and individuals throughout Alabama and the surrounding states. It offers a wide range of commercial property and casualty insurance products, including business automobile coverage, commercial property insurance, crime insurance, errors and omissions, fiduciary liability, commercial umbrella, general liability, boiler and machinery, employment practices liability, inland marine coverage, and kidnap /ransom insurance among others. The firm provides various types of bonds, such as bid, performance and payment bonds, license and permit bonds, and notary, court, fiduciary and public official bonds."
Alabama Insurance Agency,(205) 414-6008,allen@alinsagency.com,http://www.alinsagency.com,3499 Independence Dr Ste 102,Birmingham,AL,35209,,,,,['Mo-Fr 08:00-17:00'],,,24 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/alabama-insurance-agency-15405911,"We are a Progressive Authorized Agent. We provide free insurance quotes for auto, home, business & more."
"Carlton, John, AGT",(205) 983-6175,,https://agents.allstate.com/john-carlton-homewood-al.html,234 Aquarius Dr,Birmingham,AL,35209,,,,,"['Mo 08:30-17:30', 'Tu 08:30-19:00', 'We-Fr 08:30-17:30']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/carlton-john-agt-568229717,I am a 2nd generation Allstate agent. My family has owned an agency in my hometown since 2008. I love working with Allstate customers and helping them with their insurance needs. I am committed to providing customers with outstanding service.
"Nationwide Insurance: Hayes Rasbury Agency, Inc.",(205) 856-0606,Request@HayesRasburyAgency.com,https://agency.nationwide.com/al/birmingham/35214/hayes-rasbury-agency-inc,221 Lapala Dr,Birmingham,AL,35214,,,,,['Mo-Fr 08:00-17:00'],,,45 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/nationwide-insurance-hayes-rasbury-agency-inc-473784653,Our agency has been in business for over 30 years. We have 4 fully staffed agencies servicing the entire state of Alabama with the expertise needed to diligently handle all of your insurance needs. There is more than 100 years of insurance experience among our active agents along with a well-knowledged staff that is dedicated to providing excellent customer service to all of our policy holders. Come join the nation at the Hayes-Rasbury Agency and help us deliver another 30 years of satisfied clients.
Smith Sheri Insurance Agency,(205) 838-1660,,http://www.farmers.com,8321 1st Ave N,Birmingham,AL,35206,,,,,['Mo-Fr 09:00-17:00'],,,27 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/smith-sheri-insurance-agency-473519651,
