Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
General Automotive Svc Co,(205) 788-6505,johndoe@email.com,http://www.acdelco.com,2316 Avenue E,Birmingham,AL,35218,https://m.facebook.com/pages/general-automotive-service/151651804876395,,,,['Mo-Fr 08:00-16:30'],,,16 Years,4 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/general-automotive-svc-co-466917584?lid=1002104089238,"Life is about choices isnt it? And some are better than others. We abide by decisions based on positive experiences and those where we gain the most trust.  We not only understand this, our success depends on achieving this end goal with every customer.   We put our reputation on the line each day because we know you have many choices when it comes to taking your car in for repairs or where you buy your parts.  At the end of the day, its all about service.  Did we deliver on meeting your needs and expectations?"
Windham Tire & Auto Repair,(205) 208-0590,john@windhamtire.com,http://www.windhamtire.com/,5455 Highway 280,Birmingham,AL,35242,https://www.facebook.com/pages/Windham-Tire-Auto-Repair/1590822771192433,,,,"['Mo-Fr 07:30-17:30', 'Sa 07:30-17:00']",,,30 Years,11 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/windham-tire-auto-repair-9664859?lid=1001923779591,"Our dedicated service team will take care of your needs with a level of professionalism seldom found in the tire industry! Our safety record is second to none in the business. Performance tuning, minor or major repairs, and routine maintenance are only a few of the services we offer. And, yes, we work on competitive brands. Not sure what the problem is? Call us, we can help. Are your tires bald? Is your car pulling to the right? Have you gone 3,000 miles since your last oil change? Windham Tire & Auto Clinic in Birmingham, Alabama offers all the auto services and tires you need, right here under one roof. In need of vehicle repair or maintenance? We offer brake service, air conditioning, alignments, electric diagnostics, and much more. We have been serving customers from Chelsea, Greystone, and Inverness for years. Stop in and see why we are the area's leading auto service provider. Windham Tire & Auto Repair offers: air conditioning, batteries, belts, brakes, computerized alignment, computerized engine analysis, cooling system maintenance, CV and drive axle, electrical systems, engine service, exhaust, leveling kit installation, oil changes, other services, radiator, scheduled maintenance, shocks and struts, tire repair, tire rotation, towing, transmission maintenance, tune-ups, and wheel balancing."
AAMCO Transmissions & Total Car Care,(205) 259-5166,44120@aamcoemail.com,http://www.aamcobirmingham-downtown.com,2610 6th Ave S,Birmingham,AL,35233,https://www.facebook.com/aamco,,,,['Mo-Fr 07:30-17:00'],5,8,60 Years,14 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/aamco-transmissions-total-car-care-21658376?lid=1002157175245,"We are the experts in transmission repair and complete car care - clutches, brakes, factory scheduled maintenance, electrical, check engine lights, radiators, overheating problems, a/c and more."
Firestone Complete Auto Care,(205) 381-4791,,https://local.firestonecompleteautocare.com/alabama/birmingham/460-green-springs-hwy/?lw_cmp=IYP_YPC_MLP_29017,460 Green Springs Hwy,Birmingham,AL,35209,https://www.facebook.com/firestonecompleteauto/,,,,"['Mo-Fr 07:00-19:00', 'Sa 07:00-18:00', 'Su 08:00-17:00']",3.5,3,97 Years,12 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/firestone-complete-auto-care-480050221?lid=1002159714557,"Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations for car repair, tire replacement, brake services, auto tune ups, radiator repair, car batteries and more.  We've been providing the right solutions since 1926, one customer at a time.  Our teams of professionals understand cars and they understand the people who drive them. We use advanced technology and offer quality products from brands you trust ? all of which add up to a total car care experience."
AAMCO Transmissions & Total Car Care,(205) 259-5173,aamcobham@yahoo.com,http://www.aamcobirmingham-centerpoint.com,1251 Center Point Pkwy,Birmingham,AL,35215,https://www.facebook.com/aamco,,,,['Mo-Fr 07:30-17:00'],5,1,60 Years,14 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/aamco-transmissions-total-car-care-466218838?lid=1002157176659,"We are the experts in transmission repair and complete car care - clutches, brakes, factory scheduled maintenance, electrical, check engine lights, radiators, overheating problems, a/c and more."
Firestone Complete Auto Care,(205) 381-4643,,https://local.firestonecompleteautocare.com/alabama/birmingham/4619-us-280/?lw_cmp=IYP_YPC_MLP_12335,4619 Highway 280,Birmingham,AL,35242,https://www.facebook.com/firestonecompleteauto/,,,,"['Mo-Fr 07:00-19:00', 'Sa 07:00-18:00', 'Su 08:00-17:00']",1,2,97 Years,12 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/firestone-complete-auto-care-480054567?lid=1002159762436,"Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations for car repair, tire replacement, brake services, auto tune ups, radiator repair, car batteries and more.  We've been providing the right solutions since 1926, one customer at a time.  Our teams of professionals understand cars and they understand the people who drive them. We use advanced technology and offer quality products from brands you trust ? all of which add up to a total car care experience."
Firestone Complete Auto Care,(205) 381-4618,022675@bfrc.com,https://local.firestonecompleteautocare.com/alabama/birmingham/2329-center-point-pkwy/?lw_cmp=IYP_YPC_MLP_22675,2329 Center Point Pkwy,Birmingham,AL,35215,https://www.facebook.com/firestonecompleteauto/,,,,"['Mo-Fr 07:00-19:00', 'Sa 07:00-18:00', 'Su 08:00-17:00']",1,1,97 Years,12 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/firestone-complete-auto-care-480047297?lid=1002159710457,"Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations for car repair, tire replacement, brake services, auto tune ups, radiator repair, car batteries and more.  We've been providing the right solutions since 1926, one customer at a time.  Our teams of professionals understand cars and they understand the people who drive them. We use advanced technology and offer quality products from brands you trust ? all of which add up to a total car care experience."
Firestone Complete Auto Care,(205) 381-4710,003522@bfrc.com,https://local.firestonecompleteautocare.com/alabama/birmingham/2424-bessemer-rd/?lw_cmp=IYP_YPC_MLP_3522,2424 Bessemer Rd,Birmingham,AL,35208,https://www.facebook.com/firestonecompleteauto/,,,,"['Mo-Fr 07:00-19:00', 'Sa 07:00-18:00']",,,97 Years,12 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/firestone-complete-auto-care-480047359?lid=1002159772496,"Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations for car repair, tire replacement, brake services, auto tune ups, radiator repair, car batteries and more.  We've been providing the right solutions since 1926, one customer at a time.  Our teams of professionals understand cars and they understand the people who drive them. We use advanced technology and offer quality products from brands you trust ? all of which add up to a total car care experience."
Firestone Complete Auto Care,(205) 208-8563,,https://local.firestonecompleteautocare.com/alabama/hoover/6606-tattersall-ln/?lw_cmp=IYP_YPC_MLP_799860,6606 Tattersall Ln,Birmingham,AL,35242,https://www.facebook.com/firestonecompleteauto/,,,,"['Mo-Fr 07:00-19:00', 'Sa 07:00-18:00', 'Su 08:00-17:00']",,,97 Years,12 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/firestone-complete-auto-care-556664059?lid=1002159722430,"Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations for car repair, tire replacement, brake services, auto tune ups, radiator repair, car batteries and more.  We've been providing the right solutions since 1926, one customer at a time.  Our teams of professionals understand cars and they understand the people who drive them. We use advanced technology and offer quality products from brands you trust ? all of which add up to a total car care experience."
Auto Whiz,(205) 882-7587,inverness@autowhiz.biz,https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1699341950794.b3f7276d&ADID=12243365&DEST=https%3A%2F%2Fautowhizal.mydex.com%2F73m9HWsgsyU&C=Brake%20Repair&T=Birmingham&S=AL&PH=(205)%20882-7587&FL=url&TL=off&position=0&PS=1&PI=1&Results=FEED_CLCK&uid=b3f7276d-022b-4e4a-bf40-1edf8ec80658&REF=&IP=4.224.34.167&UserAgent=Mozilla%2F5.0,509 Cahaba Park Cir,Birmingham,AL,35242,https://www.facebook.com/autowhiz/,,,,['Mo-Fr 07:00-17:30'],,,26 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/auto-whiz-482468691?lid=1002158505086,"Auto Whiz is locally owned and operated. We have the knowledge and experience to get the job done right and have been helping people with their automotive service needs since 1997. We have built a successful business based on trust, respect, and ongoing customer communication. Our team understands and is sensitive to our customer's needs. We are fortunate to have a great group of managers and technicians working with us. Many of our employees have been with us since the beginning. Call us today."
Rob'e Mans Automotive Service,(205) 871-4712,info@robemans.com,http://www.robemans.com,2600 18th Street South,Birmingham,AL,35209,https://www.facebook.com/robemans,,,,"['Mo-Th 07:00-17:30', 'Fr 07:00-17:00']",5,4,40 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/robe-mans-automotive-service-467103370?lid=1000437178645,"We are a family owned and operated Honda, Acura, Nissan, Infiniti, Toyota and Lexus repair facility with 24 month or 24,000 mile warranty on most items. We take pride in delivering a higher level of quality service.  
ABOUT US.....As childhood friends, Eddie Cleveland and Angelo Roberson shared a passion for figuring out how things worked; specifically motorcycles and cars. More to the point, they spent a lot of time figuring out why something didnt work. Like most passions, it was only a matter of time before it became a profession. In 1983, Eddie and Angelo formed Robe Mans, working as mechanics servicing only Honda vehicles. When Honda introduced the upscale Acura line, they started servicing the Acura line. As time passed on, health concerns drove Angelo to retire. Eddie continued to run the ever-growing business, concentrating on maintaining the kind of personal and professional service that has earned Robe Mans a stellar reputation. In 2006, after numerous customer requests, Robe Mans decided to extend their services to include Toyota and Lexus, purchasing the building next door to their existing facility to accommodate the newly added lines. In 2012, again by popular demand and multiple customer requests, Rob'e Mans extended its professional service to include the Nissan and Infiniti brands. Today, Eddie Cleveland and the staff at Robe Mans continues to provide the kind of customer-focused service that started back in 1983, earning and keeping the trust of his customers by providing quality services with a personal touch."
Hanvey Tire Inc,(205) 786-7682,cgreen12@charter.net,http://www.hanveytireautorepair.com,3000 Lomb Ave,Birmingham,AL,35208,https://www.facebook.com/hanveytire,,,,['Mo-Fr 07:00-17:00'],,,49 Years,12 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/hanvey-tire-inc-3763544?lid=1001580311304,"Hanvey Tire and Auto Repair is an automotive repair and tire shop located in Birmingham, Al. Auto Repair, Tires, Alignments, Oil Change, Brakes, Tune Ups, Diagnostics, C.V. Axle"
