Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
AiA American Insurance Agency,(205) 578-8020,lcwoodgett@aol.com,https://aiainsuranceagencyal.com,438 Carr Ave Ste 11,Birmingham,AL,35209,https://www.facebook.com/American-Insurance-Agency-115898023391440/,,,,['Mo-Fr 08:00-18:00'],,,37 Years,1 Year ,,,,https://www.yellowpages.com/birmingham-al/mip/aia-american-insurance-agency-467686902?lid=1002108513625,"American Insurance Agency is proud to be partnered with Dairyland, Progressive, and GMAC. Being partnered with multiple insurance companies allows us to shop around for the best prices. When it comes to your future, were determined to make sure you stay protected from any unexpected accidents. Our certified insurance agents have helped enough clients to know that every situation is unique. Well work with you to better understand your needs and requirements, so you only receive insurance plans that are perfect for your lifestyle. Give us a call today!"
AIA Inc,(205) 725-5383,lcwoodgett@aol.com,http://www.aiainsuranceagency.com,438 Carr Ave,Birmingham,AL,35209,,,,,"['Mo-Fr 07:30-18:00', 'Sa 10:00-14:00']",,,,6 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/aia-inc-16462853?lid=386302625,"Cis/quality Casual, Access, Dairyland Auto 6mo & 1 mo, Omni, Edge, Everest Security, Safeway, Omega One, National Security, Assurance America, Gmac Choice N, Inf Lc New, Assurance, Accc, Progressive & Occidental."
Cooley Insurance,(205) 822-2688,cooleyins@aol.com,http://progressive.com,1550 Montgomery Hwy,Birmingham,AL,35216,,,,,['Mo-Fr 08:00-17:00'],,,86 Years,5 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/cooley-insurance-21792563?lid=1001884528992,"Need auto, homeowners, or life insurance? We'll take the time to listen to your needs and desires, and find the perfect policy for you. Your total satisfaction is our number one priority. We have built a reputation for client satisfaction, and we are devoted to making your transitional move as easy as possible. You wil have the added benefit of working with an agent who understands your needs. Finding the right policy is only the beginning. We will assist you every step of the way to ensure smooth sailing."
Dave Smith Insurance Service Inc,(205) 833-1278,dsis@bellsouth.net,,9025 4th Ave S,Birmingham,AL,35206,https://www.facebook.com/guideone,,,,['Mo-Fr 08:00-17:00'],,,25 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/dave-smith-insurance-service-inc-11811008?lid=1000437178654,"Dave Smith Insurance has provided a wide variety of insurance products across the state of Alabama since 1979. Since then we have helped to provide our customers with friendly insurance services that they deserve, at quality prices."
Nesbitt Assoc Inc,(205) 942-4400,bill@braceyins.com,,106 Oxmoor Rd,Birmingham,AL,35244,https://www.facebook.com/pages/bracey-and-bracey-insurance-services/221579434840186,,,,['Mo-Fr 09:00-17:30'],,,15 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/nesbitt-assoc-inc-6640690?lid=1000621618330,"If you don't have insurance with us. then you are paying too much. Auto Insurance, Home Insurance, Business Insurance, Life Insurance."
Insurall Insurance,(205) 929-4100,info@insurall.org,http://www.insurallinsurance.org,10 Phillips Dr,Birmingham,AL,35228,,,,,['Mo-Fr 08:30-17:00'],,,51 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/insurall-insurance-4923252?lid=1000437171114,"Insurall Insurance is an independent insurance agency representing many insurance companies. We’ve been serving Birmingham, Bessemer, Midfield, Fairfield and other areas since 1974, and we have a very knowledgeable staff with a combined 75 years experience!  We specialize in cancelled, declined & difficult to place insurance, but we also welcome preferred business–representing fine national companies such as Progressive, GMAC & Foremost.  We handle auto insurance, home insurance for homeowners and renters, as well as insurance for mobile homes, boats, motorcycles, RVs, and light commercial vehicles.  Prior coverage is not required. our very courteous staff is willing to give help and advice. We can handle the youngest drivers to the senior citizens.  We are conveniently located in the Midfield Shopping Plaza with plenty of free parking. Come by and see why thousands of clients have relied on our company for 37 years!"
Cullifer & Associates Insurance Agency,(205) 979-6453,info@cullifer.net,http://www.cullifer.net,2820 Columbiana Rd,Birmingham,AL,35216,,,,,['Mo-Fr 08:30-16:30'],,,39 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/cullifer-associates-insurance-agency-3710961,
Payday Loans Birmingham,(888) 410-1649,,http://paydayloans-birmingham.com,612 32nd St S,Birmingham,AL,35233,,,,,['Mo-Su 08:00-20:00'],4,4,,,,,,https://www.yellowpages.com/birmingham-al/mip/payday-loans-birmingham-462211772,
Alfa Insurance,(205) 655-2954,,https://www.alfainsurance.com,1808 Gadsden Hwy Ste 132,Birmingham,AL,35235,,,,,['Mo-Fr 08:00-17:00'],5,1,8 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/alfa-insurance-451265009,
Direct Auto & Life Insurance,(205) 715-8246,BU2734@directauto.com,https://local.directgeneral.com/alabama/birmingham/2145-bessemer-road/?utm_source=yp&utm_medium=organic&utm_campaign=localmaps&cid=YPL2734,2145 Bessemer Rd,Birmingham,AL,35208,,,,,"['Mo-Fr 09:00-17:30', 'Sa 10:00-15:00']",,,29 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/direct-auto-life-insurance-541291708,"Visit your Birmingham Direct Auto & Life Insurance for affordable auto insurance, motorcycle insurance, and term life insurance. At Direct, we work with you to help you determine the best policy for your needs, whether you’re in need of SR-22 certification, car insurance for a teen driver, or commercial auto insurance for your small business. Go online, visit us at one of our more than 400 local offices, or call us at 1-877-463-4732 to learn more about Direct’s many great products and services, including roadside assistance and flexible payment options! Call, click, or come in today! 
 
Underwritten/ administered by these members of the National General Insurance Group, Winston-Salem, NC: Direct Gen. Ins. Agy, Direct General Ins. Co., Direct Ins. Co., Direct General Ins. Co.-LA, Direct General Ins. Co.-MS, Direct National Ins. Co. & Direct General Life Ins. Co"
