Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Mountainview Chem-Dry,(205) 553-6334,dtomberlin@mountainviewcd.net,http://www.birmingham-carpet-cleaners.com,5608 Clifford Cir Ste A,Birmingham,AL,35210,https://www.facebook.com/mtnviewchemdry/,,,,"['Mo-Fr 07:00-17:00', 'Sa 09:00-15:00']",,,23 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/mountainview-chem-dry-21746336?lid=1001329787770,"This Chem-Dry location is independently owned and operated. Chem-Dry is more than just a carpet cleaning solution. It is much more than a unique process or even a growing franchise system. Chem-Dry is really a true Horatio Alger story, the tale of a determined and energetic American Entrepreneur named Robert Harris. As a young man working his way through law school in 1970, Robert Harris was a carpet cleaner who was working for someone else. Unhappy with the performance of the cleaning products then available, he began looking for a better solution. His research stretched into years and years of studying the chemical properties of cleaning formulas and years of backbreaking experiments which required cleaning areas of dirty carpets with one formula and then another. Eventually, he found his formula, a revolutionary carbonated solution that not only cleaned beautifully, but was also safe and non-toxic. With the birth of Chem-Dry came self-employment and success. The demand for his cleaning services mushroomed and soon friends and family clamored for his secret. From the first small group of franchises, the Chem-Dry network has grown to thousands of successful franchises around the world. As the Chem-Dry family increases, Robert Harris has seen his own success story repeated by many franchisees."
PuroClean Emergency Services,(205) 994-7227,pesalinfo@puroclean.com,http://www.puroclean.com/pes-al,3118 Belwood Dr #120,Birmingham,AL,35243,https://www.facebook.com/PuroCleanBirmingham,,,,['Mo-Su'],5,2,17 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/puroclean-emergency-services-512221109?lid=1001177323006,"PuroClean Emergency Services strives to be the most preferred local property restoration company in Birmingham, AL and surrounding North Central Alabama area focusing on water damage restoration, fire damage restoration, mold removal services and biohazard services. Whether it's your home or business, our local team knows how challenging water damage, fire damage, smoke damage or mold damage can be to you and your family. Restoring your property and life back to normalcy in the most efficient and effective manner is our number one focus."
Asia Rug Cleaning & Repairing Company,(205) 879-8244,info@asiarugcompany.com,http://asiarugcompany.com,408 Hollywood Blvd,Birmingham,AL,35209,https://www.facebook.com/asiarugcompany,,,,"['Mo-Fr 08:30-17:00', 'Sa 08:30-12:00']",,,,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/asia-rug-cleaning-repairing-company-4721271?lid=1001915299088,Cleaning & repairing of fine oriental rugs as well as other types of area rugs
Professional Management,(205) 591-7711,swbrannum@pmofalabama.com,http://www.pmofalabama.com,3804 1st Ave N,Birmingham,AL,35222,,,,,['Mo-Su 07:00-19:00'],,,14 Years,9 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/professional-management-10363592?lid=1001329787901,Commercial Carpet Cleaning * Quarterly Maintenance Programs * All types of carpet * Bonded & Insured
Ballard Enterprises Inc,(205) 879-0222,pkilgore@ballardinc.net,http://ballardenterprisesinc.com,2813 Crescent Ave,Birmingham,AL,35209,,,,,['Mo-Fr 09:00-17:00'],,,51 Years,9 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/ballard-enterprises-inc-462186542?lid=1000540200241,"Since 1972 we have provided Speciality Cleaning & Maintenance Programs for Mulit-Storied Multi-Tenant Commercial Buildings, Corp. Headquarters, Financial Institutions & Medical Facilities including Commercial Carpet, Ceilings, Walls, cubicle panels & More"
Falls Facility Services Inc,(205) 925-2594,mfalls@fallsfacilityservices.com,http://www.jotform.com/form/20373918896,1911 Jefferson Ave SW,Birmingham,AL,35211,https://www.facebook.com/pages/falls-facility-services-inc/317509341609280,,,,['Mo-Fr 08:30-18:00'],,,64 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/falls-facility-services-inc-472849943?lid=1000439465111,"We have commercial cleaning & facility management experience. We are a local company offering personal, committed, & responsive services to a variety of facilities & industries. Our well trained staff ensure customer satisfacation exceptional service and customized building and residential maintenance. Call today for specials!"
Perfect Panes,(205) 369-4447,,http://www.perfectpanes4you.biz,,,,,https://www.facebook.com/Perfect-Panes-103117759753898/?fref=ts,,,,['Mo-Fr 08:00-17:00'],5,2,,12 Years ,,,,https://www.yellowpages.com/nationwide/mip/perfect-panes-465270458?lid=1001329775081,"Perfect Panes is Serving all of Birmingham and surrounding areas in a 75 Mile Radius. We are your one stop Cleaning shop. We offer Free Estimates, Competitive Rates and our Work is Guaranteed. Specializing in Carpet & Rug Cleaning, Floor Waxing, Polishing & Cleaning, Window Cleaning, Gutters & downspouts Cleaning & Water Pressure cleaning, (Lake Homes Welcomed). Our professionals are available to complete a wide array of residential projects. We Professionally Detail Everything by hand. We use top of the line & Latest Equipment & Supplies. ECO & Pet Friendly Products Commercial & Residential, Free Estimates, Licensed Bonded & Insured Guaranteed Work Over 20 Years Experience. Light Fixtures, Chandeliers, Hardwood floors, Tile-Grout Cleaning, Gutters & Debris Cleaning Remove Black from Gutters, making them appear Brand New.)"
SCC Company,(205) 875-1102,info@sccprofessionals.com,,6702 Forest Drive,Fairfield,AL,35064,https://facebook.com/sccstudentveteranorg/,,,,['Mo-Sa 08:00-16:00'],,,20 Years,3 Years ,,,,https://www.yellowpages.com/fairfield-al/mip/scc-company-555700663?lid=1002040662119,"For professional cleaning services in Birmingham, Alabama, contact SCC Professionals. For over 17 years, we have provided clients with full cleaning services, including emergency water extraction services for both residential and commercial clients. We know your time is valuable and the last thing on your mind after a hard day at work is cleaning. Let the experts do the job while you sit back and relax. Call us today at 205-875-1102 for a free estimate. We guarantee your satisfaction on every job."
Hill's Carpet & Floor Coverings,(205) 491-3691,scottsuell@yahoo.com,http://www.hillscarpetstore.com,3458 Warrior River Rd,Bessemer,AL,35023,https://www.facebook.com/Hills-Carpet-and-Floor-Covering-325237020927633,,,,"['Mo-Fr 09:30-17:30', 'Sa 10:00-15:00']",,,38 Years,,,,Accredited Business,https://www.yellowpages.com/bessemer-al/mip/hills-carpet-floor-coverings-472594395?lid=1001439570634,**FOR ALL YOUR FLOORING NEEDS** **Carpet *Hardwood *Tile *Laminate *Vinyl *Sales *Service *Installation *Residential *Commercial *Licensed *Insured *Bonded *Kitchen Cabinets *Hardwood Restoration
Acme Flooring Company,(205) 592-9648,acmeflooringco@gmail.com,http://www.acmeflooringco.com,4130 3rd Ave S,Birmingham,AL,35222,https://www.facebook.com/pages/acme-flooring-company/156695367703453,,,,['Mo-Fr 09:00-16:30'],,,77 Years,7 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/acme-flooring-company-6658925?lid=1001616307293,
