Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Taj India,(205) 939-3805,tajindia@bellsouth.net,http://www.tajindia.net/,2226 Highland Ave S,Birmingham,AL,35205,https://www.facebook.com/tajindiabhm,,,,"['Mo-Fr 11:00-22:00', 'Sa 11:30-22:00', 'Su 11:30-21:00']",5,4,37 Years,7 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/taj-india-8495052?lid=1001616285454,"We offer Tandoori (Clay Oven) grilled, Seafood, Lamb, chicken and Vegetable dishes with fresh baked Naan (Bread). We specialize in Regional cooking. Dinners are individually prepared to satisfy the most discriminating palate mild, medium, hot and spicy."
Homewood Gourmet,(205) 871-1620,homewoodgourmet@me.com,http://www.homewoodgourmet.com,1919 28th Ave S,Birmingham,AL,35209,https://www.facebook.com/pages/birmingham-al/homewood-gourmet/121943207859134,,,,"['Mo-Fr 10:30-19:00', 'Sa 10:30-17:00']",,,23 Years,9 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/homewood-gourmet-14560914?lid=1000621618290,"Homewood Gourmet features a casual caf , catering, private dinners and a cooking school. New owners Laura and Chris Zapalowski are honored to carry on Chef Franklin Biggs creative approach to food. They strongly believe in preparing healthy, quality food and are committed to incorporating seasonal products into their menu. Sandwiches are served on fresh-baked bread, including grilled meatloaf with tomato sauce on focaccia and chicken salad on a soft yeast roll. Specialties include chicken pot pie with puff pastry crust, red beans and rice with saut ed pork chop, pressed tuna melt with homemade pickles, and chicken and andouille gumbo. Freshly made desserts include bread pudding with whiskey sauce, sour cream pound cake, brownies and cookies. Homewood Gourmet is open for Lunch and Dinner served Mon-Fri 10:30 a.m.-7:00 p.m. and on Saturdays from 10:30 a.m.-5:00 p.m. We are closed on Sundays. We look forward to seeing you soon."
Lloyd's Restaurant,(205) 991-5530,lloydsbus@aol.com,http://www.lloyds280.com,5301 Highway 280,Birmingham,AL,35242,https://www.facebook.com/lloydsrestaurant,,,,['Mo-Su 10:30-21:00'],4,8,86 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/lloyds-restaurant-1546947?lid=1000621618228,"Established in 1937, Lloyd's Restaurant serves the Birmingham families. Located in Birmingham, Ala., the restaurant specializes in hamburger steak, baked ham plate with honey, golden brown fried and fried chicken livers. Its menu items include salads, beverages, side orders, vegetables and desserts, among others. The desserts serves various food items, such as chocolate, lemon, coconut, cherry or blueberry cheesecake and banana pudding, to name a few. Lloyd's Restaurant hosts various special occasions and offers catering services to its guests."
Highway 55 Burger Shakes and Fries,(205) 874-9199,,https://www.hwy55.com,437 Green Springs Hwy,Birmingham,AL,35209,https://www.facebook.com/pages/Hwy-55-Burger-Shakes-and-Fries-Homewood-Al/1111783198909245,,,,"['Mo-Th 11:00-21:00', 'Fr-Sa 11:00-22:00', 'Su 11:00-21:00']",4,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/highway-55-burger-shakes-and-fries-537168490?lid=1001173814351,"Our Burgers are fresh never frozen, cheesesteaks, shrimp po boys, hand squeezed orange and lemonade and house made custard ice cream. Dine in, carry out or we can cater your next meeting, party or get together."
Redeaux Bistreaux,(205) 536-9746,sohocatertingco@yahoo.com,,1679 Center Point Parkway,Center Point,AL,35215,https://www.facebook.com/Redeauxs-Bistreaux-101202048286307/?ref=page_internal,,,,"['Tu-Th 11:00-20:00', 'Fr-Sa 11:00-22:00', 'Su 11:00-17:00']",,,,3 Years ,,,,https://www.yellowpages.com/center-point-al/mip/redeaux-bistreaux-556188360?lid=1002042636047,"Come get a taste of Cajun Cuisine! Redeaxu Bistreaux  is committed to providing delicious, authentic Cajun cuisine in a timely fashion with the highest regard for customer satisfaction. Our recipes are proven to satisfy the taste buds of anyone looking to taste real Cajun cooking in our convenient, family-friendly atmosphere. Here at Redeaxu Bistreaux we offer dine in, carry out and catering services."
Miss Myra's Pit Bar B Q,(205) 967-6004,barbqman@charter.net,http://missmyras.com,3278 Cahaba Heights Rd,Vestavia,AL,35243,https://www.facebook.com/profile.php?id=100063784682690,,,,"['Mo-Th 08:00-20:00', 'Fr-Sa 08:00-21:00']",4,1,39 Years,,,,Accredited Business,https://www.yellowpages.com/vestavia-al/mip/miss-myras-pit-bar-b-q-467370866?lid=1001516601343,"Since 1985, Miss Myra's Pit BAR-B-Q has been serving up Birmingham's best pit barbecue. Operated by Myra Grissom Harper and family, Miss Myra's features barbecued chicken, beef, pork, ribs and sausage. All of our sides are made fresh daily."
Dreamland Bar-B-Que*,(205) 933-2133,,http://www.dreamlandbbq.com,1427 14th Ave S,Birmingham,AL,35205,,,,,"['Mo-Th 10:00-22:00', 'Sa 10:00-23:00', 'Su 11:00-21:00']",4.5,6,30 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/dreamland-bar-b-que-3554771,"Dreamland Bar-B-Que operates the Birmingham Dreamland, which is a restaurant that offers a variety of dining options to guests. Founded in 1958, Dreamland Bar-B-Que maintains various restaurant locations in Alabama and Georgia. The company's restaurants feature a pot-bellied stove, bars, tables and booths. Its restaurants specialize in barbecue ribs that are prepared in the signature-style of cooking. The company's restaurants' menu includes pulled pork, barbecue chicken, hickory-smoked sausage, coleslaws, and potato and house salads. Dreamland Bar-B-Que is renowned for its sauce that is available in quart-sized jars. The company also provides catering services. In addition, it offers fundraising options and corporate gift packages."
The Happy Catering Company,(205) 251-8925,happycatering@bellsouth.net,http://happycatering.net,225 Oxmoor Cir Ste 803,Birmingham,AL,35209,,,,,['Mo-Fr 08:00-17:00'],3,2,23 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/the-happy-catering-company-450770809,"The Happy Catering Company is a full-service entity that offers solutions for rehearsal dinners, weddings, board meetings, office luncheons and family reunions in Birmingham in Alabama. The company provides catering services, as well as breakfast, lunch and dinner options. Its menu includes a selection of entrees, desserts, and pasta and side items. In operation for more than 50 years, The Happy Catering Company also offers discount programs. The company provides assistance with flower and entertainment booking arrangements. In addition, it hosts open house ceremonies, golf outings and church functions. The Happy Catering Company has undertaken a project for The United Way."
Kathy G & Co Inc,(205) 942-4210,jason@kathyg.com,http://www.kathyg.com,11 W Park Cir,Birmingham,AL,35211,,,,,['Mo-Fr 08:00-16:00'],,,36 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/kathy-g-co-inc-5862966,"Operational for more than 15 years, Kathy G. & Company provides catering services. It serves a variety of food menu options, including salads, toasted walnuts, crab cakes, seafood, pasta dishes, grilled cheese, soups, noodles and rice. The restaurant also provides desserts, cheesecakes, sandwiches and beverages. In addition, Kathy G. & Company hosts cocktail receptions and seated dinners, as well as buffet, lunches and breakfast events. It also organizes specialized events that include weddings and anniversaries. The restaurant offers catering services at various venues, including The Gardens Caf , Terrace Caf  and Park Lane. Kathy G. & Company s full-service catering includes food, professional service, floral design and specialty linens. It is a member of the National Caterers Association and the International Special Events Society. Kathy G. & Company is located in Birmingham, Ala."
The Edgewood Catering Company,(205) 530-0790,orders@edgewoodcatering.com,,2900 Crescent Ave,Birmingham,AL,35209,,,,,"['Mo-Th 11:00-17:30', 'Fr 11:00-16:00']",,,18 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/the-edgewood-catering-company-2115694,
Bayles Catering Service,(205) 706-2470,info@baylescatering.com,http://www.baylescatering.com,5422 1st Ave N,Birmingham,AL,35212,,,,,['Mo-Fr 06:30-15:30'],,,19 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/bayles-catering-service-472605488,
Corretti Catering,(205) 956-4472,,http://www.corretticatering.com,4465 Old Overton Rd,Birmingham,AL,35210,,,,,,,,21 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/corretti-catering-25023122,
Gourmet Services,(205) 972-8735,,,3196 Highway 280 E,Birmingham,AL,35243,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/gourmet-services-471150049,
Olexa's,(205) 871-2060,eat@olexas.com,http://www.olexas.com,2838 Culver Rd,Birmingham,AL,35223,,,,,['Mo-Sa 10:00-16:00'],,,19 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/olexas-9490444,"Catering, Cafe, Cakes, open 10-4 Mon-Sat., served quiche, crepes, salads, sandwiches, baked goodsCatering, Cafe, Cakes, open 10-4 Mon-Sat., served quiche, crepes, salads, sandwiches, baked goods"
