Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Beverly Paschal Poston Atty At Law,(256) 739-3970,bposton@beverlypaschalposton.com,http://www.cullmansattorney.com,200 1st Ave SE,Cullman,AL,35055,https://facebook.com/pages/beverly-paschal-poston-attorney-at-law/143732742340193,,,,['Mo-Fr 08:00-17:00'],,,41 Years,7 Years ,,,Accredited Business,https://www.yellowpages.com/cullman-al/mip/beverly-paschal-poston-atty-at-law-21769344?lid=1001484491141,"Real Estate, Domestic, Divorce/Custody, Probate, Family, Civil Litigation, Personal Injury, Criminal, Business, DUI, DWI, Social Security Disability. Bankruptcy Law, Serving Cullman, Blount County and Surrounding Areas. Serving the area since 1982."
Fullan & Fullan Attorneys,(205) 251-8596,fullanandfullan@bellsouth.net,,205 20th St N,Birmingham,AL,35203,,,,,['Mo-Fr 08:00-17:00'],5,2,34 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/fullan-fullan-attorneys-451117867?lid=1000660368358,"Divorce Is Just The Tip Of The Iceberg; Whatever family issue you may be facing, our experienced and compassionate Birmingham, Alabama, attorney is ready to help. Whether you are ending a marriage, dividing shared property, or need to settle issues of custody and visitation, it can help immensely to have a trusted and level-headed lawyer looking out for your best interests; Our firm also handles family law issues that may not be directly related to a divorce, such as modifications, custody, contempt proceedings, pre and post nuptial agreements. We can also help draft simple wills or help you navigate the probate process. Tell us about your particular situation and find out how we can help by calling our firm. Do not Let A Criminal Charge Spin Out Of Control; It is easier to put out a fire when it is still small and self-contained. The same is true for criminal charges. You might have been charged with a crime like DUI or assault, and feel paralyzed by fear of what this will mean for you. In any scenario involving a criminal charge, it doesn't pay to wait until later to find out your rights, or try to fight the charges yourself. At Fullan and Fullan, we waste no time in getting a full understanding of the circumstances of your arrest. Once we understand what happened, we do everything in our power to get your charges reduced or, where possible, dismissed."
The Alexis Firm,(205) 587-8710,,,2107 5th Ave N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/the-alexis-firm-504731672?lid=1000701974153,"Attorney Profile: Ms. Alexis also earned her JD from Birmingham School of Law and is barred in Alabama.   Upon being barred in Alabama, Ms. Alexis earned her LLM, in International Tax and Finance, from Thomas Jefferson School of Law,  graduating with honors, near the top of her class.    Please contact The Alexis Firm LLC, to schedule a consultation to discuss and review the facts of your case.  Trust is built on a solid foundation. From the start of your case, it’s important that we are on the same page and we strive to create an effective relationship with our clients built on honest communication."
Legal Aid Legal Services Corp,(844) 351-0420,legalaidlegalservices11@gmail.com,http://www.legalaidlegalservices.org,,,,,,,,,['Mo-Sa 08:00-02:00'],,,17 Years,3 Years ,,,,https://www.yellowpages.com/nationwide/mip/legal-aid-legal-services-corp-505997155?lid=1002124518540,
Beverly Paschal Poston Atty At Law,(256) 739-3970,bposton@beverlypaschalposton.com,http://www.cullmansattorney.com,200 1st Ave SE,Cullman,AL,35055,https://facebook.com/pages/beverly-paschal-poston-attorney-at-law/143732742340193,,,,['Mo-Fr 08:00-17:00'],,,41 Years,7 Years ,,,Accredited Business,https://www.yellowpages.com/cullman-al/mip/beverly-paschal-poston-atty-at-law-21769344?lid=1001484491141,"Real Estate, Domestic, Divorce/Custody, Probate, Family, Civil Litigation, Personal Injury, Criminal, Business, DUI, DWI, Social Security Disability. Bankruptcy Law, Serving Cullman, Blount County and Surrounding Areas. Serving the area since 1982."
Mary Abele Attorney At Law,(205) 719-1499,mlabele@aol.com,,6 Office Park Cir,Mountain Brk,AL,35223,https://facebook.com/pages/Abele-Marylee/183817812449287,,,,['Mo-Fr 08:00-17:00'],,,,3 Years ,,,,https://www.yellowpages.com/mountain-brk-al/mip/mary-abele-attorney-at-law-557914393?lid=1002074496286,"In business since 1986, Attorney Marylee Abele specializes in Family, Divorce, Child Custody, Adoption, Child Support and Domestic Relations. Call 205-870-9559 or email mlabele@aol.com Today!  Attorneys provide legal assistance to individuals and businesses in areas including criminal defense, civil rights, personal injury, estate law, bankruptcy, workers compensation and much more. As of 2016, there were 1,315,561 licensed lawyers working in the U.S."
Trant Bullard,(334) 500-1171,info@trantbullardlaw.com,https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1699342632474.e2e8b964&ADID=11977367&DEST=http%3A%2F%2Ftrantbullardlaw1.mydex.com%2Fg8Ooj68kIK8&C=Divorce%20Attorneys&T=Dothan&S=AL&PH=(334)%20500-1171&FL=url&TL=off&position=0&PS=1&PI=1&Results=FEED_CLCK&uid=e2e8b964-cf6f-424b-b3df-da6e37e83a6e&REF=&IP=4.224.34.167&UserAgent=Mozilla%2F5.0,801 W Main St,Dothan,AL,36301,https://www.facebook.com/TrantBullardLaw/,,,,['Mo-Fr 08:00-17:00'],,,25 Years,,,,Accredited Business,https://www.yellowpages.com/dothan-al/mip/trant-bullard-548742143?lid=1002160961034,"When you have been injured, arrested or you are facing a family crisis you need a lawyer with experience who will answer your questions, explain your rights and be willing and able to protect you, your family and your rights. I understand that when you are facing a legal crisis it is often a traumatic experience and most people dont know what to do or who to call for advice. That is why I dont charge for an initial consultation on any legal matter. Even if you have a legal problem that I dont handle I can refer you to a lawyer who I know has experience handling that specific area of law. Call us today."
Burdette Law Firm,(205) 661-1800,brooks@burdettelaw.com,http://www.burdettlaw.com,113 Glenn Ave,Trussville,AL,35173,,,,,['Mo-Fr 08:30-17:00'],5,2,22 Years,6 Years ,,,Accredited Business,https://www.yellowpages.com/trussville-al/mip/burdette-law-firm-774894?lid=1001809830666,
K L Bettis,(205) 202-1108,,,1117 22nd St S,Birmingham,AL,35205,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/k-l-bettis-503297000,
"The Reed Firm, LLC",(205) 623-3173,quickquestion@thereedfirm.com,http://thereedfirm.com,Po Box 43346,Birmingham,AL,35243,,,,,,,,12 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/the-reed-firm-llc-526221966,
Harville-Stein Law Offices,(205) 991-5600,,,130 Inverness Plz,Birmingham,AL,35242,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/harville-stein-law-offices-11786081,
"Salter Ferguson, LLC",(205) 408-4357,carmen@salterferguson.com,http://www.salterferguson.com,4000 Eagle Point Corporate Dr STE 600,Birmingham,AL,35242,,,,,['Mo-Fr 09:00-17:00'],5,3,,,,,,https://www.yellowpages.com/birmingham-al/mip/salter-ferguson-llc-469888316,"Salter Ferguson, LLC is a full-service law firm specializing with personal and bodily injury cases. It provides clients with legal advice and representation for personal injuries, motor vehicle accidents, trucking accidents, social security disability, children's injuries, wills, estates, probate and many more. In addition, the company helps with broken bones, head injuries, concussion, ruptured disc, back/neck injuries, death/damage to unborn child, amputation, nerve damage or other injury. Apart from free initial consultation, Salter Ferguson, LLC handles all personal cases on a contingency fee."
Russo White & Keller PC,(205) 833-2589,rjlawoff@bellsouth.net,,315 Gadsden Hwy,Birmingham,AL,35235,,,,,['Mo-Fr 08:30-17:00'],5,1,40 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/russo-white-keller-pc-465931109,"The lawyers at Russo, White & Keller P.C. have over 50 years of combined legal experience serving residents across the State of Alabama, particularly in Jefferson, St. Clair, Blount and Shelby counties. We take great interest in taking care of all our clients and that is why we put forth the most aggressive representation for each of them. When you hire our firm, you are not just hiring one lawyer, you’re hiring all of the lawyers in our firm. Effective attorneys don’t just know the law; they understand it. For that reason, we work zealously as a team to obtain the best possible results for each client.  So, regardless of your particular legal need, Russo, White & Keller, P.C. can provide you with the effective legal assistance to get you moving forward in the right direction.  We would love to meet you and discuss your legal needs. Call us today to schedule your initial consultation.  This initial consultation is FREE.  So call us today and let the lawyers of Russo, White & Keller, P.C. start working for you immediately!  **Convenient Location  **Free Parking"
"J. Brian Huff, Attorney at Law",(205) 930-9800,,,2320 Arlington Ave S,Birmingham,AL,35205,,,,,,5,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/j-brian-huff-attorney-at-law-516415507,
Forrester Law,(205) 521-0011,jkf@forresterlawllc.com,http://www.forresterlawllc.com,300 Richard Arrington Jr Blvd N,Birmingham,AL,35203,,,,,['Mo-Fr 08:00-17:00'],1,1,26 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/forrester-law-458653564,
