Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Carousel Shoppe Tack,(205) 991-0007,carotack@bellsouth.net,https://www.carouseltackshoppeal.com,5090 Cahaba Valley Rd,Birmingham,AL,35242,https://www.facebook.com/Carousel-Tack-Shoppe-145137668841623,,,,['Mo-Sa 11:00-17:00'],5,3,35 Years,8 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/carousel-shoppe-tack-11155759?lid=1001117929389,"Top horse product brands at discount prices. Knowledgeable & helpful staff. Complete inventory & large selection for horse & rider. BRANDS: Bobby's, Kerrits, Epona, Perri, Charles Owen, SSG Heritage, Tuff Rider, Devonair, IRH, Paul Newmarch & more."
Prestige Uniforms Inc,(205) 683-1548,prestigeuniforms@bellsouth.net,,"1477 Gadsden Hwy, Ste 118",Birmingham,AL,35235,https://www.facebook.com/pages/prestige-uniforms/163098283760022,,,,"['Mo-Fr 10:00-18:00', 'Sa 10:00-15:00']",,,36 Years,9 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/prestige-uniforms-inc-18522940?lid=1001744336072,"We have been serving the Healthcare Uniform needs of the Birmingham Area since 1987.  We are a family owned & operated business.  We stive to give the best customer service possible.  Our uniform & shoe prices are 20% Off Retail & our accessory prices are 10% Off Retail everyday!  If you have shopped with us for years, Thank You!  If you have just found us, please come see us!  We would love to help you create the professional image you deserve."
Romeo's Sporting Goods,(205) 591-7145,romeosports@aol.com,http://www.romeossportinggoods.com,5520 Crestwood Blvd,Birmingham,AL,35212,https://www.facebook.com/pages/category/Sporting-Goods-Store/Romeo-Sports-840768149269207/,,,,"['Mo-Fr 10:00-18:00', 'Sa 10:00-17:00']",,,41 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/romeos-sporting-goods-15749414?lid=1001961720922,"Welcome to Romeo's Sporting Goods, Birmingham's premier sporting goods store! We carry all major brands of equipment for baseball and softball. Not sure what you need or have a technical question? Ask one of our specialists. We are the baseball, softball headquarters for the area and specialize in this field! See the following pages for more information or come visit us today to find out why we have the biggest bat selection and best prices in Alabama! Easton & Louisville Top 100 Dealer!"
SunSource Tanning,(205) 956-0409,sunsourcetanning@gmail.com,http://www.sunsourcetanning.com,1526 Montclair Rd,Birmingham,AL,35213,http://facebook.com/sunsourcetanning,,,,"['Mo-Fr 10:00-19:00', 'Sa 10:00-17:00']",5,7,22 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/sunsource-tanning-531740721?lid=1001332984012,"For The Best Tan In Alabama Go To SunSource Tanning.  A Premier Salon Since 2001.  We Offer 6 Levels Of Tanning For The Best Tanning Results Imaginable, Custom Spray Tanning, And Premium Skin Care Products. ;A  Premier Destination For Spray Tanning As Well.  We Provide Clients With A Consistent, Natural Looking Custom Spray Tan That Is Perfectly Customized TO Individual Skin Type And Personal Preference.  SunSource Is Known For Our Custom Color And Flawless Results. Come Check Us Out!  Looking For Your Total Sun Solution?  Look No Further!  Look Good....Feel Great!"
Little Yellow Boutique,(205) 200-5088,,,,Birmingham,AL,35259,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/little-yellow-boutique-481377538?lid=1000439026623,
J. Crew,(205) 970-6411,,http://www.jcrew.com,125 Summit Pkwy,Birmingham,AL,35209,,,,,"['Mo-Fr 10:00-20:00', 'Sa 10:00-18:00', 'Su 12:00-18:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/j-crew-467393112,
Express,(205) 871-9279,talk@expressfashion.com,http://express.com,752 Brookwood Vlg,Birmingham,AL,35209,,,,,"['Mo-Sa 08:00-21:00', 'Su 12:00-18:00']",4,1,38 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/express-11774942,
T.J. Maxx,(205) 661-2822,,https://tjmaxx.tjx.com/store/index.jsp,1648 Gadsden Hwy,Birmingham,AL,35235,,,,,['Mo-Su 09:00-22:00'],5,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/t-j-maxx-468195227,"Since its first store opening in 1977, T.J.Maxx has helped customers maximize what matters most in their lives by offering an ever-changing selection of high-quality, brand name and designer fashions at amazing value. T.J.Maxx is the nation's largest off-price retailer, with more than 1,200 stores spanning 49 states and Puerto Rico. Visit our website or download the T.J.Maxx app to shop online and locate your nearest store."
Plain Jane's,(205) 991-1995,,http://www.plainjanegifts.com,270 Doug Baker Blvd,Birmingham,AL,35242,,,,,"['Mo-Fr 10:00-18:00', 'Sa 09:00-17:00']",,,17 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/plain-janes-13602241,"Women. Children. And gift shop. Unique gifts from southern artist. Clothing for women and children, a FUN place to shop."
Motiff Shop,(850) 462-3004,motiffshop@gmx.us,http://www.facebook.com/motiffshop,PO Box 381721,Birmingham,AL,35238,,,,,,,,14 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/motiff-shop-507825448,"An American online apparel store and lifestyle brand for men, women, and kids."
