Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Gonzalez & Carr PC,(205) 991-9787,,http://www.gonzalezcarr.com,101 Heatherbrooke Park Dr,Birmingham,AL,35242,https://www.facebook.com/pages/gonzalez-carr-pc/117662404959651,,,,['Mo-Fr 08:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/gonzalez-carr-pc-474474458?lid=1000229866470,
"J. Scott Robertson, M.D.",(205) 982-7220,,http://scottrobertsonmd.com,2001 Providence Park,Birmingham,AL,35242,,,,,"['Mo-Th 07:30-17:00', 'Fr 07:00-12:30']",,,18 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/j-scott-robertson-m-d-479240447,
Core Plastic Surgery,(205) 397-2100,,https://www.coreandassociates.com,3595 Grandview Pkwy Ste 150,Birmingham,AL,35243,,,,,['Mo-Fr 08:00-17:00'],,,21 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/core-plastic-surgery-540690811,
James C Walker MD,(205) 322-2102,,,3603 Cliff Rd S,Birmingham,AL,35205,,,,,,,,10 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/james-c-walker-md-21474222,
Petro Cosmetic Surgery,(205) 420-8043,,http://www.petromd.com,905 Montgomery Hwy,Birmingham,AL,35216,,,,,['Mo-Fr 09:00-16:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/petro-cosmetic-surgery-507045432,
"Paul S. Howard, MD, Plastic Surgeon",(205) 871-3361,,http://www.paulhowardmd.com,2010 Patton Chapel Rd Ste 101,Birmingham,AL,35226,,,,,['Mo-Fr 08:30-16:30'],,,,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/paul-s-howard-md-plastic-surgeon-523204479,
Facial Plastic and Reconstructive Surgery,(205) 824-3223,,http://birminghamfacialplasticsurgery.com,2010 Patton Chapel Rd Ste 206,Birmingham,AL,35216,,,,,['Mo-Fr 09:00-17:00'],,,25 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/facial-plastic-and-reconstructive-surgery-22027886,
Premier Plastic Surgery Center,(205) 930-9990,,,2228 Cahaba Valley Dr,Birmingham,AL,35242,,,,,"['Mo-Th 08:00-16:00', 'Fr 08:00-15:00']",,,24 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/premier-plastic-surgery-center-8454961,
"Dr. Daniel E. Rousso, MD",(205) 930-9595,drrousso@drrousso.com,http://www.drrousso.com,2700 Highway 280 S,Birmingham,AL,35223,,,,,['Mo-Fr 08:00-17:00'],5,70,,,,,,https://www.yellowpages.com/birmingham-al/mip/dr-daniel-e-rousso-md-496679919,
"Long, Jay C, MD",(205) 833-6907,,http://www.bmisurgery.com,48 Medical Park Dr E Ste 150,Birmingham,AL,35235,,,,,"['Mo-Th 08:00-17:00', 'Fr 08:00-16:00']",5,4,16 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/long-jay-c-md-479168070,"Birmingham Minimally Invasive Surgery is a purpose built facility for the surgical management of general surgical and bariatric conditions. Minimally Invasive Surgery means ""Less Pain"" and ""Faster Recovery"". Our website features information on common conditions, diagnoses, screening, and common treatments involved in our practice. Specific information is included on Hernia, Gallstones, Gastroesophageal Reflux Disease (GERD), Hepatomegaly, Splenomegaly, Inguinal Hernia, Obesity, Appendicitis, Pancreatitis, Hepatitis, Esophagitis, Endoscopy, Laparoscopic (Key Hole) Surgery, Obesity Surgery, LAP-BAND, and much more."
Smith Randall MD,(205) 591-2311,,http://docsmitheye.com,840 Montclair Rd Ste 722,Birmingham,AL,35213,,,,,['Mo-Fr 08:00-17:00'],5,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/smith-randall-md-479315958,
ENT Associates Of Alabama PC,(205) 933-9236,,http://www.entalabama.com,833 Saint Vincents Dr,Birmingham,AL,35205,,,,,['Mo-Fr 09:00-17:00'],,,20 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/ent-associates-of-alabama-pc-451062803,Central Toll Free Appointment Line 888-368-5020
"Christine, Michele MD",(205) 933-8334,,http://www.birminghamobgyn.com,800 Saint Vincents Dr,Birmingham,AL,35205,,,,,"['Mo-Th 08:00-12:00,13:00-16:00', 'Fr 08:00-11:30']",1,1,24 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/christine-michele-md-493232831,
Helman Colin A MD,(205) 786-5527,,,"833 Princeton Ave SW Ste 200: Birmingham, AL 35211",Birmingham,AL,35211,,,,,['Mo-Fr 08:30-17:00'],1,1,75 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/helman-colin-a-md-474483678,
