Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Dermatology & Skin Care,(205) 719-3460,,http://www.bhamdermatology.com,2470 Rocky Ridge Rd,Birmingham,AL,35216,https://www.facebook.com/bhamdermatology,,,,['Mo-Th 08:40-15:50'],,,15 Years,1 Year ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/dermatology-skin-care-6235989?lid=1002165735575,General Dermatology & Cosmetic Skin Care. Chemical Peels-Botox-Restylane-Sculptra-Radiesse-Laser Hair Removal-Sclerotherapy Acne-Rosacea-Skin Cancer-Psoriasis-Eczema-Dry Skin
Associated DermatologistsAssociated Dermatologists,(205) 853-3960,info@associatedderm.net,http://associatedderm.net,1401 Edwards Lake Rd,Birmingham,AL,35235,,,,,['Mo-Th 07:00-16:00'],,,51 Years,9 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/associated-dermatologistsassociated-dermatologists-471853325?lid=1000625278503,"Associated Dermatologists continuously strives to give our patients the best possible medical care in Birmingham. We specialize in medical, surgical, and cosmetic dermatology with a focus on skin cancer treatment and prevention. Associated Dermatologists will provide the best skin care treatment in town."
"Billano, Retna A MD",(205) 591-2169,,,840 Montclair Rd,Birmingham,AL,35213,,,,,['Mo-Fr 09:00-17:00'],,,39 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/billano-retna-a-md-16146790?lid=1000437173738,
McLean Gwendellyn MD,(205) 879-9290,,,2022 Brookwood Medical Ctr Dr Ste 409,Birmingham,AL,35209,,,,,['Mo-Fr 08:30-16:30'],,,42 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/mclean-gwendellyn-md-8509226?lid=1000625273764,
Alan Cook,(205) 979-8030,,,450 Century Park S,Birmingham,AL,35226,https://www.facebook.com/pages/william-alan-cook/193506930997195,,,,,,,43 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/alan-cook-9950405?lid=1001329784304,
"Abele, Matthew K MD,PC",(205) 939-6893,,,2700 Avenue S,Birmingham,AL,35218,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/abele-matthew-k-md-pc-545688054?lid=1001616301873,
Curl Kristy DO,(205) 877-9773,,,2901 Cahaba Rd,Birmingham,AL,35223,,,,,['Mo-Fr 08:00-17:00'],5,2,15 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/curl-kristy-do-17092711,"Helping you achieve healthy skin for life is the mission of board-certified dermatologist Dr. Jenny Oakes Sobera and Village Dermatology. If you ve never been to the dermatologist but realize the need to be proactive about skin cancer, we welcome you. Or perhaps you ve endured chronic eczema or acne for years. We invite you to experience the difference our innovative treatments can make. We treat your whole family. We accept Care Credit, a no-interest payment plan used for any services provided in our office. Application is quick and easy, done in the office on the day of your procedure."
Associates in Dermatology P.C.,(205) 836-1212,,,46 Medical Park Dr E,Birmingham,AL,35235,,,,,['Mo-Fr 08:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/associates-in-dermatology-p-c-467103434,
Shades Valley Dermatology,(205) 578-1799,,http://www.shadesvalleyderm.com,813 Shades Creek Pkwy Ste 205,Birmingham,AL,35209,,,,,"['Mo 08:00-17:00', 'Tu 07:00-16:00', 'We 08:00-17:00', 'Th 07:00-16:00', 'Fr 08:00-12:00']",5,1,7 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/shades-valley-dermatology-530521648,
Anniston Dermatology Center,(205) 988-3733,,http://www.drstacyhaynes.com,3825 Lorna Rd,Birmingham,AL,35244,,,,,['Mo-Th 08:30-16:00'],5,1,26 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/anniston-dermatology-center-12396173,
Parish Vein Laser Dermatology,(205) 822-6333,,http://www.spiderveinsbirmingham.com,3055 Lorna Rd,Birmingham,AL,35216,,,,,['Mo-Fr 08:00-17:00'],,,28 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/parish-vein-laser-dermatology-464825382,"Alabama's premier vein and laser center since 1995.  All diagnostics and procedures are performed by Dr. Parish for optimum quality and care. Dr. Parish has over 20 years of experience in Spider Vein, Varicose Vein and Facial Vein treatments.  His vast experience crosses into Cosmetic Dermatology and he offers his patients the latest non invasive procedures for skin health and non invasive body contouring. Facial Fillers such as Restylane, Juvederm and Voluma as well as Botox Cosmetic and Dysport are available for younger looking skin.  Velashape Radiofreqeuncy and Venus Viva Fractionated Radiofreqeuncy for cellulite and fatty deposits as well as Tumescent Liposuction. Kythera for stubborn fat under the chin as well as physician grade products are available to restore your natural radiance.Laser Treatments for hair removal, age spots, sun damage, collagen restoration are the safest and latest cutting edge treatments available.Come Discover the Beauty of Modern Medicine."
Aesthetic Dermatology,(205) 588-7000,,http://www.dermatologistsofbirmingham.com,3570 Grandview Pkwy,Birmingham,AL,35243,,,,,"['Mo 09:00-16:30', 'Tu 08:30-16:00', 'We 09:00-16:00', 'Th 08:30-16:30', 'Fr 09:00-13:30']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/aesthetic-dermatology-525641343,"Marian E. Northington, MD and Gregory P. Bourgeois, MD We accept all major credit cards and care credit."
"Parish, Timothy D, MD",(205) 822-6333,,http://www.spiderveinsbirmingham.com,3055 Lorna Rd Ste 210,Birmingham,AL,35216,,,,,['Mo-Fr 09:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/parish-timothy-d-md-14300864,"Alabama's premier vein and laser center since 1995.  All diagnostics and procedures are performed by Dr. Parish for optimum quality and care. Dr. Parish has over 20 years of experience in Spider Vein, Varicose Vein and Facial Vein treatments.  His vast experience crosses into Cosmetic Dermatology and he offers his patients the latest non invasive procedures for skin health and non invasive body contouring. Facial Fillers such as Restylane, Juvederm and Voluma as well as Botox Cosmetic and Dysport are available for younger looking skin.  Velashape Radiofreqeuncy and Venus Viva Fractionated Radiofreqeuncy for cellulite and fatty deposits as well as Tumescent Liposuction. Kythera for stubborn fat under the chin as well as physician grade products are available to restore your natural radiance.Laser Treatments for hair removal, age spots, sun damage, collagen restoration are the safest and latest cutting edge treatments available.Come Discover the Beauty of Modern Medicine."
Southern Skies Dermatology and Surgery,(205) 838-1811,,http://southernskiesdermatology.com,48 Medical Park Dr E Ste 458,Birmingham,AL,35235,,,,,"['Mo-Th 08:00-16:30', 'Fr 08:00-12:00']",,,11 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/southern-skies-dermatology-and-surgery-514310481,Our motto is “Treating Patients in a Better Way” because we will never stop striving for improvement in our service to you.
"Carly Elston, MD",(205) 934-9999,,,500 22nd St S,Birmingham,AL,35233,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/carly-elston-md-553504446,
"Vijay Balakrishna, MD",(205) 934-5188,,,510 20th St S Ste 858,Birmingham,AL,35233,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/vijay-balakrishna-md-565403336,
"Elewski, Boni, MD",(205) 996-7546,,http://uabmedicine.org,2000 6th Ave S Fl 4,Birmingham,AL,35233,,,,,['Mo-Fr 09:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/elewski-boni-md-473218797,
