Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Roderick Walls & Associates LLC,(205) 251-0334,,http://www.wallscooplaw.com,2122 1st Ave N,Birmingham,AL,35203,https://www.facebook.com/pages/roderick-walls-and-associates/125344677529125,,,,['Mo-Fr 09:00-17:00'],,,24 Years,8 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/roderick-walls-associates-llc-5318786?lid=1001329554127,"At Roderick Walls & Associates, LLC our attorneys and staff understand and appreciate that with each client comes a unique set of circumstances and needs. We are a firm committed to fulfilling the needs of each of our clients through open communication and relationships built on trust. Roderick Walls & Associates, LLC 's areas of expertise are as a variant as the clients the firm serves. The firm provides professional, caring and experienced representation in a number of areas: Personal Injury, Automobile Accidents, Criminal Defense, DUI, Juvenile Offenses, Social Security Claims, Workmen's Compensation, Familly Law, Domestic Law, Child Support and Divorce"
Dave Smith Insurance Service Inc,(205) 833-1278,dsis@bellsouth.net,,9025 4th Ave S,Birmingham,AL,35206,https://www.facebook.com/guideone,,,,['Mo-Fr 08:00-17:00'],,,25 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/dave-smith-insurance-service-inc-11811008?lid=1000437178654,"Dave Smith Insurance has provided a wide variety of insurance products across the state of Alabama since 1979. Since then we have helped to provide our customers with friendly insurance services that they deserve, at quality prices."
Berkley Industrial Comp,(800) 448-5621,ccox@berkindcomp.com,https://www.berkindcomp.com,1 Metroplex Dr Ste 500,Birmingham,AL,35209,,,,,,,,34 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/berkley-industrial-comp-555634698,"In 1989, CGH Insurance Group formed American Mining Insurance Company and a niche company specializing in mining operations was born. A group of visionary insurance professionals began building a financially viable, stable insurance carrier offering primarily workers' compensation insurance, but also providing general liability, automobile and excess liability coverage. As it has grown and expanded geographically, the company has become the preferred provider of insurance coverage to many within the mining and aggregates industries. In 2007, CGH Insurance Group and its subsidiaries, including American Mining Insurance Company, were acquired by W. R. Berkley Corporation. American Mining distributes its insurance products through a network of local independent insurance agents in Alabama, Arizona, Colorado, Indiana, Kentucky, Maryland, Mississippi, Nevada, New Mexico, Pennsylvania, Tennessee, Utah and Virginia. Coverage underwritten by it includes workers  compensation, general liability, pollution, business automobile, commercial umbrella and a coal truckers' program. American Mining Insurance Company maintains a location in Homewood, Ala."
The Sheffield Group,(205) 991-7001,marthat@thesheffieldfund.com,,1800 Corporate Dr,Birmingham,AL,35242,,,,,['Mo-Fr 09:00-17:00'],,,30 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/the-sheffield-group-454098097,"The Sheffield Group, founded in 1993 and located in Birmingham, Ala., is one of the leading workers  compensation providers in the Southeast. The group has several offices in Alabama and Tennessee, and also serves clients having small minimum accounts and large accounts. It has various departments, including underwriting, billing and loss-control departments. The Sheffield Group also has audit, claims and customer service departments. The group also has a monthly reporting payment plan, and a seamless renewal process in which agents do not handle renewals. Its loss-control department mainly focuses on providing safer workplace to clients  employees. The loss-control department offers various customized safety programs for the clients."
McNeil Moore Inc,(205) 323-1511,customerfirst@amerigas.com,https://www.amerigas.com/propane-locations/amerigas-propane/al/birmingham,815 34th St N,Birmingham,AL,35222,,,,,['Mo-Fr 08:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/mcneil-moore-inc-537362954,
Yarbor John,(205) 945-8222,,,244 Goodwin Crest Dr Ste 107,Birmingham,AL,35209,,,,,['Mo-Fr 08:00-20:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/yarbor-john-479127689,
Worker's First Comp Fund,(205) 981-0086,david@workersfirst.net,https://www.workersfirst.net/contact-workers.php,4314 Eagle Point Pkwy,Birmingham,AL,35242,,,,,['Mo-Fr 08:00-17:00'],,,58 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/workers-first-comp-fund-6404671,
Blue Cross & Blue Shield,(888) 566-1310,,http://www.bcbs.com,,Birmingham,AL,35203,,,,,['Mo-Fr 08:00-16:30'],1,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/blue-cross-blue-shield-16783879,
McGriff Seibels & Williams Inc,(205) 252-9871,rdrew@mcgriff.com,http://www.mcgriff.com,2211 7th Ave S,Birmingham,AL,35233,,,,,['Mo-Fr 09:00-17:00'],,,120 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/mcgriff-seibels-williams-inc-14822839,"McGriff, Seibels & Williams is an insurance brokerage that offers a variety of programs designed to protect clients  financial interests. The company provides property and casualty insurance, employee benefits, life and pension plans, financial services and surety products. Its areas of expertise include energy and marine, financial services, commercial, construction risk, surety, health care and public entities. McGriff, Seibels & Williams was founded in 1886 and is based in Birmingham, Ala. The company maintains additional offices in Dallas, Houston, Atlanta, St. Louis and Irvine, Calif. It is a part of BB&T."
Insurance Place,(205) 995-1956,joyce@newhomesusa.net,http://www.insuranceplacealabama.com,2225 Cahaba Valley Dr,Birmingham,AL,35242,,,,,,,,34 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/insurance-place-528983228,"Home owners insurance, Auto insurance, Business insurance, Life insurance, Motorcycle insurance, Boat insurance, Workers compensation & Bonds."
Assurance Financial Solutions,(205) 578-2097,sam@afslife.com,http://www.afslife.com,2140 11th Ave South Suite 200,Birmingham,AL,35205,,,,,['Mo-Fr 09:00-17:00'],,,11 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/assurance-financial-solutions-564114132,"Every day, I enjoy working to protect families and businesses in Alabama. I believe the best way I can provide that service to my clientele is by working as an independent agent with access to over 30 of the most trusted, A+ rated, insurance companies in the industry. This allows me to approach every person as an individual with unique needs and work together to put a plan in place without the bias that comes from being an employee of an insurance company. Don't make the assumption that all insurance companies are essentially the same or charge the same premiums. Picking the right company for you can mean thousands of dollars in savings over the life of the policy or even whether you get insurance at all. Services We Provide: __________________________________________________  Protecting your family:  - Life insurance including term and permanent options to fit your need.  - Short/long-term DI - Long-term care (Chronic Illness) - Critical Illness(cancer, stroke, and heart attack among others) __________________________________________________ Protecting your Business:  - Employee retention incentives including executive bonus/deferred compensation agreements.  - Key person  - Buy/sell agreements.  - Insurance reviews. __________________________________________________  Protecting Your Employees:  - Tax-Deferred retirement options including 401(k) and pension plans. - Group benefits including life, health, short/long-term disability, dental, eye, and critical illness."
