Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
JR Live Lighting & Event Design,(205) 719-9991,Jrlivecreativeeventsolutions@Gmail.Com,http://www.jrlivecreativeeventsolutions.com,201 Beacon Pkwy W Ste 315,Birmingham,AL,35209,https://www.facebook.com/jrlivecreativeeventsolutions,,,,"['Mo-Fr 09:00-17:00', 'Sa 10:00-13:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/jr-live-lighting-event-design-525166160?lid=1001451947586,"You deserve the best for you and your guest at your event or  your celebration. JR Live Lighting Event Design can provide you with the best results you deserve. Our Event Design services can bring you new and creative ideas to any function. From Galas, weddings, schools, private and corporate function and parties. We bring the best to any style event."
Feel The Beat Entertainment,(205) 678-0845,sales@feelthebeat.com,http://www.feelthebeat.com,,Birmingham,AL,35209,https://www.facebook.com/feelthebeatentertainment,,,,['Mo-Fr 09:00-17:00'],,,20 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/feel-the-beat-entertainment-506120433?lid=1000978972237,"Feel the Beat cares. As you begin your search for a Disc Jockey, you will begin to realize that there is a big difference between Feel The Beat and other DJ's and DJ companies. We are a full service Entertainment Company. We can provide the Music, Lighting and even a photo booth for your event."
Exterminator Sound & Lighting,(205) 822-7476,command5@charter.net,https://www.facebook.com/ExterminatorSoundAndLighting/info?tab=page_info,3954 S Shades Crest Rd,Hoover,AL,35244,https://www.facebook.com/ExterminatorSoundAndLighting,,,,['Mo-Su'],,,18 Years,,,,,https://www.yellowpages.com/hoover-al/mip/exterminator-sound-lighting-10136155?lid=1001021595133,We can design a show to meet your specific needs. We also do children birthday parties.
"JAMM Entertainment Services, Inc",(205) 856-5266,greatparties@jamm.net,http://www.jamm.net,3246 Cahaba Heights Rd,Birmingham,AL,35243,,,,,['Mo-Fr 09:00-17:00'],,,39 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/jamm-entertainment-services-inc-481066937,
Magic City Sound and Entertainment,(205) 538-6222,bwarren16@ymail.com,,Birmingham Area,Birmingham,AL,35208,,,,,,1,1,12 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/magic-city-sound-and-entertainment-497754583,
Black Tie Entertainment,(205) 810-1283,,,2117 Roberta Rd,Birmingham,AL,35214,,,,,,,,6 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/black-tie-entertainment-533927389,"Whether you are planning a wedding, bar or bat mitzvah, graduation party, birthday party, reunion, anniversary party, retirement, fund-raising event, school dance, or corporate function, Black Tie Entertainment will help make your event a success.  A DJ is much more than music. Our professionals know how to keep your guests entertained while making sure that your event progresses smoothly from start to finish. Having an emcee who can work in sync with your vendors is essential.  We're FUN, entertaining and just the thing to make your event a memorable, unique and unforgettable experience. We're a GREAT value, have a BIG music selection and provide AWESOME customer service! Not only that, when you book an event with us, you get an experienced DJ with a music background."
Ricky Kirkland,(205) 566-4396,djrickflair205@gmail.com,,1136 Woodslee St,Birmingham,AL,35215,,,,,,,,10 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/ricky-kirkland-496329999,
Skyline Exhibits & Graphics,(205) 595-9094,rbinal@aol.com,https://www.skyline.com/birmingham-huntsville-al,3616 5th Ave S,Birmingham,AL,35222,,,,,['Mo-Fr 09:00-17:00'],,,75 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/skyline-exhibits-graphics-452523997,
Aqua Mobile DJ Service,(205) 382-5326,aquagroup12@gmail.com,http://www.instagram.com/aquadjs,,Birmingham,AL,35209,,,,,"['Mo-Fr 06:00-22:00', 'Sa 06:00-23:00', 'Su 08:00-22:30']",,,12 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/aqua-mobile-dj-service-505051826,
DJ BOXHEAD,(205) 915-9869,DJboxhead1@gmail.com,http://djboxhead.net,,Birmingham,AL,35203,,,,,['Mo-Su'],5,9,10 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/dj-boxhead-480290908,"DJ Boxhead is a DJ service for all your party and business needs. From young to old, our team has the sound that will complete your event at a fair price. VISIT http://djboxhead.net/"
Music-Techniques Productions,(205) 933-8866,,,2110 14th Ave S,Birmingham,AL,35205,,,,,,,,37 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/music-techniques-productions-10942424,
RUMBA NITE CLUB,(205) 223-1205,,,800 gadsden Hwy,Birmingham,AL,35235,,,,,['Mo-Su'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/rumba-nite-club-22739933,
Hit Me With Music Entertainment,(205) 677-8356,,http://www.hitmewithmusic.net,4001 Greenside Trce,Hoover,AL,35226,,,,,['Mo-Su 09:00-20:30'],,,,,,,,https://www.yellowpages.com/hoover-al/mip/hit-me-with-music-entertainment-560816647,
Top Games Alabama LLC,(205) 285-8500,info@topgamesalabama.com,,1058 Main St,Gardendale,AL,35071,,,,,"['Mo-Sa 10:00-20:00', 'Su 12:00-17:00']",4.5,6,20 Years,,,,,https://www.yellowpages.com/gardendale-al/mip/top-games-alabama-llc-45390,
Moon Men DJS,(205) 222-1316,,https://www.kevinkeyspeaks.com,112 Moss Rock Ln,Irondale,AL,35210,,,,,,,,,,,,,https://www.yellowpages.com/irondale-al/mip/moon-men-djs-13248408,
Pat Patrick Promotions,(205) 823-3435,pppyves@aol.com,http://www.patpatrickpromotions.com,1129 Empire Ln,Hoover,AL,35226,,,,,,5,1,25 Years,,,,,https://www.yellowpages.com/hoover-al/mip/pat-patrick-promotions-10975386,"Birmingham's Favorite Entertainment Headquarters"" Over the Mountain and Beyond... Music & Lights- Sinning Your favorite CD's/Karaoke. Weddings, Corporate Parties, Special Events, Kids & Adults Brithdays, Holiday Parties, Live Bands"
Amerson Events DJ Service,(205) 508-0525,PartyPro@amersonevents.com,http://www.amersonevents.com,,,,,,,,,,,,,,,,,https://www.yellowpages.com/nationwide/mip/amerson-events-dj-service-456868352,"Let our 21 years of professional experience guide the journey through  your first few hours of married life that people will talk about through  your golden anniversary.  Do you want a very formal sit down reception or a party of all parties  or maybe somewhere in between? Does your family have wedding traditions  you want to incorporate? What are your favorite songs? What songs remind  you of previous relationships so we don't play them? These are just a  couple of questions we ask when meeting with you. To have an enjoyable  wedding and reception it comes down to planning and attention to  details. With over 800 receptions in the last 21 years, experience  teaches us how to make your reception fun for not only the bride and  groom but also your guests.  Call or email us so we may assist you in making your reception what you  have dreamed of."
Depeche Mode Enterprises,(205) 567-9400,,,,,,,,,,,,,,,,,,,https://www.yellowpages.com/nationwide/mip/depeche-mode-enterprises-560632107,
Spectacular Entertainment,(205) 538-6222,,http://c.ypcdn.com/2/c/rtd?vrid=tcw3whj4mc&rid=4f249f27-f0fb-40ee-8653-8760754be9a6&ptid=tcw3whj4mc&ypid=506120433&lid=1000951190681&tl=6&lsrc=SE&dest=http%3A%2F%2Fwww.feelthebeatentertainment.com%2F,,,,,,,,,['Mo-Fr 08:00-20:00'],,,,,,,,https://www.yellowpages.com/nationwide/mip/spectacular-entertainment-561320714,
Chosen One Entertainment,(205) 397-7304,,,,,,,,,,,,,,,,,,,https://www.yellowpages.com/nationwide/mip/chosen-one-entertainment-12619377,
SO HOOD ENTERTAINMENT,(205) 368-3551,sohoodentertainment@live.com,http://www.sohoodent.com,,,,,,,,,['Mo-Su'],,,18 Years,,,,,https://www.yellowpages.com/nationwide/mip/so-hood-entertainment-22788318,"ONE OF THE HOTTEST DJ'S AROUND.MASTER OF BLUES,R&B &RAP.(MAKIN' IT DO WHAT IT DO)"
Platinum Entertainment,(205) 965-0412,,https://www.platinumentnow.com,,,,,,,,,,,,,,,,,https://www.yellowpages.com/nationwide/mip/platinum-entertainment-13312211,
Digital DJ & Karaoke,(205) 706-7307,,,,,,,,,,,,,,,,,,,https://www.yellowpages.com/nationwide/mip/digital-dj-karaoke-18882982,
Executiv D J's,(205) 533-7647,,,,,,,,,,,,,,13 Years,,,,,https://www.yellowpages.com/nationwide/mip/executiv-d-js-19576823,
Aaron's Wedding Entertainment,(205) 370-8688,,,,,,,,,,,,,,,,,,,https://www.yellowpages.com/nationwide/mip/aarons-wedding-entertainment-20572315,
Sonic Boom Entertainment,(205) 681-4904,,,,,,,,,,,,,,,,,,,https://www.yellowpages.com/nationwide/mip/sonic-boom-entertainment-23213141,
Depeche Mode Enterprises,(205) 567-9400,,,,,,,,,,,,,,,,,,,https://www.yellowpages.com/nationwide/mip/depeche-mode-enterprises-466227373,
Services Premier,(205) 908-3972,,,,,,,,,,,,,,,,,,,https://www.yellowpages.com/nationwide/mip/services-premier-468547673,
Innovative Productions,(205) 229-0785,,,,,,,,,,,,,,,,,,,https://www.yellowpages.com/nationwide/mip/innovative-productions-6190237,
Anthologysounddivision,(205) 249-9229,,,,,,,,,,,,,,,,,,,https://www.yellowpages.com/nationwide/mip/anthologysounddivision-467189921,
JR Live Lighting & Event Design,(205) 719-9991,Jrlivecreativeeventsolutions@Gmail.Com,http://www.jrlivecreativeeventsolutions.com,201 Beacon Pkwy W Ste 315,Birmingham,AL,35209,https://www.facebook.com/jrlivecreativeeventsolutions,,,,"['Mo-Fr 09:00-17:00', 'Sa 10:00-13:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/jr-live-lighting-event-design-525166160?lid=1001451947586,"You deserve the best for you and your guest at your event or  your celebration. JR Live Lighting Event Design can provide you with the best results you deserve. Our Event Design services can bring you new and creative ideas to any function. From Galas, weddings, schools, private and corporate function and parties. We bring the best to any style event."
Feel The Beat Entertainment,(205) 678-0845,sales@feelthebeat.com,http://www.feelthebeat.com,,Birmingham,AL,35209,https://www.facebook.com/feelthebeatentertainment,,,,['Mo-Fr 09:00-17:00'],,,20 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/feel-the-beat-entertainment-506120433?lid=1000978972237,"Feel the Beat cares. As you begin your search for a Disc Jockey, you will begin to realize that there is a big difference between Feel The Beat and other DJ's and DJ companies. We are a full service Entertainment Company. We can provide the Music, Lighting and even a photo booth for your event."
Exterminator Sound & Lighting,(205) 822-7476,command5@charter.net,https://www.facebook.com/ExterminatorSoundAndLighting/info?tab=page_info,3954 S Shades Crest Rd,Hoover,AL,35244,https://www.facebook.com/ExterminatorSoundAndLighting,,,,['Mo-Su'],,,18 Years,,,,,https://www.yellowpages.com/hoover-al/mip/exterminator-sound-lighting-10136155?lid=1001021595133,We can design a show to meet your specific needs. We also do children birthday parties.
"JAMM Entertainment Services, Inc",(205) 856-5266,greatparties@jamm.net,http://www.jamm.net,3246 Cahaba Heights Rd,Birmingham,AL,35243,,,,,['Mo-Fr 09:00-17:00'],,,39 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/jamm-entertainment-services-inc-481066937,
Magic City Sound and Entertainment,(205) 538-6222,bwarren16@ymail.com,,Birmingham Area,Birmingham,AL,35208,,,,,,1,1,12 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/magic-city-sound-and-entertainment-497754583,
Black Tie Entertainment,(205) 810-1283,,,2117 Roberta Rd,Birmingham,AL,35214,,,,,,,,6 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/black-tie-entertainment-533927389,"Whether you are planning a wedding, bar or bat mitzvah, graduation party, birthday party, reunion, anniversary party, retirement, fund-raising event, school dance, or corporate function, Black Tie Entertainment will help make your event a success.  A DJ is much more than music. Our professionals know how to keep your guests entertained while making sure that your event progresses smoothly from start to finish. Having an emcee who can work in sync with your vendors is essential.  We're FUN, entertaining and just the thing to make your event a memorable, unique and unforgettable experience. We're a GREAT value, have a BIG music selection and provide AWESOME customer service! Not only that, when you book an event with us, you get an experienced DJ with a music background."
Ricky Kirkland,(205) 566-4396,djrickflair205@gmail.com,,1136 Woodslee St,Birmingham,AL,35215,,,,,,,,10 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/ricky-kirkland-496329999,
Skyline Exhibits & Graphics,(205) 595-9094,rbinal@aol.com,https://www.skyline.com/birmingham-huntsville-al,3616 5th Ave S,Birmingham,AL,35222,,,,,['Mo-Fr 09:00-17:00'],,,75 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/skyline-exhibits-graphics-452523997,
Aqua Mobile DJ Service,(205) 382-5326,aquagroup12@gmail.com,http://www.instagram.com/aquadjs,,Birmingham,AL,35209,,,,,"['Mo-Fr 06:00-22:00', 'Sa 06:00-23:00', 'Su 08:00-22:30']",,,12 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/aqua-mobile-dj-service-505051826,
DJ BOXHEAD,(205) 915-9869,DJboxhead1@gmail.com,http://djboxhead.net,,Birmingham,AL,35203,,,,,['Mo-Su'],5,9,10 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/dj-boxhead-480290908,"DJ Boxhead is a DJ service for all your party and business needs. From young to old, our team has the sound that will complete your event at a fair price. VISIT http://djboxhead.net/"
Music-Techniques Productions,(205) 933-8866,,,2110 14th Ave S,Birmingham,AL,35205,,,,,,,,37 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/music-techniques-productions-10942424,
RUMBA NITE CLUB,(205) 223-1205,,,800 gadsden Hwy,Birmingham,AL,35235,,,,,['Mo-Su'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/rumba-nite-club-22739933,
Hit Me With Music Entertainment,(205) 677-8356,,http://www.hitmewithmusic.net,4001 Greenside Trce,Hoover,AL,35226,,,,,['Mo-Su 09:00-20:30'],,,,,,,,https://www.yellowpages.com/hoover-al/mip/hit-me-with-music-entertainment-560816647,
Top Games Alabama LLC,(205) 285-8500,info@topgamesalabama.com,,1058 Main St,Gardendale,AL,35071,,,,,"['Mo-Sa 10:00-20:00', 'Su 12:00-17:00']",4.5,6,20 Years,,,,,https://www.yellowpages.com/gardendale-al/mip/top-games-alabama-llc-45390,
Moon Men DJS,(205) 222-1316,,https://www.kevinkeyspeaks.com,112 Moss Rock Ln,Irondale,AL,35210,,,,,,,,,,,,,https://www.yellowpages.com/irondale-al/mip/moon-men-djs-13248408,
