Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Latta Plumbing Service,(205) 386-4146,svc@lattaplumbing.com,http://www.lattaplumbing.com,333 Decatur Hwy,Gardendale,AL,35071,https://www.facebook.com/LattaPlumbing,,,,['Mo-Fr 07:00-17:00'],,,42 Years,10 Years ,,,Accredited Business,https://www.yellowpages.com/gardendale-al/mip/latta-plumbing-service-4231854?lid=1000114303190,"Latta Plumbing is your number one source for all plumbing and piping needs in the greater Birmingham, Alabama area. We serve Birmingham and the surrounding communities for residential repair and service, and the entire Southeast for Commercial plumbing work. We are 100% committed to your satisfaction as our valued customer, and we are dedicated to providing you with the best plumbing and repair service in Birmingham. We guarantee that any plumbing job we undertake will be done right, and that it will be performed with the utmost professionalism. We are a company of dedicated individuals that take pride in our work and reputation."
Sentry Heating Air Conditioning Plumbing & Generators,(205) 588-7335,service@sentryheating.com,http://sentryheating.com,2490 Rocky Ridge Rd,Vestavia,AL,35243,https://www.facebook.com/sentryheating,,,,['Mo-Fr 07:30-17:30'],,,36 Years,10 Years ,,,Accredited Business,https://www.yellowpages.com/vestavia-al/mip/sentry-heating-air-conditioning-plumbing-generators-467216580?lid=1000258269022,"Sentry was founded in 1987 by Charlie Conklin on the principle of providing fast and reliable 24 hour 7 days a week service with professional uniformed technicians. The Sentry logo is the Comfort Guard symbol showcasing the commitment to providing Solutions not Excuses for all your HVAC, Plumbing and Generator needs. In 2003 Michael Tortomase joined Charlie and the Sentry team to add on a plumbing division. Michael brings over 30 years of plumbing, management and customer service expertise. Sentry prides itself in taking the time to do every job the right way the first time and going the extra mile to ensure every customer is happy of the work that was performed. You will always encounter clean, friendly and well trained technicians when you call Sentry. Sentry, “On Guard for your Comfort”."
Keith The Plumber LLC,(205) 538-2888,keith@keiththeplumberllc.com,http://www.keith-the-plumber.com,736 N Pine Hill Rd,Birmingham,AL,35217,https://www.facebook.com/KeithThePlumberLLC/,,,,['Mo-Su'],5,34,,4 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/keith-the-plumber-llc-533468474?lid=1002004322996,"When you choose Keith the Plumber, you can expect an experienced plumber, with an active state of Alabama plumbing license to arrive on-time. Whether you are having a water heater problem, clogged drain, or just a dripping faucet, you can rest assured that Keith the plumber knows the codes, has a well stocked truck, and is ready to go to work with professional efficiency."
Hoover Plumbing,(205) 683-1670,hooverplumbing@hotmail.com,http://www.hoover-plumbing.com,111 David Green Rd,Birmingham,AL,35244,https://www.facebook.com/Hoover-Plumbing-LLC-268845869799413,,,,['Mo-Fr 07:00-17:00'],5,1,38 Years,11 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/hoover-plumbing-8861712?lid=213402063,"When we look for someone to do work at our homes, we always make sure we do business with local companies. You can do the same! We are a Hoover-based company, with Over the Mountains ties for over 25 years. Neighbors working with neighbors. We will treat you as a customer as we would expect to be treated; with respect, fairness, and honesty. Let us be your plumbers of choice."
Roto-Rooter Plumbing & Water Cleanup,(205) 510-7222,,https://www.rotorooter.com/birmingham/,505 20th St N,Birmingham,AL,35203,https://www.facebook.com/RotoRooter.BirminghamAL/reviews/,,,,['Mo-Su'],,,88 Years,8 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/roto-rooter-plumbing-water-cleanup-552443146?lid=1002117195607,"When homeowners & businesses in Birmingham need a plumber near them, they call Roto-Rooter. We are available 24 hours a day, 7 days a week. Offering emergency plumbing services and drain cleaning solutions, without an extra charge for nights, weekends or holidays."
Ben's Plumbing Inc,(205) 833-8311,bensplumbinginc@gmail.com,,460 Exeter Dr,Birmingham,AL,35206,,,,,['Mo-Fr 08:00-17:00'],,,24 Years,11 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/bens-plumbing-inc-6297809?lid=355581748,Call Ben's Plumbing for all your plumbing needs...whether it be a general repair and adding new plumbing. We have been in business for over 20 years and our staff is professional and courteous. We are family owned and operated business. Call us for today for quality service.
"Standard Air, Plumbing, Insulation",(205) 322-2679,,https://www.standardheatingandairconditioning.com,520 8th St S,Birmingham,AL,35233,https://www.facebook.com/WeSetTheStandard1939,,,,"['Mo-Fr 07:00-17:00', 'Sa 07:30-15:00']",3.5,6,84 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/standard-air-plumbing-insulation-467106130?lid=1000437173736,"Birmingham, AL residents need their plumbing, heating, and AC systems functioning properly for comfort at home. For quality work and friendly customer service, trust Standard Air, Plumbing & Insulation. They offer repairs, replacements, installations, and maintenance services on all of your equipment to keep your home clean, comfortable, and safe all year long. Whether you are dealing with clogged drains, a malfunctioning heater or AC, bad indoor air quality, or poor insulation, their team of professional technicians can provide a fast and effective fix. All technicians are NATE-certified, so you can trust that your home is in good hands with Standard Air, Plumbing & Insulation. Call today to see how they can help you!"
Stephens Plumbing Inc,(205) 956-6882,joe@stephensplumbing.com,http://www.stephens-plumbing.com,2070 Montevallo Rd SW,Birmingham,AL,35211,https://www.facebook.com/pages/stephens-plumbing-inc/191591870893050,,,,['Mo-Fr 07:00-15:30'],4,7,46 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/stephens-plumbing-inc-12803610?lid=1001083210254,
Latta Plumbing Service,(205) 386-4146,svc@lattaplumbing.com,http://www.lattaplumbing.com,333 Decatur Hwy,Gardendale,AL,35071,https://www.facebook.com/LattaPlumbing,,,,['Mo-Fr 07:00-17:00'],,,42 Years,10 Years ,,,Accredited Business,https://www.yellowpages.com/gardendale-al/mip/latta-plumbing-service-4231854?lid=1000114303190,"Latta Plumbing is your number one source for all plumbing and piping needs in the greater Birmingham, Alabama area. We serve Birmingham and the surrounding communities for residential repair and service, and the entire Southeast for Commercial plumbing work. We are 100% committed to your satisfaction as our valued customer, and we are dedicated to providing you with the best plumbing and repair service in Birmingham. We guarantee that any plumbing job we undertake will be done right, and that it will be performed with the utmost professionalism. We are a company of dedicated individuals that take pride in our work and reputation."
Sentry Heating Air Conditioning Plumbing & Generators,(205) 588-7335,service@sentryheating.com,http://sentryheating.com,2490 Rocky Ridge Rd,Vestavia,AL,35243,https://www.facebook.com/sentryheating,,,,['Mo-Fr 07:30-17:30'],,,36 Years,10 Years ,,,Accredited Business,https://www.yellowpages.com/vestavia-al/mip/sentry-heating-air-conditioning-plumbing-generators-467216580?lid=1000258269022,"Sentry was founded in 1987 by Charlie Conklin on the principle of providing fast and reliable 24 hour 7 days a week service with professional uniformed technicians. The Sentry logo is the Comfort Guard symbol showcasing the commitment to providing Solutions not Excuses for all your HVAC, Plumbing and Generator needs. In 2003 Michael Tortomase joined Charlie and the Sentry team to add on a plumbing division. Michael brings over 30 years of plumbing, management and customer service expertise. Sentry prides itself in taking the time to do every job the right way the first time and going the extra mile to ensure every customer is happy of the work that was performed. You will always encounter clean, friendly and well trained technicians when you call Sentry. Sentry, “On Guard for your Comfort”."
