Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
"Wiatrak, Brian",(205) 638-4949,,https://www.childrensal.org/,1940 Elmer J Bissell Rd,Birmingham,AL,35243,https://www.facebook.com/childrenshospitalofalabama,,,,['Mo-Fr 06:00-16:00'],,,112 Years,6 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/wiatrak-brian-18408245?lid=1002161598614,"Children’s of Alabama has provided specialized medical care for ill and injured children across the state and throughout the southeastern U.S. since 1911. For the past three years, Children’s has been ranked among the best children’s hospital programs in the nation by US News & World Report. Last year, patients made more than 634,000 outpatient and nearly 14,000 inpatient visits to Children’s from every county in Alabama and from 47 other states. With more than 2 million square feet, it is the third largest pediatric medical facility in the U.S. Children’s offers inpatient and outpatient services across its Russell Campus on Birmingham’s historic Southside with additional outpatient services provided at Children’s South and Children’s on 3rd. Primary care is provided at more than a dozen medical offices in communities across central Alabama. Children’s of Alabama is the only medical center in Alabama dedicated solely to the care and treatment of children. It is a private, not-for-profit medical center that serves as the primary site of the University of Alabama at Birmingham (UAB) pediatric medicine, surgery, research and residency programs. Children’s recently moved much of its inpatient services into a new building named The Benjamin Russell Hospital for Children."
"Kulbersh, Brian",(205) 638-4949,,https://www.childrensal.org/,1940 Elmer J Bissell Rd 2nd Fl,Birmingham,AL,35243,https://www.facebook.com/childrenshospitalofalabama,,,,['Mo-Fr 08:00-17:00'],,,112 Years,6 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/kulbersh-brian-474485150?lid=1002161598593,"Children’s of Alabama has provided specialized medical care for ill and injured children across the state and throughout the southeastern U.S. since 1911. For the past three years, Children’s has been ranked among the best children’s hospital programs in the nation by US News & World Report. Last year, patients made more than 634,000 outpatient and nearly 14,000 inpatient visits to Children’s from every county in Alabama and from 47 other states. With more than 2 million square feet, it is the third largest pediatric medical facility in the U.S. Children’s offers inpatient and outpatient services across its Russell Campus on Birmingham’s historic Southside with additional outpatient services provided at Children’s South and Children’s on 3rd. Primary care is provided at more than a dozen medical offices in communities across central Alabama. Children’s of Alabama is the only medical center in Alabama dedicated solely to the care and treatment of children. It is a private, not-for-profit medical center that serves as the primary site of the University of Alabama at Birmingham (UAB) pediatric medicine, surgery, research and residency programs. Children’s recently moved much of its inpatient services into a new building named The Benjamin Russell Hospital for Children."
"Smith, Nicholas",(205) 638-4949,,https://www.childrensal.org/,1940 Elmer J Bissell Rd 2nd Fl,Birmingham,AL,35243,https://www.facebook.com/childrenshospitalofalabama,,,,['Mo-Fr 08:00-17:00'],,,112 Years,6 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/smith-nicholas-474503368?lid=1002161599016,"Children’s of Alabama has provided specialized medical care for ill and injured children across the state and throughout the southeastern U.S. since 1911. For the past three years, Children’s has been ranked among the best children’s hospital programs in the nation by US News & World Report. Last year, patients made more than 634,000 outpatient and nearly 14,000 inpatient visits to Children’s from every county in Alabama and from 47 other states. With more than 2 million square feet, it is the third largest pediatric medical facility in the U.S. Children’s offers inpatient and outpatient services across its Russell Campus on Birmingham’s historic Southside with additional outpatient services provided at Children’s South and Children’s on 3rd. Primary care is provided at more than a dozen medical offices in communities across central Alabama. Children’s of Alabama is the only medical center in Alabama dedicated solely to the care and treatment of children. It is a private, not-for-profit medical center that serves as the primary site of the University of Alabama at Birmingham (UAB) pediatric medicine, surgery, research and residency programs. Children’s recently moved much of its inpatient services into a new building named The Benjamin Russell Hospital for Children."
"Woolley, Audie",(205) 638-4949,,https://www.childrensal.org/,1940 Elmer J Bissell Rd 2nd Fl,Birmingham,AL,35243,https://www.facebook.com/childrenshospitalofalabama,,,,['Mo-Fr 09:00-17:00'],,,112 Years,6 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/woolley-audie-7927308?lid=1002161598574,"Children’s of Alabama has provided specialized medical care for ill and injured children across the state and throughout the southeastern U.S. since 1911. For the past three years, Children’s has been ranked among the best children’s hospital programs in the nation by US News & World Report. Last year, patients made more than 634,000 outpatient and nearly 14,000 inpatient visits to Children’s from every county in Alabama and from 47 other states. With more than 2 million square feet, it is the third largest pediatric medical facility in the U.S. Children’s offers inpatient and outpatient services across its Russell Campus on Birmingham’s historic Southside with additional outpatient services provided at Children’s South and Children’s on 3rd. Primary care is provided at more than a dozen medical offices in communities across central Alabama. Children’s of Alabama is the only medical center in Alabama dedicated solely to the care and treatment of children. It is a private, not-for-profit medical center that serves as the primary site of the University of Alabama at Birmingham (UAB) pediatric medicine, surgery, research and residency programs. Children’s recently moved much of its inpatient services into a new building named The Benjamin Russell Hospital for Children."
Ent & Allergy Associates PC,(205) 776-3131,,,516 Brookwood Blvd,Birmingham,AL,35209,https://www.facebook.com/pages/ent-allergy-associates-pc/727960377305883,,,,"['Mo 08:00-18:00', 'Tu-We 08:00-17:00', 'Th 07:00-17:00']",,,35 Years,8 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/ent-allergy-associates-pc-503951243?lid=1001329776492,Been in business for over 30 years
"Hoover Ear, Nose and Throat Associates, P.C.",(205) 733-9595,,http://www.hooverent.com,2116 Data Park Cir,Birmingham,AL,35244,,,,,['Mo-Fr 09:00-17:00'],,,33 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/hoover-ear-nose-and-throat-associates-p-c-21802193,It is our mission to provide exceptional services and to treat each patient with respect and integrity. We believe that it is our obligation to help our patients hear their very best through education and proper expectations.
ENT Associates Of Alabama PC,(205) 933-9236,,http://www.entalabama.com,833 Saint Vincents Dr,Birmingham,AL,35205,,,,,['Mo-Fr 09:00-17:00'],,,20 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/ent-associates-of-alabama-pc-451062803,Central Toll Free Appointment Line 888-368-5020
ENT Associates Of Alabama PC,(205) 591-8260,,http://www.entalabama.com,880 Montclair Rd,Birmingham,AL,35213,,,,,['Mo-Fr 08:00-17:00'],,,16 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/ent-associates-of-alabama-pc-17533736,"ENT Associates of Alabama, P.C. is one of the largest otolaryngology practices in north central Alabama. The center treats general ear, nose, throat, head and neck diseases. Based in Birmingham, Ala., it also undertakes cosmetic surgeries. ENT Associates of Alabama, P.C. performs numerous procedures, including voice restoration, microdermabrasion, endoscopic sinus surgery, septoplasty and laser skin resurfacing. The center participates in various insurance plans, including BlueCross BlueShield PMD, Medicaid, Health Partners and United Health Care, among others."
Excel ENT Homewood,(205) 776-3131,,https://www.excelental.com/?utm_source=Core70&utm_medium=organic&utm_campaign=WebsiteURL,509 Brookwood Blvd # 101,Birmingham,AL,35209,,,,,"['Mo-Th 08:00-17:00', 'Fr 08:00-12:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/excel-ent-homewood-572087467,"At Excel ENT of Alabama, we specialize in providing both adult and pediatric care for a variety of Ear, Nose, and Throat conditions, such as sinusitis, ear disorders, hearing loss, and throat and voice disorders. In addition, we offer custom-fitted hearing aids in the Homewood area to improve your hearing and quality of life. Contact us today to schedule an appointment with our experienced ENT team."
"Wiatrak, Brian",(205) 638-4949,,https://www.childrensal.org/,1940 Elmer J Bissell Rd,Birmingham,AL,35243,https://www.facebook.com/childrenshospitalofalabama,,,,['Mo-Fr 06:00-16:00'],,,112 Years,6 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/wiatrak-brian-18408245?lid=1002161598614,"Children’s of Alabama has provided specialized medical care for ill and injured children across the state and throughout the southeastern U.S. since 1911. For the past three years, Children’s has been ranked among the best children’s hospital programs in the nation by US News & World Report. Last year, patients made more than 634,000 outpatient and nearly 14,000 inpatient visits to Children’s from every county in Alabama and from 47 other states. With more than 2 million square feet, it is the third largest pediatric medical facility in the U.S. Children’s offers inpatient and outpatient services across its Russell Campus on Birmingham’s historic Southside with additional outpatient services provided at Children’s South and Children’s on 3rd. Primary care is provided at more than a dozen medical offices in communities across central Alabama. Children’s of Alabama is the only medical center in Alabama dedicated solely to the care and treatment of children. It is a private, not-for-profit medical center that serves as the primary site of the University of Alabama at Birmingham (UAB) pediatric medicine, surgery, research and residency programs. Children’s recently moved much of its inpatient services into a new building named The Benjamin Russell Hospital for Children."
