Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Astro Electric Co Inc,(205) 267-5789,PJL22940@Bellsouth.net,,1127 19th St N,Bessemer,AL,35020,https://www.facebook.com/pages/astro-electric/148988168477873,,,,['Mo-Fr 07:30-16:00'],5,1,37 Years,8 Years ,,,Accredited Business,https://www.yellowpages.com/bessemer-al/mip/astro-electric-co-inc-7925897?lid=1000935041167,"Commercial, Industrial, Utility Line, Recreational lighting, Derrick Trucks, Bucket Trucks, Rent with operator by the hour. Utility Poles in stock 30 Ft to 65 Ft. Contracting repairs & maintenance."
Reeve Electric Co Inc-,(205) 578-6668,bdelectricmotor@att.net,http://banddelectricmotorco.com/,2428 2nd Ave S,Birmingham,AL,35244,,,,,['Mo-Fr 07:00-15:00'],,,,7 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/reeve-electric-co-inc-467103442?lid=1001787274577,
DSLD Land Management,(205) 437-1012,David@dsldland.com,https://dsldland.com,,Birmingham,AL,35244,https://facebook.com/dsldlandmanagement/,,,,['Mo-Fr 08:00-17:00'],5,1,40 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/dsld-land-management-540845929?lid=1001396033280,"DSLD Land Management is a full service design/build landscape contractor firm located in Birmingham, Alabama. We have been family owned and operated since 1983 and pride ourselves in quality workmanship, constantly striving to deliver exceptional results for our clients."
Douglas Cooling & Heating Co,(205) 674-8918,,http://www.douglascoolingandheating.com,2065 Old Montgomery Hwy,Birmingham,AL,35244,https://www.facebook.com/pages/douglas-cooling-heating/121840911219724,,,,['Mo-Fr 07:30-18:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/douglas-cooling-heating-co-9818042?lid=1000437166219,
Astro Electric Co Inc,(205) 267-5789,PJL22940@Bellsouth.net,,1127 19th St N,Bessemer,AL,35020,https://www.facebook.com/pages/astro-electric/148988168477873,,,,['Mo-Fr 07:30-16:00'],5,1,37 Years,8 Years ,,,Accredited Business,https://www.yellowpages.com/bessemer-al/mip/astro-electric-co-inc-7925897?lid=1000935041167,"Commercial, Industrial, Utility Line, Recreational lighting, Derrick Trucks, Bucket Trucks, Rent with operator by the hour. Utility Poles in stock 30 Ft to 65 Ft. Contracting repairs & maintenance."
Sentry Heating Air Conditioning Plumbing & Generators,(205) 882-7621,service@sentryheating.com,http://www.sentryheating.com,2490 Rocky Ridge Rd,Vestavia,AL,35243,https://www.facebook.com/sentryheating,,,,['Mo-Fr 07:30-17:30'],,,36 Years,3 Years ,,,Accredited Business,https://www.yellowpages.com/vestavia-al/mip/sentry-heating-air-conditioning-plumbing-generators-467216580?lid=1002108325593,"Sentry was founded in 1987 by Charlie Conklin on the principle of providing fast and reliable 24 hour 7 days a week service with professional uniformed technicians. The Sentry logo is the Comfort Guard symbol showcasing the commitment to providing Solutions not Excuses for all your HVAC, Plumbing and Generator needs. In 2003 Michael Tortomase joined Charlie and the Sentry team to add on a plumbing division. Michael brings over 30 years of plumbing, management and customer service expertise. Sentry prides itself in taking the time to do every job the right way the first time and going the extra mile to ensure every customer is happy of the work that was performed. You will always encounter clean, friendly and well trained technicians when you call Sentry. Sentry, “On Guard for your Comfort”."
NewSouth Electric,(205) 914-8690,newsouthelectric@gmail.com,,2624 Murphrees Valley Rd,Springville,AL,35146,,,,,['Mo-Fr 09:00-16:00'],,,29 Years,,,,,https://www.yellowpages.com/springville-al/mip/newsouth-electric-487867988?lid=1001405867095,"Phillip Sargent, the owner, is a State of Alabama licensed Master Electrical Contractor.  Our service is provided with integrity.  Experience includes residential service calls, new construction, commercial and residential remodels, restaurants, churches and industrial plants."
Trinity Contractors Inc,(205) 923-6595,,,,,,,,,,,,,,,5 Years ,,,,https://www.yellowpages.com/nationwide/mip/trinity-contractors-inc-15088830?lid=1001933053055,
Christian Electric Service,(256) 563-4023,,https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1699340559305.d9108564&ADID=12302273&DEST=https%3A%2F%2Fchristianelectricservicesal.mydex.com%2FHHcLoUeTmAs&C=Electricians&T=Los%20Angeles&S=CA&PH=(256)%20563-4023&FL=url&TL=off&position=0&PS=1&PI=1&Results=FEED_CLCK&uid=d9108564-af15-4e0d-a54a-a7b6d3c9c693&REF=&IP=4.224.34.167&UserAgent=Mozilla%2F5.0,,,,,https://www.facebook.com/ChristianElectricService/,,,,['Mo-Fr 08:00-17:00'],5,1,15 Years,,,,Accredited Business,https://www.yellowpages.com/nationwide/mip/christian-electric-service-6962361?lid=1002158515277,"Being an electrician is a lot harder than it used to be. Ever-changing codes and increasing technology require today's technicians to receive continual training. At Christian Electric, we constantly invest in advanced education and training. A company that does not invest in education for its employees is not a company you want to do business with. You approve the price before we do the work. At Christian Electric, we quote you the full, competitive price of the job before we do the work. No more watching the meter run. No hourly charges, no overtime charges, no lowball phone estimates, and no hidden charges ever. Call us today to schedule service!"
TCB Electric,(256) 507-1541,,,4855 County Highway 9,Hayden,AL,35079,,,,,,5,7,33 Years,,,,,https://www.yellowpages.com/hayden-al/mip/tcb-electric-504918612?lid=1000904757269,Serving Cullman County and Surrounding Areas Commercial & Residential Licensed - Insured - Bonded Bucket Truck Service Lowest Rates Guaranteed Payments Available License # 10845
