Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
American Family Care,(205) 791-2273,,http://www.americanfamilycare.com,1664 Forestdale Blvd,Birmingham,AL,35214,https://www.facebook.com/afcforestdale,,,,['Mo-Su 08:00-18:00'],5,2,8 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/american-family-care-454105831?lid=1001520223508,"Established in 1982, American Family Care provides health care services to its patients. Located in Birmingham, Ala., the center offers a range of services, such as physical/manual therapy, sports medicine, neurological reconditioning and partial impairment ratings. It provides treatment for physical conditions, including joint injury, muscle strains, stroke and joint replacements. The center has a U-Save pharmacy and provides access to prescription medications, on-site at many of its clinics. American Family Care uses electronic medical records and has a high-tech, high touch, digital X-ray system and on-site lab."
American Family Care,(205) 637-2600,,https://www.afcurgentcare.com/locations/american-family-care-hoover,5569 Grove Blvd,Birmingham,AL,35226,https://www.facebook.com/AFCTheGrove,,,,['Mo-Su 08:00-18:00'],1,1,11 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/american-family-care-470219212?lid=1001520224045,
"Bolus, Theresa",(205) 329-7200,,https://www.childrensal.org/,1400 4th Ave S,Birmingham,AL,35233,https://www.facebook.com/childrenshospitalofalabama,,,,['Mo-Fr 09:00-17:00'],,,112 Years,6 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/bolus-theresa-458902795?lid=1002161598295,"Children’s of Alabama has provided specialized medical care for ill and injured children across the state and throughout the southeastern U.S. since 1911. For the past three years, Children’s has been ranked among the best children’s hospital programs in the nation by US News & World Report. Last year, patients made more than 634,000 outpatient and nearly 14,000 inpatient visits to Children’s from every county in Alabama and from 47 other states. With more than 2 million square feet, it is the third largest pediatric medical facility in the U.S. Children’s offers inpatient and outpatient services across its Russell Campus on Birmingham’s historic Southside with additional outpatient services provided at Children’s South and Children’s on 3rd. Primary care is provided at more than a dozen medical offices in communities across central Alabama. Children’s of Alabama is the only medical center in Alabama dedicated solely to the care and treatment of children. It is a private, not-for-profit medical center that serves as the primary site of the University of Alabama at Birmingham (UAB) pediatric medicine, surgery, research and residency programs. Children’s recently moved much of its inpatient services into a new building named The Benjamin Russell Hospital for Children."
"Beasley, Ashley Davis",(205) 329-7200,,https://www.childrensal.org/,1400 4th Ave S,Birmingham,AL,35233,https://www.facebook.com/childrenshospitalofalabama,,,,['Tu-Th 08:00-17:00'],,,112 Years,6 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/beasley-ashley-davis-503991460?lid=1002161598271,"Children’s of Alabama has provided specialized medical care for ill and injured children across the state and throughout the southeastern U.S. since 1911. For the past three years, Children’s has been ranked among the best children’s hospital programs in the nation by US News & World Report. Last year, patients made more than 634,000 outpatient and nearly 14,000 inpatient visits to Children’s from every county in Alabama and from 47 other states. With more than 2 million square feet, it is the third largest pediatric medical facility in the U.S. Children’s offers inpatient and outpatient services across its Russell Campus on Birmingham’s historic Southside with additional outpatient services provided at Children’s South and Children’s on 3rd. Primary care is provided at more than a dozen medical offices in communities across central Alabama. Children’s of Alabama is the only medical center in Alabama dedicated solely to the care and treatment of children. It is a private, not-for-profit medical center that serves as the primary site of the University of Alabama at Birmingham (UAB) pediatric medicine, surgery, research and residency programs. Children’s recently moved much of its inpatient services into a new building named The Benjamin Russell Hospital for Children."
"Peters, Elizabeth",(205) 870-1273,,https://www.childrensal.org/,3401 Independence Dr,Birmingham,AL,35209,https://www.facebook.com/childrenshospitalofalabama,,,,"['Mo-Fr 08:00-17:00', 'Sa 09:00-12:00']",,,16 Years,6 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/peters-elizabeth-451262970?lid=1002161598540,"Children’s of Alabama has provided specialized medical care for ill and injured children across the state and throughout the southeastern U.S. since 1911. For the past three years, Children’s has been ranked among the best children’s hospital programs in the nation by US News & World Report. Last year, patients made more than 634,000 outpatient and nearly 14,000 inpatient visits to Children’s from every county in Alabama and from 47 other states. With more than 2 million square feet, it is the third largest pediatric medical facility in the U.S. Children’s offers inpatient and outpatient services across its Russell Campus on Birmingham’s historic Southside with additional outpatient services provided at Children’s South and Children’s on 3rd. Primary care is provided at more than a dozen medical offices in communities across central Alabama. Children’s of Alabama is the only medical center in Alabama dedicated solely to the care and treatment of children. It is a private, not-for-profit medical center that serves as the primary site of the University of Alabama at Birmingham (UAB) pediatric medicine, surgery, research and residency programs. Children’s recently moved much of its inpatient services into a new building named The Benjamin Russell Hospital for Children."
"Habeeb, Judith",(205) 870-1273,,https://www.childrensal.org/,3401 Independence Dr,Birmingham,AL,35209,https://www.facebook.com/childrenshospitalofalabama,,,,['Mo-Fr 09:00-17:00'],,,25 Years,6 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/habeeb-judith-452499590?lid=1002161598492,"Children’s of Alabama has provided specialized medical care for ill and injured children across the state and throughout the southeastern U.S. since 1911. For the past three years, Children’s has been ranked among the best children’s hospital programs in the nation by US News & World Report. Last year, patients made more than 634,000 outpatient and nearly 14,000 inpatient visits to Children’s from every county in Alabama and from 47 other states. With more than 2 million square feet, it is the third largest pediatric medical facility in the U.S. Children’s offers inpatient and outpatient services across its Russell Campus on Birmingham’s historic Southside with additional outpatient services provided at Children’s South and Children’s on 3rd. Primary care is provided at more than a dozen medical offices in communities across central Alabama. Children’s of Alabama is the only medical center in Alabama dedicated solely to the care and treatment of children. It is a private, not-for-profit medical center that serves as the primary site of the University of Alabama at Birmingham (UAB) pediatric medicine, surgery, research and residency programs. Children’s recently moved much of its inpatient services into a new building named The Benjamin Russell Hospital for Children."
"Gilbert, Stacey",(205) 870-1273,,https://www.childrensal.org/,3401 Independence Dr,Birmingham,AL,35209,https://www.facebook.com/childrenshospitalofalabama,,,,['Mo-Fr 09:00-17:00'],,,19 Years,6 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/gilbert-stacey-474503366?lid=1002161598661,"Children’s of Alabama has provided specialized medical care for ill and injured children across the state and throughout the southeastern U.S. since 1911. For the past three years, Children’s has been ranked among the best children’s hospital programs in the nation by US News & World Report. Last year, patients made more than 634,000 outpatient and nearly 14,000 inpatient visits to Children’s from every county in Alabama and from 47 other states. With more than 2 million square feet, it is the third largest pediatric medical facility in the U.S. Children’s offers inpatient and outpatient services across its Russell Campus on Birmingham’s historic Southside with additional outpatient services provided at Children’s South and Children’s on 3rd. Primary care is provided at more than a dozen medical offices in communities across central Alabama. Children’s of Alabama is the only medical center in Alabama dedicated solely to the care and treatment of children. It is a private, not-for-profit medical center that serves as the primary site of the University of Alabama at Birmingham (UAB) pediatric medicine, surgery, research and residency programs. Children’s recently moved much of its inpatient services into a new building named The Benjamin Russell Hospital for Children."
"Russell, Gretel",(205) 870-1273,,https://www.childrensal.org/,3401 Independence Dr,Birmingham,AL,35209,https://www.facebook.com/childrenshospitalofalabama,,,,['Mo-Fr 08:00-17:00'],,,112 Years,6 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/russell-gretel-482246242?lid=1002161599055,"Children’s of Alabama has provided specialized medical care for ill and injured children across the state and throughout the southeastern U.S. since 1911. For the past three years, Children’s has been ranked among the best children’s hospital programs in the nation by US News & World Report. Last year, patients made more than 634,000 outpatient and nearly 14,000 inpatient visits to Children’s from every county in Alabama and from 47 other states. With more than 2 million square feet, it is the third largest pediatric medical facility in the U.S. Children’s offers inpatient and outpatient services across its Russell Campus on Birmingham’s historic Southside with additional outpatient services provided at Children’s South and Children’s on 3rd. Primary care is provided at more than a dozen medical offices in communities across central Alabama. Children’s of Alabama is the only medical center in Alabama dedicated solely to the care and treatment of children. It is a private, not-for-profit medical center that serves as the primary site of the University of Alabama at Birmingham (UAB) pediatric medicine, surgery, research and residency programs. Children’s recently moved much of its inpatient services into a new building named The Benjamin Russell Hospital for Children."
"Fettig, Christina",(205) 870-1273,,https://www.childrensal.org/,3401 Independence Dr,Birmingham,AL,35209,https://www.facebook.com/childrenshospitalofalabama,,,,['Mo-Fr 08:00-17:00'],,,112 Years,6 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/fettig-christina-482253881?lid=1002161598664,"Children’s of Alabama has provided specialized medical care for ill and injured children across the state and throughout the southeastern U.S. since 1911. For the past three years, Children’s has been ranked among the best children’s hospital programs in the nation by US News & World Report. Last year, patients made more than 634,000 outpatient and nearly 14,000 inpatient visits to Children’s from every county in Alabama and from 47 other states. With more than 2 million square feet, it is the third largest pediatric medical facility in the U.S. Children’s offers inpatient and outpatient services across its Russell Campus on Birmingham’s historic Southside with additional outpatient services provided at Children’s South and Children’s on 3rd. Primary care is provided at more than a dozen medical offices in communities across central Alabama. Children’s of Alabama is the only medical center in Alabama dedicated solely to the care and treatment of children. It is a private, not-for-profit medical center that serves as the primary site of the University of Alabama at Birmingham (UAB) pediatric medicine, surgery, research and residency programs. Children’s recently moved much of its inpatient services into a new building named The Benjamin Russell Hospital for Children."
"Mizerany, Kristin",(205) 870-1273,,https://www.childrensal.org/,3401 Independence Dr,Birmingham,AL,35209,https://www.facebook.com/childrenshospitalofalabama,,,,,,,112 Years,6 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/mizerany-kristin-519550375?lid=1002161598530,"Children’s of Alabama has provided specialized medical care for ill and injured children across the state and throughout the southeastern U.S. since 1911. For the past three years, Children’s has been ranked among the best children’s hospital programs in the nation by US News & World Report. Last year, patients made more than 634,000 outpatient and nearly 14,000 inpatient visits to Children’s from every county in Alabama and from 47 other states. With more than 2 million square feet, it is the third largest pediatric medical facility in the U.S. Children’s offers inpatient and outpatient services across its Russell Campus on Birmingham’s historic Southside with additional outpatient services provided at Children’s South and Children’s on 3rd. Primary care is provided at more than a dozen medical offices in communities across central Alabama. Children’s of Alabama is the only medical center in Alabama dedicated solely to the care and treatment of children. It is a private, not-for-profit medical center that serves as the primary site of the University of Alabama at Birmingham (UAB) pediatric medicine, surgery, research and residency programs. Children’s recently moved much of its inpatient services into a new building named The Benjamin Russell Hospital for Children."
