Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Brownstone Total Family Healthcare Pc,(205) 202-5650,,http://www.brownstonehealthcare.com,48 Medical Park Dr E,Birmingham,AL,35235,https://www.facebook.com/brownstonehealthcare,,,,"['Mo-Th 08:00-17:00', 'Fr 08:00-13:00']",5,1,11 Years,10 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/brownstone-total-family-healthcare-pc-470964066?lid=387108432,"*Total Family Care for Children, Adults & Seniors * Brownstone Total Family Health Care is Focused on ""Providing High Quality Medical Care & Patient Satisfaction *We Will Do Everything in our Power to Meet & Exceed Your Expectations *Ankrehah Trimble DO *With our Facility Being on St Vincent's East Campus. We are Very Close to All Of your necessary ancillary Services"
Alabama  Colon & Rectal Institute,(205) 578-0183,,http://www.acripc.com,1317 4th Ave S,Birmingham,AL,35233,https://www.facebook.com/people/Alabama-Colon-and-Rectal-Institute-PC-The-Butt-Hutt/100064072591710,,,,"['Mo-Th 08:30-17:00', 'Fr 08:30-13:00']",,,33 Years,10 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/alabama-colon-rectal-institute-21796095?lid=1000131660470,ACRI is a 4 physician office of colon and rectal surgeons. We specialize in all facets of colon and rectal surgery including anorectal and laparoscopic surgery and colonoscopy. www.acripc.com
American Family Care,(205) 956-9192,,http://americanfamilycare.com,1652 Montclair Rd,Birmingham,AL,35210,,,,,['Mo-Su 08:00-18:00'],3,4,8 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/american-family-care-13695777?lid=1001334794997,
American Family Care,(205) 791-2273,,http://www.americanfamilycare.com,1664 Forestdale Blvd,Birmingham,AL,35214,https://www.facebook.com/afcforestdale,,,,['Mo-Su 08:00-18:00'],5,2,8 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/american-family-care-454105831?lid=1001520223508,"Established in 1982, American Family Care provides health care services to its patients. Located in Birmingham, Ala., the center offers a range of services, such as physical/manual therapy, sports medicine, neurological reconditioning and partial impairment ratings. It provides treatment for physical conditions, including joint injury, muscle strains, stroke and joint replacements. The center has a U-Save pharmacy and provides access to prescription medications, on-site at many of its clinics. American Family Care uses electronic medical records and has a high-tech, high touch, digital X-ray system and on-site lab."
American Family Care,(205) 637-2600,,https://www.afcurgentcare.com/locations/american-family-care-hoover,5569 Grove Blvd,Birmingham,AL,35226,https://www.facebook.com/AFCTheGrove,,,,['Mo-Su 08:00-18:00'],1,1,11 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/american-family-care-470219212?lid=1001520224045,
"OrthoSports Associates, LLC",(205) 838-3090,,http://orthosportsassociates.com,48 Medical Park Dr E Ste 255,Birmingham,AL,35235,https://www.facebook.com/orthosportsassociatesstvincentseast,,,,['Mo-Fr 08:30-17:30'],,,8 Years,8 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/orthosports-associates-llc-465529506?lid=1001384484599,
Hoover Family Medicine,(205) 979-3381,,http://hooverfamilymedicine.com,3081 Lorna Rd,Birmingham,AL,35216,,,,,"['Mo-Th 09:00-17:00', 'Fr 09:00-12:00']",5,1,32 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/hoover-family-medicine-17606583,
MedHelp,(205) 930-2950,,http://www.medhelpclinics.com,1 W Lakeshore Dr  Ste 100,Birmingham,AL,35209,,,,,['Mo-Fr 08:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/medhelp-478316465,
Tarrant Family Medicine,(205) 841-7665,,http://www.norwoodclinic.com,2038 Springdale Ln,Birmingham,AL,35217,,,,,"['Mo-Th 07:30-16:00', 'Fr 07:30-12:00']",,,16 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/tarrant-family-medicine-469095471,"Norwood Clinic is one of the largest multispecialty medical group practices in Alabama. Located in Birmingham, Ala., the clinic has 27 physicians practicing in primary care, medical and surgical specialties. The specialties include family medicine, internal medicine, infectious diseases, nephrology, neurological/spine injury, ophthalmology, plastic/reconstructive surgery, occupational medicine, pathology pulmonary/sleep medicine, rheumatology, urology, surgery and wound care/hyperbarics. Some of the imaging procedures carried out in Norwood Clinic include CT, DEXA, echography, mammography, MRI, nerve conduction study, nuclear studies and ultrasound."
"Hayward, Paul J, DO",(808) 322-2790,,,Dept 40339,Birmingham,AL,35287,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/hayward-paul-j-do-571849066,
Homewood Family Medicine,(205) 877-8677,,,2500 4th Ave S,Birmingham,AL,35233,,,,,"['Mo 08:00-12:00', 'Tu 14:00-18:00', 'We 08:00-12:00', 'Th 14:00-18:00', 'Fr 08:00-12:00']",,,18 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/homewood-family-medicine-520584190,
"Perna, Samuel J, DO",(205) 996-0173,,,1720 2nd Ave S,Birmingham,AL,35294,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/perna-samuel-j-do-542420357,
Main Street Urgent Care,(205) 545-5090,,https://www.mainstreetfamilycare.com,1500 1st Ave N Unit 3,Birmingham,AL,35203,,,,,,,,8 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/main-street-urgent-care-533104984,
"Cornelison, Jackson T",(205) 934-4011,,,619 19th St S,Birmingham,AL,35249,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/cornelison-jackson-t-570355825,
"Pruitt, Justin P, DO",(256) 551-4433,,,625 19th St S,Birmingham,AL,35233,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/pruitt-justin-p-do-517431487,
"Ashley, Samantha R",(256) 536-5511,,,625 19th St S,Birmingham,AL,35233,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/ashley-samantha-r-566584094,
"Klayton D. Barrows, DO",(205) 595-5504,,,805 Saint Vincents Dr Ste 510,Birmingham,AL,35205,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/klayton-d-barrows-do-569389258,
"Salser, Billy E, Md",(205) 934-9700,,,930 20th St S,Birmingham,AL,35205,,,,,['Mo-Fr 08:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/salser-billy-e-md-465666195,
Homewood Family Medicine,(205) 877-8677,,,2151 Highland Ave S Ste 320,Birmingham,AL,35205,,,,,"['Mo 08:00-17:00', 'Tu 09:00-18:00', 'We 08:00-17:00', 'Th 09:00-18:00', 'Fr 08:00-15:00', 'Sa 09:00-00:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/homewood-family-medicine-17109307,
"Shukla, Minakshi V",(205) 930-7100,,,1201 11th Ave S,Birmingham,AL,35205,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/shukla-minakshi-v-571979064,
"Cardiovascular Assoc of North Alabama, PC",(205) 325-7001,,https://www.cvapc.com,3200 16th St N,Birmingham,AL,35207,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/cardiovascular-assoc-of-north-alabama-pc-559617643,
Birmingham Family Wellness,(205) 783-9877,,,652 Lomb Ave SW,Birmingham,AL,35211,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/birmingham-family-wellness-524747413,
"Wheeler, Sherwanna M",(205) 783-9877,,,652 Lomb Ave SW,Birmingham,AL,35211,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/wheeler-sherwanna-m-570406982,
"Nix, Bailey",(205) 783-3000,,,701 Princeton Ave SW,Birmingham,AL,35211,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/nix-bailey-570697499,
Birmingham Direct Primary Care,(205) 582-3322,,https://birminghamdpc.com,921 Oxmoor Rd,Birmingham,AL,35209,,,,,['Mo-Th 08:30-16:30'],,,5 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/birmingham-direct-primary-care-559138094,
"Cherie Salisbury, DO",(205) 380-9455,,,5720 1st Ave S,Birmingham,AL,35212,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/cherie-salisbury-do-558640686,
"Shults, Daniel J, DO",(205) 380-9455,,,5720 1st Ave S,Birmingham,AL,35212,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/shults-daniel-j-do-573316448,
"Sarah Stokes, DO",(205) 679-6325,,https://www.cahabamedicalcare.com,1308 Tuscaloosa Ave SW,Birmingham,AL,35211,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/sarah-stokes-do-551635220,
"Lucas Kane, DO",(205) 679-6325,,,1308 Tuscaloosa Ave SW,Birmingham,AL,35211,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/lucas-kane-do-551977723,
DR Elena Herndon MD,(205) 329-7805,,http://www.brookwoodclinic.com,2018 Brookwood Medical Ctr Dr,Birmingham,AL,35209,,,,,,,,19 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/dr-elena-herndon-md-538725301,
Brownstone Total Family Healthcare Pc,(205) 202-5650,,http://www.brownstonehealthcare.com,48 Medical Park Dr E,Birmingham,AL,35235,https://www.facebook.com/brownstonehealthcare,,,,"['Mo-Th 08:00-17:00', 'Fr 08:00-13:00']",5,1,11 Years,10 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/brownstone-total-family-healthcare-pc-470964066?lid=387108432,"*Total Family Care for Children, Adults & Seniors * Brownstone Total Family Health Care is Focused on ""Providing High Quality Medical Care & Patient Satisfaction *We Will Do Everything in our Power to Meet & Exceed Your Expectations *Ankrehah Trimble DO *With our Facility Being on St Vincent's East Campus. We are Very Close to All Of your necessary ancillary Services"
Brownstone Total Family Healthcare Pc,(205) 202-5650,,http://www.brownstonehealthcare.com,48 Medical Park Dr E,Birmingham,AL,35235,https://www.facebook.com/brownstonehealthcare,,,,"['Mo-Th 08:00-17:00', 'Fr 08:00-13:00']",5,1,11 Years,10 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/brownstone-total-family-healthcare-pc-470964066?lid=387108432,"*Total Family Care for Children, Adults & Seniors * Brownstone Total Family Health Care is Focused on ""Providing High Quality Medical Care & Patient Satisfaction *We Will Do Everything in our Power to Meet & Exceed Your Expectations *Ankrehah Trimble DO *With our Facility Being on St Vincent's East Campus. We are Very Close to All Of your necessary ancillary Services"
Alabama  Colon & Rectal Institute,(205) 578-0183,,http://www.acripc.com,1317 4th Ave S,Birmingham,AL,35233,https://www.facebook.com/people/Alabama-Colon-and-Rectal-Institute-PC-The-Butt-Hutt/100064072591710,,,,"['Mo-Th 08:30-17:00', 'Fr 08:30-13:00']",,,33 Years,10 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/alabama-colon-rectal-institute-21796095?lid=1000131660470,ACRI is a 4 physician office of colon and rectal surgeons. We specialize in all facets of colon and rectal surgery including anorectal and laparoscopic surgery and colonoscopy. www.acripc.com
American Family Care,(205) 956-9192,,http://americanfamilycare.com,1652 Montclair Rd,Birmingham,AL,35210,,,,,['Mo-Su 08:00-18:00'],3,4,8 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/american-family-care-13695777?lid=1001334794997,
American Family Care,(205) 791-2273,,http://www.americanfamilycare.com,1664 Forestdale Blvd,Birmingham,AL,35214,https://www.facebook.com/afcforestdale,,,,['Mo-Su 08:00-18:00'],5,2,8 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/american-family-care-454105831?lid=1001520223508,"Established in 1982, American Family Care provides health care services to its patients. Located in Birmingham, Ala., the center offers a range of services, such as physical/manual therapy, sports medicine, neurological reconditioning and partial impairment ratings. It provides treatment for physical conditions, including joint injury, muscle strains, stroke and joint replacements. The center has a U-Save pharmacy and provides access to prescription medications, on-site at many of its clinics. American Family Care uses electronic medical records and has a high-tech, high touch, digital X-ray system and on-site lab."
American Family Care,(205) 637-2600,,https://www.afcurgentcare.com/locations/american-family-care-hoover,5569 Grove Blvd,Birmingham,AL,35226,https://www.facebook.com/AFCTheGrove,,,,['Mo-Su 08:00-18:00'],1,1,11 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/american-family-care-470219212?lid=1001520224045,
"OrthoSports Associates, LLC",(205) 838-3090,,http://orthosportsassociates.com,48 Medical Park Dr E Ste 255,Birmingham,AL,35235,https://www.facebook.com/orthosportsassociatesstvincentseast,,,,['Mo-Fr 08:30-17:30'],,,8 Years,8 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/orthosports-associates-llc-465529506?lid=1001384484599,
Hoover Family Medicine,(205) 979-3381,,http://hooverfamilymedicine.com,3081 Lorna Rd,Birmingham,AL,35216,,,,,"['Mo-Th 09:00-17:00', 'Fr 09:00-12:00']",5,1,32 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/hoover-family-medicine-17606583,
MedHelp,(205) 930-2950,,http://www.medhelpclinics.com,1 W Lakeshore Dr  Ste 100,Birmingham,AL,35209,,,,,['Mo-Fr 08:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/medhelp-478316465,
Tarrant Family Medicine,(205) 841-7665,,http://www.norwoodclinic.com,2038 Springdale Ln,Birmingham,AL,35217,,,,,"['Mo-Th 07:30-16:00', 'Fr 07:30-12:00']",,,16 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/tarrant-family-medicine-469095471,"Norwood Clinic is one of the largest multispecialty medical group practices in Alabama. Located in Birmingham, Ala., the clinic has 27 physicians practicing in primary care, medical and surgical specialties. The specialties include family medicine, internal medicine, infectious diseases, nephrology, neurological/spine injury, ophthalmology, plastic/reconstructive surgery, occupational medicine, pathology pulmonary/sleep medicine, rheumatology, urology, surgery and wound care/hyperbarics. Some of the imaging procedures carried out in Norwood Clinic include CT, DEXA, echography, mammography, MRI, nerve conduction study, nuclear studies and ultrasound."
"Hayward, Paul J, DO",(808) 322-2790,,,Dept 40339,Birmingham,AL,35287,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/hayward-paul-j-do-571849066,
Homewood Family Medicine,(205) 877-8677,,,2500 4th Ave S,Birmingham,AL,35233,,,,,"['Mo 08:00-12:00', 'Tu 14:00-18:00', 'We 08:00-12:00', 'Th 14:00-18:00', 'Fr 08:00-12:00']",,,18 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/homewood-family-medicine-520584190,
"Perna, Samuel J, DO",(205) 996-0173,,,1720 2nd Ave S,Birmingham,AL,35294,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/perna-samuel-j-do-542420357,
Main Street Urgent Care,(205) 545-5090,,https://www.mainstreetfamilycare.com,1500 1st Ave N Unit 3,Birmingham,AL,35203,,,,,,,,8 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/main-street-urgent-care-533104984,
"Cornelison, Jackson T",(205) 934-4011,,,619 19th St S,Birmingham,AL,35249,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/cornelison-jackson-t-570355825,
"Pruitt, Justin P, DO",(256) 551-4433,,,625 19th St S,Birmingham,AL,35233,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/pruitt-justin-p-do-517431487,
"Ashley, Samantha R",(256) 536-5511,,,625 19th St S,Birmingham,AL,35233,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/ashley-samantha-r-566584094,
"Klayton D. Barrows, DO",(205) 595-5504,,,805 Saint Vincents Dr Ste 510,Birmingham,AL,35205,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/klayton-d-barrows-do-569389258,
"Salser, Billy E, Md",(205) 934-9700,,,930 20th St S,Birmingham,AL,35205,,,,,['Mo-Fr 08:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/salser-billy-e-md-465666195,
Homewood Family Medicine,(205) 877-8677,,,2151 Highland Ave S Ste 320,Birmingham,AL,35205,,,,,"['Mo 08:00-17:00', 'Tu 09:00-18:00', 'We 08:00-17:00', 'Th 09:00-18:00', 'Fr 08:00-15:00', 'Sa 09:00-00:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/homewood-family-medicine-17109307,
"Shukla, Minakshi V",(205) 930-7100,,,1201 11th Ave S,Birmingham,AL,35205,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/shukla-minakshi-v-571979064,
"Cardiovascular Assoc of North Alabama, PC",(205) 325-7001,,https://www.cvapc.com,3200 16th St N,Birmingham,AL,35207,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/cardiovascular-assoc-of-north-alabama-pc-559617643,
Birmingham Family Wellness,(205) 783-9877,,,652 Lomb Ave SW,Birmingham,AL,35211,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/birmingham-family-wellness-524747413,
"Wheeler, Sherwanna M",(205) 783-9877,,,652 Lomb Ave SW,Birmingham,AL,35211,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/wheeler-sherwanna-m-570406982,
"Nix, Bailey",(205) 783-3000,,,701 Princeton Ave SW,Birmingham,AL,35211,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/nix-bailey-570697499,
Birmingham Direct Primary Care,(205) 582-3322,,https://birminghamdpc.com,921 Oxmoor Rd,Birmingham,AL,35209,,,,,['Mo-Th 08:30-16:30'],,,5 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/birmingham-direct-primary-care-559138094,
"Cherie Salisbury, DO",(205) 380-9455,,,5720 1st Ave S,Birmingham,AL,35212,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/cherie-salisbury-do-558640686,
"Shults, Daniel J, DO",(205) 380-9455,,,5720 1st Ave S,Birmingham,AL,35212,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/shults-daniel-j-do-573316448,
"Sarah Stokes, DO",(205) 679-6325,,https://www.cahabamedicalcare.com,1308 Tuscaloosa Ave SW,Birmingham,AL,35211,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/sarah-stokes-do-551635220,
"Lucas Kane, DO",(205) 679-6325,,,1308 Tuscaloosa Ave SW,Birmingham,AL,35211,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/lucas-kane-do-551977723,
DR Elena Herndon MD,(205) 329-7805,,http://www.brookwoodclinic.com,2018 Brookwood Medical Ctr Dr,Birmingham,AL,35209,,,,,,,,19 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/dr-elena-herndon-md-538725301,
