Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Lloyd's Restaurant,(205) 991-5530,lloydsbus@aol.com,http://www.lloyds280.com,5301 Highway 280,Birmingham,AL,35242,https://www.facebook.com/lloydsrestaurant,,,,['Mo-Su 10:30-21:00'],4,8,86 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/lloyds-restaurant-1546947?lid=1000621618228,"Established in 1937, Lloyd's Restaurant serves the Birmingham families. Located in Birmingham, Ala., the restaurant specializes in hamburger steak, baked ham plate with honey, golden brown fried and fried chicken livers. Its menu items include salads, beverages, side orders, vegetables and desserts, among others. The desserts serves various food items, such as chocolate, lemon, coconut, cherry or blueberry cheesecake and banana pudding, to name a few. Lloyd's Restaurant hosts various special occasions and offers catering services to its guests."
Little Savannah Restaurant & Bar,(205) 591-1119,littlesavannah@gmail.com,http://www.littlesavannah.com,3811 Clairmont Ave S,Birmingham,AL,35222,,,,,"['Tu 16:00-21:30', 'We 17:30-21:00', 'Th 16:00-21:30', 'Fr-Sa 16:00-22:00']",,,20 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/little-savannah-restaurant-bar-6917043,
Sweet Tea Restaurant,(205) 745-3990,tim@sweettearestaurant.com,http://sweettearestaurant.com,2205 3rd Ave S,Birmingham,AL,35233,,,,,"['Mo-Sa 11:00-20:00', 'Su 11:00-15:00']",,,13 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/sweet-tea-restaurant-464666605,
Niki's Restaurant On 2nd Ave,(205) 251-1972,,,1101 2nd Ave N,Birmingham,AL,35203,,,,,['Mo-Fr 06:00-18:00'],,,73 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/nikis-restaurant-on-2nd-ave-2387158,
Sakura Japanese Restaurant,(205) 933-2339,,,1025 20th St S,Birmingham,AL,35205,,,,,,5,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/sakura-japanese-restaurant-8040908,
Twenty Six Restaurant,(205) 918-0726,,http://oceanbirmingham.com/26,1218 20th St S,Birmingham,AL,35205,,,,,"['Mo-Fr 11:00-14:00', 'Sa 17:00-23:00']",5,1,17 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/twenty-six-restaurant-461972318,
East of the Mississippi Diner,(205) 781-7837,,https://mississippidiner.com,3103 Ensley 5 Points W Ave,Birmingham,AL,35208,,,,,"['Tu-Fr 07:00-15:00', 'Sa 07:00-12:00']",5,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/east-of-the-mississippi-diner-467697175,
Yehman Caribbean Restaurant,(205) 323-3120,,,1623 4th Ave N,Birmingham,AL,35203,,,,,"['Mo-Th 11:00-18:00', 'Fr-Sa 11:00-20:00']",1,1,18 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/yehman-caribbean-restaurant-1836754,
Lee Garden Chinese Restaurant,(205) 655-1128,,,1423 Gadsden Hwy,Birmingham,AL,35235,,,,,['Mo-Su 11:00-21:30'],1,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/lee-garden-chinese-restaurant-14060464,
China Bistro,(205) 403-9978,,,160 Main St Ste 140,Birmingham,AL,35244,,,,,"['Mo-Th 11:00-21:30', 'Fr-Sa 11:00-22:00', 'Su 11:00-21:30']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/china-bistro-502801217,Authentic Sichuan Chinese Restaurant
Jack's Family Restaurant Tech Office,(205) 942-2111,,,107 Citation Ct,Birmingham,AL,35209,,,,,,,,11 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/jacks-family-restaurant-tech-office-537054032,
Apple Dumpling Bar The,(205) 414-8888,cmary3176@gmail.com,,360 Palisades Blvd,Birmingham,AL,35209,,,,,"['Tu-Sa 11:00-18:00', 'Su 00:30-18:00']",,,9 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/apple-dumpling-bar-the-503142055,
Seoul Restaurant,(205) 945-8007,,,430 Green Springs Hwy,Birmingham,AL,35209,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/seoul-restaurant-537305658,
Quality Restaurants Concept Lic,(205) 781-9064,,,2246 Bessemer Rd,Birmingham,AL,35208,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/quality-restaurants-concept-lic-543143488,
Wesside Restaur Ant & Loun,(205) 202-6418,,,422 17th Street Ensley,Birmingham,AL,35218,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/wesside-restaur-ant-loun-544424914,
The Paradise Restaurant,(205) 201-6511,,,2017 Avenue F,Birmingham,AL,35218,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/the-paradise-restaurant-554775802,
Dean Restaurants,(205) 970-5173,,,426 Summit Pl,Birmingham,AL,35243,,,,,,,,14 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/dean-restaurants-22647019,
El Paraiso,(205) 838-0508,,,409 Huffman Rd,Birmingham,AL,35215,,,,,['Mo-Sa 09:00-22:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/el-paraiso-523422050,
Ginza,(205) 981-1616,ginzasushiedh@yahoo.com,http://www.ginzabirmingham.com,5291 Valleydale Rd Ste 101,Birmingham,AL,35242,,,,,"['Tu-Th 11:00-14:00,17:00-22:00', 'Fr 11:00-14:00,17:00-23:00', 'Sa 11:00-14:00,16:00-22:00']",,,16 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/ginza-542042157,
Sakur Restaurant,(205) 705-1377,sakurannawang@yahoo.com,,27 Olmsted St,Birmingham,AL,35242,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/sakur-restaurant-531561023,
Red Robin Gourmet Burgers,(205) 661-0492,trussville@redrobin.com,http://www.redrobin.com,5029 Pinnacle Sq,Birmingham,AL,35235,,,,,"['Mo-Th 11:00-22:00', 'Fr-Sa 11:00-23:00', 'Su 11:00-22:00']",2.5,4,54 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/red-robin-gourmet-burgers-10186015,"Bring home the Yummm when you order Red Robin To-Go. Start your meal with Towering Onion Rings, fall head over heels with The MadLove Burger, or keep it light with our Simply Grilled Chicken salad. The home of Gourmet Burgers is open for To-Go, Curbside Pickup, and Delivery at participating locations to help satisfy your craving."
M & M Restaurant,(205) 592-3425,,,3921 1st Ave N,Birmingham,AL,35222,,,,,"['Mo-Fr 11:00-14:00', 'Sa 17:00-23:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/m-m-restaurant-875490,
