Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Jordan & Associates  LLC,(877) 558-1550,,http://www.jordanassociatesllc.com,1025 23rd Street South  Ste. 383,Birmingham,AL,35205,https://www.facebook.com/jordanassocllc,,,,['Mo-Fr 09:00-17:00'],,,,1 Year ,,,,https://www.yellowpages.com/birmingham-al/mip/jordan-associates-llc-479313696?lid=1002150463721,"One Stop Solution Service Provider for Personal & Business Needs, Wants, and Desires!"
jordan & associates llc,(205) 994-8507,jordanassocllc@aol.com,http://www.jordanassociatesllc.com,2610 Center Point Parkway,Birmingham,AL,35215,https://www.facebook.com/jordanassocllc/,,,,['Mo-Fr 09:00-17:00'],,,16 Years,3 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/jordan-associates-llc-533064671?lid=1002104400593,"At, jordan & associates, llc, our mission is to provide noble, quality, & timelessness, services to meet the needs, wants, & desires of those we encounter. There is power in the energy reciprocated by love and we love & value people. Our passion is enduring issues people encounter & being the solution to those issues, so they may have their needs and wants resolved, which allows them to attain their desires. Often-times people must take their time and search for different service providers for different services they need or simply want in order to attain their desires, our goal is to free up that search time by being a one stop solution service provider."
Coles Hardwood and Carpet Repair,(205) 240-2809,,http://www.carpetrepairhoover.com/carpet-repair,,Birmingham,AL,35209,,,,,['Mo-Sa 08:00-20:00'],5,14,,,,,,https://www.yellowpages.com/birmingham-al/mip/coles-hardwood-and-carpet-repair-497247130?lid=1001580308575,Proudly Serving Birmingham and Surround Areas for over 35 Years!
Floor Coverings International,(877) 202-9298,,,,,,,,,,,['Mo-Su'],,,,,,,,https://www.yellowpages.com/nationwide/mip/floor-coverings-international-574012815?lid=1002160840392,Carpet Laminate... Vinyl... Wood Flooring... Stone... All Flooring.Your New Flooring Installation process includes:  We move any furniture you need us to  We remove and haul away your old flooring.  We thoroughly prepare the subfloor for your new floors.  We install your new floor coverings and add new trim if necessary.  We clean up and remove any excess product.
Morton Flooring,(205) 369-9715,mortonflooring@bellsouth.net,http://www.mortonflooringllc.com,,Remlap,AL,35133,,,,,['Mo-Fr 08:00-17:00'],5,4,38 Years,,,,Accredited Business,https://www.yellowpages.com/remlap-al/mip/morton-flooring-468713568?lid=1000983178968,Morton Flooring has over 30 Years in the Flooring Business. We handle All types of Flooring. Residential & Commercial. Customer Satisfaction is our number one goal. Call Us Today for your in home estimate.
Buddy Gray Music Center,(205) 518-8276,,,1480 Montgomery Hwy,Vestavia Hills,AL,35216,https://www.facebook.com/pages/buddy-gray-music-center/168723639811846,,,,['Mo-Fr 08:00-17:00'],,,36 Years,10 Years ,,,,https://www.yellowpages.com/vestavia-hills-al/mip/buddy-gray-music-center-547444991?lid=1001961717627,"Piano and Organ Tuning. Tuners Certified by the School for Blind. Moving, Restoration, Rental and Storage."
Burnett Roofing,(256) 445-5338,burnettroofingco@gmail.com,https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1699340637515.b313bec4&ADID=12295881&DEST=https%3A%2F%2Fburnettroofingandconstructional.mydex.com%2F4ii0YclIEkA&C=Roofing%20Contractors&T=Decatur&S=AL&PH=(256)%20445-5338&FL=url&TL=off&position=0&PS=1&PI=1&Results=FEED_CLCK&uid=b313bec4-4f7f-4273-b967-f88c704fa9d8&REF=&IP=4.224.34.167&UserAgent=Mozilla%2F5.0,3520 Central Pkwy SW,Decatur,AL,35603,https://www.facebook.com/burnettroofingandconstruction,,,,['Mo-Su'],,,41 Years,,,,Accredited Business,https://www.yellowpages.com/decatur-al/mip/burnett-roofing-769315?lid=1002160959071,"At Burnett Roofing and Construction, your satisfaction is our number one goal. No matter the size or extent of your roofing project, we have you covered. We are proud to provide our professional residential and commercial roofing services to all of North Alabama. We are licensed, bonded, and insured for your safety. Feel free to reach out to us if you require more information about our services or wish to schedule your free estimate."
Hill's Carpet & Floor Coverings,(205) 491-3691,scottsuell@yahoo.com,http://www.hillscarpetstore.com,3458 Warrior River Rd,Bessemer,AL,35023,https://www.facebook.com/Hills-Carpet-and-Floor-Covering-325237020927633,,,,"['Mo-Fr 09:30-17:30', 'Sa 10:00-15:00']",,,38 Years,,,,Accredited Business,https://www.yellowpages.com/bessemer-al/mip/hills-carpet-floor-coverings-472594395?lid=1001961798193,**FOR ALL YOUR FLOORING NEEDS** **Carpet *Hardwood *Tile *Laminate *Vinyl *Sales *Service *Installation *Residential *Commercial *Licensed *Insured *Bonded *Kitchen Cabinets *Hardwood Restoration
Deck Door and Interior Design LLC,(205) 515-8031,,,,New Castle,AL,35119,,,,,['Mo-Su'],,,13 Years,,,,,https://www.yellowpages.com/new-castle-al/mip/deck-door-and-interior-design-llc-468648414?lid=1001293203900,"NEW DECK BUILD; OLD DECK RESTORATION; RESIDENTIAL NEW ROOFING AND REPAIR; RESIDENTIAL/COMMERCIAL PAINTING; CUSTOM MADE DOORS; PRIVACY FENCE INSTALLATION AND RESTORATION; RESIDENTIAL,COMMERCIAL INTERIOR AND EXTERIOR DOOR INSTALLATION; KITCHEN AND BATHROOM REMODELING; WINDOW INSTALLATION"
Professional Mobile Home Repair,(205) 919-1302,promhr@gmail.com,http://www.professionalmobilehomerepair.com,,Cropwell,AL,35054,,,,,['Mo-Fr 08:00-18:00'],,,32 Years,5 Years ,,,Accredited Business,https://www.yellowpages.com/cropwell-al/mip/professional-mobile-home-repair-472059294?lid=1001947424200,"Professional Mobile Home Repair offers top-notch damage restoration, parts, and repairs for mobile homes. From Bathroom and Kitchen remodels to metal roofing, from water to fire damage restoration, our experienced and professional contractors do it all."
