Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
America's Florist Always Fresh Flowers,(800) 872-3837,americasflorist@gmail.com,http://www.tfamericasflorist.com,,,,,https://www.facebook.com/AmericasFloristNJ/,,,,['Mo-Su'],,,127 Years,6 Years ,,,,https://www.yellowpages.com/nationwide/mip/americas-florist-always-fresh-flowers-517095905?lid=1001744335042,"Your satisfaction is guaranteed. We have a no-strings attached money back guarantee. Our goal is to not only meet your expectations but to exceed them.  We have been in the floral and gift business for over 100 years and are a 4th generation florist family.  Because we buy direct we can give you a great variety in quality, value, service and selection.  Our designers love to create beautiful flower arrangements for all holidays or occasions. Choose from styles like Victorian, European, country, the garden look and more. You pick it out and we will create it for you!  We can deliver same day across the street, Nationwide or to Canada. Please allow 2 to 3 business days to deliver overseas.   Simply place your order on line or by phone and within minutes one of our affiliated florist shops in your area will receive the order to make your delivery. There is no easier or better way to send flowers and gifts.   We are more than just flowers.  We have a large selection of fruit and gourmet gift baskets to choose from.   If you can dream it we can do it, just give us a call.   Special orders are welcome!"
Bolin-Reeves Florist Inc,(205) 324-8521,jamie.bolinreeves@bellsouth.net,http://www.bolinreevesflorist.com,344 6th Ave SW,Birmingham,AL,35211,https://www.facebook.com/Bolin-Reeves-Florist-Inc-154978811205962,,,,,,,98 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/bolin-reeves-florist-inc-527103228?lid=1001172118033,"A Birmingham tradition in floral artistry for three generations. Bolin-Reeves Florist, established in 1925, is the oldest, family-owned florist serving Birmingham and surrounding areas. As a full-service professional retail floral operation, we welcome the challenge of expressing emotions for people. through our artistic talents, we create floral designs so the natural beauty of the flower will be shown to it's fullest advantage. we offer a wide variety of quality imported fresh flowers."
The Ritz Florist,(205) 991-6686,connectedinc@bellsouth.net,,5511 Highway 280 Ste 104,Birmingham,AL,35242,,,,,['Mo-Fr 08:00-17:00'],,,13 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/the-ritz-florist-3726932,
Main Street Florist,(205) 408-2717,msflorist@bellsouth.net,http://www.msflorist.com?y_source=1_mtc3mzk3mdetntuzlwxvy2f0aw9ulndlynnpdgu%3d,38 Manning Pl,Birmingham,AL,35242,,,,,['Mo-Fr 09:00-16:00'],5,1,18 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/main-street-florist-469305499,"Main Street Florist proudly serves Birmingham and the surrounding areas. We're family owned and operated, and committed to offering only the finest floral arrangements and gifts, backed by service that is friendly and prompt. We always go the extra mile to make your floral gift perfect. Let Main Street Florist be your first choice for flowers."
Mountain Brook Flower Shop,(205) 870-1666,,http://mtnbrookflowershop.com,2407 Montevallo Rd,Birmingham,AL,35223,,,,,['Tu-Fr 09:00-17:00'],,,74 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/mountain-brook-flower-shop-14313160,
Bloom,(205) 933-8266,,,200 16th Ave S,Birmingham,AL,35205,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/bloom-503605190,"Started in 1992 by Jon Martinez, in Birmingham, Alabama, Bloom has been using modern techniques to create unique floral arrangements with a wide variety of flowers such as roses, tulips, lilies, orchids, and daisies. The flower shop offers a range of services such as event drapery, custom fixtures and props for events and weddings, event transpiration coordination, lighting, rental tents, rental chairs, table linens and covers for chairs. It also provides planning, decorating, and catering services for weddings and events. Orders can be placed online using the catalog on its website. Flowers are delivered the same day to the Birmingham area."
The Cahaba Lily Florist,(205) 956-8404,Thecahabalilyflorist@aol.com,,5017 Overton Rd,Birmingham,AL,35210,,,,,['Mo-Fr 09:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/the-cahaba-lily-florist-481979604,"The Cahaba Lily is a flower boutique located in Birmingham, Alabama. It uses fresh cut flowers that are delivered locally as well as internationally. The florists are experienced in creating unique floral arrangements using silk or fresh flowers that can be customized according to the needs of the customers. It offers a range of floral arrangements for all occasions including weddings, birthdays, holidays, and new baby. It makes deliveries to hospitals and funeral homes. Apart from flowers, the shop has a gift line that includes blooming plants, garden  dishes, balloon bouquets, baby items, home dŽcor, chocolates, plush toys and scented candles. Online orders can be placed anytime and all major credit cards are accepted."
Nortons Florist,(205) 313-1900,,http://www.nortonsflorist.com,407 22nd St S,Birmingham,AL,35233,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/nortons-florist-560800069,
Birmingham Florist and Gifts,(205) 453-7365,,http://www.isentflowers.com,401 22nd St S,Birmingham,AL,35233,,,,,"['Mo-Th 08:00-20:00', 'Fr 08:00-18:00', 'Sa 09:00-15:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/birmingham-florist-and-gifts-534740420,
Norton's Florist,(205) 324-1631,,,2808 7th Ave S,Birmingham,AL,35233,,,,,"['Mo-Fr 07:00-16:00', 'Sa 07:00-13:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/nortons-florist-7696909,
