Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
The Garden Keyes,(205) 582-4039,,,344 Finley Ave W,Birmingham,AL,35204,https://www.facebook.com/pages/garden-fresh-produce/1736461219915132,,,,['Tu-Sa 07:00-16:00'],5,1,,9 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/the-garden-keyes-502918931?lid=1000544740240,"The Garden Keyes is a locally owned and operated sodding business, servicing the Greater Birmingham and surrounding areas. We combine great product, years of experience and the best of customer service to make sure we fill all your gardening needs. We provide the a variety of sod that we sell, including Bermuda, Centipede, Z-52 Zoysia, Emerald Zoysia and St. Augustine. We also will be adding Topsoil and Mulch to our stock in 2015. We are located at The Birmingham Farmers Market, 301 23rd Ave W 35204. Open from 7AM to 4PM Tuesday thru Saturday. Come see us!! We have The Best Sod In The South!!"
The Garden Keyes,(205) 582-4039,,,344 Finley Ave W,Birmingham,AL,35204,https://www.facebook.com/pages/garden-fresh-produce/1736461219915132,,,,['Tu-Sa 07:00-16:00'],5,1,,9 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/the-garden-keyes-502918931?lid=1000544740240,"The Garden Keyes is a locally owned and operated sodding business, servicing the Greater Birmingham and surrounding areas. We combine great product, years of experience and the best of customer service to make sure we fill all your gardening needs. We provide the a variety of sod that we sell, including Bermuda, Centipede, Z-52 Zoysia, Emerald Zoysia and St. Augustine. We also will be adding Topsoil and Mulch to our stock in 2015. We are located at The Birmingham Farmers Market, 301 23rd Ave W 35204. Open from 7AM to 4PM Tuesday thru Saturday. Come see us!! We have The Best Sod In The South!!"
"Landscape Source, Inc",(205) 791-9846,tulandscape@bellsouth.net,http://www.landscapesource.net,1985 Veterans Memorial Drive,Birmingham,AL,35214,https://www.facebook.com/LandscapeSource/,,,,['Mo-Fr 08:00-17:00'],,,33 Years,4 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/landscape-source-inc-541256676?lid=1001793086991,Don't Hesitate To Call Us Today For More Information!
Town & Country Grounds Care,(205) 930-5990,powell@townandcountrygrounds.com,http://www.townandcountrygrounds.com,528 Clermont Dr,Birmingham,AL,35209,https://www.facebook.com/132595200138948,,,,"['Mo-Fr 08:00-17:00', 'Sa 08:00-02:00']",5,5,33 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/town-country-grounds-care-21794588?lid=1001942948083,"We are your full service Lawn Maintenance Company serving your residential or commercial lawn needs. Specializing in Residential / Commercial Design, Installation, and Maintenance we are capable of every service including; Tree, Shrub, and Lawn Pest Care, Weed Control Programs, Tree Removal & Replacement. Bonded and Insured, we are your BEST CHOICE for Greener & Cleaner Looking Grounds. Call one of our Grounds Managers today and ask about our Annual Maintenance Plans designed with you in mind."
Attic Antiques,(205) 991-6887,admin@antiquetrail.com,http://www.alabamaantiquetrail.com,5620 Cahaba Valley Rd,Birmingham,AL,35242,https://www.facebook.com/Riverview-Antiques-Collectibles-and-Classic-Auto-Sales-875415392577455,,,,"['Mo-Tu 11:00-18:00', 'Th-Su 11:00-18:00']",,,54 Years,10 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/attic-antiques-13852929?lid=1001329787550,"Attic Antiques, family owned and operated for over 30 years, has a large selection of American cherry, pine, and walnut tables, corner cupboards, stepback cupboards, pie safes, and quilts. We also have lighting and accessories for cabins, lodges, and lake houses. Hours Tuesday - Saturday 10:00 - 4:30 pm Exit 246 East of I-65, Drive 4 miles American Antiques!"
Hanna's Garden Shop,(205) 980-0533,support@hannasgardenshop.com,http://www.hannasgardenshop.com,5485 Highway 280,Birmingham,AL,35242,,,,,"['Mo-Fr 08:00-18:00', 'Sa 08:00-17:00', 'Su 11:00-17:00']",,,37 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/hannas-garden-shop-451062307,"Family owned garden center. We offer a large variety of plants including-Camellias, Hydrangeas, Roses, Japanese Maples, Daylilies, Hostas, Azaleas, trees, hollies, evergreens, shrubs, perennials and we also specialize in the unique & hard to find."
Veterans Landscaping & Garden Center Co Inc,(205) 326-6219,tortorigi@veteransinc.net,,3801 Mary Taylor Rd,Birmingham,AL,35235,,,,,,,,68 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/veterans-landscaping-garden-center-co-inc-11763076,
Gardner Nurseries,(205) 593-4992,GardnerNurseries@gmail.com,http://www.gardnerlandscapingllc.com,3965 Lorna Rd,Birmingham,AL,35244,,,,,"['Mo-Sa 08:00-17:00', 'Su 13:00-17:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/gardner-nurseries-467439112,
Sweet Peas Garden Shop,(205) 879-3839,jonculver6@gmail.com,,2829 Linden Ave,Birmingham,AL,35209,,,,,"['Mo-Sa 09:00-17:00', 'Su 13:00-17:00']",5,1,26 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/sweet-peas-garden-shop-926577,
Garden Center at Tractor Supply,(205) 508-3531,,https://www.tractorsupply.com/tsc/store_Centerpoint-AL-35235_2548,5980 Chalkville Rd,Birmingham,AL,35235,,,,,"['Mo-Sa 08:00-21:00', 'Su 09:00-19:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/garden-center-at-tractor-supply-571935555,"Visit Tractor Supply Garden Centers for all your gardening and landscaping needs. Whether you are a first-time gardener or an expert horticulturist, we offer an expanded assortment of products from annuals, perennials, raised garden beds, soil, mulch and fertilizer. We offer products from leading names in lawn and garden care including Scotts, Miracle-Gro, Bonnie Plants and more. Create a lawn that's the envy of all your neighbors with lawn power equipment by Husqvarna, Toro, Cub Cadet, and other brands you can trust. To keep your lawn healthy and green, we have a variety of spreaders, garden hoses, rain barrels and irrigation supplies. Visit your local TSC Garden Center for one-stop shopping!"
