Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Modern Quality Construction,(205) 208-4476,wendymqcinc@aol.com,http://www.myspace.com,152 W Valley Ave,Birmingham,AL,35209,https://www.facebook.com/pages/modern-quality-construction-inc/137553642954214,,,,['Mo-Fr 08:00-17:00'],,,30 Years,11 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/modern-quality-construction-13456690?lid=1002108225401,"Tenant Improvements, New Construction, Renovations, Offices, Retail, Hotels And Churches. Custom Pre-Engineered Metal Buildings. Warehouse, Retail, Hotel/Motel, Schools, Churches And Business."
Hallmark Builders Inc,(205) 208-7703,knewton@hallmark-builders.com,http://www.hallmark-builders.com,,Birmingham,AL,35243,https://www.facebook.com/Hallmark-Builders-Inc-121131314604543,,,,['Mo-Fr 08:00-17:00'],,,61 Years,7 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/hallmark-builders-inc-11587601?lid=1001616286065,Building
Modern Quality Construction,(205) 208-4476,wendymqcinc@aol.com,http://www.myspace.com,152 W Valley Ave,Birmingham,AL,35209,https://www.facebook.com/pages/modern-quality-construction-inc/137553642954214,,,,['Mo-Fr 08:00-17:00'],,,30 Years,11 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/modern-quality-construction-13456690?lid=1002108225401,"Tenant Improvements, New Construction, Renovations, Offices, Retail, Hotels And Churches. Custom Pre-Engineered Metal Buildings. Warehouse, Retail, Hotel/Motel, Schools, Churches And Business."
Hallmark Builders Inc,(205) 208-7703,knewton@hallmark-builders.com,http://www.hallmark-builders.com,,Birmingham,AL,35243,https://www.facebook.com/Hallmark-Builders-Inc-121131314604543,,,,['Mo-Fr 08:00-17:00'],,,61 Years,7 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/hallmark-builders-inc-11587601?lid=1001616286065,Building
jordan & associates llc,(205) 994-8507,jordanassocllc@aol.com,http://www.jordanassociatesllc.com,2610 Center Point Parkway,Birmingham,AL,35215,https://www.facebook.com/jordanassocllc/,,,,['Mo-Fr 09:00-17:00'],,,16 Years,3 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/jordan-associates-llc-533064671?lid=1002104400593,"At, jordan & associates, llc, our mission is to provide noble, quality, & timelessness, services to meet the needs, wants, & desires of those we encounter. There is power in the energy reciprocated by love and we love & value people. Our passion is enduring issues people encounter & being the solution to those issues, so they may have their needs and wants resolved, which allows them to attain their desires. Often-times people must take their time and search for different service providers for different services they need or simply want in order to attain their desires, our goal is to free up that search time by being a one stop solution service provider."
Argo Building Company Inc,(205) 786-0336,gniven@argobuilding.com,http://www.argobuilding.com,4501 7th Ave,Birmingham,AL,35224,https://www.facebook.com/pages/argo-building-company/125979777456211,,,,,,,49 Years,7 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/argo-building-company-inc-2747560?lid=1001616295463,"In business since 1974, Argo Building Company is a provider of construction services. Located in Birmingham, Ala., the company offers services in project budgeting, designing, building, preconstruction and construction management, including planning, coordinating and monitoring. Argo Building Company has executed number of projects in various facilities, including, restaurant and bar, hospital, commercial, public works, educational and churches. Its completed projects include Alabama Central Credit Union Corporate Headquarters and Hoover Police Center. The company is among the top 25 Alabama's Top Contractors in South central construction."
Modern Quality Construction Inc,(205) 290-0388,sunygirl65@aol.com,,152 W Valley Ave,Birmingham,AL,35209,,,,,,,,,11 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/modern-quality-construction-inc-551230381?lid=1000439642780,"Tenant Improvements, New Construction, Renovations, Offices, Retail, Hotels And Churches. Custom Pre-Engineered Metal Buildings. Warehouse, Retail, Hotel/Motel, Schools, Churches And Business."
Barganier Construction Company Inc,(205) 970-0097,barganierconstr@bellsouth.net,,4100 Autumn Pl,Birmingham,AL,35242,,,,,,,,31 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/barganier-construction-company-inc-3006964?lid=1000439643867,Categorized under Commercial and Office Building Contractors. Our records show it was established in 1992 and incorporated in Alabama.
Cary Insulation Co.,(205) 206-5592,will@cary-insulation.com,http://www.cary-insulation.com,4501 1st Ave North,Birmingham,AL,35222,https://www.facebook.com/Cary-Insulation-Co-Inc-2345965702088102,,,,['Mo-Fr 07:00-16:00'],,,1022 Years,3 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/cary-insulation-co-3304059?lid=1002104839477,"Cary Insulation Company offers a range of insulation services for residential and commercial properties. The company has been in operation since 1948. It specializes in blown insulation services. The company offers installation services for fiberglass, floor, ceiling and wall batts. It also provides blown attic and fire-blocking insulation services. In addition, the company offers installation services for air infiltration foams and baffles. Cary Insulation Company provides products from CertainTeed Corporation. Deciding on a company to enter your home or business is an important decision. Cary Insulation Company, Inc. is confident that clients will be pleased with our services. Our technicians are highly qualified and knowledgeable about insulation for various properties. Our goal is to have your home be comfortable through all seasons which will assist with your energy bills."
S & S Dev Co Inc,(205) 208-7516,ssdevco@hotmail.com,,,Birmingham,AL,35242,https://www.facebook.com/SSdevelopmentco,,,,['Mo-Fr 08:00-17:00'],,,31 Years,11 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/s-s-dev-co-inc-22511468?lid=355582733,"Design, Installation , and Renovation of Gunite and Triliogy Fiberglass Pools Commerical & Residential"
