Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Carousel Shoppe Tack,(205) 578-7610,carotack@bellsouth.net,https://www.carouseltackshoppeal.com,5090 Cahaba Valley Rd,Birmingham,AL,35242,https://www.facebook.com/Carousel-Tack-Shoppe-145137668841623,,,,['Mo-Sa 11:00-17:00'],5,3,35 Years,8 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/carousel-shoppe-tack-11155759?lid=1001799134902,"Top horse product brands at discount prices. Knowledgeable & helpful staff. Complete inventory & large selection for horse & rider. BRANDS: Bobby's, Kerrits, Epona, Perri, Charles Owen, SSG Heritage, Tuff Rider, Devonair, IRH, Paul Newmarch & more."
Norton's Florists,(205) 313-1991,freshflowerguy@gmail.com,http://www.nortonsflorist.biz/category.asp?rcid=113558,401 22nd St S,Birmingham,AL,35233,https://www.facebook.com/180580338643122,,,,"['Mo-Fr 07:00-17:30', 'Sa 07:00-16:30', 'Su 08:00-10:30']",2,12,,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/nortons-florists-540872421?lid=1001961538846,
Award Center,(205) 252-9273,awardcenterinc@gmail.com,,716 23rd Street S.,Birmingham,AL,35233,,,,,"['Mo-Fr 08:30-17:30', 'Sa 09:00-13:00']",5,1,33 Years,5 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/award-center-7389039?lid=1001932711937,The Award Center has been serving the Birmingham Awards industry for over 40 years. We are a family run business and pride ourselves on great customer service and providing the most unique and innovative products in the industry.
Bolin-Reeves Florist Inc,(205) 324-8521,jamie.bolinreeves@bellsouth.net,http://www.bolinreevesflorist.com,344 6th Ave SW,Birmingham,AL,35211,https://www.facebook.com/Bolin-Reeves-Florist-Inc-154978811205962,,,,,,,98 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/bolin-reeves-florist-inc-527103228?lid=1001172118033,"A Birmingham tradition in floral artistry for three generations. Bolin-Reeves Florist, established in 1925, is the oldest, family-owned florist serving Birmingham and surrounding areas. As a full-service professional retail floral operation, we welcome the challenge of expressing emotions for people. through our artistic talents, we create floral designs so the natural beauty of the flower will be shown to it's fullest advantage. we offer a wide variety of quality imported fresh flowers."
Attic Antiques,(205) 991-6887,admin@antiquetrail.com,http://www.alabamaantiquetrail.com,5620 Cahaba Valley Rd,Birmingham,AL,35242,https://www.facebook.com/Riverview-Antiques-Collectibles-and-Classic-Auto-Sales-875415392577455,,,,"['Mo-Tu 11:00-18:00', 'Th-Su 11:00-18:00']",,,54 Years,10 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/attic-antiques-13852929?lid=1001329787550,"Attic Antiques, family owned and operated for over 30 years, has a large selection of American cherry, pine, and walnut tables, corner cupboards, stepback cupboards, pie safes, and quilts. We also have lighting and accessories for cabins, lodges, and lake houses. Hours Tuesday - Saturday 10:00 - 4:30 pm Exit 246 East of I-65, Drive 4 miles American Antiques!"
Flip Flops & What Nots,(205) 967-7429,,http://flipflopsandwhatnots.com,4137 White Oak Dr,Birmingham,AL,35243,,,,,,5,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/flip-flops-what-nots-7088112?lid=1000437163914,Yellowbox FitFlop Volatile Sanuk Reff Rainbow Corky's Cobian Dr Scholl's GREAT CUSTOMER SERVICE
Urban Home Market,(205) 980-4663,,http://www.urbanhomemarket.com,1001 Doug Baker Blvd,Birmingham,AL,35242,https://www.facebook.com/urbanhomemarket,,,,"['Mo-We 10:00-18:00', 'Th-Sa 10:00-20:00']",,,9 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/urban-home-market-504694650?lid=1000767634328,Twitter (@urbanhomemarket)  Instagram (@urbanhomemarket)  Pinterest (Urban Home Market)
Double Oak Mountain Pharmacy,(205) 991-0800,store@DoubleOakMountainRX.com,http://www.doubleoakmountainrx.com,5510 Highway 280 Ste 123,Birmingham,AL,35242,,,,,"['Mo-Fr 09:00-18:30', 'Sa 10:00-15:00']",,,,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/double-oak-mountain-pharmacy-465666699,
Tuesday Morning,(205) 945-9030,,http://www.tuesdaymorning.com,130 Green Springs Hwy,Birmingham,AL,35209,,,,,"['Mo-Sa 10:00-19:00', 'Su 11:00-18:00']",,,49 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/tuesday-morning-10518965,
Harmony Landing,(205) 871-3541,harmonylanding@aol.com,,2925 18th St S,Birmingham,AL,35209,,,,,['Mo-Sa 10:00-17:30'],,,24 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/harmony-landing-2307577,
Oodles of Gifts,(205) 870-4126,,,2815 18th St S,Birmingham,AL,35209,,,,,"['Mo-Fr 10:00-17:00', 'Sa 10:00-15:00']",1,1,43 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/oodles-of-gifts-5255050,
IvorySkyeCo,(205) 960-6322,ivoryskyeco@yahoo.com,,PO Box 361322,Birmingham,AL,35236,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/ivoryskyeco-541231269,"Wedding planners, books, organizers, etc..."
Author of Spiritual Inspirational Books,(205) 401-2531,,,PO Box 382131,Birmingham,AL,35238,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/author-of-spiritual-inspirational-books-503674804,
Benn Jo,(205) 647-2348,,,2808 7th Ave S,Birmingham,AL,35233,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/benn-jo-519358793,
Dreamers Supply Co,(912) 231-7373,,https://www.dreamerssupplyco.com,825 39th St S,Birmingham,AL,35222,,,,,['Mo-Su'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/dreamers-supply-co-569330881,
Alabama A B C,(205) 201-4633,,,211 Summit Pkwy,Birmingham,AL,35209,,,,,['Mo-Sa 10:00-18:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/alabama-a-b-c-474675598,
Lori's Gifts,(205) 871-7437,,,2010 Brookwood Medical Ctr Dr,Birmingham,AL,35209,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/loris-gifts-453693567,
Tristar Sales,(205) 791-9300,,,1242 Forestdale Sq,Birmingham,AL,35214,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/tristar-sales-471219691,
