Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Baker Sara Electrolysis,(205) 414-1194,,http://sarabakerelectrolysis.com,3507 Old Montgomery Hwy,Birmingham,AL,35209,https://www.facebook.com/pages/Baker-Sarah-Electrolysis/1041176165892435,,,,,,,18 Years,7 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/baker-sara-electrolysis-10038768?lid=1001616285490,
Bennie Mac,(205) 591-2887,,http://www.benniemacson1st.com,4831 1st Ave N,Birmingham,AL,35222,https://www.facebook.com/benniemacson1st,,,,"['Mo 11:00-19:00', 'Tu-Th 08:00-18:00', 'Fr 06:00-19:00', 'Sa 05:30-19:00', 'Su 13:00-18:00']",,,21 Years,12 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/bennie-mac-14883256?lid=195201222,"Bennie Mac's On 1st offers each of his clients an exclusive treatment, personalized to suit their hair and skin needs. Licensed in both barbering and cosmetology, their services include; haircuts & hairstyles, straight razor shaves, facial hair trimming and shaping, eye brow arching and overall grooming. Bennie Mac's has developed a keen eye over the years for eyebrow arching, and is an expert on what styles suit different face shapes. With any service or treatment, Bennie Mac's works to educate his clients on how they can maintain a proper grooming system at home. Bennie Mac's has a wide span of knowledge of the various men & women hair and skin products on the market today, and can help clients choose what best suits their own personal needs. "
Homewood Barber Shop,(205) 259-5226,otis1313@hotmail.com,http://homewoodbarbershop.com,2724 18th Street South,Birmingham,AL,35209,https://m.facebook.com/pages/homewood-barber-shop/151926021485231,,,,"['Mo-Fr 07:00-17:30', 'Sa 07:00-16:30']",5,1,58 Years,1 Year ,,,,https://www.yellowpages.com/birmingham-al/mip/homewood-barber-shop-6109046?lid=1002164618783,"Homewood Old Timey Barbershop has been apart of the Birmingham community since 1965. Times have changed. Our commitment to our clients remains the same. As a family-owned and operated team, we continue to serve our customers who we consider apart of our own family."
Trocadero Inc,(205) 870-7650,trocaderoinc@bellsouth.net,,2839 Cahaba Rd,Birmingham,AL,35223,https://www.facebook.com/trocaderosalon,,,,"['Tu-We 09:00-17:00', 'Th 09:00-18:30', 'Fr 09:00-17:00', 'Sa 09:00-14:00']",,,49 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/trocadero-inc-16665919?lid=1001961538344,Trocadero is dedicated to service and value. All of our licensed specialists sincerely enjoy what we do and it is reflective on the smiles and repeat business of our clients. We promise individual attention and great value for all of our customers.
Oasis Nail Spa,(205) 991-2737,,,408 Cahaba Park Cir,Birmingham,AL,35242,https://www.facebook.com/oasis-nail-spa-955842981148861,,,,"['Mo 13:00-18:00', 'Tu-Sa 10:00-19:00', 'Su 13:00-18:00']",3.5,6,,,,,,https://www.yellowpages.com/birmingham-al/mip/oasis-nail-spa-478288940?lid=1000437172737,"Our mission is to relax your mind, treat your body, and soothe your soul through the authentic spa service and peaceful environment. A relaxing experience with complete nail services. A combination of passion and professionalism is present in all of our work. We will satisfy customers 100%. Walk-ins are welcomed, but we prefer that you make an appointment. Our appointment clients will be our first priority. LOVE OF BEAUTY IS TASTE. THE CREATION OF BEAUTY IS ART."
Tay Miller,(205) 276-4268,,,1205 2nd Ave S,Birmingham,AL,35233,,,,,"['Mo 08:00-13:00', 'Tu-Fr 09:00-18:00', 'Sa 08:00-14:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/tay-miller-504948517?lid=1001571491152,"Tay Miller offers a variety of hair services,  she prides herself on customer service,  and strives to make sure your experience is top of the line. Book your appointment today."
Diva African Braids and Beauty Shop and Hoover,(205) 824-4033,,http://www.divasafricanbraidingal.com,3137 Lorna Rd,Birmingham,AL,35216,,,,,['Mo-Su 09:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/diva-african-braids-and-beauty-shop-and-hoover-517096005?lid=1001281351561,"A Quality One-Stop Shop. Whether you're looking for a trendy hair cut or just something basic, let our expert stylist take care of your hair needs. WE work with hair of any length & any style providing shampoo and rinse withour cuts. Regardless of your hair type, we provide weaves that include a haircut and styling. Our professionals services include sew in weaves, quick weaves and track in weaves. If you're looking for hair relaxer services, rest assured that we use only the best products for this service. Our stylists' 25 years of combined experience provides excellent hair services for everyone. Whether it's for a wedding, prom, party or for your personal enjoyment, let us provide you the attractive hairstyle you're looking for."
Designs by DC,(205) 259-8726,,,,Birmingham,AL,35234,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/designs-by-dc-503150390?lid=1000570489208,
Santa Fe Day Spa,(205) 408-7221,santafedayspa@aol.com,http://www.santafedayspa.net,611 Doug Baker Blvd,Birmingham,AL,35242,https://www.facebook.com/pages/Santa-Fe-Day-Spa/107161272676008?fref=ts,,,,['Mo-Sa 09:00-20:00'],,,24 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/santa-fe-day-spa-20660154?lid=1000437161565,"Santa Fe Day Spa is a 7200 square foot metro spa and salon in the upscale Greystone area of Birmingham, AL. Catering to male and female guests with the amenities and services both enjoy in a facility with a cozy spa area with 10 treatment rooms, a couples suite with a hot tub, and waiting area with a faux fireplace. This Full Service Spa and Salon has 10 hair stations, 6 nail stations and 6 pipeless pedicure chairs. The facility also boosts a spa café as well as locker rooms for men and women with showers, hot tubs and steam rooms. Santa Fe Day Spa opened in October of 1999 and in Dec. of 2004 moved to The Village Lee Branch Shopping Center, a theatre, hotel, retail and restaurant complex on the Greystone Cooridor of Hwy. 280. They have a large staff of 35+ employees and accommodate bridal parties, corporate and group special event comfortably while providing personal services for the body, skin, nails and hair."
Hot Heads Hair Design,(205) 780-9095,carolyn.e.bland@gmail.com,,2108 Avenue E,Birmingham,AL,35218,https://facebook.com/hotheadshairdesign/,,,,"['We-Fr 15:00-20:00', 'Sa 09:00-15:00']",5,2,26 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/hot-heads-hair-design-2669869?lid=1001329788011,License # AL292
