Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
AiA American Insurance Agency,(205) 578-8020,lcwoodgett@aol.com,https://aiainsuranceagencyal.com,438 Carr Ave Ste 11,Birmingham,AL,35209,https://www.facebook.com/American-Insurance-Agency-115898023391440/,,,,['Mo-Fr 08:00-18:00'],,,37 Years,1 Year ,,,,https://www.yellowpages.com/birmingham-al/mip/aia-american-insurance-agency-467686902?lid=1002108591942,"American Insurance Agency is proud to be partnered with Dairyland, Progressive, and GMAC. Being partnered with multiple insurance companies allows us to shop around for the best prices. When it comes to your future, were determined to make sure you stay protected from any unexpected accidents. Our certified insurance agents have helped enough clients to know that every situation is unique. Well work with you to better understand your needs and requirements, so you only receive insurance plans that are perfect for your lifestyle. Give us a call today!"
Cooley Insurance,(205) 822-2688,cooleyins@aol.com,http://progressive.com,1550 Montgomery Hwy,Birmingham,AL,35216,,,,,['Mo-Fr 08:00-17:00'],,,86 Years,5 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/cooley-insurance-21792563?lid=1001884528992,"Need auto, homeowners, or life insurance? We'll take the time to listen to your needs and desires, and find the perfect policy for you. Your total satisfaction is our number one priority. We have built a reputation for client satisfaction, and we are devoted to making your transitional move as easy as possible. You wil have the added benefit of working with an agent who understands your needs. Finding the right policy is only the beginning. We will assist you every step of the way to ensure smooth sailing."
Nesbitt Assoc Inc,(205) 942-4400,bill@braceyins.com,,106 Oxmoor Rd,Birmingham,AL,35244,https://www.facebook.com/pages/bracey-and-bracey-insurance-services/221579434840186,,,,['Mo-Fr 09:00-17:30'],,,15 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/nesbitt-assoc-inc-6640690?lid=1000621618330,"If you don't have insurance with us. then you are paying too much. Auto Insurance, Home Insurance, Business Insurance, Life Insurance."
Dave Smith Insurance Service Inc,(205) 833-1278,dsis@bellsouth.net,,9025 4th Ave S,Birmingham,AL,35206,https://www.facebook.com/guideone,,,,['Mo-Fr 08:00-17:00'],,,25 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/dave-smith-insurance-service-inc-11811008?lid=1000437178654,"Dave Smith Insurance has provided a wide variety of insurance products across the state of Alabama since 1979. Since then we have helped to provide our customers with friendly insurance services that they deserve, at quality prices."
Insurall Insurance,(205) 929-4100,info@insurall.org,http://www.insurallinsurance.org,10 Phillips Dr,Birmingham,AL,35228,,,,,['Mo-Fr 08:30-17:00'],,,51 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/insurall-insurance-4923252?lid=1000437171114,"Insurall Insurance is an independent insurance agency representing many insurance companies. We’ve been serving Birmingham, Bessemer, Midfield, Fairfield and other areas since 1974, and we have a very knowledgeable staff with a combined 75 years experience!  We specialize in cancelled, declined & difficult to place insurance, but we also welcome preferred business–representing fine national companies such as Progressive, GMAC & Foremost.  We handle auto insurance, home insurance for homeowners and renters, as well as insurance for mobile homes, boats, motorcycles, RVs, and light commercial vehicles.  Prior coverage is not required. our very courteous staff is willing to give help and advice. We can handle the youngest drivers to the senior citizens.  We are conveniently located in the Midfield Shopping Plaza with plenty of free parking. Come by and see why thousands of clients have relied on our company for 37 years!"
Alfa Insurance,(205) 951-5136,,http://www.alfainsurance.com,4500 Montevallo Rd Ste A105,Birmingham,AL,35210,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/alfa-insurance-505043087,"Alfa Insurance offers auto, life, home, and other types of insurance in the Birmingham area. With our office right next to Mountain Brook, we're able to serve several of the surrounding municpalities. "
Byars Wright,(205) 417-1321,,https://www.byarswright.com/?utm_source=Core70&utm_medium=organic&utm_campaign=WebsiteURL,2120 16th Ave S,Birmingham,AL,35205,,,,,"['Mo-Th 08:00-17:00', 'Fr 08:00-15:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/byars-wright-574063575,"Byars Wright is a locally owned and operated independent insurance agency with five offices in the greater Birmingham area - including Jasper, Gardendale, Homewood, Alabaster, and Cullman - that has developed into a major provider of commercial and personal insurance. Since 1946, the agency has made acquisitions to expand its scope of business and delivers a wide-range of insurance products with quality coverage at competitive prices. Byars Wright has been designated a Best Practices Agency by the Independent Insurance Agents and Brokers of America and was also named “Best Companies to Work For in Alabama” by Business Alabama in 2016, 2017, 2018. 2019. We Build People, Protect Relationships. Byars Wright is Where Relationships Matter."
Stead & Fuller Insurance Inc,(205) 414-1476,jofuller@bellsouth.net,http://www.steadandfuller.com,2904 Crescent Ave,Birmingham,AL,35209,,,,,['Mo-Fr 08:00-17:00'],,,71 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/stead-fuller-insurance-inc-3574959,"Stead and Fuller Insurance is a firm of proven professionals and caring, conscientious people; the kind of people you can depend on ."
Nationwide Insurance: Tyler Watts & Associates,(205) 822-5477,,https://agency.nationwide.com/al/birmingham/35244/tyler-watts-&-associates-llc,3825 Lorna Rd Ste 202,Birmingham,AL,35244,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/nationwide-insurance-tyler-watts-associates-574841879,"Our agency prides itself on making our clients feel like family. We don't just want to sell you insurance. We want to help you every step of the way whether it be determining what coverages you want, to helping you through the claims process. We are proud to serve our communities in Birmingham along with the rest of our beautiful state!"
"Nationwide Insurance: Hayes Rasbury Agency, Inc.",(205) 680-4349,Request@HayesRasburyAgency.com,https://agency.nationwide.com/al/birmingham/35235/hayes-rasbury-agency-inc-10730732,5451 Chalkville Rd,Birmingham,AL,35235,,,,,['Mo-Fr 08:30-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/nationwide-insurance-hayes-rasbury-agency-inc-481454964,"We have been in the local area for 20 + years and have a proven reputation for providing quality home, auto and life insurance products at competitive rates. We have a local claims office which insures fast and reliable claims service. Contact our office for a fast, free no obligation quote for all of your insurance needs."
