Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Homewood Auto Body Specialist,(205) 941-2410,homewoodbody@bellsouth.net,http://homewoodabs.com,96 Robert Jemison Rd,Birmingham,AL,35209,https://www.facebook.com/pages/homewood-auto-body-specialist/194080414079812,,,,"['Mo-Th 09:00-17:00', 'Fr 09:00-16:00']",,,31 Years,5 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/homewood-auto-body-specialist-1097530?lid=1001934718637,We service foreign & domestic cars. We are I-CAR & ASE Certified. Our equipment is state of the art to handle all of your collision related mechanical work. All services guaranteed as long as you own the vehicle. Free Estimates!! We are a DRP shop for most insurance. Locally Owned & Operated for Over 20 years!
AiA American Insurance Agency,(205) 578-8020,lcwoodgett@aol.com,https://aiainsuranceagencyal.com,438 Carr Ave Ste 11,Birmingham,AL,35209,https://www.facebook.com/American-Insurance-Agency-115898023391440/,,,,['Mo-Fr 08:00-18:00'],,,37 Years,1 Year ,,,,https://www.yellowpages.com/birmingham-al/mip/aia-american-insurance-agency-467686902?lid=1002108513624,"American Insurance Agency is proud to be partnered with Dairyland, Progressive, and GMAC. Being partnered with multiple insurance companies allows us to shop around for the best prices. When it comes to your future, were determined to make sure you stay protected from any unexpected accidents. Our certified insurance agents have helped enough clients to know that every situation is unique. Well work with you to better understand your needs and requirements, so you only receive insurance plans that are perfect for your lifestyle. Give us a call today!"
AIA Inc,(205) 725-5383,lcwoodgett@aol.com,http://www.aiainsuranceagency.com,438 Carr Ave,Birmingham,AL,35209,,,,,"['Mo-Fr 07:30-18:00', 'Sa 10:00-14:00']",,,,6 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/aia-inc-16462853?lid=386302625,"Cis/quality Casual, Access, Dairyland Auto 6mo & 1 mo, Omni, Edge, Everest Security, Safeway, Omega One, National Security, Assurance America, Gmac Choice N, Inf Lc New, Assurance, Accc, Progressive & Occidental."
Cooley Insurance,(205) 822-2688,cooleyins@aol.com,http://progressive.com,1550 Montgomery Hwy,Birmingham,AL,35216,,,,,['Mo-Fr 08:00-17:00'],,,86 Years,5 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/cooley-insurance-21792563?lid=1001884528992,"Need auto, homeowners, or life insurance? We'll take the time to listen to your needs and desires, and find the perfect policy for you. Your total satisfaction is our number one priority. We have built a reputation for client satisfaction, and we are devoted to making your transitional move as easy as possible. You wil have the added benefit of working with an agent who understands your needs. Finding the right policy is only the beginning. We will assist you every step of the way to ensure smooth sailing."
Prewitt J R & Associates,(205) 933-9207,info@jrprewitt.com,http://www.jrprewitt.com,2146 Highland Ave S,Birmingham,AL,35205,,,,,['Mo-Fr 09:00-17:00'],,,49 Years,7 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/prewitt-j-r-associates-16763298?lid=1001616295240,"J.R. Prewitt & Associates, founded in 1974, is one of the largest insurance firms in the Birmingham metropolitan area in Alabama. The family-owned firm offers bonds and annuities, as well as insurance coverage programs for homeowners and automobiles. It also provides workers  compensation, life and health insurance products. J.R. Prewitt & Associates serves lawyers, accountants, architects and engineers. The firm offers professional and commercial general liability insurance programs. In addition, it provides estate and financial planning solutions. The firm represents several organizations, such as The Chubb Corporation and Montgomery Mutual Insurance Company. J.R. Prewitt & Associates serves more than 4000 clients."
Marsh Rickard & Bryan PC,(205) 879-1981,ssilvernail@mrblaw.com,https://www.mrblaw.com/,800 Shades Creek Pkwy,Birmingham,AL,35209,https://www.facebook.com/MarshRickardBryan,,,,['Mo-Fr 09:00-17:00'],,,27 Years,4 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/marsh-rickard-bryan-pc-22437490?lid=1001976612912,"Since 1996, our firm has served as a fierce advocate for the rights and interests of our clients. Due to our experience, skill and record of success, our peers recognize the legal team at Marsh, Rickard & Bryan as a force in and out of the courtroom."
Insurall Insurance,(205) 929-4100,info@insurall.org,http://www.insurallinsurance.org,10 Phillips Dr,Birmingham,AL,35228,,,,,['Mo-Fr 08:30-17:00'],,,51 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/insurall-insurance-4923252?lid=1000437171114,"Insurall Insurance is an independent insurance agency representing many insurance companies. We’ve been serving Birmingham, Bessemer, Midfield, Fairfield and other areas since 1974, and we have a very knowledgeable staff with a combined 75 years experience!  We specialize in cancelled, declined & difficult to place insurance, but we also welcome preferred business–representing fine national companies such as Progressive, GMAC & Foremost.  We handle auto insurance, home insurance for homeowners and renters, as well as insurance for mobile homes, boats, motorcycles, RVs, and light commercial vehicles.  Prior coverage is not required. our very courteous staff is willing to give help and advice. We can handle the youngest drivers to the senior citizens.  We are conveniently located in the Midfield Shopping Plaza with plenty of free parking. Come by and see why thousands of clients have relied on our company for 37 years!"
Dave Smith Insurance Service Inc,(205) 833-1278,dsis@bellsouth.net,,9025 4th Ave S,Birmingham,AL,35206,https://www.facebook.com/guideone,,,,['Mo-Fr 08:00-17:00'],,,25 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/dave-smith-insurance-service-inc-11811008?lid=1000437178654,"Dave Smith Insurance has provided a wide variety of insurance products across the state of Alabama since 1979. Since then we have helped to provide our customers with friendly insurance services that they deserve, at quality prices."
All American Insurance,(205) 322-0311,info@allamericanins.com,http://www.firstam.com,819 3rd Ave N,Birmingham,AL,35203,,,,,['Mo-Fr 08:45-16:30'],,,48 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/all-american-insurance-21782682?lid=1001117673956,
Nesbitt Assoc Inc,(205) 942-4400,bill@braceyins.com,,106 Oxmoor Rd,Birmingham,AL,35244,https://www.facebook.com/pages/bracey-and-bracey-insurance-services/221579434840186,,,,['Mo-Fr 09:00-17:30'],,,15 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/nesbitt-assoc-inc-6640690?lid=1000621618330,"If you don't have insurance with us. then you are paying too much. Auto Insurance, Home Insurance, Business Insurance, Life Insurance."
