Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Blue Sky Rain,(205) 882-7594,,https://blueskyrain.com,270 Doug Baker Blvd #700,Birmingham,AL,35242,https://www.facebook.com/BlueSkyRainBirminghamAL/,,,,['Mo-Fr 08:00-17:00'],,,19 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/blue-sky-rain-21799114?lid=1002145356436,"Locally owned and operated, Blue Sky Rain services the sprinkler and landscape lighting needs of Landscapers and Property Owners in The Greater Birmingham Area. New relationships are formed every year with Landscape Designers and Home Owners who enjoy subcontracting to Blue Sky Rain for Expertise, professionalism, trained technicians, and good basic business practices and ethics."
"Landscape Source, Inc",(205) 791-9846,tulandscape@bellsouth.net,http://landscapesource.net,1985 Veterans Memorial Drive,Birmingham,AL,35214,https://www.facebook.com/LandscapeSource/,,,,['Mo-Fr 08:00-17:00'],,,33 Years,4 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/landscape-source-inc-541256676?lid=1001975330107,Don't Hesitate To Call Us Today For More Information!
J&B Lawn Care & Maintenance,(659) 216-8771,joeyco@aol.com,https://landscaperbirmingham-al.com,1505 5th Avenue Wes,Birmingham,AL,35208,https://www.facebook.com/pages/green-care/152908604750807,,,,['Mo-Fr 08:00-17:00'],5,1,28 Years,8 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/j-b-lawn-care-maintenance-466148951?lid=1002165131497,Your Full Service One Stop Company For All Year. Licensed & Insured. No Job Is Too Large Or Too Small For Us To Take Care Of You. New System Installation Includes Installing All Equipment And Parts Listed Below Or Existing System Service Call Includes Full Systems Check Repair or Replacement Of Any Equipment And Parts Listed Below If Needed. 1. (New System Install) of Zone Clock and System wiring or on Existing system full system Check repair or replace if needed. 2. (New System Install) of All Sprinkler Heads installing in best locations in yard for Maximum water coverage Lawn and Plants. On existing systems full system check of all Heads fix or replace if broken or relocate existing heads for maximum water coverage of Lawn and Plants if needed. 3. (New System Install) of all Water lines and valves. On existing systems full system check of all Water lines and Valves repair or replacement if needed. 4. (New System Install) of a Backflow Preventer on Existing systems if one is included with system when we check it repair or replacement if needed. 5. (New Systems Install) of a Water Usage Meter if needed or @ customers request. On Existing systems if one is included with system when we check repair or replacement if needed.
Southern Timber Framer,(205) 229-4148,thomasrdowns@gmail.com,http://www.southerntimberframers.com,3815 Double Oak Ln,Birmingham,AL,35242,,,,,['Mo-Fr 08:00-17:00'],,,17 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/southern-timber-framer-451155120,
Irrigation Services,(205) 444-9888,irrigationservic@bellsouth.net,,110 David Green Rd,Birmingham,AL,35244,,,,,,,,24 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/irrigation-services-10913371,
"Lights and Water, LLC.",(205) 229-7373,rstorch@lightsandwater.com,http://www.lightsandwater.com,,Birmingham,AL,35216,,,,,['Mo-Su'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/lights-and-water-llc-464306660,
Elliott Irrigation Co Inc,(205) 942-3222,,http://elliottirrigation.com/wordpress,105 Citation Ct,Birmingham,AL,35209,,,,,['Mo-Th 08:00-16:30'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/elliott-irrigation-co-inc-503942891,
Ewing Irrigation,(205) 655-9530,,http://www.ewing1.com,5480 Vann Pl,Birmingham,AL,35235,,,,,"['Mo-Fr 07:00-05:00', 'Sa 07:00-11:00']",,,101 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/ewing-irrigation-19163865,
"Dawson Landscape Group, LLC",(205) 532-9793,dawson.dlg@gmail.com,http://www.dawsonlandscapegroup.com,142 Narrows Peak Cir,Birmingham,AL,35242,,,,,"['Mo-Fr 06:30-18:00', 'Sa 07:00-16:00']",,,10 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/dawson-landscape-group-llc-475651554,
"Gardner Landscaping, LLC",(205) 823-3168,gardnerlandscaping@gmail.com,http://www.gardnerlandscapingllc.com,3965 Lorna Rd,Birmingham,AL,35244,,,,,['Mo-Fr 07:00-16:00'],,,,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/gardner-landscaping-llc-466897345,
