Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Baker Sara Electrolysis,(205) 414-1194,,http://sarabakerelectrolysis.com,3507 Old Montgomery Hwy,Birmingham,AL,35209,https://www.facebook.com/pages/Baker-Sarah-Electrolysis/1041176165892435,,,,,,,18 Years,7 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/baker-sara-electrolysis-10038768?lid=1001616285490,
Brows Threading And Waxing Studio,(205) 637-0195,,,4507 Riverview Pkwy,Birmingham,AL,35242,https://www.facebook.com/pages/category/waxing-service/brows-threading-and-waxing-studio-292499914273710,,,,['Mo-Sa 11:00-19:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/brows-threading-and-waxing-studio-495504853?lid=1000553962318,
H Acupressure Massage,(205) 980-4470,,http://www.houliangmassage.com,476 Cahaba Park Cir,Birmingham,AL,35242,https://www.facebook.com/pages/h-accupressure/794436844015152,,,,['Mo-Su'],5,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/h-acupressure-massage-482187050?lid=1001572011064,"H Accupressure - Asian & Western Massage, Accupressure, Deep Tissue Massage - 3 Locations to Serve You: Hwy 280, Hoover, Vestavia; H Accupressure - 476 Cahaba Park Circle, Hwy 280"
Birmingham Electrolysis and Skincare,(205) 585-9935,elect.skin5@gmail.com,http://birminghamelectrolysisandskincare.com,"1 Chase Corporate Drive, Ste 400",Birmingham,AL,35244,,,,,"['Tu-Fr 09:00-17:00', 'Sa 09:00-15:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/birmingham-electrolysis-and-skincare-546593173,We offer all the aesthetic services as well as electrolysis
Baker Sarah Electrolysis,(205) 323-4422,,,625 20th Ave S,Birmingham,AL,35205,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/baker-sarah-electrolysis-519567228,
Baker Sara Electrolysis,(205) 414-1194,,,3507 Old Alton Rd,Birmingham,AL,35210,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/baker-sara-electrolysis-551070221,
Cargo Todd J,(205) 879-4757,,,1931 29th Ave S,Birmingham,AL,35209,,,,,['Tu-Sa 09:00-19:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/cargo-todd-j-1568682,
Unique Brow And Waxing Spa,(205) 874-6111,,,5287 Highway 280,Birmingham,AL,35242,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/unique-brow-and-waxing-spa-567041818,
Total Skin & Beauty Dermatology Center,(205) 933-0987,info@totalskinandbeauty.com,http://www.totalskinandbeauty.com,2100 16th Ave S,Birmingham,AL,35205,,,,,['Mo-Fr 07:30-17:30'],,,46 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/total-skin-beauty-dermatology-center-21784684,"At Total Skin & Beauty Dermatology Center, you'll find a center of excellence dedicated to meeting your every skin-care need. Well-credentialed physicians, state-of-the-art equipment and medically proven skin-care products mean you'll get the highest level of treatment. Armed with decades of advanced training, experience and research, our doctors can detect and treat virtually any skin problem you may have, including skin cancer, moles, psoriasis and acne, and perform cosmetic procedures."
Carol Shaw Skin Care,(205) 655-4627,admin@carolshawskincare.com,http://www.carolshawskincare.com,5850 Valley Rd,Birmingham,AL,35235,,,,,"['Mo 13:00-18:00', 'Tu-Th 09:00-18:00', 'Fr-Sa 09:00-15:00']",,,41 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/carol-shaw-skin-care-479998356,
