Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Jack Traffanstedt - State Farm Insurance Agent,(205) 823-3370,jack.traffanstedt.b17s@statefarm.com,http://www.jacktraffanstedt.com,308 Montgomery Hwy,Vestavia,AL,35216,https://www.facebook.com/pages/jack-traffanstedt-state-farm-agent/171709792848235,,,,['Mo-Fr 09:00-17:00'],,,101 Years,24 Years ,,,,https://www.yellowpages.com/vestavia-al/mip/jack-traffanstedt-state-farm-insurance-agent-472190111?lid=1000157448668,"Our mission is to help people manage the risks of everyday life, recover from the unexpected and realize their dreams."
Jimmy Stewart - State Farm Insurance Agent,(205) 823-6441,jimmy@jimmystewartinsurance.com,http://www.jimmystewartinsurance.com,270 Olde Towne Rd,Vestavia,AL,35216,,,,,['Mo-Fr 09:00-17:00'],,,101 Years,24 Years ,,,,https://www.yellowpages.com/vestavia-al/mip/jimmy-stewart-state-farm-insurance-agent-467985082?lid=1000157456316,"Our mission is to help people manage the risks of everyday life, recover from the unexpected and realize their dreams."
Rene' Burke - State Farm Insurance Agent,(205) 967-6886,rene.burke.bdh8@statefarm.com,http://www.reneburke.com/?cmpid=BDH8_BLM_0001,4851 Cahaba River Rd Ste 117,Vestavia,AL,35243,https://www.facebook.com/pages/rene-burke-state-farm-agent/1455376231450851,,,,['Mo-Fr 08:00-18:00'],,,35 Years,6 Years ,,,,https://www.yellowpages.com/vestavia-al/mip/rene-burke-state-farm-insurance-agent-474066917?lid=1000853215645,"Auto Insurance, Life Insurance, Insurance, Homeowners Insurance, Renter's Insurance"
Greenhalgh Insurance Agency,(205) 967-8800,vicki@giins.com,http://www.greenhalghinsurance.com,3144 Cahaba Heights Rd,Vestavia,AL,35243,,,,,['Mo-Fr 08:00-16:30'],5,1,86 Years,,,,Accredited Business,https://www.yellowpages.com/vestavia-al/mip/greenhalgh-insurance-agency-467265980,"The wisdom gained from being in the insurance business for over 70 years gives our Agency a unique advantage. We take pride in the knowledge that we are able to share with our customers. We strive to save our customers money through proper analysis of their insurance needs. Our insurance products are backed by superior service from our experienced staff. When you suffer a loss, you deserve to receive prompt service, payment, and repairs. We give our customers the products, services, and prices they deserve in a fair and prompt manner. Allow us the opportunity to help you design an insurance program that saves you money and protects your assets."
HealthMarkets Insurance - Karen Morse,(205) 201-4972,kmorse@healthmarkets.com,https://www.healthmarkets.com/local-health-insurance-agent/kmorse/?MarketingRefCode=referral_HLT_yext_AQ&lob=Health&utm_medium=referral&utm_source=yext&utm_campaign=HLT_AQ&utm_term=&utm_content=WEB&y_source=1_MTIxNTcwMS01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,7001 Crestwood Blvd Ste 610,Irondale,AL,35210,,,,,['Mo-Fr 08:00-17:00'],,,9 Years,,,,Accredited Business,https://www.yellowpages.com/irondale-al/mip/healthmarkets-insurance-karen-morse-547562003,"HealthMarkets searches thousands of insurance plans from more than 200 insurance companies to find the coverage that’s right for you at a price that fits your budget. HealthMarkets enables you to search for Medicare Insurance, Health Insurance, Dental Insurance, Vision Insurance, Supplemental Insurance, and Life Insurance policies on the web, over the phone, or in person with one of our local licensed insurance agents. HealthMarkets offers hundreds of subsidy-eligible Marketplace health insurance plans from nationally recognized insurance companies. For assistance near Birmingham, AL contact me today – your local independent licensed insurance agent with HealthMarkets Insurance Agency."
Allstate Insurance Agent: Alyson Sabatini,(205) 631-1990,asabatini@allstate.com,http://agents.allstate.com,680 Montgomery Hwy Ste 204,Vestavia Hills,AL,35216,,,,,"['Mo 08:00-17:00', 'Tu 08:00-18:00', 'We 08:00-17:00', 'Th 08:00-18:00', 'Fr 08:00-17:00', 'Sa 08:00-12:00']",,,11 Years,,,,Accredited Business,https://www.yellowpages.com/vestavia-hills-al/mip/allstate-insurance-agent-alyson-sabatini-516150765,"As an Allstate Agent in Vestavia Hills, I know many local families. My knowledge and understanding of the people in this community help me provide customers with an outstanding level of service. I look forward to helping families like yours protect the things that are important - your family, home, car, boat, and more."
Farmers Insurance - Vincent McLeod,(205) 882-6016,vmcleod@farmersagent.com,https://agents.farmers.com/al/vestavia-hills/vincent-mcleod?SourceID=AMPALFYXAG&utm_source=Powerlistings&utm_medium=Local&y_source=1_MTM4MzA2MTItNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,2013 Kentucky Ave,Vestavia Hills,AL,35216,,,,,['Mo-Fr 08:30-17:30'],,,4 Years,,,,,https://www.yellowpages.com/vestavia-hills-al/mip/farmers-insurance-vincent-mcleod-552191091,"Whether you're looking for homeowners insurance, auto insurance, renters insurance, or another kind, I'm here to help you understand the insurance coverage you may want. Serving the Vestavia Hills, AL area since 2019, I can help you understand your coverage options so you can protect what matters most to you. Stop by in person, reach out online or call to get a free quote today."
Nationwide Insurance,(205) 822-5477,bailes11@nationwide.com,http://agency.nationwide.com/tyler-f-watts-in-birmingham-al,2015 Kentucky Ave,Vestavia Hills,AL,35216,,,,,['Mo-Fr 08:00-17:00'],,,30 Years,,,,Accredited Business,https://www.yellowpages.com/vestavia-hills-al/mip/nationwide-insurance-502767153,"If you need auto, home or life insurance in Birmingham, Alabama talk to Tyler Watts. Let us help you save more money, give us a call today!"
Farmers Insurance - Bobby Eyer,(205) 991-7330,beyer@farmersagent.com,https://agents.farmers.com/al/vestavia-hills/bobby-eyer?SourceID=AMPALFYXAG&utm_source=Powerlistings&utm_medium=Local&y_source=1_MjAzODA1MzItNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,1008 Montgomery Hwy Ste 202,Vestavia Hills,AL,35216,,,,,['Mo-Fr 08:30-17:30'],,,2 Years,,,,,https://www.yellowpages.com/vestavia-hills-al/mip/farmers-insurance-bobby-eyer-562127513,"Whether you're looking for homeowners insurance, auto insurance, renters insurance, or another kind, I'm here to help you understand the insurance coverage you may want. Serving the Vestavia Hills, AL area since 2021, I can help you understand your coverage options so you can protect what matters most to you. Stop by in person, reach out online or call to get a free quote today."
Farmers Insurance - Chad Long,(205) 789-0890,rlong3@farmersagent.com,https://agents.farmers.com/al/birmingham/chad-long?SourceID=AMPALFYXAG&utm_source=Powerlistings&utm_medium=Local&y_source=1_MTU0Nzg4My01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,1025 Montgomery Hwy Ste 203,Vestavia Hills,AL,35216,,,,,"['Mo-Fr 08:00-18:00', 'Sa 09:00-14:00']",,,14 Years,,,,,https://www.yellowpages.com/vestavia-hills-al/mip/farmers-insurance-chad-long-541838739,"Whether you're looking for homeowners insurance, auto insurance, renters insurance, or another kind, I'm here to help you understand the insurance coverage you may want. Serving the Birmingham, AL area since 2009, I can help you understand your coverage options so you can protect what matters most to you. Stop by in person, reach out online or call to get a free quote today."
