Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Colonial Van Lines - Long Distance Moving Services,(844) 252-9891,clientsupport@colonialvanlines.com,https://colonialvanlines.com/landing/yellow-pages,,,,,https://m.facebook.com/ColonialVanLinesInc/,,,,"['Mo-Fr 09:00-21:00', 'Sa 10:00-17:00']",5,301,23 Years,3 Years ,,,,https://www.yellowpages.com/nationwide/mip/colonial-van-lines-long-distance-moving-services-550075101?lid=1002057913969,"Colonial Van Lines - With over 50 years of experience in the moving and storage industry, Colonial Van Lines is the preferred choice for all your long distance moving needs."
Oakdale Moving & Storage,(844) 681-4827,michaellarocca1986@gmail.com,https://oakdalemovingandstorage.com,,,,,,,,,"['Mo-Fr 09:30-18:00', 'Sa 10:00-15:00']",5,64,,,,,,https://www.yellowpages.com/nationwide/mip/oakdale-moving-storage-573537597?lid=1002157174728,"Expert Movers For Long Distance - Residential & Commercial  Theres a reason clients across the country choose Oakdale Moving & Storage. They know our commitment to quality and dedication to customer satisfaction ensures their move is the easiest it could be. When you pick Oakdale Moving & Storage, you receive quality.  Reliable, trustworthy service A nation-wide network of professional movers Fast communication to stay in the loop Easy tracking from destination to destination. 5% percent discount for Senior Citizens & Military Families"
AIR 7 SEAS Transport Logistics Inc,(888) 404-8124,ypcom@air7seas.us,http://www.air7seas.com/,560 Atlanta South Pkwy,Atlanta,GA,30349,https://www.facebook.com/pg/Air7Seas-Transport-Logistics-Inc-731149066945233/about/?ref=page_internal,,,,"['Mo-Fr 08:00-17:30', 'Sa 09:00-16:00', 'Su 10:00-15:00']",5,201,37 Years,11 Years ,,,,https://www.yellowpages.com/atlanta-ga/mip/air-7-seas-transport-logistics-inc-457918084?lid=201257747,"A leading Freight Transportation Solution Provider since 1986 in USA We deliver Your cargo When You Need It, and Where You Need It. Services Customized to your needs at competitive prices.  We are Registered Members of IATA, FIATA, CNS, FMC & other Transport Associations"
"Reliable Moving Company Inc, Bekins Agent",(205) 769-4478,sales@reliablemoving.net,https://www.bekins.com/?utm_source=YP.com&utm_medium=listing&utm_campaign=geminibuy,1320 50th St N,Birmingham,AL,35212,https://www.facebook.com/pages/wheaton-worldwide-moving/167377636608308,,,,['Mo-Fr 08:00-17:00'],,,131 Years,9 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/reliable-moving-company-inc-bekins-agent-8040930?lid=1002150411339,"Our team has been moving families, business and older adults for more than a century. We've been around all these years because we keep our word: be on time, treat your possessions with care and communicate proactively with our customers. Families, senior citizens and businesses trust us with their downsizing, local, state-to-state and long distance moves. We have more than 450 interstate moving agents, which means there is almost certainly a Bekins Agent close to you. Looking for senior movers? Need help moving your business? Bekins can help with that and everything in between. From our senior moving services to our commercial relocation services, you can count on a hassle-free move. Ready to get started with Bekins? Visit our website or give us a call to start planning your move today."
Move Masters LLC,(205) 862-6683,movemastersbham@gmail.com,http://www.movemasters.net,2300 Crestwood Blvd,Birmingham,AL,35210,https://www.facebook.com/movemastersbham?ref=hl,,,,['Mo-Su 07:00-20:00'],5,1,8 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/move-masters-llc-507871107?lid=1001105934402,
Oakdale Moving & Storage,(844) 681-4827,michaellarocca1986@gmail.com,https://oakdalemovingandstorage.com,,,,,,,,,"['Mo-Fr 09:30-18:00', 'Sa 10:00-15:00']",5,64,,,,,,https://www.yellowpages.com/nationwide/mip/oakdale-moving-storage-573537597?lid=1002157174728,"Expert Movers For Long Distance - Residential & Commercial  Theres a reason clients across the country choose Oakdale Moving & Storage. They know our commitment to quality and dedication to customer satisfaction ensures their move is the easiest it could be. When you pick Oakdale Moving & Storage, you receive quality.  Reliable, trustworthy service A nation-wide network of professional movers Fast communication to stay in the loop Easy tracking from destination to destination. 5% percent discount for Senior Citizens & Military Families"
Colonial Van Lines - Long Distance Moving Services,(844) 252-9891,clientsupport@colonialvanlines.com,https://colonialvanlines.com/landing/yellow-pages,,,,,https://m.facebook.com/ColonialVanLinesInc/,,,,"['Mo-Fr 09:00-21:00', 'Sa 10:00-17:00']",5,301,23 Years,3 Years ,,,,https://www.yellowpages.com/nationwide/mip/colonial-van-lines-long-distance-moving-services-550075101?lid=1002057913969,"Colonial Van Lines - With over 50 years of experience in the moving and storage industry, Colonial Van Lines is the preferred choice for all your long distance moving needs."
Bekins Van Lines,(800) 246-5012,,https://www.bekins.com/?utm_source=YP.com&utm_medium=listing&utm_campaign=geminibuy,,,,,,,,,['Mo-Fr 08:00-17:00'],5,79,132 Years,9 Years ,,,,https://www.yellowpages.com/nationwide/mip/bekins-van-lines-574679803?lid=1002020566918,"Our team has been moving families, business and older adults for more than a century. We've been around all these years because we keep our word: be on time, treat your possessions with care and communicate proactively with our customers. Families, senior citizens and businesses trust us with their downsizing, local, state-to-state and long distance moves. We have more than 450 interstate moving agents, which means there is almost certainly a Bekins Agent close to you. Looking for senior movers? Need help moving your business? Bekins can help with that and everything in between. From our senior moving services to our commercial relocation services, you can count on a hassle-free move. Ready to get started with Bekins? Visit our website or give us a call to start planning your move today."
Wheaton World Wide Moving,(800) 240-9104,,https://www.wheatonworldwide.com/moving-estimate/?utm_source=YP.com&UTM&utm_medium=listing&utm&utm_campaign=geminibuy,,,,,,,,,['Mo-Fr 08:00-17:00'],5,98,78 Years,8 Years ,,,,https://www.yellowpages.com/nationwide/mip/wheaton-world-wide-moving-467581865?lid=1002039536039,"Wheaton has been in the moving business for 75 years. We take each move as seriously as our customers do. That's why Wheaton's quality standards are higher than most, but we believe that is what's required to ensure our customers enjoy a positive experience. You can count on our team of experts to take care of you and your belongings during every step of your move. From packing and planning to loading and delivery, we will keep you updated with timely and clear communication about your move. We strive to provide you with a smooth and simple experience. No matter the size or distance of your move, Wheaton is happy to help!"
Concorde Van Lines,(844) 200-2798,,,,,,,,,,,"['Mo-Fr 09:45-18:00', 'Sa 11:00-15:00']",5,167,,1 Year ,,,,https://www.yellowpages.com/nationwide/mip/concorde-van-lines-567526056?lid=1002163038563,"Packing  Our experienced movers are trained to pack and transfer a variety of household, office, and personal items. We provide the necessary equipment to reduce damage and move your belongings securely between locations. We take care of packing services and guarantee your items arrive safely.  Storage  We provide practical storage solutions for your belongings with flat-fee, climate-controlled storage facilities. We can hold your belongings for the duration of your relocation, delivering them to you when you arrive.  Door To Door  With Concorde Van Lines door-to-door moving services, clients enjoy an easy move from start to finish. Don't worry about packing, shipping, or unpacking-let the pros at Concorde Van Lines handle your move instead. We offer all-inclusive moving services for busy homeowners, families, and businesses alike.  Long Distance  When deciding to relocate your home, Long-distance moves, can be an unsure time for homeowners and business owners. Our expert network of movers will transfer your belongings from one point to the next with professional packing and long-distance moving expertise that will put your mind at ease.  Residential  Concorde Van Lines can help any type of residential client, regardless of property size or type. We provide a range of residential moving services to ensure a smooth move that is tailored to your budget and timeline  Commercial  We offer top-quality commercial moving supplies and services to companies at every stage of the relocation process. We're here to help expand your operations with commercial moving services that fit your business’s needs."
AIR 7 SEAS Transport Logistics Inc,(888) 404-8124,ypcom@air7seas.us,http://www.air7seas.com/,560 Atlanta South Pkwy,Atlanta,GA,30349,https://www.facebook.com/pg/Air7Seas-Transport-Logistics-Inc-731149066945233/about/?ref=page_internal,,,,"['Mo-Fr 08:00-17:30', 'Sa 09:00-16:00', 'Su 10:00-15:00']",5,201,37 Years,11 Years ,,,,https://www.yellowpages.com/atlanta-ga/mip/air-7-seas-transport-logistics-inc-457918084?lid=201257747,"A leading Freight Transportation Solution Provider since 1986 in USA We deliver Your cargo When You Need It, and Where You Need It. Services Customized to your needs at competitive prices.  We are Registered Members of IATA, FIATA, CNS, FMC & other Transport Associations"
Concorde Van Lines,(877) 293-8375,,,,,,,,,,,,5,100,,1 Year ,,,,https://www.yellowpages.com/nationwide/mip/concorde-van-lines-567623748?lid=1002115109523,"Packing  Our experienced movers are trained to pack and transfer a variety of household, office, and personal items. We provide the necessary equipment to reduce damage and move your belongings securely between locations. We take care of packing services and guarantee your items arrive safely.  Storage  We provide practical storage solutions for your belongings with flat-fee, climate-controlled storage facilities. We can hold your belongings for the duration of your relocation, delivering them to you when you arrive.  Door To Door  With Concorde Van Lines door-to-door moving services, clients enjoy an easy move from start to finish. Dont worry about packing, shipping, or unpackinglet the pros at Concorde Van Lines handle your move instead. We offer all-inclusive moving services for busy homeowners, families, and businesses alike.  Long Distance  When deciding to relocate your home, Long-distance moves, can be an unsure time for homeowners and business owners. Our expert network of movers will transfer your belongings from one point to the next with professional packing and long-distance moving expertise that will put your mind at ease.   Residential  Concorde Van Lines can help any type of residential client, regardless of property size or type. We provide a range of residential moving services to ensure a smooth move that is tailored to your budget and timeline  Commercial  We offer top-quality commercial moving supplies and services to companies at every stage of the relocation process. Were here to help expand your operations with commercial moving services that fit your businesss needs."
New Latitude Movers,(205) 988-9000,marketing@moveandstore.com,https://newlatitudemovers.com,,,,,https://www.facebook.com/newlatitude,,,,"['Mo-Fr 07:30-18:00', 'Sa 09:00-16:00']",,,26 Years,4 Years ,,,Accredited Business,https://www.yellowpages.com/nationwide/mip/new-latitude-movers-23022435?lid=1002153379585,"We are a moving and storage company based in Birmingham,AL offering local moving, long distance moving, and storage solutions as well as commercial moving services.  Before we ever get moving, we get to know our customers and create tailored moving solutions based on your specific needs.  New Latitude started as an antique moving company, so we are uniquely prepared to care for your most prized possessions.  We seek to prepare our movers and staff personally and professionally to help them have an impact on their family and their future.  New Latitude does not utilize contract labor. All New Latitude movers are experienced and trained to make your move a success.  In addition to household and commercial moving, New Latitude is the trusted delivery partner for many national furniture brands around the country.  Our moving experts will provide peace-of-mind as we walk you through the steps of moving preparation.   In addition to serving our customers, New Latitude is a trusted moving partner of DR Horton, Defining Home, Rosie Moves, Evonik Industries, Henry Schein Dental, and Cotton Woodworks  We want our customers to be clear and confident with every aspect of their move. We set expectations early and walk alongside you every step of the way.  Every move is unique. We want to hear your concerns so that we can address them and create solutions that will make your move a success."
Move Daddy,(205) 977-2222,rmcbee@movedaddy.com,http://www.movedaddy.com,3114 Belwood Dr,Vestavia,AL,35243,https://www.facebook.com/movedaddy,,,,"['Mo-Sa 08:00-17:00', 'Su 08:00-12:00']",,,12 Years,1 Year ,,,,https://www.yellowpages.com/vestavia-al/mip/move-daddy-527828484?lid=1002165740585,Call us today
