Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
EyeCare Associates,(205) 730-0863,,https://www.webeca.com/appt/promo?utm_source=yp&utm_medium=iyp&utm_campaign=yp_pl,,,,,https://www.facebook.com/EyeCareAssociates/,,,,,,,27 Years,6 Years ,,,,https://www.yellowpages.com/nationwide/mip/eyecare-associates-534637694?lid=1001709664610,"EyeCare Associates is proud to be a medically based optometric group serving North Carolina.  Our team of highly trained optometrists, opticians, and technicians focus on maintaining the health and development of your eyes by providing the most comprehensive eye exam on the market."
Alabama Vision Center,(205) 592-3911,,https://www.alabamavisioncenter.com/locations/birmingham?utm_source=extnet&utm_medium=yext,3928 Montclair Rd Ste 100,Mountain Brk,AL,35213,,,,,"['Mo-Th 07:30-17:15', 'Fr 07:30-11:30']",,,22 Years,,,,Accredited Business,https://www.yellowpages.com/mountain-brk-al/mip/alabama-vision-center-525298913,"Alabama Vision Center has established a long and true tradition of professional excellence, defined by training, experience, state-of-the-art technology and world-class care. Our goal is to enhance the quality of our patients’ lives by helping them achieve the best vision possible."
"Price Kloess, MD, FAAO",(205) 592-3911,,https://www.alabamavisioncenter.com/doctors/price-kloess-m-d?utm_source=extnet&utm_medium=yext,3928 Montclair Rd Ste 100,Mountain Brk,AL,35213,,,,,"['Mo-Th 07:30-17:15', 'Fr 07:30-11:30']",,,31 Years,,,,,https://www.yellowpages.com/mountain-brk-al/mip/price-kloess-md-faao-525298956,"Dr. Price Kloess, MD, FAAO, is a board-certified, fellowship-trained ophthalmologist specializing in blade-free all laser custom LASIK laser vision correction, ""no stitch"" cataract laser and surgery, refractive lens exchange with bifocal implants, phakic IOL surgery, and corneal transplantation surgery. Dr. Kloess is a clinical assistant for the Eye Hospital in Birmingham. He is a fellow of the American Academy of Ophthalmology and served as President of the Alabama Academy of Ophthalmology."
"Andrew Velazquez, MD, FAAO",(205) 592-3911,,https://www.alabamavisioncenter.com/doctors/andrew-velazquez-m-d?utm_source=extnet&utm_medium=yext,3928 Montclair Rd Ste 100,Mountain Brk,AL,35213,,,,,"['Mo-Th 07:30-17:15', 'Fr 07:30-11:30']",,,,,,,,https://www.yellowpages.com/mountain-brk-al/mip/andrew-velazquez-md-faao-526456161,"Dr. Andrew Velazquez, MD, FAAO, is a board-certified, fellowship-trained ophthalmologist specializing in blade-free all laser custom LASIK laser vision correction, ""no stitch"" cataract laser and surgery, refractive lens exchange with bifocal implants, phakic IOL surgery, and advanced corneal transplantation surgery. He completed his residency at the University of Florida and a Cornea and Refractive Surgery Fellowship at Duke University. Dr. Velazquez has served as Assistant Professor of Ophthalmology, Director of Cornea and External Disease, and Director of Refractive Surgery at The Callahan Eye Hospital in Birmingham, Alabama. He is a fellow of the American Academy of Ophthalmology and Clinical Assistant at the Eye Hospital."
"Andrew Bartlett, MD, FAAO",(205) 592-3911,,https://www.alabamavisioncenter.com/doctors/andrew-bartlett-m-d?utm_source=extnet&utm_medium=yext,3928 Montclair Rd Ste 100,Mountain Brk,AL,35213,,,,,"['Mo-Th 07:30-17:15', 'Fr 07:30-11:30']",,,,,,,,https://www.yellowpages.com/mountain-brk-al/mip/andrew-bartlett-md-faao-532099491,"Andrew Bartlett, MD, FAAO, is a board-certified, fellowship-trained ophthalmologist specializing in blade-free all laser custom LASIK vision correction, ""no stitch"" cataract surgery, refractive lens exchange with bifocal implants, and corneal transplantation surgery. Born and raised in Birmingham, Dr. Bartlett attended the University of Alabama at Birmingham School of Medicine before completing his residency at Texas Tech University in Lubbock, Texas. He then continued his training with a Cornea and Refractive Surgery Fellowship at Eye Consultants of Atlanta."
"Jessica Duddleston, MD",(205) 592-3911,,https://www.alabamavisioncenter.com/doctors/jessica-duddleston-m-d?utm_source=extnet&utm_medium=yext,3928 Montclair Rd Ste 100,Mountain Brk,AL,35213,,,,,"['Mo-Th 07:30-17:15', 'Fr 07:30-11:30']",,,,,,,,https://www.yellowpages.com/mountain-brk-al/mip/jessica-duddleston-md-569530638,"Dr. Jessica Duddleston, MD, is a comprehensive ophthalmologist specializing in cataract surgery, laser eye procedures, medical and surgical glaucoma, diabetic eye exams, and macular degeneration, among other things. Dr. Duddleston completed her ophthalmology residency at the distinguished University of North Carolina where she was elected chief resident during her senior year and received Resident Teacher of the year award. Her work is published in Ophthalmology Retina journal and has presented her work at Ophthalmology conferences including Women in Ophthalmology and American Academy of Ophthalmology."
"Lawaczeck McKinnon Feagin Carter Gee & Dahl, PC",(205) 397-9400,,,1009 Old Montgomery Hwy,Vestavia Hills,AL,35216,,,,,,,,,,,,,https://www.yellowpages.com/vestavia-hills-al/mip/lawaczeck-mckinnon-feagin-carter-gee-dahl-pc-565317663,"Lawaczeck, McKinnon, Feagin & Carter PC is Birmingham's Premiere Ophthamology and Eye Surgery center. We specialize in eye exams, cataract surgery, glaucoma surgery, & contact lenses. Our professional and courteous staff are always available to assit youor set an appointment. Call us today and experience the difference!"
"Dr. Brittany Mitchell, OD",(205) 592-3911,,,3928 Montclair Rd Ste 100,Mountain Brk,AL,35213,,,,,,,,,,,,,https://www.yellowpages.com/mountain-brk-al/mip/dr-brittany-mitchell-od-526456707,
C Michael Adams MD,(205) 879-2221,,,2700 Highway 280 S Ste 370E,Mountain Brk,AL,35223,,,,,,,,30 Years,,,,,https://www.yellowpages.com/mountain-brk-al/mip/c-michael-adams-md-540965433,
Schaeffer Eye Center,(205) 802-2020,,http://www.schaeffereyecenter.com,2737 Highway 280 S,Mountain Brk,AL,35223,,,,,"['Mo-Fr 08:30-18:00', 'Sa 08:00-16:00']",,,75 Years,,,,,https://www.yellowpages.com/mountain-brk-al/mip/schaeffer-eye-center-552288366,
