Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
EyeCare Associates,(205) 848-6165,,https://www.webeca.com/locations/al/birmingham/valleydale?utm_source=yp&utm_medium=iyp&utm_campaign=yp_mlp,4500 Valleydale Rd Ste 700,Birmingham,AL,35242,https://www.facebook.com/eyecareassociates/,,,,['Mo-Fr 08:30-17:30'],,,27 Years,6 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/eyecare-associates-7465618?lid=1002163247175,"EyeCare Associates is proud to be a medically based optometric group serving Alabama.  Our team of highly trained optometrists, opticians, and technicians focus on maintaining the health and development of your eyes by providing the most comprehensive eye exam on the market."
Dr. David O'Leary,(205) 655-3329,,https://local.lenscrafters.com/eyedoctors/al/birmingham/5066-pinnacle-square.html?cid=yext_odLCOD3226-210000465&y_source=1_MjQwNTY0MS01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,5066 Pinnacle Sq Ste 106,Birmingham,AL,35235,,,,,"['Mo-Sa 09:00-17:00', 'Su 13:00-16:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/dr-david-oleary-520040199,"Dr. David O'Leary is the local eye doctor to see for all of your eye care needs in Birmingham, AL. As your local Birmingham optometrist, Dr. David O'Leary can help diagnose, treat, and detect subtle changes in your eyes year over year. Come visit our offices at 5066 Pinnacle Square Birmingham, AL 35235 and let us help you see and look your best. Our doctors are here to provide the professional eye care near you, to guarantee you have the clearest vision. Call today to schedule an appointment for your annual eye exam."
Schaeffer Eye Center,(205) 263-2796,,http://www.schaeffereyecenter.com,301 18th St S,Birmingham,AL,35233,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/schaeffer-eye-center-19115423,
Essix Optical,(205) 541-9867,,,1417 14th St S,Birmingham,AL,35205,,,,,['Mo-Fr 08:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/essix-optical-467204608,
Smith Opticians,(205) 933-8436,,,1030 14th Ave S,Birmingham,AL,35205,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/smith-opticians-528193215,
Now Vision Eyecare,(205) 777-5572,,http://www.nowvisioneyecare.com,2226 1st Ave S,Birmingham,AL,35233,,,,,"['Mo-Tu 10:00-18:00', 'We 08:00-16:00', 'Th 10:00-17:00', 'Fr 08:00-15:00']",,,11 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/now-vision-eyecare-470044381,
Alabama Eye & Cataract Center,(205) 930-0930,,http://michelsonlaservision.blogspot.com,1201 11th Ave S,Birmingham,AL,35205,,,,,['Mo-Fr 09:00-17:00'],5,1,23 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/alabama-eye-cataract-center-24992836,"Alabama Eye & Cataract Center provides Cataract Surgery and Intraocular Lens Implants (IOL), Corneal Transplants, Corneal Surgery and Eye Exams with Cataract Surgeon and Corneal Specialist Marc Michelson, M.D. in Birmingham, Alabama AL. Alabama Eye & Cataract Center has been serving the Cornea and Cataract Surgery needs of greater Birmingham and Alabama patients for over 20 years. Visit www.michelsonlaser.com  for patient eye care information or follow facebook.com/michelsonlaservision to stay connected with news, updates and special offers. Patients can schedule appointments by calling 205-930-0930."
America's Best Contacts And Eyeglasses,(205) 940-9000,,http://www.americasbest.com/store-list/homewood-al-35209,231 Lakeshore Pkwy,Birmingham,AL,35209,,,,,"['Mo-Fr 09:00-19:00', 'Sa 09:00-18:00']",4,1,44 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/americas-best-contacts-and-eyeglasses-1219493,"Get 2 pairs of glasses and a free, quality eye exam starting at $79.95 at Americas Best. Visit us online or call your local store to find exam times or shop our selection of frames. Masks may be required at some locations."
"Patricia Benjamin, OD",(205) 328-2020,,https://locations.myeyedr.com/al/birmingham/2019-highland-ave-s,2019 Highland Ave S,Birmingham,AL,35205,,,,,['Mo-Fr 09:00-18:00'],,,19 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/patricia-benjamin-od-458582683,MyEyeDr. is your trusted community doctor providing the best in vision health care and the best selection of eyewear. We welcome all insurances.
MyEyeDr.,(205) 328-2020,,https://locations.myeyedr.com/al/birmingham/2019-highland-ave-s,2019 Highland Ave S,Birmingham,AL,35205,,,,,"['Mo-Fr 09:00-18:00', 'Sa 09:00-15:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/myeyedr-546712142,Schaeffer Eye Center is now a part of MyEyeDr. Same great doctors and office teams with more selections!
"Tracey L. Mercer, O.D.",(205) 968-1160,,https://drtraceymercer.com,2000 Southlake Park Suite #100,Birmingham,AL,35244,,,,,"['Mo-Th 08:00-17:00', 'Fr 08:00-13:00']",,,8 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/tracey-l-mercer-o-d-507439586,"Tracey L. Mercer has been a leading provider of optometry services and vision care products in Shelby County for the last 15 years. In January 2015, she opened a new practice in the Hoover community to help you achieve and maintain clear vision for years to come. Our experienced eye doctor offers comprehensive vision exams at our Hoover optometry office and specializes in the diagnosis and treatment of a wide array of eye diseases, conditions, and problems. We use advanced diagnostic technology and vision correction products and are committed to improving the quality of life of persons in Shelby County through enhanced vision. Give yourself the gift of clear vision– schedule an appointment with Tracey L. Mercer, OD today."
