Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
EyeCare Associates,(205) 855-4006,,https://www.webeca.com/locations/al/birmingham/trussville?utm_source=yp&utm_medium=iyp&utm_campaign=yp_mlp,1825 Tin Valley Cir,Birmingham,AL,35235,https://www.facebook.com/eyecareassociates/,,,,"['Mo 07:30-17:00', 'Tu 07:30-18:00', 'We-Fr 07:30-17:00']",,,27 Years,6 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/eyecare-associates-496586439?lid=1002163247072,"EyeCare Associates is proud to be a medically based optometric group serving Alabama.  Our team of highly trained optometrists, opticians, and technicians focus on maintaining the health and development of your eyes by providing the most comprehensive eye exam on the market."
Alabama Family Eye Care,(205) 588-7881,,http://www.alfamilyeyes.calls.net,5356 Stadium Trace Pkwy,Birmingham,AL,35244,https://www.facebook.com/alabamafamilyeyecare,,,,"['Mo-Tu 08:30-17:30', 'We 07:30-16:30', 'Th 08:30-17:30', 'Fr 07:30-12:00']",,,24 Years,10 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/alabama-family-eye-care-481423803?lid=1000200177368,"Alabama Family Eye Care is locally owned and operated so you can rest assured that our primary focus is your eye health. Dr. Melissa Curl, Dr. Jennifer Craig, and their friendly staff are committed to continuing the long tradition of offering our patients quality eye care in a professional and friendly manner. The use of the latest technology assists our doctors in diagnosing and treating any eye health or vision condition. It is our intent to continue to keep up with the latest treatments and technology that can be used to provide safe, effective and quality care to our patients."
"Drs. Fagin, Gee, and Dahl, PC",(205) 538-2808,,http://www.alabamaeyemd.com,"1009 Montgomery Hwy, Suite 200",Vestavia,AL,35216,,,,,"['Mo-Th 07:30-16:30', 'Fr 07:30-12:00']",,,18 Years,11 Years ,,,Accredited Business,https://www.yellowpages.com/vestavia-al/mip/drs-fagin-gee-and-dahl-pc-17109847?lid=1001599030828,"Lawaczeck, McKinnon, Feagin & Carter PC is Birmingham's Premiere Ophthamology and Eye Surgery center. We specialize in eye exams, cataract surgery, glaucoma surgery, & contact lenses. Our professional and courteous staff are always available to assit youor set an appointment. Call us today and experience the difference!"
EyeCare Associates,(205) 848-6165,,https://www.webeca.com/locations/al/birmingham/valleydale?utm_source=yp&utm_medium=iyp&utm_campaign=yp_mlp,4500 Valleydale Rd Ste 700,Birmingham,AL,35242,https://www.facebook.com/eyecareassociates/,,,,['Mo-Fr 08:30-17:30'],,,27 Years,6 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/eyecare-associates-7465618?lid=1002163247179,"EyeCare Associates is proud to be a medically based optometric group serving Alabama.  Our team of highly trained optometrists, opticians, and technicians focus on maintaining the health and development of your eyes by providing the most comprehensive eye exam on the market."
EyeCare Associates,(205) 855-3465,,https://www.webeca.com/locations/al/birmingham/homewood?utm_source=yp&utm_medium=iyp&utm_campaign=yp_mlp,225 State Farm Pkwy Ste 109,Birmingham,AL,35209,https://www.facebook.com/eyecareassociates/,,,,"['Mo-We 08:30-17:30', 'Th 09:00-18:00', 'Fr 08:30-17:30']",,,27 Years,6 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/eyecare-associates-558946879?lid=1002163247246,"EyeCare Associates is proud to be a medically based optometric group serving Alabama.  Our team of highly trained optometrists, opticians, and technicians focus on maintaining the health and development of your eyes by providing the most comprehensive eye exam on the market."
EyeCare Associates,(205) 855-4174,,https://www.webeca.com/locations/al/birmingham/cahaba?utm_source=yp&utm_medium=iyp&utm_campaign=yp_mlp,3165 Green Valley Rd.,Birmingham,AL,35243,https://www.facebook.com/eyecareassociates/,,,,"['Mo-Th 07:45-17:00', 'Fr 07:45-13:00']",,,27 Years,6 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/eyecare-associates-536403455?lid=1002163247157,"EyeCare Associates is proud to be a medically based optometric group serving Alabama.  Our team of highly trained optometrists, opticians, and technicians focus on maintaining the health and development of your eyes by providing the most comprehensive eye exam on the market."
EyeCare Associates,(205) 855-4006,,https://www.webeca.com/locations/al/birmingham/trussville?utm_source=yp&utm_medium=iyp&utm_campaign=yp_mlp,1825 Tin Valley Cir,Birmingham,AL,35235,https://www.facebook.com/eyecareassociates/,,,,"['Mo 07:30-17:00', 'Tu 07:30-18:00', 'We-Fr 07:30-17:00']",,,27 Years,6 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/eyecare-associates-496586439?lid=1002163247072,"EyeCare Associates is proud to be a medically based optometric group serving Alabama.  Our team of highly trained optometrists, opticians, and technicians focus on maintaining the health and development of your eyes by providing the most comprehensive eye exam on the market."
Alabama Family Eye Care,(205) 588-7881,,http://www.alfamilyeyes.calls.net,5356 Stadium Trace Pkwy,Birmingham,AL,35244,https://www.facebook.com/alabamafamilyeyecare,,,,"['Mo-Tu 08:30-17:30', 'We 07:30-16:30', 'Th 08:30-17:30', 'Fr 07:30-12:00']",,,24 Years,10 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/alabama-family-eye-care-481423803?lid=1000200177368,"Alabama Family Eye Care is locally owned and operated so you can rest assured that our primary focus is your eye health. Dr. Melissa Curl, Dr. Jennifer Craig, and their friendly staff are committed to continuing the long tradition of offering our patients quality eye care in a professional and friendly manner. The use of the latest technology assists our doctors in diagnosing and treating any eye health or vision condition. It is our intent to continue to keep up with the latest treatments and technology that can be used to provide safe, effective and quality care to our patients."
The EyeCare Place,(205) 856-1522,,http://theeyecareplace.com,2338 Center Point Pkwy,Birmingham,AL,35215,https://www.facebook.com/The-Eyecare-Place-Inc-1432449266974939/,,,,['Mo-Fr 09:00-17:00'],,,24 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/the-eyecare-place-4386006?lid=1001484134996,"The EyeCare Place Inc. is a vision center that specializes in providing eye exams and glasses to children and adults of all ages. It offers services, such as Routine Eye Exams, Single Vision Eyeglasses, Bifocal Eyeglasses and Accessories, among others. With one of the locations in Birmingham, Ala., The EyeCare Place Inc. began operations in 2004. The eye care center accepts all kids insurance as well as Medicaid patients. It offers a list of stylish frames options for its clients."
"Michael R. Bernstein, MD, PC",(205) 823-2062,,,2010 Patton Chapel Rd,Birmingham,AL,35216,,,,,['Mo-Fr 09:00-17:00'],,,41 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/michael-r-bernstein-md-pc-14883716?lid=1001063724168,"MICHAEL R. BERNSTEIN M.D., P.C. Diseases & Surgery Of The Eye."
