Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Aspen Dental,(205) 855-2993,,"https://www.aspendental.com/dentist/al/homewood/275-lakeshore-pkwy?utm_source=YP&utm_medium=IYP&utm_campaign=Homewood,AL-MMIYP%7C%7CHomewoo_AL%7C%7C4279&office=4279",275 Lakeshore Pkwy,Birmingham,AL,35209,https://www.facebook.com/aspendental,,,,"['Mo-We 07:30-17:30', 'Th 09:00-19:00', 'Fr 07:30-12:30']",,,,7 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/aspen-dental-570475760?lid=1002150487684,"Aspen Dental in Homewood, AL is open for all appointment types. As part of our Smile Wide Smile Safe Promise, we are taking proactive steps so that patients, care teams and communities have a safe, clean care environment for all their dental needs. We offer a wide range of dental and denture services with skilled lab technicians that hand-craft, high-quality dentures. Book an appointment online or call anytime Monday-Friday 6:30am-11pm, Saturday 7am-9pm, or Sunday 7:30am-5:30pm EST."
Aspen Dental,(205) 855-3509,,"https://www.aspendental.com/dentist/al/birmingham/1820-gadsden-highway-ste-112?utm_source=YP&utm_medium=IYP&utm_campaign=Birmingham,AL(Trussville)-MMIYP%7C%7CTrusvle_AL%7C%7C2045&office=2045",1820 Gadsden Hwy Ste 112,Birmingham,AL,35235,https://www.facebook.com/aspendental,,,,"['Mo-We 07:00-17:00', 'Th 09:00-19:00', 'Fr 07:00-12:00']",,,,7 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/aspen-dental-478399578?lid=1002150495336,"Aspen Dental in Birmingham, AL is open for all appointment types.  As part of our Smile Wide Smile Safe Promise, we are taking proactive steps so that patients, care teams and communities have a safe, clean care environment for all their dental needs.  We offer a wide range of dental and denture services with skilled lab technicians that hand-craft, high-quality dentures.  Book an appointment online or call anytime Monday thru Friday 6:30am - 11pm, Saturday 7am - 9pm, or Sunday 7:30am - 5:30pm EST."
Aspen Dental,(205) 855-2993,,"https://www.aspendental.com/dentist/al/homewood/275-lakeshore-pkwy?utm_source=YP&utm_medium=IYP&utm_campaign=Homewood,AL-MMIYP%7C%7CHomewoo_AL%7C%7C4279&office=4279",275 Lakeshore Pkwy,Birmingham,AL,35209,https://www.facebook.com/aspendental,,,,"['Mo-We 07:30-17:30', 'Th 09:00-19:00', 'Fr 07:30-12:30']",,,,7 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/aspen-dental-570475760?lid=1002150487684,"Aspen Dental in Homewood, AL is open for all appointment types. As part of our Smile Wide Smile Safe Promise, we are taking proactive steps so that patients, care teams and communities have a safe, clean care environment for all their dental needs. We offer a wide range of dental and denture services with skilled lab technicians that hand-craft, high-quality dentures. Book an appointment online or call anytime Monday-Friday 6:30am-11pm, Saturday 7am-9pm, or Sunday 7:30am-5:30pm EST."
Greystone Orthodontics,(205) 719-1408,,http://greystoneorthodontics.com,5510 Highway 280,Birmingham,AL,35242,https://facebook.com/pages/greystone-orthodontics/174099242602591,,,,['Mo-Fr 08:00-17:00'],5,1,24 Years,15 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/greystone-orthodontics-18964782?lid=157979480,Your smile is a very important part of who you are and together we can create that smile you have always wanted. Dr. Robert's expert staff will cater to your smile needs in a relaxed atmosphere. Our goal is to provide the highest quality care and the most effective treatment available in the most conservative manner possible. Free initial consultation-New Patients welcome-Insurance welcome. Call us today for an appointment.
Greystone Orthodontics,(205) 538-2839,,,5510 Highway 280,Birmingham,AL,35242,,,,,['Mo-Fr 08:00-17:00'],,,24 Years,15 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/greystone-orthodontics-451062454?lid=207909764,Your smile is a very important part of who you are and together we can create that smile you have always wanted. Dr. Robert's expert staff will cater to your smile needs in a relaxed atmosphere. Our goal is to provide the highest quality care and the most effective treatment available in the most conservative manner possible. Free initial consultation-New Patients welcome-Insurance welcome. Call us today for an appointment.
Moore Orthodontics,(205) 991-9299,,http://www.mooreorthobirmingham.com,5100 Cyrus Cir,Birmingham,AL,35242,,,,,['Mo-Th 08:00-17:00'],,,17 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/moore-orthodontics-6530102,
Birmingham Orthodontics,(205) 733-2022,,http://www.bhamorthodontics.com/locations,3825 Lorna Rd Ste 248,Birmingham,AL,35244,,,,,"['Mo-Tu 08:00-17:00', 'Th 08:00-17:00']",,,30 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/birmingham-orthodontics-466219964,"Welcome to Birmingham Orthodontics! We have been providing affordable, quality orthodontic care since we were founded by Dr Michael McCarthy in 1993. Located in Alabaster, Hoover, and Trussville Alabama, our practice’s top priority is to provide our patients with a smile they deserve! We recognize that every patient has different needs, and we pride ourselves in the courteous service we deliver to each person who walks through our doors. We know a person’s self image is so important to them and a smile can last a lifetime. That is why it is our goal to offer braces and aligners at a price you can afford! We offer braces with no down payment and low monthly payments. Whether you’re an adult, adolescent or child, our knowledgeable doctors and staff are committed to helping you achieve the smile you deserve - a healthy, beautiful one. Please visit our website www.BhamSmile.com to learn more about our practice and locations."
Cahaba Valley Pediatric Dentistry,(205) 408-8889,,http://www.cvpd.com,141 Narrows Dr,Birmingham,AL,35242,https://www.facebook.com/cvpdbirmingham,,,,['Mo-Th 08:00-17:00'],,,18 Years,11 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/cahaba-valley-pediatric-dentistry-465939936?lid=1000584293345,
"Dominique V. Backus, DDS",(205) 879-0557,,http://www.backusbraces.com,3507 Old Montgomery Hwy,Birmingham,AL,35209,,,,,['Mo-Th 07:30-16:30'],5,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/dominique-v-backus-dds-496614543,
Gilbert Orthodontics,(205) 991-9545,,http://www.brawleygilbertortho.com,100 Heatherbrooke Park Dr,Birmingham,AL,35242,,,,,['Mo-Th 07:30-17:00'],,,23 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/gilbert-orthodontics-529389986,Gilbert Orthodontics is located in Birmingham Alabama. These orthodontists offer traditional braces as well as clear braces for adults and kids.
Dieguez Smiles Orthodontics,(205) 258-0750,,https://www.dieguezsmiles.com,100 Heatherbrooke Park Dr,Birmingham,AL,35242,,,,,['Mo-Th 08:00-17:00'],,,29 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/dieguez-smiles-orthodontics-562284689,"Dieguez Smiles Orthodontics provides orthodontic care at locations in Birmingham and Fairfield, AL."
Weissman Orthodontics,(205) 991-9292,,https://weissmanortho.com,202 Inverness Center Dr,Birmingham,AL,35242,,,,,"['Mo-Th 08:00-17:00', 'Fr 08:00-12:00']",,,26 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/weissman-orthodontics-527372913,"Welcome to Weissman Orthodontics in Birmingham, where your smile transformation begins. Led by Dr. Sherri Weissman, our expert team is committed to providing exceptional orthodontic care. Experience the difference and achieve your dream smile with Weissman Orthodontics."
Bates Orthodontics,(205) 719-5125,,https://bracesbybates.com,2826 Lakeshore Pkwy,Birmingham,AL,35211,,,,,"['Mo-Th 08:00-16:45', 'Fr 08:00-15:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/bates-orthodontics-561008745,"Bates Orthodontics provides quality orthodontic care with a service-first approach to establish a stable foundation of oral health for all patients. We are a small family practice making a big impact in the Birmingham area. Grounded in science and service, we help create smiles that can change people’s lives for good. At Bates Orthodontics we strive to achieve great outcomes through careful, doctor-directed treatment plans that coincide with patient goals and produce the healthiest long-term results for each individual. This intentional, individualized method allows us to preserve facial harmony and improve the functional and esthetic aspects of a smile. Everything we do is aligned with our values of service and leadership."
"Jon C. Moore, DMD, MS",(205) 991-9299,,http://www.mooreorthobirmingham.com,5100 Cyrus Cir,Birmingham,AL,35242,,,,,['Mo-Fr 08:00-17:00'],,,29 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/jon-c-moore-dmd-ms-482098990,
