Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Jmedical,(205) 538-2790,,http://jmedical.net,9729 Parkway E Ste 10,Birmingham,AL,35215,https://www.facebook.com/Jmedicalllc-708450192556914,,,,"['Mo-Fr 09:00-15:00', 'Sa 10:30-15:00']",,,9 Years,5 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/jmedical-516162946?lid=1001930685743,"MEDICAL SUPPLIES / Business Course, teach you how to create your own Business. Schedule your time slot in the calendar section."
The Birmingham Pain Center,(205) 313-7246,,http://www.birminghampain.com,7500 Hugh Daniel Dr Ste 300,Birmingham,AL,35242,https://www.facebook.com/pages/birmingham-pain/174017749299255,,,,['Mo-Th 07:00-17:30'],4,6,28 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/the-birmingham-pain-center-474182080?lid=1000439481649,"Chronic Pain affects your whole life, so we use a whole-person approach to pain management to help reduce, control and alleviate your pain."
Greystone Neurology & Pain Center,(205) 980-1666,,,7500 Hugh Daniel Dr,Birmingham,AL,35242,,,,,,,,32 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/greystone-neurology-pain-center-25040588?lid=1000625280588,"Dr. Hakim M.D., M.P.H. Specializes in Pain Management, Non-Surgical Treatment for Disc Herniation. Dr. Hakim is also a specialist in treating Fibromyalgia. Offices in Birmingham, Talladega, and Sylacauga"
Hot Heads Hair Design,(205) 780-9095,carolyn.e.bland@gmail.com,,2108 Avenue E,Birmingham,AL,35218,https://facebook.com/hotheadshairdesign/,,,,"['We-Fr 15:00-20:00', 'Sa 09:00-15:00']",5,2,26 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/hot-heads-hair-design-2669869?lid=1001329788011,License # AL292
Williford Chiropractic and Wellness,(205) 909-7373,,http://www.willifordchiropracticandwellness.com,201 Beacon Pkwy W,Birmingham,AL,35209,https://www.facebook.com/1610164235713425,,,,"['Mo 08:00-18:00', 'Tu 07:30-18:00', 'We 08:00-18:00', 'Th 07:30-18:00']",,,6 Years,2 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/williford-chiropractic-and-wellness-540667484?lid=1002070100396,"Dr. Joel Williford is an expert in the area of neurologic-based chiropractic care, and it is his mission to heal the body by treating the neurological deficiencies in the brain. Dr. Williford has a saying, balance your brain, balance your life. He believes that if one learns to control how stress impacts the brain-- thoughts, emotional triggers-- you can avoid the physical effects it has on the body.  While we know that stress is unavoidable in life, Williford chiropractic and wellness believes that through neurological reprogramming, physical therapy, and alternative noninvasive, nonsurgical chiropractic care everyone can achieve optimal health and wellness."
Painsouth Inc,(205) 297-9801,,http://painsouth.com,1424 Carraway Blvd,Birmingham,AL,35234,,,,,,,,25 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/painsouth-inc-15102610,
integrative chiropactic,(205) 637-1363,,http://www.drryanrussell.com,1580 Montgomery Hwy Ste 14,Birmingham,AL,35216,,,,,['Mo-Fr 08:00-19:00'],5,1,8 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/integrative-chiropactic-532719217,"Integrative Chiropractic provides comprehensive health, wellness & chiropractic services in Birmingham, AL. Our primary focus is to offer quality & customized care to eliminate your pain so that you may return to your daily activities as quickly as possible.  Whether you are a working professional, an athlete, or child, the care you receive will be tailored to your needs. We concentrate on the relief of back pain, neck pain, TMJ pain, headaches, pain in the arms or legs, as well as both acute & chronic injuries.  When an injury and repetitive stress causes damage to the spine, nerves can become involved, resulting in pain and other health problems.  Chiropractic treatment addresses these underlying issues by releasing pressure on the delicate nerves of the spine and allowing healing to take place.  Dr. Ryan Russel can help you achieve the relief for which you have been desperately seeking.  Contact Integrative Chiropractic today and take the first-step towards the rest of your healthy life!"
Southside Pain Specialists,(205) 332-3155,,http://southsidepainspecialists.com,"1020 26th St South Suite 100 Birmingham, AL 35205",Birmingham,AL,35205,,,,,['Mo-Fr 08:00-17:30'],2,2,16 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/southside-pain-specialists-481313013,"At Southside Pain Specialists, we are committed to quality pain treatment with cost effective, evidence-based treatment options."
Champion Sports Medicine in affiliation with Grandview Health - Greystone,(205) 408-0700,,https://www.csmsportsmedicine.com/contact/find-a-location/al/birmingham/greystone/?ty=xt,201 Doug Baker Blvd,Birmingham,AL,35242,,,,,['Mo-Fr 08:00-17:00'],,,17 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/champion-sports-medicine-in-affiliation-with-grandview-health-greystone-482249778,"At Champion Sports Medicine in affiliation with Grandview Health, our experienced clinical team will design an individualized plan of care that aligns with your specific goals in mind. Through experience, advanced clinical training and clear communication with our patients, our therapy team will give you the advantage in recovery.We are proud to be part of the community and are committed to providing each patient with an exceptional experience that promotes healing and recovery in a safe, compassionate environment. Call or request an appointment and experience the power of physical therapy today."
Vulcan Pain Management,(205) 892-5561,,https://www.vulcanpainmanagement.com,5130 Cyrus Cir,Birmingham,AL,35242,,,,,['Mo-Fr 09:00-17:00'],,,13 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/vulcan-pain-management-522679323,"Vulcan Pain Management in Birmingham, Alabama, offers a wide range of high-level pain management services in a welcoming, discreet, and compassionate environment. Led by board-certified pain management specialist, Victor E. Mendoza, MD, the Vulcan Pain Management team focuses on an individual’s pain-relief needs with the goal to improve their overall health and quality of life. 
Dr. Mendoza personally evaluates each patient, giving each one the personalized medical attention they need, at every visit, to overcome their chronic-pain issues. He understands the frustration of not having access to a physician during appointments and ensures he’s available at every visit.  
Dr. Mendoza creates a custom care plan to effectively manage pain using a variety of nonsurgical, interventional care options, such as pain medications, injections, nerve blocks, and physical therapy. The Vulcan Pain Management team also offers advanced technologies for addressing chronic pain, including laser therapies and platelet-rich plasma (PRP) injections. 
Dr. Mendoza specializes in treating chronic-pain sufferers who don’t have insurance but still need the kind of highly specialized care he and his team provides. His office is well-equipped with the latest diagnostic and treatment technology available. This ensures patients receive a fast and accurate diagnosis, so pain relief can begin as soon as possible."
