Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
"AAA Plus Professional Painting, House Washing & Pressure Cleaning",,mustangp51888@yahoo.com,http://www.housepaintinginbirminghamal.com,,Vestavia Hills,AL,35216,https://www.facebook.com/aaa-plus-professional-painting-house-washing-and-pressure-cleaning-814496751937602,,,,['Mo-Su'],,,40 Years,3 Years ,,,Accredited Business,https://www.yellowpages.com/vestavia-hills-al/mip/aaa-plus-professional-painting-house-washing-pressure-cleaning-504961135?lid=1002120673947,"GIVE US A CALL FOR THE BEST PRICES IN TOWN- WE DO EXCELLENT WORK! We at AAA Plus Professional Painting, House Washing and Pressure Cleaning Cleaning are a locally owned and operated business in the Birmingham, AL area. WE ARE RESIDENTIAL & COMMERCIAL PAINTING EXPERTS! We built this business on the idea that the customers should be put first, and our ever-expanding customer base is the proof. We offer residential/commercial painting- both interior and exterior, pressure washing, house washing, mildew removal, pressure cleaning driveways/ sidewalks. Ask about our free color sampling- we help you choose the right color paint! We want you to be happy with your color choice! We accept all major credit cards.  SALES CALLS ARE NOT ALLOWED- PLEASE DO NOT CONTACT WITH ANY SALES CALLS!"
Tim Williams Painting,(205) 966-1904,,,,Montevallo,AL,35115,,,,,['Mo-Sa 08:00-17:00'],,,25 Years,6 Years ,,,,https://www.yellowpages.com/montevallo-al/mip/tim-williams-painting-505005705?lid=1001713662005,Tim Williams Painting is a Christian owned business. We strive to give the customer a quality job for a reasonable price. I have made many friends over the years while in business for myself and I hope to have a similar experience with you.
"AAA Plus Professional Painting, House Washing & Pressure Cleaning",,mustangp51888@yahoo.com,http://www.housepaintinginbirminghamal.com,,Vestavia Hills,AL,35216,https://www.facebook.com/aaa-plus-professional-painting-house-washing-and-pressure-cleaning-814496751937602,,,,['Mo-Su'],,,40 Years,3 Years ,,,Accredited Business,https://www.yellowpages.com/vestavia-hills-al/mip/aaa-plus-professional-painting-house-washing-pressure-cleaning-504961135?lid=1002120673947,"GIVE US A CALL FOR THE BEST PRICES IN TOWN- WE DO EXCELLENT WORK! We at AAA Plus Professional Painting, House Washing and Pressure Cleaning Cleaning are a locally owned and operated business in the Birmingham, AL area. WE ARE RESIDENTIAL & COMMERCIAL PAINTING EXPERTS! We built this business on the idea that the customers should be put first, and our ever-expanding customer base is the proof. We offer residential/commercial painting- both interior and exterior, pressure washing, house washing, mildew removal, pressure cleaning driveways/ sidewalks. Ask about our free color sampling- we help you choose the right color paint! We want you to be happy with your color choice! We accept all major credit cards.  SALES CALLS ARE NOT ALLOWED- PLEASE DO NOT CONTACT WITH ANY SALES CALLS!"
Tim Williams Painting,(205) 966-1904,,,,Montevallo,AL,35115,,,,,['Mo-Sa 08:00-17:00'],,,25 Years,6 Years ,,,,https://www.yellowpages.com/montevallo-al/mip/tim-williams-painting-505005705?lid=1001713662005,Tim Williams Painting is a Christian owned business. We strive to give the customer a quality job for a reasonable price. I have made many friends over the years while in business for myself and I hope to have a similar experience with you.
John's Painting & Drywall,(256) 365-1522,,,4225 46th Ave N,Birmingham,AL,35217,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/johns-painting-drywall-481376335,"Interior & Exterior Painting, Drywall & Plaster Repair, Cornice & Trim"
Paint Any Size Room $50 Dollars Contractors,(205) 349-4486,,,926 Vinesville Rd,Birmingham,AL,35208,,,,,,,,28 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/paint-any-size-room-50-dollars-contractors-519537094,PAINTING - WALLPAPER REMOVAL - WALL PREPARATION STUCCO - EIFS - WATER DAMAGE - PLASTERING - DRYWALL
Attract Home Improvement,(205) 516-5126,,,17203 Kenley Way,Birmingham,AL,35242,,,,,['Mo-Fr 08:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/attract-home-improvement-504086911,"Attract Home Improvement services combines the expertise of Howard Funkhauser, a former US Marine Corps Officer and Alabama Home Builder with Chad Vickers of Maximum Effort Painting and an Industrial Engineer from UAB. Together, this team has the knowledge, expertise and trustworthiness to help the homeowner plan and attain their home project goals and dreams.  We do most of our work through referrals and great customer service to keep our prices lower than the competition. We provide our customers with an all inclusive 2 year warranty. Please call us for a free estimate or referrals. Services we offer: Bathroom Remodeling Concrete Resurfacing Deck Construction Deck Staining & Painting Door Installation Exterior Painting Hardwood Flooring  Interior Painting Interior Remodeling  Kitchen Remodeling  Patio Construction  Staining & Sealing Tile Laying  Trim Work Window Installation"
Good Deal Painting and Renovation,(205) 400-7291,,https://callgooddeal.com,110 Hampton Park Drive,Birmingham,AL,35216,,,,,"['Mo-Fr 08:00-19:00', 'Sa 08:00-18:00']",,,6 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/good-deal-painting-and-renovation-573048574,"Good Deal Painting and Renovation is a professional company that puts the customer first. We specialize in interior and exterior painting. We also wood repair, siding repair, door installation, pressure washing, gutter cleaning, window cleaning and more.We are committed to our clients satisfaction. Please call for a free estimate"
LDE Painting,(205) 563-0890,,,4210 Nichols Ln,Birmingham,AL,35224,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/lde-painting-568322386,"LDE Painting is a Painter located in Birmingham, AL and has been servicing all of Birmingham and the surrounding areas for many years. We specialize in Painting Services, Carpentry, Home Repair. Here at LDE Painting, our mission is to always provide quality service at an affordable price. The success of our company is due to the dedication we provide to our customers. No matter the job, customer satisfaction is always our number one priority! Donâ??t hesitate to give us a call"
Alabama Pro Painters,(205) 807-7653,thealabamapropainters@gmail.com,,1900 Corporate Dr Unit 380792,Birmingham,AL,35238,,,,,['Mo-Fr 08:00-17:00'],,,7 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/alabama-pro-painters-541820917,"Alabama Pro Painters was established in 2011 by our founder, Billy Carroll. Billy has over 20 years of professional painting experience. It is our passion to provide our clients with exceptional service and trustworthy employees who pride ourselves in paying close attention to the details of your project. Our goal is to also maintain a long lasting relationship with our customers. Our greatest compliment is a personal referral.We specialize in interior painting, cabinets, wood and door refinishing and ornate details. We also offer the same level of professionalism on exterior painting, power washing and decks. These services are offered for residential and small commercial properties. We use only the highest quality Benjamin-Moore and Sherwin Williams paints and stains. Please take a look at some of our work by scrolling through some pictures of a few of our recent projects.The value that Alabama Pro Painters provides to you is what sets us apart. We value you, the customer, and our employees above all else. That value is provided through our integrity, our mandate for excellence and our attention to detail. We would love the opportunity to work for you. Please contact us today to schedule an appointment for us to come and give you an estimate on your project. We look forward to meeting you soon!ALL WORK IS GUARANTEED FOR THREE YEARS. WE ARE LICENSED AND INSURED."
360 Painting Vestavia Hills,(205) 561-0384,,https://360painting.com/vestaviahills,2300 1st Ave N Apt 202,Birmingham,AL,35203,,,,,"['Mo-Fr 08:00-20:00', 'Sa 09:00-16:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/360-painting-vestavia-hills-549734206,
Birmingham Pro Painters,(205) 530-8887,johncwilker@gmail.com,http://www.birminghamalmovers.com,1116 20th St S # 501,Birmingham,AL,35205,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/birmingham-pro-painters-462172353,
