Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Homewood Auto Body Specialist,(205) 941-2410,homewoodbody@bellsouth.net,http://homewoodabs.com,96 Robert Jemison Rd,Birmingham,AL,35209,https://www.facebook.com/pages/homewood-auto-body-specialist/194080414079812,,,,"['Mo-Th 09:00-17:00', 'Fr 09:00-16:00']",,,31 Years,5 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/homewood-auto-body-specialist-1097530?lid=1001934718635,We service foreign & domestic cars. We are I-CAR & ASE Certified. Our equipment is state of the art to handle all of your collision related mechanical work. All services guaranteed as long as you own the vehicle. Free Estimates!! We are a DRP shop for most insurance. Locally Owned & Operated for Over 20 years!
Dent Vision,(205) 223-0448,,http://dentvisionpdr.com,,Birmingham,AL,35226,,,,,,5,23,14 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/dent-vision-497669919,
Press A Dent,(205) 408-1802,,,,Birmingham,AL,35242,,,,,['Mo-Fr 09:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/press-a-dent-496075202,
Huffstutler Paint & Body,(205) 252-1265,bshop522@all.net,,712 Graymont Ave N,Birmingham,AL,35203,,,,,['Mo-Fr 06:30-16:30'],3,13,70 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/huffstutler-paint-body-1288979,
Precision Collision,(205) 520-5771,precisioncollision@bellsouth.net,http://www.precisioncollisionbham.net/About-Us.html,1255 Center Point Pkwy,Birmingham,AL,35215,,,,,['Mo-Fr 08:00-17:00'],5,2,14 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/precision-collision-464564639,
Jim & Jim's Body Shop,(205) 870-8926,,http://www.jimandjimbodyshop.com,1722 27th Ct S,Birmingham,AL,35209,,,,,['We-Fr 07:30-17:00'],5,1,68 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/jim-jims-body-shop-1983839,
A-1 Collision Repair,(205) 518-5416,,,216 Dove St,Birmingham,AL,35217,,,,,"['Mo-Fr 07:00-18:00', 'Sa 08:00-17:00', 'Su 09:00-17:00']",1,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/a-1-collision-repair-474092905,
Pro Dent Paintless Dent Repair,(205) 677-3002,ProDentPDR@gmail.com,,3245 Cahaba Heights Rd.,Birmingham,AL,35243,,,,,['Mo-Fr 08:00-18:00'],,,17 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/pro-dent-paintless-dent-repair-497724121,"We are a mobile company specializing inthe repair of door dings, minor dents, and hail damage in vehicles. Our technicians have over 20 years of combined experience in the field of painless dent repair and alsoservice some of the largest dealerships and body shops in the greater Birmingham area.Give us a call today to schedule your repair!"
Joe Hudson's Collision Center,(205) 324-1836,birmingham@jhcc.com,https://jhcc.com/locations/auto-body-shop-birmingham-al-6thavenue/?y_source=1_MjQxMzAyMzgtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,2222 6th Ave S,Birmingham,AL,35233,,,,,['Mo-Fr 08:00-17:00'],,,34 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/joe-hudsons-collision-center-540958194,"Joe Hudson's Collision Centers has delivered exceptional auto body repair and painting services to our customers since 1989. We maintain a workforce of well-trained technicians who can completely repair any type of damage, from chipped paint to serious structural issues. We pride ourselves on excellent communication, so we reliably answer calls and keep clients up to date with our proprietary repair tracking system, which displays the status of your vehicle on demand."
Joe Hudson's Collision Center,(205) 453-7849,champion@jhcc.com,http://www.jhcc.com/auto-body-shop-birmingham-al-champion-blvd/?y_source=1_MjQxMzAyNTMtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,7010 Champion Blvd,Birmingham,AL,35242,,,,,['Mo-Fr 08:00-17:00'],,,34 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/joe-hudsons-collision-center-546216370,"Joe Hudson's Collision Centers has delivered exceptional auto body repair and painting services to our customers since 1989. We maintain a workforce of well-trained technicians who can completely repair any type of damage, from chipped paint to serious structural issues. We pride ourselves on excellent communication, so we reliably answer calls and keep clients up to date with our proprietary repair tracking system, which displays the status of your vehicle on demand."
