Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Alabama Orthopaedic Center PC,(205) 802-6700,,http://www.alabamaorthocenter.com,3525 Independence Dr,Birmingham,AL,35209,https://m.facebook.com/alaorthocenter,,,,['Mo-Fr 08:00-17:00'],5,1,16 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/alabama-orthopaedic-center-pc-451064408?lid=1000439672624,"Alabama Orthopaedic Center has dedicated itself to provide you and those you love with the best orthopaedic treatment. All of our surgeons are trained to offer the highest in medical expertise. The staff at Alabama Orthopedic Center is professional, efficient and welcoming. We know that your health involves you and your family, so we take the time to listen and discuss your treatment options in detail."
Southlake Orthopaedics,(205) 791-7252,,https://southlakeorthopaedics.com,4517 Southlake Pkwy,Hoover,AL,35244,https://www.facebook.com/southlakeorthopaedics/,,,,['Mo-Fr 08:00-17:00'],,,26 Years,,,,,https://www.yellowpages.com/hoover-al/mip/southlake-orthopaedics-535628657?lid=1002145271546,"The Southlake Orthopaedics Sports Medicine & Spine Center specializes in treating sports injuries and performing hand and spine surgeries. It provides adult and pediatric orthopedic care and total joint replacement services. The center also offers diagnosis and treatment services for foot, hand, hip, knee and back problems, carpal tunnel syndrome, bone and soft-tissue tumors, scoliosis, and cartilage and ligament injuries. The Southlake Orthopaedics Sports Medicine & Spine Center provides occupational and physical therapy services. In addition, it offers 24-hour emergency services. The center maintains a team of orthopedists, certified by the American Board of Orthopedic Surgery. The Southlake Orthopaedics Sports Medicine & Spine Center is located in Birmingham, Ala."
"Miner, Cherie B MD",(205) 939-3699,,http://www.andrewssportsmedicine.com,805 Saint Vincents Dr Ste 100,Birmingham,AL,35205,,,,,"['Mo-Th 07:30-17:00', 'Fr 07:30-15:00']",,,13 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/miner-cherie-b-md-472852486,"Andrews Sports Medicine and Orthopaedic Center, located in Birmingham, AL is the leading destination for the comprehensive treatment of orthopaedic and sports medicine injuries. Andrews Sports Medicine and Orthopaedic Center has world-renowned physicians and surgeons, specializing in all areas of orthopaedics and sports medicine injury treatment and prevention. Our physicians and surgeons have worked with some of the best athletes in the world and have a long-standing relationship with this area’s athletic teams and organizations."
Orthopaedic For Kids Pc,(205) 933-7203,,,2660 10th Ave S,Birmingham,AL,35205,,,,,['Mo-Su'],,,15 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/orthopaedic-for-kids-pc-451061829,"Orthopedics for Kids is dedicated to treating the special needs of infants, children, teenagers and young adults with acute and chronic orthopedic conditions. John T. Killian and Sharon K. Mayberry."
"Edward U. Kissel, III, MD - St. Vincent's Orthopedics",(205) 933-7838,,https://al.hughston.com/providers/kissel,2700 10th Ave S,Birmingham,AL,35205,,,,,"['Mo-Th 08:00-17:00', 'Fr 08:00-12:00']",3,2,32 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/edward-u-kissel-iii-md-st-vincents-orthopedics-1229557,"Edward U. Kissel III, MDDr. Edward U. Kissel specializes in Total Joint Orthopedics and Arthroscopic Surgery. He has published research articles in a number of leading orthopedic journals and is a member of Alpha Omega Alpha, the national medical honor society."
"James V. Worthen, MD",(205) 933-7838,,https://al.hughston.com/providers/worthen,2700 10th Ave S,Birmingham,AL,35205,,,,,['Mo-Fr 09:00-18:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/james-v-worthen-md-480733419,"James V. Worthen, MDDr. James Worthen specializes in the care of sports injuries and an emphasis on knee and shoulder injuries and arthritis. He did his fellowship with Dr. James Lubowitz practicing minimally invasive knee and shoulder techniques and conducting research on cartilage restoration. Dr. Worthen's training centered around restoring function to the active individual through both nonoperative treatments & operative. His focus has been on improving knee and shoulder surgical outcomes through innovative approaches to restore function faster. He has presented papers at multiple orthopedic meetings in our state and abroad on such topics as rotator cuff surgery, total shoulder replacements, & cartilage preservation and restoration."
"Jeffrey R. Cusmariu, MD - St. Vincent's Orthopedics",(205) 933-7838,,https://al.hughston.com/providers/cusmariu,2700 10th Ave S,Birmingham,AL,35205,,,,,"['Mo-Th 08:00-16:30', 'Fr 08:00-12:00']",,,20 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/jeffrey-r-cusmariu-md-st-vincents-orthopedics-539615542,"Jeffrey R. Cusmariu, MDJeffrey R. Cusmariu, M.D., specializes in Sports Medicine, Hip Arthroscopy, General Orthopedics and Joint Replacement. He has recently joined St. Vincent's Orthopedics [from OrthoSports Associates] and practices at St. Vincent's Birmingham and in Gardendale, Alabama. He has hospital affiliation with St. Vincent's Birmingham and also performs outpatient procedures at Gardendale Surgery Center.Dr. Cusmariu has a specific interest in hip arthroscopy and minimally invasive hip preservation techniques to address Femoroacetabular Impingement (FAI) . If the arthritis has progressed beyond the point where these techniques are no longer feasible, he is also able to perform minimally invasive hip replacement."
"Adam M. Lukasiewicz, MD, MSc",(205) 933-7838,,https://al.hughston.com/providers/lukasiewicz,2700 10th Ave S,Birmingham,AL,35205,,,,,"['Mo-Th 08:00-16:30', 'Fr 08:00-12:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/adam-m-lukasiewicz-md-msc-570729624,"Adam M. Lukasiewicz, MDAdam M. Lukasiewicz, MD, MSc, is a board-eligible, fellowship-trained orthopaedic surgeon specializing in the advanced treatment of foot and ankle conditions and injury. He completed his fellowship training at the prestigious Institute for Foot and Ankle Reconstruction at Mercy Hospital in Baltimore, MD, where he received extensive training in innovative new treatments including total ankle replacement and minimally invasive foot surgery. He completed medical school and his orthopaedic residency at the Yale School of Medicine and received his Master of Science degree in Epidemiology from Imperial College London, United Kingdom."
"James ""Rusty"" Bowman, III, MD, PhD - St. Vincent's Orthopedics",(205) 933-7838,,https://al.hughston.com/providers/bowman,2700 10th Ave S,Birmingham,AL,35205,,,,,"['Mo-Th 08:00-16:30', 'Fr 08:00-12:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/james-rusty-bowman-iii-md-phd-st-vincents-orthopedics-571918913,"Dr Bowman is a board-certified, fellowship-trained Arthroplasty Surgeon who specializes in the treatment of hip and knee arthritis. He offers both non-operative and operative treatment of the hip and knee and focuses on primary hip and knee arthroplasty. He is particularly interested in the anterior approach total hip arthroplasty. Dr. Bowman also treats patients with existing joint replacements with revision knee and hip reconstruction.Dr Bowman is dual doctoral trained, having both an MD as well as a PhD, from Virginia Commonwealth University; Medical College of Virginia. His doctoral work focused on the biology of cell adhesion while collaborative work in tissue engineering has led to the development of a novel hemostatic bandage."
Hughston Clinic Birmingham,(205) 933-7838,,https://al.hughston.com/locations/birmingham,2700 10th Ave S Bldg II,Birmingham,AL,35205,,,,,"['Mo-Th 08:00-16:30', 'Fr 08:00-12:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/hughston-clinic-birmingham-571922512,"Hughston Clinic BirminghamSince 1949, Hughston Clinic has sought to provide the most advanced orthopaedic services available to all walks of life. Hughston encompasses 20 institutions over the Southeast, along with 6 sectors: Rehabilitation, Diagnostics, Orthopaedic Trauma, Jack Hughston Memorial Hospital and the Hughston Foundation, the doctors who make up this unique practice have devoted their lives to the study of orthopaedics and the treatment of musculoskeletal trauma, sports injuries, spine, upper extremity/hand and industrial medicine. In fact, few institutions anywhere in the world have assembled and sustained this level of talent in orthopaedic medicine. The Hughston Clinic has helped over 1 million patients live without pain."
"Sophia Lal, DO - St. Vincent's Orthopedics",(205) 933-7838,,https://al.hughston.com/providers/lal,2700 10th Ave S,Birmingham,AL,35205,,,,,"['Mo-Th 08:00-16:30', 'Fr 08:00-12:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/sophia-lal-do-st-vincents-orthopedics-571933696,"SOPHIA LAL, D.O.Dr. Sophia Lal has over 20 years of diverse experience in Sports Medicine and Non-Surgical Orthopedics. Dr. Lal treats all ages in a variety of sports related injuries as well as acute injuries and musculoskeletal pain due to overuse conditions. She helps patients recuperate from injuries so they can enjoy a higher quality and well-balanced life. Additionally, she is the medical director at A Center for Eating Disorders.Dr. Lal is continuously striving for the most prestigious and progressive care. She recently completed a second sports medicine fellowship with Andrews Sports Medicine/American Sports Medicine Institute, Sports Medicine Primary Care."
Orthopeadic Specialists of Al: Cusmariu Jeffrey MD,(205) 418-1260,,https://al.hughston.com/providers/cusmariu,2217 Decatur Hwy,Gardendale,AL,35071,,,,,['Mo-Fr 09:00-18:00'],,,,,,,,https://www.yellowpages.com/gardendale-al/mip/orthopeadic-specialists-of-al-cusmariu-jeffrey-md-479271632,"Jeffrey R. Cusmariu, MDJeffrey R. Cusmariu, M.D., specializes in Sports Medicine, Hip Arthroscopy, General Orthopedics and Joint Replacement. He has recently joined St. Vincent's Orthopedics [from OrthoSports Associates] and practices at St. Vincent's Birmingham and in Gardendale, Alabama. He has hospital affiliation with St. Vincent's Birmingham and also performs outpatient procedures at Gardendale Surgery Center.Dr. Cusmariu has a specific interest in hip arthroscopy and minimally invasive hip preservation techniques to address Femoroacetabular Impingement (FAI) . If the arthritis has progressed beyond the point where these techniques are no longer feasible, he is also able to perform minimally invasive hip replacement."
