Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
"Owens, Nathaniel",(205) 870-1273,,https://www.childrensal.org/,3401 Independence Dr,Birmingham,AL,35209,https://www.facebook.com/childrenshospitalofalabama,,,,,,,112 Years,6 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/owens-nathaniel-569623872?lid=1002161598758,"Children’s of Alabama has provided specialized medical care for ill and injured children across the state and throughout the southeastern U.S. since 1911. For the past three years, Children’s has been ranked among the best children’s hospital programs in the nation by US News & World Report. Last year, patients made more than 634,000 outpatient and nearly 14,000 inpatient visits to Children’s from every county in Alabama and from 47 other states. With more than 2 million square feet, it is the third largest pediatric medical facility in the U.S. Children’s offers inpatient and outpatient services across its Russell Campus on Birmingham’s historic Southside with additional outpatient services provided at Children’s South and Children’s on 3rd. Primary care is provided at more than a dozen medical offices in communities across central Alabama. Children’s of Alabama is the only medical center in Alabama dedicated solely to the care and treatment of children. It is a private, not-for-profit medical center that serves as the primary site of the University of Alabama at Birmingham (UAB) pediatric medicine, surgery, research and residency programs. Children’s recently moved much of its inpatient services into a new building named The Benjamin Russell Hospital for Children."
"Rosen, Philip",(205) 638-4949,,https://www.childrensal.org/,1940 Elmer J Bissell Rd 2nd Fl,Birmingham,AL,35243,https://www.facebook.com/childrenshospitalofalabama,,,,,,,112 Years,6 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/rosen-philip-571651717?lid=1002161599005,"Children’s of Alabama has provided specialized medical care for ill and injured children across the state and throughout the southeastern U.S. since 1911. For the past three years, Children’s has been ranked among the best children’s hospital programs in the nation by US News & World Report. Last year, patients made more than 634,000 outpatient and nearly 14,000 inpatient visits to Children’s from every county in Alabama and from 47 other states. With more than 2 million square feet, it is the third largest pediatric medical facility in the U.S. Children’s offers inpatient and outpatient services across its Russell Campus on Birmingham’s historic Southside with additional outpatient services provided at Children’s South and Children’s on 3rd. Primary care is provided at more than a dozen medical offices in communities across central Alabama. Children’s of Alabama is the only medical center in Alabama dedicated solely to the care and treatment of children. It is a private, not-for-profit medical center that serves as the primary site of the University of Alabama at Birmingham (UAB) pediatric medicine, surgery, research and residency programs. Children’s recently moved much of its inpatient services into a new building named The Benjamin Russell Hospital for Children."
"Joseph, Jennifer",(205) 995-1004,,https://www.childrensal.org/greenvale-pediatrics,101 Eagle Ridge Dr,Birmingham,AL,35242,https://www.facebook.com/childrenshospitalofalabama,,,,,,,112 Years,6 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/joseph-jennifer-571134075?lid=1002161598795,"Children’s of Alabama has provided specialized medical care for ill and injured children across the state and throughout the southeastern U.S. since 1911. For the past three years, Children’s has been ranked among the best children’s hospital programs in the nation by US News & World Report. Last year, patients made more than 634,000 outpatient and nearly 14,000 inpatient visits to Children’s from every county in Alabama and from 47 other states. With more than 2 million square feet, it is the third largest pediatric medical facility in the U.S. Children’s offers inpatient and outpatient services across its Russell Campus on Birmingham’s historic Southside with additional outpatient services provided at Children’s South and Children’s on 3rd. Primary care is provided at more than a dozen medical offices in communities across central Alabama. Children’s of Alabama is the only medical center in Alabama dedicated solely to the care and treatment of children. It is a private, not-for-profit medical center that serves as the primary site of the University of Alabama at Birmingham (UAB) pediatric medicine, surgery, research and residency programs. Children’s recently moved much of its inpatient services into a new building named The Benjamin Russell Hospital for Children."
"White, Anna",(205) 995-1004,,https://www.childrensal.org/greenvale-pediatrics,101 Eagle Ridge Dr,Birmingham,AL,35242,https://www.facebook.com/childrenshospitalofalabama,,,,,,,112 Years,6 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/white-anna-571651713?lid=1002161598741,"Children’s of Alabama has provided specialized medical care for ill and injured children across the state and throughout the southeastern U.S. since 1911. For the past three years, Children’s has been ranked among the best children’s hospital programs in the nation by US News & World Report. Last year, patients made more than 634,000 outpatient and nearly 14,000 inpatient visits to Children’s from every county in Alabama and from 47 other states. With more than 2 million square feet, it is the third largest pediatric medical facility in the U.S. Children’s offers inpatient and outpatient services across its Russell Campus on Birmingham’s historic Southside with additional outpatient services provided at Children’s South and Children’s on 3rd. Primary care is provided at more than a dozen medical offices in communities across central Alabama. Children’s of Alabama is the only medical center in Alabama dedicated solely to the care and treatment of children. It is a private, not-for-profit medical center that serves as the primary site of the University of Alabama at Birmingham (UAB) pediatric medicine, surgery, research and residency programs. Children’s recently moved much of its inpatient services into a new building named The Benjamin Russell Hospital for Children."
"Butcher, Tracey",(205) 995-1004,,https://www.childrensal.org/greenvale-pediatrics,101 Eagle Ridge Dr,Birmingham,AL,35242,https://www.facebook.com/childrenshospitalofalabama,,,,,,,112 Years,6 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/butcher-tracey-571651714?lid=1002161598723,"Children’s of Alabama has provided specialized medical care for ill and injured children across the state and throughout the southeastern U.S. since 1911. For the past three years, Children’s has been ranked among the best children’s hospital programs in the nation by US News & World Report. Last year, patients made more than 634,000 outpatient and nearly 14,000 inpatient visits to Children’s from every county in Alabama and from 47 other states. With more than 2 million square feet, it is the third largest pediatric medical facility in the U.S. Children’s offers inpatient and outpatient services across its Russell Campus on Birmingham’s historic Southside with additional outpatient services provided at Children’s South and Children’s on 3rd. Primary care is provided at more than a dozen medical offices in communities across central Alabama. Children’s of Alabama is the only medical center in Alabama dedicated solely to the care and treatment of children. It is a private, not-for-profit medical center that serves as the primary site of the University of Alabama at Birmingham (UAB) pediatric medicine, surgery, research and residency programs. Children’s recently moved much of its inpatient services into a new building named The Benjamin Russell Hospital for Children."
Small Steps Pediatrics,(205) 868-3486,,http://www.smallstepspediatrics.com,52 Medical Park Dr E Ste 201,Birmingham,AL,35235,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/small-steps-pediatrics-472739493?lid=1001329784700,
Alabama Orthopaedic Center PC,(205) 802-6700,,http://www.alabamaorthocenter.com,3525 Independence Dr,Birmingham,AL,35209,https://m.facebook.com/alaorthocenter,,,,['Mo-Fr 08:00-17:00'],5,1,16 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/alabama-orthopaedic-center-pc-451064408?lid=1000439672624,"Alabama Orthopaedic Center has dedicated itself to provide you and those you love with the best orthopaedic treatment. All of our surgeons are trained to offer the highest in medical expertise. The staff at Alabama Orthopedic Center is professional, efficient and welcoming. We know that your health involves you and your family, so we take the time to listen and discuss your treatment options in detail."
Alabama Pediatrics,(205) 879-7888,,https://alaped.com,2815 Independence Dr,Birmingham,AL,35209,,,,,"['Mo-Fr 08:00-17:00', 'Sa 08:00-11:30']",,,37 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/alabama-pediatrics-19586030,
"Children's Medical Group, P.C.",(205) 251-4141,,http://www.childrensmedicalgroupbham.com,2316 7th Ave S,Birmingham,AL,35233,,,,,"['Mo-Th 08:00-16:30', 'Fr 08:00-12:00']",,,18 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/childrens-medical-group-p-c-452551319,"At Children's Medical Group, our skilled team of Birmingham pediatricians offers comprehensive medical care for infants, children, and adolescents. Conveniently located in the heart of Birmingham, our courteous and knowledgeable staff works hard from the first contact to make every visit to our office positive."
Greenvale Pediatrics,(205) 995-1004,,http://www.greenvalepediatrics.com,101 Eagle Ridge Dr,Birmingham,AL,35242,,,,,['Mo-Fr 08:00-17:00'],3,9,53 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/greenvale-pediatrics-12612177,
