Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Mr. Buggs Pest Patrol,(205) 900-4441,susan@mrbuggs.com,http://www.MrBuggs.com,3070 Pelham Pkwy,Pelham,AL,35124,https://www.facebook.com/mrbuggspestpatrol,,,,"['Mo-Th 07:30-17:00', 'Fr 07:30-16:00']",,,,8 Years ,,,Accredited Business,https://www.yellowpages.com/pelham-al/mip/mr-buggs-pest-patrol-476314796?lid=1001394053448,
Mr. Buggs Pest Patrol,(205) 900-4441,susan@mrbuggs.com,http://www.MrBuggs.com,3070 Pelham Pkwy,Pelham,AL,35124,https://www.facebook.com/mrbuggspestpatrol,,,,"['Mo-Th 07:30-17:00', 'Fr 07:30-16:00']",,,,8 Years ,,,Accredited Business,https://www.yellowpages.com/pelham-al/mip/mr-buggs-pest-patrol-476314796?lid=1001394053448,
Guaranteed Bed Bugs Removal,(800) 237-2086,,,1098 4th Ter W,Birmingham,AL,35204,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/guaranteed-bed-bugs-removal-562907031,
NatureWise Pest Control,(205) 326-7720,info@naturewisepc.com,https://naturewisepc.com/birmingham,1116 20th Street Ensley Ste 244,Birmingham,AL,35218,,,,,['Mo-Fr 09:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/naturewise-pest-control-567073209,
Stark Exterminators,(205) 942-1020,,,133 W Oxmoor Rd,Birmingham,AL,35209,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/stark-exterminators-525476388,
Envirocare Lawn Services and Pest Control Services,(205) 940-6360,service@envirocarellc.com,http://www.envirocarellc.com,229 Distribution Dr,Birmingham,AL,35209,,,,,['Mo-Fr 08:00-17:00'],,,18 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/envirocare-lawn-services-and-pest-control-services-482878557,
Lex Wedgworth Pest Control Inc,(205) 991-2882,,http://www.envirocarellc.com,173 Distribution Dr,Birmingham,AL,35209,,,,,['Mo-Fr 08:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/lex-wedgworth-pest-control-inc-506516317,
Sullivan Termite and Pest,(205) 871-8500,,,8933 Roebuck Blvd,Birmingham,AL,35206,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/sullivan-termite-and-pest-574563115,
Rhonda Roscoe,(205) 838-2394,,,9705 Red Lane Dr,Birmingham,AL,35215,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/rhonda-roscoe-526466311,
Dandee Pest Control,(205) 616-2220,,,5130 Gold Leaf Ln,Birmingham,AL,35210,,,,,['Mo-Fr 08:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/dandee-pest-control-566664472,
