Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Kelly Run Farm,(205) 629-5601,clarkep@kellyrunfarm.com,http://www.kellyrunfarm.com,11069 Al Highway 174,Odenville,AL,35120,https://www.facebook.com/kellyrunfarm,,,,"['Mo-Sa 08:00-12:00', 'Su 15:00-17:30']",5,2,21 Years,12 Years ,,,,https://www.yellowpages.com/odenville-al/mip/kelly-run-farm-9911548?lid=194963065,"Our goal here is to provide your pet with a safe, healthy and happy environment where he or she can enjoy him or herself while you are away. So go ahead, enjoy your well-earned vacation and don't feel guilty about traveling without your ""Best Friend."" He or she is going to be having the time of his/her life!"
MY Spoiled Pet Resort & Spa,(205) 980-5520,myspoiledpet@yahoo.com,http://myspoiledpet.com,4752 Highway 280,Birmingham,AL,35242,https://www.facebook.com/myspoiledpetresortandspa/,,,,"['Mo-Fr 07:00-18:00', 'Sa-Su 08:00-18:00']",5,9,10 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/my-spoiled-pet-resort-spa-541788575?lid=1001774181429,"Looking for a safe and secure place for your pet? Contact My Spoiled Pet Resort & Spa for dedicated pet grooming, daycare and boarding services. We are a local, family owned business established in 2013.     We offer FREE consultations!    We have worked with the second best pet groomer in the nation and have a highly trained team that will spoil your pet while you spoil yourself. We stand behind our work and ensure your satisfaction. We offer a 10% active duty military discount.    Ask about our holiday pickup and drop-off services!"
Baths Barks & Bubbles Pet Spa,(205) 214-3782,bathsbarksbubbles@att.net,https://www.facebook.com/BathsBarksAndBubblesPetSpa,430 14th St S,Birmingham,AL,35233,,,,,"['Mo-Fr 07:00-18:30', 'Sa 10:00-18:00']",4.5,20,,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/baths-barks-bubbles-pet-spa-468397755,
Avondale Animal Hospital,(205) 322-8566,avondaleanimal@gmail.com,https://avondaleanimal.com,3624 5th Ave S,Birmingham,AL,35222,,,,,['Mo-Sa 07:00-18:00'],,,6 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/avondale-animal-hospital-543117666,"Avondale Animal Hospital is here to be your partner in your pet's health. Conveniently located near Southside Birmingham, Highland Park, Forest Park, Avondale, Crestwood, Irondale and downtown Birmingham. Our services include wellness exams, vaccinations, puppy, kitten and senior care, early disease detection testing, parasite prevention and control, nutritional counseling, pet pharmacy and retail store, microchipping, dermatology, dental care, laboratory and diagnostics, pain management, surgery, emergency services, blood and plasma transfusions and international health certificates. 
 
Thank you! Avondale Animal Hospital was named ""Neighborhood Favorite Veterinarian"" in Birmingham on Nextdoor!"
Grayson Valley Pet Clinic,(205) 856-3804,gvvet@att.net,https://www.facebook.com/pages/Grayson-Valley-Pet-Clinic/265287669391,5624 Chalkville Rd,Birmingham,AL,35235,https://www.facebook.com/Grayson-Valley-Pet-Clinic-265287669391/?fref=ts,,,,"['Mo-Fr 07:00-18:00', 'Sa 07:00-12:00']",4,9,41 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/grayson-valley-pet-clinic-525849057?lid=1001329786633,"With over 30 years of experience Grayson Valley Pet Clinic can help you with all of your needs. Appointments are preferred, but walk-ins are welcome. Of course, if your pet ever has a medical emergency, bring it in immediately and we will see it promptly."
Riverview Animal Clinic PC,(205) 991-9580,,http://riverviewanimalclinic.net,4640 Highway 280,Birmingham,AL,35242,,,,,"['Mo 07:00-18:00', 'Tu 07:00-21:00', 'We 07:00-18:00', 'Th 07:00-21:00', 'Fr 07:00-18:00', 'Sa 07:00-17:00', 'Su 13:00-18:00']",4,5,67 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/riverview-animal-clinic-pc-720561,"The old Motel for Pets was built in 1956 by Dr. Jack Baker. It operated as a boarding facility until 1984, when Dr. Arthur Serwitz purchased and renovated it to accommodate a veterinary clinic, the Riverview Animal Clinic. Over the years, the facility has undergone several small renovations and two major additions. The last addition and renovation, which was finished in July 1996, doubled the space of the previous facility. The clinic has reorganized its boarding facility to separate dogs and cats completely, while maintaining a comfortable capacity of about 200 animals that might stay there on a holiday weekend or popular vacation time. Its grooming facility has been increased and renovated to accommodate he new demands. The clinic has significantly increased its hospital space, going from three to seven exam rooms and enlarged its treatment area. It added an additional surgery suite, a separate cat hospital ward and an exotic animal ward. It also added an intensive care unit. Services include preventative health care, boarding, pet food and supplies, diagnostic testing, senior animal health care, emergency services, hospitalization, behavior counseling and treatment, surgery, grooming and dental care. The Riverview Animal Clinic is located in Birmingham, Ala."
Lake Crest Animal Clinic,(205) 403-4003,audvm03@gmail.com,http://www.lakecrestanimalclinic.com,551 Lake Crest Dr,Birmingham,AL,35226,,,,,"['Mo-Th 07:00-20:00', 'Fr 07:00-18:00', 'Sa 07:00-16:00', 'Su 16:00-18:00']",,,11 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/lake-crest-animal-clinic-471937324,A full service veterinary clinic open 7 days a week and for extended hours. We can handle all of your pet's needs. We also see exotic pets.
Just Happy Hounds,(205) 777-3699,sarah@justhappyhounds.com,,2222 5th Ave S,Birmingham,AL,35233,,,,,"['Mo-Fr 06:00-19:00', 'Sa 08:00-12:00', 'Su 12:00-16:00']",5,1,9 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/just-happy-hounds-503112520,
We Talk Dog,(205) 588-4709,info@wetalkdog.com,http://www.wetalkdog.com,1555 Cooper Hill Road,Birmingham,AL,35210,,,,,"['Mo-Fr 07:00-18:00', 'Sa 10:00-16:00', 'Su 15:00-18:00']",4.5,6,,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/we-talk-dog-469258323,
Howlin Hollows Farm,(205) 977-7245,kwelch@howlinhollowsfarm.com,http://howlinhollowsfarm.com,4420 Sicard Hollow Rd,Birmingham,AL,35242,,,,,"['Mo-Fr 07:30-18:00', 'Sa-Su 15:00-17:00']",5,2,9 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/howlin-hollows-farm-519647029,"Howlin Hollows wants to provide a relaxing, playful facility for all pets. We want our animals to have a fun day of exercise and not be cooped up in a kennel all day and night. That’s why we go beyond what other facilities offer. We specialize in - pet day care - overnight boarding - pet parties - pet condos - cageless pet boarding At Howlin Hollows, you dictate your pet’s experience. Do you want your dog tired out at the end of the day by playing with other dogs? Does your cat need alone time in its own indoor condo? Do you want cageless pet boarding at a luxury pet boarding facility, dog overnight care or long-term cat boarding? Do you just want to be sure your pet has fun and enjoys itself? We do it all, and we cater to the needs of you and your pet, so just let us know what you’re looking for. Get in touch with Howlin’ Hollows in Birmingham, Alabama!"
