Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Homewood Family Chiropractic & Massage,(205) 870-4256,rxhands@yahoo.com,,1812 28th Ave S,Birmingham,AL,35209,https://www.facebook.com/pages/homewood-family-chiropractic-massage/162979713727204,,,,"['Mo 08:00-18:30', 'Tu-Fr 09:30-18:00']",1,1,29 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/homewood-family-chiropractic-massage-503238994?lid=1001259983781,"Massage Therapist, Wellness Center and Boutique offers Deep Tissue Massage, Reiki, Sound Baths, Meditation, Crystals, Candles, and more.Massage Therapist, Wellness Center and Boutique offers Deep Tissue Massage, Reiki, Sound Baths, Meditation, Crystals, Candles, and more."
AccelAbility Physical Therapy,(205) 655-8866,,,1808 Gadsden Hwy Ste 138,Birmingham,AL,35235,,,,,['Mo-Fr 07:00-18:00'],,,20 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/accelability-physical-therapy-9154921,Providing patient centered care that gets results!
BenchMark Physical Therapy - Chelsea,,,,,,,,,,,,,,,13 Years,,,,Accredited Business Accredited Business,https://www.yellowpages.com/birmingham-al/mip/benchmark-physical-therapy-chelsea-472827233,
Pediatric Therapy Associates,(205) 823-1215,,http://www.pediatricptot.com,700 Century Park S,Birmingham,AL,35226,https://www.facebook.com/pediatric-therapy-associates-inc-494608513931472,,,,['Mo-Fr 08:00-17:00'],,,42 Years,7 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/pediatric-therapy-associates-464383256?lid=1001595783065,"Pediatric Therapy Assoc. Inc. is a private practice located in Birmingham, Alabama & established in 1981. Our focus includes school-based therapy, early intervention, private outpatient therapy, & community service. We are also involved with organizations that support & promote the participation of our children in community activities including special equestrians, challenger leagues, & Special Olympics"
Ipt,(205) 879-9425,,,3439 Colonnade Pkwy,Birmingham,AL,35243,,,,,['Mo-Fr 08:30-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/ipt-465439995,
Drayer Physical Therapy,(205) 655-9222,,http://www.drayerpt.com/trussville,1483 Gadsden Hwy Ste 112,Birmingham,AL,35235,,,,,"['Mo-Fr 07:00-19:00', 'Sa 07:00-12:00']",,,11 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/drayer-physical-therapy-469595668,
BenchMark Physical Therapy,(205) 848-6841,,https://www.benchmarkpt.com/locations/birmingham-lakeshore-pavilion,2822 Lakeshore Pkwy,Birmingham,AL,35211,,,,,"['Mo 07:00-16:00', 'Tu 08:00-17:00', 'We 07:00-16:00', 'Th 08:00-17:00', 'Fr 07:00-14:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/benchmark-physical-therapy-562398155,"BenchMark Physical Therapy located in Birmingham, AL (Lakeshore Pavilion) is a leading outpatient physical therapy clinic with convenient scheduling, patient-focused care, and personalized treatment plans. We are committed to treating each patient promptly with integrity, honesty, and compassion. Visit our website for a complete list of services and treatments or to request an appointment."
Drayer Physical Therapy Institute,(205) 655-9222,,https://drayer.urpt.com/locations/trussville/?utm_source=extnet&utm_medium=Yext,5057 Pinnacle Sq Ste 112,Birmingham,AL,35235,,,,,['Mo-Fr 07:00-18:00'],,,11 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/drayer-physical-therapy-institute-544989154,"Drayer Physical Therapy Institute located in Birmingham is a leading outpatient physical therapy clinic with convenient scheduling, patient-focused care, and personalized treatment plans. We are committed to treating each patient promptly with integrity, honesty, and compassion. Visit our website for a complete list of services and treatments or to request an appointment."
Northway Health and Rehabilitation,(205) 328-5870,,http://nhs.com,1424 25th St N,Birmingham,AL,35234,,,,,,,,34 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/northway-health-and-rehabilitation-459668215,"Serving the Greater Birmingham and Western Alabama Region, Northway Health and Rehabilitation, LLC offers a wonderful alternative to a traditional long-term care and rehabilitation facility.  At our facility, you will not only find a commitment to quality but also a professional and caring staff. 
Beautifully decorated and pleasant common areas create a warm and welcoming environment. Each resident can relax in the outdoor courtyards and take part in the many daily activities that keep residents active and involved."
Oak Knoll Health and Rehabilitation,(205) 787-2619,,https://oakknollhealthandrehab.com,824 6th Ave W,Birmingham,AL,35204,,,,,['Mo-Su'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/oak-knoll-health-and-rehabilitation-16277521,"Serving the Greater Birmingham and Western Alabama Region, Oak Knoll Health and Rehabilitation offers a wonderful alternative to a traditional long-term care and rehabilitation facility.  At our facility, you will not only find a commitment to quality but also a professional and caring staff. 
Beautifully decorated and pleasant common areas create a warm and welcoming environment. Each resident can relax in the outdoor courtyards and take part in the many daily activities that keep residents active and involved."
Therapysouth Woodlawn,(205) 502-2270,,https://therapysouth.com/locations/woodlawn,5831 1st Ave N,Birmingham,AL,35212,,,,,"['Mo 08:00-17:00', 'We-Fr 08:00-17:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/therapysouth-woodlawn-564197281,"TherapySouth Woodlawn is an outpatient, physical therapy clinic specializing in hands-on, personalized care. We accept all patients, whether or not they have a referral."
Aspire Physical Recovery Center at Cahaba River,(205) 977-7216,,http://www.aspirephysicalrecovery.com,3070 Healthy Way,Birmingham,AL,35243,,,,,['Mo-Su'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/aspire-physical-recovery-center-at-cahaba-river-529030096,"At Aspire Physical Recovery Center at Cahaba River, LLC, our goal is providing you with personalized care in a comfortable, luxurious environment.  Your time at Aspire will be like a luxury vacation with the comfortable feel of home. Serving the Greater Birmingham Area, Our beautifully designed two-story center offers spacious and comfortable living rooms for relaxing and a central courtyard with a fountain and putting green.  Our facility offers a large number of private accommodations for our guests that include spacious bathrooms, each with their own private shower."
ATI Physical Therapy,(855) 692-8478,,http://www.southviewderm.com,833 Saint Vincents Dr Ste 503,Birmingham,AL,35205,,,,,"['Mo-Th 08:00-17:00', 'Fr 08:00-16:00']",,,36 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/ati-physical-therapy-503241274,"Conveniently located on St. Vincent's Drive in Birmingham, ATI Physical Therapy is the premier choice for personalized physical therapy in a friendly and encouraging environment. Known for exceptional results and an upbeat atmosphere, ATI Physical Therapy provides physical therapy and sports medicine. Physical Therapy services include manual therapy, therapeutic exercise, therapeutic modalities, cardiovascular conditioning, and strength training. The friendly and motivating team at ATI will develop a personalized treatment plan designed to reduce pain, improve mobility and reduce future injuries. Call today to book an appointment!"
WaveTech Therapy,(205) 777-3736,,http://www.wavetechbirmingham.com,2100 Southbridge Pkwy Ste 260,Birmingham,AL,35209,,,,,['Mo-Fr 09:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/wavetech-therapy-558903670,"WaveTechâ??s unique Acoustic Wave Therapy reduces plaque build-up in vessels and rejuvenates vessels, nerve bundles, capillaries, and tissue. The application of Acoustical Waves or â??Soft Wavesâ?? by our FDA approved equipment results in larger, healthier vessels. Learn more about specific treatment protocol for Erectile Dysfunction (ED), Neuropathy and Chronic Pain conditions by scheduling a FREE PRIVATE CONSULTATION."
Childrens Rehabilitation,(205) 290-4550,,https://www.rehab.alabama.gov,234 Goodwin Crest Dr,Birmingham,AL,35209,,,,,['Mo-Fr 08:00-17:00'],,,18 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/childrens-rehabilitation-25018404,"Alabama Department of Rehabilitation Services is a state agency that is provides services to children and adults suffering from disabilities. Its children's rehabilitation service department provides assistance to teachers and school nurses in the education of children with special health care needs.   The department also hosts hemophilia program that serves individuals suffering from blood disorder. Alabama Department of Rehabilitation Services provides rehabilitation, education and employment-related services to more than 45,000 disabled individuals through partnerships with local school systems, colleges, universities and vocational technical schools. Additionally, it provides treatment for mental health diseases, and spinal cord and head injuries. Alabama Department of Rehabilitation Services is located in Montgomery, Ala."
"Results Physiotherapy Clinic in Birmingham, AL at Inverness/Greystone",(205) 607-0903,,https://www.resultspt.com/birmingham-alabama-inverness-greystone?utm_source=extnet&utm_medium=Yext,5285 Highway 280,Birmingham,AL,35242,,,,,"['Mo-Th 07:30-16:30', 'Fr 07:30-16:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/results-physiotherapy-clinic-in-birmingham-al-at-inverness-greystone-532077211,"Results Physiotherapy located in Clinic in Birmingham, AL at Inverness/Greystone is a leading outpatient physical therapy clinic with convenient scheduling, patient-focused care, and personalized treatment plans. We are committed to treating each patient promptly with integrity, honesty, and compassion. Visit our website for a complete list of services and treatments or to request an appointment."
Homewood Family Chiropractic & Massage,(205) 870-4256,rxhands@yahoo.com,,1812 28th Ave S,Birmingham,AL,35209,https://www.facebook.com/pages/homewood-family-chiropractic-massage/162979713727204,,,,"['Mo 08:00-18:30', 'Tu-Fr 09:30-18:00']",1,1,29 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/homewood-family-chiropractic-massage-503238994?lid=1001259983781,"Massage Therapist, Wellness Center and Boutique offers Deep Tissue Massage, Reiki, Sound Baths, Meditation, Crystals, Candles, and more.Massage Therapist, Wellness Center and Boutique offers Deep Tissue Massage, Reiki, Sound Baths, Meditation, Crystals, Candles, and more."
AccelAbility Physical Therapy,(205) 655-8866,,,1808 Gadsden Hwy Ste 138,Birmingham,AL,35235,,,,,['Mo-Fr 07:00-18:00'],,,20 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/accelability-physical-therapy-9154921,Providing patient centered care that gets results!
BenchMark Physical Therapy - Chelsea,,,,,,,,,,,,,,,13 Years,,,,Accredited Business Accredited Business,https://www.yellowpages.com/birmingham-al/mip/benchmark-physical-therapy-chelsea-472827233,
