Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Buddy Gray Music Center,(205) 518-8276,,,1480 Montgomery Hwy,Vestavia Hills,AL,35216,https://www.facebook.com/pages/buddy-gray-music-center/168723639811846,,,,['Mo-Fr 08:00-17:00'],,,36 Years,10 Years ,,,,https://www.yellowpages.com/vestavia-hills-al/mip/buddy-gray-music-center-547444991?lid=1001961717627,"Piano and Organ Tuning. Tuners Certified by the School for Blind. Moving, Restoration, Rental and Storage."
Move Masters LLC,(205) 862-6683,movemastersbham@gmail.com,http://www.movemasters.net,2300 Crestwood Blvd,Birmingham,AL,35210,https://www.facebook.com/movemastersbham?ref=hl,,,,['Mo-Su 07:00-20:00'],5,1,8 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/move-masters-llc-507871107?lid=1001105934402,
Point A2B Moving Company,(205) 769-6989,,,181 W Valley Ave,Birmingham,AL,35209,,,,,,,,7 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/point-a2b-moving-company-530599681?lid=1001586356638,
Buddy Gray Music Center,(205) 345-1296,sarah@buddygrayfire.com,,6325 Old Montgomery Hwy,Tuscaloosa,AL,35405,https://www.facebook.com/pages/buddy-gray-music-center/168723639811846,,,,['Mo-Fr 08:00-18:00'],,,52 Years,4 Years ,,,Accredited Business,https://www.yellowpages.com/tuscaloosa-al/mip/buddy-gray-music-center-531731571?lid=1002053529663,"Piano and Organ Tuning. Tuners Certified by the School for Blind. Moving, Restoration, Rental and Storage. We accept all major credit cards"
Buddy Gray Music Center,(205) 518-8276,,,1480 Montgomery Hwy,Vestavia Hills,AL,35216,https://www.facebook.com/pages/buddy-gray-music-center/168723639811846,,,,['Mo-Fr 08:00-17:00'],,,36 Years,10 Years ,,,,https://www.yellowpages.com/vestavia-hills-al/mip/buddy-gray-music-center-547444991?lid=1001961717627,"Piano and Organ Tuning. Tuners Certified by the School for Blind. Moving, Restoration, Rental and Storage."
Movers of Birmingham,(205) 624-7855,moversofbirmingham@gmail.com,,3350 Altamont Rd S,Birmingham,AL,35205,,,,,['Mo-Su 07:00-19:00'],,,,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/movers-of-birmingham-529268682,
Forbes Organ Co,(205) 879-4154,,,3048 Independence Dr,Birmingham,AL,35209,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/forbes-organ-co-5148762,
Road Runner Moving & Storage,(205) 945-8339,dispatch@roadrunnermoving.us,https://www.movebirmingham.com,1430 Reverend Abraham Woods Jr Blvd,Birmingham,AL,35203,,,,,['Mo-Su 07:00-19:00'],,,45 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/road-runner-moving-storage-544577567,BIRMINGHAM'S oldest and most respected local moving Company specializing in residential. Commercial. Apartment & piano moves. We've been taking the stress OUT of moving DAY for nearly 40 years.
Alliance Movers Birmingham,(205) 419-3400,,https://alliancemoversgroup.com,25 Oxmoor Road 12 B,Birmingham,AL,35209,,,,,['Mo-Su 09:00-19:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/alliance-movers-birmingham-573027962,Alliance Movers is an award-winning Long-Distance Mover. From Coast to Coast or Border to Border we have you covered. Our team has decades of cumulative experience. Whatever it is you need with your move we can do it for you. Ask about our 30 days of free storage available with every move.Our employees have the most experience and training out there and given the chance we will prove it.
"Move Masters, LLC",(205) 862-6683,movemastersbham@gmail.com,http://www.movemasters.net,1401 Doug Baker Blvd Suite 107-162,Birmingham,AL,35242,,,,,['Mo-Su 07:00-20:00'],,,8 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/move-masters-llc-516896020,"Best movers in Birmingham! Residential and commercial movers. Professionally trained, high quality, specialized equipment. Competitive rates."
