Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Employment Information Services Inc,(205) 987-4800,admin@eisi.info,http://www.eisi.info,500 Chase Park S,Birmingham,AL,35244,https://www.facebook.com/eisiinc,,,,['Mo-Fr 08:00-17:00'],,,21 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/employment-information-services-inc-496524612?lid=1001464448698,Since 2002. FCRA compliant investigations
Associated Investigation LTD,(800) 720-8955,assoresearch@aol.com,http://www.Associated-research.com,,,,,,,,,['Mo-Su'],5,44,,7 Years ,,,,https://www.yellowpages.com/nationwide/mip/associated-investigation-ltd-21723069?lid=1001559457062,"We Are a Full-Service Professional Investigative Agency Experienced in Dealing with All Types of Investigations. Our Clients Include Individuals, Businesses, Insurance Companies, and Attorneys. All Matters Are Handled with the Utmost Discretion and Confidentiality. Please Call Anytime for a Free Consultation with a Professional Investigator.* We Can't Help If You Don't Ask* Please Visit Our Website For More Information. www.associated-research.com"
Birdyshaw Private Investigation,(205) 447-7454,bbirdyshaw@yahoo.com,,4690 Elfreth Johnson Rd,Birmingham,AL,35215,,,,,,,,41 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/birdyshaw-private-investigation-480000884,
"Callahan & Associates, LLC Private Investigators",(205) 379-1060,,,420 20th Street Ensley Suite 2200,Birmingham,AL,35218,,,,,['Mo-Su'],,,9 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/callahan-associates-llc-private-investigators-497718217,"
"
Hawkeye Intelligence,(205) 864-1766,contact@biminghampi.com,http://www.birminghampi.com,3900 Montclair Rd Unit 130695,Birmingham,AL,35213,,,,,['Mo-Su'],,,5 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/hawkeye-intelligence-547625362,Your Birmingham private investigation service!
Birmingham Private Investigator,(205) 864-1766,contact@birminghampi.com,http://www.birminghampi.com,3900 Montclair Rd #130695,Birmingham,AL,35213,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/birmingham-private-investigator-544889891,"Richard Boyd, Hawkeye Intelligence is a top Birmingham private detective specializing in workers comp, infidelity, surveillance, missing persons, background checks. Private, discrete, free consultations."
Corporate Special Services,(205) 987-4800,jmunn@cssi.net,http://www.cssi.net,500 Chase Park S,Birmingham,AL,35244,,,,,['Mo-Fr 08:00-17:00'],,,43 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/corporate-special-services-541857443,"Corporate Special Services Inc. has been providing professional investigative services to the insurance, corporate and legal communities since 1980. Based in Birmingham, Ala., it offers total risk management options, such as hiring with background investigations, claims with adjusting services or special investigations and surveillance for claims and litigation."
Hawk Eye Investigations,(205) 322-1400,,http://hawkeyeinvestigations.net,205 20th St N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/hawk-eye-investigations-9655730,
Investigation Corp of America,(205) 945-8087,,https://www.icabackgrounds.com,1617 3rd Ave N,Birmingham,AL,35203,,,,,['Mo-Fr 08:00-16:30'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/investigation-corp-of-america-559174405,
Expert Private Investigator,(205) 413-9101,,https://aprivateinvestigator.com,1211 28th St S,Birmingham,AL,35205,,,,,['Mo-Su'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/expert-private-investigator-552212083,
US Department of Justice,(205) 326-6166,,,308 3rd St S,Birmingham,AL,35205,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/us-department-of-justice-462197832,
Alabama Investigative Services,(800) 292-8525,,http://www.al1call.com,220 Lakeshore Dr,Birmingham,AL,35209,,,,,['Mo-Fr 07:30-16:30'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/alabama-investigative-services-503775476,
Ashley Investigations,(205) 808-8786,,,1862 McDavid St,Birmingham,AL,35217,,,,,,,,21 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/ashley-investigations-25018086,
Ica,(205) 945-8087,requests@icabackgrounds.com,http://www.securityengineersinc.com/content.asp?formID=1479&id=64151,272 Snow Dr Ste 103,Birmingham,AL,35209,,,,,['Mo-Fr 07:30-16:30'],,,14 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/ica-5012697,
Research Services,(205) 785-8939,,,3027 Cora Ave,Birmingham,AL,35224,,,,,,,,38 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/research-services-464300966,
Attorneys' Investigative Consultants,(205) 956-2801,,,3228 Karl Daly Rd,Birmingham,AL,35210,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/attorneys-investigative-consultants-455628837,
"TERRI JONES INVESTIGATIONS ,LLC.",(205) 222-4507,,,1516 Shady Oak Circle,Birmingham,AL,35235,,,,,['Tu-Sa 10:00-18:00'],,,7 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/terri-jones-investigations-llc-525786668,
Casteel & Associates,(205) 824-4492,,http://www.casteelagency.com,5511 Highway 280,Birmingham,AL,35242,,,,,['Mo-Su 00:00-23:59'],,,18 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/casteel-associates-3970924,
DIY Spy Supply - TSCM Southeast,(205) 261-9935,tscmwiz@gmail.com,,,Birmingham,AL,35216,,,,,['Mo-Su'],,,14 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/diy-spy-supply-tscm-southeast-460506071,"Is your competition listening? Do you have trade secrets? Does office personnel know things they shouldn't? Has a former employee formed a competing company using trade secrets? Just Elected? Getting a divorce? WE CAN HELP! We specialize in TSCM (Technical Surveillance Counter Measures.) We are Experts in Eavesdropping Detection for Corporations, Governments, Non Profit, VIP, Family and Sports Teams. We use the Worlds most Advanced Equipment and we are Certified Surveillance Countermeasure Operators. We don't sell or recommend store bought equipment because its ineffective and 99.9% of BUGS will be missed. Call or email us for free quote."
