Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Alabama  Colon & Rectal Institute,(205) 578-0183,,http://www.acripc.com,1317 4th Ave S,Birmingham,AL,35233,https://www.facebook.com/people/Alabama-Colon-and-Rectal-Institute-PC-The-Butt-Hutt/100064072591710,,,,"['Mo-Th 08:30-17:00', 'Fr 08:30-13:00']",,,33 Years,10 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/alabama-colon-rectal-institute-21796095?lid=1000131660470,ACRI is a 4 physician office of colon and rectal surgeons. We specialize in all facets of colon and rectal surgery including anorectal and laparoscopic surgery and colonoscopy. www.acripc.com
Alabama  Colon & Rectal Institute,(205) 578-0183,,http://www.acripc.com,1317 4th Ave S,Birmingham,AL,35233,https://www.facebook.com/people/Alabama-Colon-and-Rectal-Institute-PC-The-Butt-Hutt/100064072591710,,,,"['Mo-Th 08:30-17:00', 'Fr 08:30-13:00']",,,33 Years,10 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/alabama-colon-rectal-institute-21796095?lid=1000131660470,ACRI is a 4 physician office of colon and rectal surgeons. We specialize in all facets of colon and rectal surgery including anorectal and laparoscopic surgery and colonoscopy. www.acripc.com
Alabama  Colon & Rectal Institute,(205) 458-5000,,http://acripc.com,1317 Avenue S,Birmingham,AL,35218,,,,,['Mo-Th 08:30-17:00'],,,33 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/alabama-colon-rectal-institute-535530956,"Alabama Colon & Rectal Institute (ACRI) is a free standing, private practice in downtown Birmingham, Alabama with four board-certified Colon and Rectal Surgeons. Our practice is limited to diseases of the colon, rectum and anus. We perform surgery at multiple sites including five local hospitals and outpatient operations at our AAAASF nationally accredited office-based surgical facility. ACRI provides quality colon and rectal surgical care, colonoscopy and transrectal ultrasound services in an efficient and cost conscious manner. Our major goals are to provide these services in an environment which will assure our patients privacy, confidentiality, and above all, their satisfaction and safety."
"Dr. Steven D Scarcliff, MD",(205) 933-1199,,,2151 Highland Ave S Ste 200,Birmingham,AL,35205,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/dr-steven-d-scarcliff-md-465267084,
Colon & Rectal Surgical Associates of Birmingham,(205) 933-1199,,https://crsab.com,3400 Independence Dr,Birmingham,AL,35209,,,,,"['Mo-Th 09:00-17:00', 'Fr 09:00-12:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/colon-rectal-surgical-associates-of-birmingham-537838094,
Colon & Rectal Surgical Associates,(205) 933-1199,,https://crsab.com,3400 Independence Dr,Birmingham,AL,35209,,,,,"['Mo-Th 08:30-17:00', 'Fr 08:30-13:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/colon-rectal-surgical-associates-469731276?lid=1001955756257,
"Dr. Heath H Beckham, MD",(205) 458-5000,,http://acripc.com,1317 4th Ave S,Birmingham,AL,35233,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/dr-heath-h-beckham-md-22785092,"Alabama Colon & Rectal Institute (ACRI) is a practice serving the residents of Birmingham, Ala. and surrounding areas. The practice performs surgery at multiple sites including five local hospitals and outpatient operations at its AAAASF (American Association for Accreditation of Ambulatory Surgery Facilities) nationally accredited office-based surgical facility. It provides colon and rectal surgical care along with colonoscopy and transrectal ultrasound services. Alabama Colon & Rectal Institute (ACRI) is a national preceptor for Ethicon on two procedures (PPH for hemorrhoids and STARR for obstructive defecation syndrome)."
"Parker, Mark A",(205) 458-5000,,http://acripc.com,1317 4th Ave S,Birmingham,AL,35233,,,,,"['Mo-Th 08:30-17:00', 'Fr 08:30-13:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/parker-mark-a-473007934,"Alabama Colon & Rectal Institute (ACRI) is a practice serving the residents of Birmingham, Ala. and surrounding areas. The practice performs surgery at multiple sites including five local hospitals and outpatient operations at its AAAASF (American Association for Accreditation of Ambulatory Surgery Facilities) nationally accredited office-based surgical facility. It provides colon and rectal surgical care along with colonoscopy and transrectal ultrasound services. Alabama Colon & Rectal Institute (ACRI) is a national preceptor for Ethicon on two procedures (PPH for hemorrhoids and STARR for obstructive defecation syndrome)."
"Karin Marie Hardiman, MD, PhD",(205) 934-4011,,,619 19th St S,Birmingham,AL,35249,,,,,,,,11 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/karin-marie-hardiman-md-phd-553706482,
"Royer, Gayla M, MD",(205) 458-5000,,http://acripc.com,1317 4th Ave S,Birmingham,AL,35233,,,,,,,,16 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/royer-gayla-m-md-471029487,
