Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
"Mathews, Andrea LPC NCC",(205) 598-5255,,http://www.andreamathews.com,2112 11th Ave S,Birmingham,AL,35205,http://www.facebook.com/andrea.mathews.eage22,,,,['Mo-Fr 09:00-17:00'],,,26 Years,8 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/mathews-andrea-lpc-ncc-13494597?lid=1001329770547,"Andrea provides both Cognitive and Transpersonal Therapy for a broad range of issues and diagnoses, to individuals, couples, including alternative relationships, families and groups.  See Andrea for depression, anxiety, personal growth, GLBT issues, and more."
Psych Wellness South LLC,(205) 871-0031,,http://www.psychwellnesssouthhomewoodal.com,1 Independence Plz Ste 716,Birmingham,AL,35209,https://www.facebook.com/Psych-Wellness-South-LLC-184822111948710,,,,['Mo-Fr 09:30-17:30'],,,22 Years,10 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/psych-wellness-south-llc-475063468?lid=1001616290323,"Psych Wellness South LLC offers a professional and personalized mental health services in a quiet, friendly and supportive environment. Our psychiatrists and psychologist have many years of experience.  Psych Wellness provides comprehensive psychiatric and psychological evaluations, medication management, psychological testing and therapy sessions. Dr. Cesar Munoz (MD) and Dr. Guendalina Ravello Ph.D are both fully bilingual (English and Spanish) with multicultural experience."
Bowen & Kowalski LLP,(205) 423-9440,,,3300 Cahaba Rd,Birmingham,AL,35223,,,,,['Mo-Fr 09:00-17:00'],5,1,75 Years,7 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/bowen-kowalski-llp-457393562?lid=1001616295598,
Alabama Psychiatry and Counseling,(205) 440-6292,,http://www.alabama-psychiatry.com,2015 Stonegate Trl Suite 105,Birmingham,AL,35242,https://www.facebook.com/AlabamaPsychiatry,,,,['Mo-Fr 08:00-17:00'],,,19 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/alabama-psychiatry-and-counseling-512180850?lid=1001185261063,"Alabama Psychiatry & Counseling's mission is to provide personalized, high-quality effective mental health services with a goal of achieving remission. We have created a practice that provides tailored treatment that serves the individual and family needs.   We are a mental health facility comprised of dedicated, experienced professionals who believe in working with our patients to maintain and improve their health. We work together to serve your psychiatric and psychological needs in all stages of life. We provide comprehensive mental health services to our patients in a friendly, relaxed atmosphere. We also believe in educating our patients as we work with them to achieve the best physical state possible.   Our psychiatrist, Dr. Farah Khan, is certified by the American Board of Psychiatry and Neurology in the speciality of Psychiatry and the sub-speciality of Psychosomatic Medicine. Dr. Khan has been in practice since 2004.   Our therapists, Ms. Heidi Bullock and Ms. Lynne Kilgore, provide an array of counseling services to meet the individual and family needs."
Affiliated Mental Health Services Inc,(205) 978-7800,,http://jerryphd.com,100 Century Park S,Birmingham,AL,35226,,,,,['Mo-Fr 09:00-17:00'],,,22 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/affiliated-mental-health-services-inc-451181642?lid=1000785042069,
Pitts & Associates,(205) 870-3520,,http://www.homewoodtherapy.com,601 Beacon Pkwy W Ste 201,Birmingham,AL,35209,https://www.facebook.com/pittsandassociates,,,,['Mo-Fr 08:00-17:00'],,,19 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/pitts-associates-473672227?lid=1001329779453,|Year Established: 2004.
Oasis Counseling For Women & Children,(205) 933-0338,,http://oasiscounseling.org,1900 14th Ave S,Birmingham,AL,35205,https://www.facebook.com/oasis4women,,,,['Mo-Fr 08:00-17:00'],,,28 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/oasis-counseling-for-women-children-4643213?lid=1001616305734,"To help women and children heal, grow and overcome difficult life circumstances by providing affordable mental health counseling and innovative educational programs in a respectful and nurturing environment."
Wellspring Christian Clinic,(205) 977-3003,,http://wellspringchristian.com,3104 Blue Lake Dr,Birmingham,AL,35244,,,,,['Mo-Fr 09:00-17:00'],,,20 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/wellspring-christian-clinic-15209883,"Wellspring Christian Clinic, Inc., based in Birmingham, Alabama, delivers psychiatric care, services in psychotherapy and counseling, evaluations of psychology, vocation and intellect, and an education in accordance with the teachings of the Bible and Christian beliefs. The clinicÕs programs are created with the aim of meeting the emotional, spiritual and physical requirements of the client. The staff is made up of certified mental health professionals who are experienced, well trained and strongly committed to Christianity. The clinic aims at treating people with various mental health issues, including stress management, sexual problems, depression, bipolar disorder, posttraumatic stress disorder, alcohol and drug abuse/dependence, marital conflict, domestic violence, mental retardation, self-injurious behaviour, learning disorders, schizophrenia, rape recovery,  and general psychiatry and medication issues."
"Dr. Paul Carlson Weir, MD",(205) 870-0619,,http://www.tmsbirmingham.com,3014 Firefighter Ln,Birmingham,AL,35209,,,,,['Mo-Fr 08:00-18:00'],,,39 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/dr-paul-carlson-weir-md-458599608,
"Jetty Psychiatric Services, LLC",(205) 785-2000,,,401 Tuscaloosa Ave SW Ste 110,Birmingham,AL,35211,,,,,['Mo-Fr 01:00-17:30'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/jetty-psychiatric-services-llc-4397640,
