Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Pulmonary And Sleep Associates Of Alabama PC,(205) 871-9112,,http://www.sleepandlungdocs.com,2022 Brookwood Medical Ctr Dr,Birmingham,AL,35209,https://www.facebook.com/pages/pulmonary-sleep-associates-of-alabama-pc/572930929478261,,,,"['Mo-Th 08:30-16:30', 'Fr 08:30-14:00']",,,17 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/pulmonary-and-sleep-associates-of-alabama-pc-451058976?lid=1000437167755,
"Jay T. Heidecker, MD",(205) 933-9258,,https://www.norwoodclinic.com,2660 10th Ave S Bldg 1,Birmingham,AL,35205,,,,,['Mo-Fr 09:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/jay-t-heidecker-md-452475608,"Don't wait to get the important care you need. When you need care, Ascension is committed to keeping you safe while you're receiving it. Our hospitals and clinics have implemented safety precautions to protect our patients and our care teams. Call to discuss the right option for your care."
"Neal D. Daniel, MD",(205) 933-9258,,http://www.birminghampulmonary.com,2660 10th Ave S Bldg 1,Birmingham,AL,35205,,,,,['Mo-Su'],,,18 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/neal-d-daniel-md-452733795,"Don't wait to get the important care you need. When you need care, Ascension is committed to keeping you safe while you're receiving it. Our hospitals and clinics have implemented safety precautions to protect our patients and our care teams. Call to discuss the right option for your care."
"Gilley, Sandra K, MD",(205) 802-2000,,http://pulmonarydocs.com,880 Montclair Rd Ste 270,Birmingham,AL,35213,,,,,['Mo-Fr 08:00-17:00'],,,40 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/gilley-sandra-k-md-479150457,"Pulmonary Associates of the Southeast PC provides treat anent for pulmonary disorders. The center offers a range of services, such as asthma, treatment education, smoking cessation provide counseling, chronic obstructive pulmonary disease (COPD)and the occupational lung disease. It is involved in chest X-rays, lung function evaluations, methacholine challenge tests, asthma assessments and arterial blood gas testing, among others. Additionally, Pulmonary Associates of the Southeast PC provides evaluation, diagnosis and treatment of pulmonary illnesses, to name a few."
Pulmonary Associates of the Southeast PC,(205) 802-2000,,http://pulmonarydocs.com,3686 Grandview Pkwy,Birmingham,AL,35243,,,,,['Mo-Fr 09:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/pulmonary-associates-of-the-southeast-pc-516770799,"Formed more than fifty years ago, Pulmonary Associates has remained in practice primarily in the Birmingham area with an outreach clinic in Oneonta, Alabama. We practice preventive medicine through counseling and testing. We have a sense of community and take care of our patients as though they are family. We have physicians board certified in sleep medicine and direct the sleep lab at Grandview Medical Center Sleep Disorders Center In Birmingham. Sleep Disorders, Polysomnography, Obstructive Sleep Apnea, Restless Legs Syndrome and Periodic Limb Movement Disorder, Narcaolepsy, Circadian Disorders, and Insomnia."
"Victoria Rusanov, MD",(205) 975-2767,,,1720 2nd Ave S # THT-422,Birmingham,AL,35294,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/victoria-rusanov-md-531546890,
"Dr. Veena B Antony, MD",(205) 801-8230,,,2000 6th Ave S,Birmingham,AL,35233,,,,,['Mo-Fr 08:00-17:00'],,,42 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/dr-veena-b-antony-md-465666767,
"Walter Jefferies Doty IV, MD",(205) 934-5038,,,619 19th St S,Birmingham,AL,35249,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/walter-jefferies-doty-iv-md-469291595,
"Dr. Susan M Harding, MD",(205) 934-6600,,,619 19th St S,Birmingham,AL,35233,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/dr-susan-m-harding-md-479182484,
"He, Chao, MD",(205) 934-3411,,http://www.sam-inc.org/pa/Berks-County.html,619 19th St S,Birmingham,AL,35249,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/he-chao-md-515555285,
Pulmonary And Sleep Associates Of Alabama PC,(205) 871-9112,,http://www.sleepandlungdocs.com,2022 Brookwood Medical Ctr Dr,Birmingham,AL,35209,https://www.facebook.com/pages/pulmonary-sleep-associates-of-alabama-pc/572930929478261,,,,"['Mo-Th 08:30-16:30', 'Fr 08:30-14:00']",,,17 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/pulmonary-and-sleep-associates-of-alabama-pc-451058976?lid=1000437167755,
"Jay T. Heidecker, MD",(205) 933-9258,,https://www.norwoodclinic.com,2660 10th Ave S Bldg 1,Birmingham,AL,35205,,,,,['Mo-Fr 09:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/jay-t-heidecker-md-452475608,"Don't wait to get the important care you need. When you need care, Ascension is committed to keeping you safe while you're receiving it. Our hospitals and clinics have implemented safety precautions to protect our patients and our care teams. Call to discuss the right option for your care."
"Neal D. Daniel, MD",(205) 933-9258,,http://www.birminghampulmonary.com,2660 10th Ave S Bldg 1,Birmingham,AL,35205,,,,,['Mo-Su'],,,18 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/neal-d-daniel-md-452733795,"Don't wait to get the important care you need. When you need care, Ascension is committed to keeping you safe while you're receiving it. Our hospitals and clinics have implemented safety precautions to protect our patients and our care teams. Call to discuss the right option for your care."
"Gilley, Sandra K, MD",(205) 802-2000,,http://pulmonarydocs.com,880 Montclair Rd Ste 270,Birmingham,AL,35213,,,,,['Mo-Fr 08:00-17:00'],,,40 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/gilley-sandra-k-md-479150457,"Pulmonary Associates of the Southeast PC provides treat anent for pulmonary disorders. The center offers a range of services, such as asthma, treatment education, smoking cessation provide counseling, chronic obstructive pulmonary disease (COPD)and the occupational lung disease. It is involved in chest X-rays, lung function evaluations, methacholine challenge tests, asthma assessments and arterial blood gas testing, among others. Additionally, Pulmonary Associates of the Southeast PC provides evaluation, diagnosis and treatment of pulmonary illnesses, to name a few."
