Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Tint Pro,(205) 948-8468,tintprobham@gmail.com,http://tintprobham.com,3229 Veterans Cir,Birmingham,AL,35235,https://www.facebook.com/pages/Tint-Pro/313519248805886,,,,"['Mo-Fr 09:00-17:00', 'Sa 09:00-15:00', 'Su 09:00-09:30']",,,9 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/tint-pro-503023750?lid=1000553682262,
Brakes For Less #6,(205) 224-5730,,,9448 Parkway E,Birmingham,AL,35215,,,,,['Mo-Sa 07:30-17:30'],,,14 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/brakes-for-less-6-497691466?lid=1001394061552,"Same Day Service**10 Minute Oil Change**old-Fashioned Values  Our goal is to provide customer satisfaction from every angle. We offer competitive pricing, work done in a timely manner and above all honesty. It is our goal to turn all of our customers into repeat customers. Guaranteed 10%+ off Competitor's estimate."
"Duffy's Garage Land Rover, BMW, Jaguar, Audi, & Mini Cooper",(205) 715-2100,brad@duffysgarage.com,http://www.duffysgarage.com,4330 First Av. S.,Birmingham,AL,35222,https://www.facebook.com/DuffysGarage,,,,['Mo-Fr 07:30-17:00'],4.5,10,14 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/duffys-garage-land-rover-bmw-jaguar-audi-mini-cooper-474483688?lid=1000439551588,
King Auto Glass,(205) 781-6441,kingauto2610@att.net,,2610 Warrior Rd,Birmingham,AL,35208,https://www.facebook.com/pages/king-auto-glass-trim/112163412180046,,,,['Mo-Su 08:00-18:00'],5,2,29 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/king-auto-glass-503472638?lid=1001241811131,Guarantee Best Prices in Town! New & Used Glass and Door Glasses; Power Window Repair; Door Handles; Lock Repairs; Headliners; Insurance Claims Welcomed! Lifetime Warranty
Benchmark Chrysler Dodge Jeep Ram,(205) 957-1313,tspitzer@withyoudowntheroad.com,,1313 Grants Mill Way,Birmingham,AL,35210,https://www.facebook.com/voylescdjr,,,,"['Mo-Fr 08:30-19:00', 'Sa 08:30-18:00']",3,2,31 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/benchmark-chrysler-dodge-jeep-ram-533060445?lid=1001572779972,"Benchmark Chrysler Jeep Dodge is an automobile dealership that offers a range of new and pre-owned vehicles from Dodge, Jeep and Chrysler. The dealership operates a five-star certified service department that features more than 20 service bays. It also utilizes computerized equipment and diagnostic machines. In addition, Benchmark's service department provides transportation and delivery services. The dealership offers an eVIP membership program that provides discounts on service, parts and accessories. Its finance department offers online credit applications, payment estimators, lease programs, insurance plans and extended service contracts, as well as financing rates through various certified lenders, including banks and credit unions. In addition, its parts department sells Mopar parts. It also features Reman and Valve Line products. Located in Birmingham, Ala., Benchmark Chrysler Jeep Dodge is owned and operated by the Benchmark Automotive Group."
World Class Auto Repair,(205) 591-7990,worldcar.bham@aol.com,http://www.worldcarinc.com,4710 5th Ave S,Birmingham,AL,35222,,,,,['Mo-Fr 07:30-17:00'],3,4,38 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/world-class-auto-repair-464680405,Eureopean automobile service and repairs.  We have been in business in the same location sine 1985.    
Riverchase Automotive Service Center And Performance,(205) 733-1037,riverchaseautomotive@gmail.com,http://www.riverchaseautomotive.net,2015 Old Montgomery Hwy,Birmingham,AL,35244,,,,,['Mo-Fr 08:00-17:30'],5,1,33 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/riverchase-automotive-service-center-and-performance-14326567,"Since 1990, Riverchase Automotive Service Center has provided motorists in the Birmingham, AL area with comprehensive auto repair services. Our goal is to offer the best services available at affordable prices to get you back on the road in no time."
Stop And Start Automotive Center,(205) 822-3041,johndoe@email.com,http://www.acdelco.com,2262 Rocky Ridge Rd,Birmingham,AL,35216,,,,,['Mo-Fr 07:00-16:00'],,,40 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/stop-and-start-automotive-center-11895935,"David Cole & Eddie Warnick Serving The Area For Over 30 Years Auto, Radiator & Exhaust Repair Complete Exhaust System Service Custom Dual Exhaust * Flow-Master"
Carcare,(205) 733-8863,carcare8644@bellsouth.net,http://www.carcarehonda.com,2048 Valleydale Ter,Birmingham,AL,35244,,,,,['Mo-Fr 08:00-17:30'],5,10,35 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/carcare-21802371,"We are a family owned and operated business, specializing in Honda, Acura , Toyota, Lexus,Hyundai, Kia, Nissan and Infiniti Maintenance and repair. We offer a two year 24.000 mile warranty on parts and labor. We offer free shuttle service within 15 miles."
Byop Birmingham,(205) 836-2399,valsheperd@aol.com,http://www.manta.com/c/mbnwhsn/byop-birmingham,201 Roebuck Plaza Dr,Birmingham,AL,35206,,,,,"['Mo-Fr 07:00-17:00', 'Sa 08:00-15:00']",1.5,15,11 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/byop-birmingham-472083369,
