Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
"Computer Solutions of Alabama, Inc.",(205) 252-0659,,http://www.computersolutionsal.com,1821 11th Ave S,Birmingham,AL,35205,https://www.facebook.com/computer-solutions-of-alabama-inc-100648944812035,,,,['Mo-Fr 08:30-17:00'],,,33 Years,4 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/computer-solutions-of-alabama-inc-13145482?lid=1002125493637,"Computer Solutions of Alabama, Inc. provides onsite computer and network support for small businesses and residential customers in central Alabama. Computer Solutions of Alabama, Inc. also sells business class computers, servers, firewalls, computer peripherals and network equipment."
Standard  Iron & Metal Inc,(205) 328-0538,jon@standardironandmetal.com,http://www.standardironandmetal.com,1933 Vanderbilt Rd,Birmingham,AL,35234,https://www.facebook.com/Standard-Iron-Metal-133306360043348/,,,,"['Mo-Fr 07:30-16:00', 'Sa 07:30-12:00']",3.5,5,44 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/standard-iron-metal-inc-9600577?lid=1001568368138,"Established in 1978, Standard Iron & Metal Inc. serves the recycling needs of various industries. Located in Birmingham, Ala., the company offers industrial container services for scrap metal throughout the Greater Birmingham region. It buys various metals, including aluminum cans, aluminum, copper coils, aluminum wheels and appliances. Standard Iron & Metal Inc. works with Alabama Power, City of Birmingham, Clarklift , Goldkist, Trinity Services and AT&T, among others. The company is a wholesaler of scrap metals and iron."
We Buy Junk Cars,(205) 229-2294,,,,Birmingham,AL,35201,https://www.facebook.com/we-buy-junk-cars-319332744927861,,,,['Mo-Su 09:00-17:00'],5,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/we-buy-junk-cars-474667733?lid=1000636428624,"I PAY YOU CASH to purchase your cars that are free and clear of all liens, loans or pawns on title! Free and easy over the phone initial estimates. No need to worry about transportation. I COME to YOU to make it easy and fast to put CASH in your pocket! We work hard to have money in your hands within 24hours of contact! Call today to have me move it away!"
Brothers Recycling,(205) 328-4283,accounts@brothersrecycling.com,http://brothersrecycling.com,1620 Vanderbilt Rd,Birmingham,AL,35234,,,,,"['Mo-Fr 07:00-16:00', 'Sa 07:00-12:00']",,,59 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/brothers-recycling-4098824,
CMC Metal Recycling,(205) 321-1177,cmcrecyclingbirmingham@cmc.com,http://www.cmc.com/en/americas/cmcrecycling/pages/aboutus.aspx,3431 27th Ave N,Birmingham,AL,35207,,,,,['Mo-Fr 07:30-16:00'],,,72 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/cmc-metal-recycling-2737500,"Whole Scrap/Waste Material Refuse System. Paying Top Dollar For All Scrap Metals, Container Service Available."
Birmingham Recycling and Recovery,(205) 591-8201,peter@amerisouthrecycling.com,http://www.cellmark.com,9 41st St S,Birmingham,AL,35222,,,,,['Mo-Fr 07:00-16:30'],,,75 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/birmingham-recycling-and-recovery-469309801,
Recycle America,(205) 591-8201,,http://www.wm.com,9 41st St S,Birmingham,AL,35222,,,,,['Mo-Fr 07:00-16:30'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/recycle-america-9382584,
Rather Recycling LLC,(205) 224-4044,scrap@ratherrecycling.com,http://ratherrecycling.com,323 Finley Blvd,Birmingham,AL,35204,,,,,"['Mo-Fr 07:30-16:30', 'Sa 07:30-14:00']",5,2,7 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/rather-recycling-llc-514762520,"Rather Recyling located in Birmingham, is a full service metal recycling company specializing in recycling servies to Commercial, Industrial and Manufacturing accounts. We bring you competitive prices and pay top dollar for your scrap recyclables as well as all ferous and non-ferous metals We have a strong work ethic and are happy to say that our friendly, knowledgeable and experienced employees are dedicated to serving our customers."
ecoATM,(858) 255-4111,,https://www.ecoatm.com,312 Palisades Blvd,Birmingham,AL,35209,,,,,['Mo-Su 04:00-23:45'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/ecoatm-542002009,"Buy and Sell your used cell phones and electronics Birmingham, AL. Sell your iPhone Birmingham, AL, Samsung Galaxy, iPad and more for cash, or buy used iPhones, iPads and other cell phones Birmingham, AL. More than one million customers trust ecoATM."
Protec Recycling,(205) 549-2120,info@protecrecycling.com,http://www.protecrecycling.com,37 W Park Cir Ste 200b,Birmingham,AL,35211,,,,,['Mo-Fr 09:00-17:00'],,,8 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/protec-recycling-523766278,"Locally owned and operated out of Birmingham, Protec Recycling provides environmentally sustainable, cost effective, and secure solutions in processing electronic materials.  Protec is prepared to meet the recycling needs of corporations big and small. We work with business and government throughout the state, conducting full-service pickups of end-of-life IT assets and other electronics. Additionally, Protec provides on site destruction for hard drives, cell phones, and other info-carrying devices."
