Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
"Mathews, Andrea LPC NCC",(205) 598-5255,,http://www.andreamathews.com,2112 11th Ave S,Birmingham,AL,35205,http://www.facebook.com/andrea.mathews.eage22,,,,['Mo-Fr 09:00-17:00'],,,26 Years,8 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/mathews-andrea-lpc-ncc-13494597?lid=1001329770549,"Andrea provides both Cognitive and Transpersonal Therapy for a broad range of issues and diagnoses, to individuals, couples, including alternative relationships, families and groups.  See Andrea for depression, anxiety, personal growth, GLBT issues, and more."
"Mathews, Andrea LPC NCC",(205) 598-5255,,http://www.andreamathews.com,2112 11th Ave S,Birmingham,AL,35205,http://www.facebook.com/andrea.mathews.eage22,,,,['Mo-Fr 09:00-17:00'],,,26 Years,8 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/mathews-andrea-lpc-ncc-13494597?lid=1001329770549,"Andrea provides both Cognitive and Transpersonal Therapy for a broad range of issues and diagnoses, to individuals, couples, including alternative relationships, families and groups.  See Andrea for depression, anxiety, personal growth, GLBT issues, and more."
Samaritan Counseling Center,(205) 967-3660,,http://www.samaritancc.org,100 Missionary Rdg,Birmingham,AL,35242,,,,,['Mo-Fr 08:00-17:00'],,,44 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/samaritan-counseling-center-470772868?lid=1000966232978,"Samaritan Counseling Centers offer counseling and coaching services for a wide variety of problems and issues, including anxiety, depression, grief and loss, trauma, and addictions.  We also offer premarital and spiritual counseling, as well as assistance with relationships, sex and intimacy, and marriage and family issues.  If medical or psychological problems beyond our expertise are identified, our counselors are quick to refer to medical or other specialists, as indicated.

In addition, as a non-profit organization, we are committed to supporting the diverse communities of greater Birmingham and to extending our services to marginalized and under-served persons.  As an example, we provide counseling and education services for the homeless in partnership with the Firehouse Shelter and other community support agencies.  In addition, with the demonstration of need, we are often able to discount our fees for clients who are suffering financial hardship.

If you or a loved one is looking for a safe and respectful place for help, hope, and healing, consider giving Samaritan Counseling a call.  Our appointment desk can be reached at 205-967-3660 from 9:00 a.m. until 5:00 p.m. Monday through Friday.  We are often able to offer after-hours appointments by special request.  We stand ready to assist individuals of all ages, including families and small children.

Samaritan Counseling Centers of Greater Birmingham also offers professional coaching services and coach training.  To learn more about our coaching program, Coaching Through the Gaps, click here."
Oasis Counseling For Women & Children,(205) 933-0338,,http://oasiscounseling.org,1900 14th Ave S,Birmingham,AL,35205,https://www.facebook.com/oasis4women,,,,['Mo-Fr 08:00-17:00'],,,28 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/oasis-counseling-for-women-children-4643213?lid=1001616305734,"To help women and children heal, grow and overcome difficult life circumstances by providing affordable mental health counseling and innovative educational programs in a respectful and nurturing environment."
Pitts & Associates,(205) 870-3520,,http://www.homewoodtherapy.com,601 Beacon Pkwy W Ste 201,Birmingham,AL,35209,https://www.facebook.com/pittsandassociates,,,,['Mo-Fr 08:00-17:00'],,,19 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/pitts-associates-473672227?lid=1001329779453,|Year Established: 2004.
Easter Seals,(205) 942-6277,,http://easterseals.com,2717 3rd Ave S,Birmingham,AL,35233,https://www.facebook.com/eastersealsbirmingham,,,,['Mo-Fr 08:00-17:00'],,,16 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/easter-seals-474866994?lid=1000877731163,"Founded in 1934, Easter Seals Inc. is an educational institute that provides special academic education. The school provides services, such as medical rehabilitation, employment and training, camping as well as recreation, children services, adult and senior services, to name a few. Easter Seals Inc. provides education and other programs to people with autism and other disabilities. It has partnership with several organizations namely Safeway, Century 21, CVS Caremark, Bank of America and The Fraternal Order of Police."
Reconciliation Counseling Resource Ctr,(205) 408-2787,,http://www.be-reconciled.org,100 Corporate Ridge North,Birmingham,AL,35244,,,,,,,,19 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/reconciliation-counseling-resource-ctr-451059640,"Faith Based Marriage, Addictions & Trauma-Cism Eap, Family Child & Individual, Family, Child & Individual"
"Harrington, Judith A PhD",(205) 226-2400,,http://judithharringtonphd.webs.com,2330 Highland Ave S,Birmingham,AL,35205,,,,,['Mo-Fr 08:00-17:00'],,,27 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/harrington-judith-a-phd-2672023,
"Elizabeth Shahid, LMFT",(205) 447-0278,,,1821 11th Ave S Unit 550024,Birmingham,AL,35255,,,,,,5,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/elizabeth-shahid-lmft-559699323,
Family Guidance Center of Alabama,(205) 945-6000,,http://familyguidancecenter.org,234 Aquarius Dr,Birmingham,AL,35209,,,,,['Mo-Fr 08:00-16:30'],,,64 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/family-guidance-center-of-alabama-5348231,"Family needs have certainly changed since Family Guidance Center first started serving families in 1959. Our full range of services includes counseling, parenting education, marriage enrichment, mentoring, services for business and industry, child care support services, senior services, adult day care, career development, job training and other therapeutic services for families."
Volunteers of America,(205) 945-7172,,http://voase.org,135 Gemini Cir,Birmingham,AL,35209,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/volunteers-of-america-563843258,"Founded in 1896, Volunteers of America is a national, nonprofit, faith-based organization dedicated to helping people live healthy, safe and productive lives. Based in Alexandria, Va., it is one of the nation s largest and comprehensive human services organizations, serving more than two million people each year in hundreds of communities across the United States. It has supported and empowered America's most vulnerable groups, including seniors, people with disabilities, at-risk youth, men and women returning from prison and many others. Volunteers of America partners with various firms, such as the Comcast, Hasbro, Juice Plus and Scholastic."
"Dana Clark Woodruff, LPC",(205) 202-4072,,,2324 5th Ave N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/dana-clark-woodruff-lpc-547951651,
"Dana Clark Woodruff, LPC",(205) 452-0111,,,208 23rd St N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/dana-clark-woodruff-lpc-564062086,
Vivian Smith Carter,(205) 937-2291,,http://www.viviancartercounseling.com,2107 5th Ave N,Birmingham,AL,35203,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/vivian-smith-carter-469737761,
"Dr. Summer Baker, MD",(205) 807-3221,,http://www.pediatricanesthesiaassociates.com,1600 7th Ave S,Birmingham,AL,35233,,,,,['Mo-Fr 08:00-17:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/dr-summer-baker-md-464191433,
"Dr. Alexandra Lamb, MD",(205) 933-0338,,,1900 14th Ave S,Birmingham,AL,35205,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/dr-alexandra-lamb-md-553676697,
"Elizabeth McMurray, LMFT",(205) 933-0041,,http://acenterforeatingdisorders.com,2401 Arlington Ave S,Birmingham,AL,35205,,,,,,,,,,,,,https://www.yellowpages.com/birmingham-al/mip/elizabeth-mcmurray-lmft-539154913,
