Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Niki's West Steak And Seafood Restaurant,(205) 582-0943,nikisrestaurant@bham.rr.com,http://www.nikiswest.com,233 Finley Ave W,Birmingham,AL,35204,https://www.facebook.com/nikiswest,,,,['Mo-Su 06:00-21:00'],5,7,66 Years,12 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/nikis-west-steak-and-seafood-restaurant-11138082?lid=213402265,"Operational since 1957, Niki's West Steak & Seafood Restaurant offers a range of food items. It serves a variety of starts, such as shrimp cocktail, oyster cocktail, crab claws, onion rings and fried mozzarella cheese sticks. The restaurant also offers shrimp and potato salads. Niki's West Steak & Seafood Restaurant s seafood dishes menu includes shrimp creole, fried whole fresh flounder, speckled trout almondine, stuffed deviled crabs and fresh scallops. Its dessert selection features Lemon Ice Box, Pecan and Cheesecake. The restaurant also provides bacon and eggs omelet, French toast and hot cakes. Niki's West Steak & Seafood Restaurant s menu also includes grilled tuna, grouper, scamp, Amberjake, grilled salmon speckled trout and stuffed deviled crabs."
Hot And Hot On Location,(205) 933-5474,,http://www.hotandhotfishclub.com,2180 11th Ct S,Birmingham,AL,35205,,,,,['Tu-Sa 17:30-22:00'],5,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/hot-and-hot-on-location-457960577,
Seafood And Chicken Box The,(205) 655-7414,,http://seafoodandchickenbox.com,5954 Chalkville Mountain Rd,Birmingham,AL,35235,,,,,"['Tu-Sa 11:00-21:00', 'Su 11:00-20:00']",3.5,2,52 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/seafood-and-chicken-box-the-473529178,"Seafood and Chicken Box Inc. is a restaurant with experience of more than 35 years. Based in Birmingham, Ala., the restaurant specializes in lunch and dinner meals. The restaurant serves an array of dishes, including grilled cheese sandwich, corn dog sandwich, crab claws, French fries, shrimp dinner, apple pie, lemonade and more. It distributes a variety of family meal and kid s meal menu as well as the restaurant provides an online coupon and promotion facility. Seafood and Chicken Box Inc. is named as the best of the top seven restaurants in the Southeast for fried chicken by Southern Living magazine."
Pappadeaux Seafood Kitchen,(205) 582-5083,,https://pappadeaux.com,3500 Grandview Pkwy,Birmingham,AL,35243,,,,,"['Mo-Th 11:00-21:00', 'Fr-Sa 11:00-22:00', 'Su 11:00-21:00']",4,8,37 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/pappadeaux-seafood-kitchen-503947815,"Festive chain dishing up hearty portions of New Orleans-style seafood, steaks, salads & more."
Sharks Fish & Chicken,(205) 941-3331,,http://www.sharksfishchicken.net,254 Green Springs Hwy,Birmingham,AL,35209,,,,,"['Mo-Th 10:00-22:00', 'Fr-Sa 10:00-23:30', 'Su 10:00-22:00']",4.5,2,,,,,,https://www.yellowpages.com/birmingham-al/mip/sharks-fish-chicken-462648501,
Red Lobster,(205) 800-8935,,https://www.redlobster.com/seafood-restaurants/locations/al/birmingham/3525-roosevelt-blvd,3525 Roosevelt Blvd,Birmingham,AL,35235,,,,,"['Mo-Th 11:00-22:00', 'Fr-Sa 11:00-23:00', 'Su 11:00-22:00']",3.5,2,51 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/red-lobster-501313346,"Taste the fun side of fancy at Red Lobster, the world's largest and most-loved seafood restaurant company serving high quality, freshly sourced seafood for the seafood lover in everyone! Whether it's a special celebration or everyday occasion, take your day up a notch by diving into delicious seafood at Birmingham Red Lobster."
Courtyard Oyster Bar,(205) 980-9891,,https://www.facebook.com/Courtyard-280-369841949747771,4643 Highway 280,Birmingham,AL,35242,,,,,['Mo-Su 10:00-05:00'],3,2,23 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/courtyard-oyster-bar-483189097,
The Crab Barrack,(205) 836-3773,,http://thecrabbarrack.com,9417 Parkway E,Birmingham,AL,35215,,,,,"['Mo-Th 12:00-22:00', 'Fr-Sa 12:00-23:00', 'Su 12:00-22:00']",4,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/the-crab-barrack-546937730,
Seafood King,(205) 637-3630,Theseafoodking180@gmail.com,https://theseafoodking.com,180 State Farm Pkwy,Birmingham,AL,35209,,,,,"['Mo-Th 11:00-22:00', 'Fr-Sa 11:00-23:00', 'Su 11:00-22:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/seafood-king-548371245,"We believe good seafood can transform any meal into a moment to remember. Throughout our 15-years history, our focus has been making great seafood available to everyone, every day and creating a place that makes an ordinary day feel special. We believe treating yourself and your family to a special seafood meal shouldn’t break the bank. Just as hard as we work behind the scenes to guarantee the quality of our ingredients, we are dedicated to ensuring The seafood king is a place where you can share really great seafood, in a warm and family-friendly environment, at unbeatable value.We believe good seafood can transform any meal into a moment to remember. Throughout our 15-years history, our focus has been making great seafood available to everyone, every day and creating a place that makes an ordinary day feel special. We believe treating yourself and your family to a special seafood meal shouldn’t break the bank. Just as hard as we work behind the scenes to guarantee the quality of our ingredients, we are dedicated to ensuring The seafood king is a place where you can share really great seafood, in a warm and family-friendly environment, at unbeatable value."
Sarris Restaurant,(205) 252-7357,,http://www.sarris.com,600 31st St N,Birmingham,AL,35203,,,,,['Mo-Fr 07:00-14:30'],,,54 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/sarris-restaurant-12988761,
