Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Applause Dancewear,(205) 379-7427,applausecs@gmail.com,http://www.applausedancewear.net,1629 Oxmoor Rd,Birmingham,AL,35209,https://www.facebook.com/applausedancewear,,,,"['Mo-Th 10:00-18:00', 'Fr-Sa 10:00-17:00']",5,1,42 Years,9 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/applause-dancewear-12510444?lid=1000539790337,"Everything you could possibly need to have you dressed and ready for dance class!  We are the largest dancewear supplier in the Southeast, but still have a very small feeling of a boutique.  Everyone who works here is a dancer so you can feel confident that you are receiving service from people who ""live in and love"" what they sale.  We also carry beautiful gymnastic leotards, bra tops, hot pants, rhinestones, marching band shoes, danceline and majorette boots and batons.  We carry every dance shoe you can imagine and a full line of ballroom shoes for every style of ballroom available."
Rack Room Shoes,(205) 655-4243,customercare@rackroom.com,https://www.rackroomshoes.com/store/381,1636 Gadsden Hwy Ste 100,Birmingham,AL,35235,,,,,"['Mo-Sa 10:00-21:00', 'Su 12:00-18:00']",5,1,101 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/rack-room-shoes-7079972,"Rack Room Shoes has been the trusted footwear retailer of choice for more than 95 years by consistently offering quality shoes for men, women and children at value prices. With a wide variety of nationally recognized brands and an assortment of exclusive brands in athletic, comfort, dress and casual, every member of the family will find the shoes they love at the value they need"
Foot Locker,(205) 655-5886,only@footlocker.com,http://www.footlocker-inc.com,5006 Pinnacle Sq,Birmingham,AL,35235,,,,,"['Mo-Fr 11:00-19:00', 'Sa 09:00-18:00']",,,49 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/foot-locker-470683946,"Foot Locker Pinnacle At Tutwiler is a leading source of athletic footwear, apparel, and accessories. Catering to the sneaker enthusiast, Foot Locker in Birmingham, AL provides the best selection of premium products for a variety of activities, including basketball, running, and training. Known as the premier location for performance athletic and casual sneakers, Foot Locker"
Stampede,(205) 979-2770,,http://www.stampedebham.com,1615 Montgomery Hwy,Birmingham,AL,35216,,,,,"['Mo-Th 10:00-18:00', 'Fr-Sa 10:00-19:00', 'Su 13:00-17:00']",3,6,51 Years,11 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/stampede-3681646?lid=1000116741269,"Boot brands are: Ariat, Justin, Tony Lama, Abilene, Lucchese & Old West. Our expertise in western wear will help you find the boots that fit you the best!"
Finish Line,(205) 655-3687,customerservice@finishline.com,,5024 Pinnacle Sq Ste 108,Birmingham,AL,35235,,,,,"['Mo-Sa 11:00-19:00', 'Su 12:00-18:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/finish-line-473728468,
The Shoe Outlet,(205) 942-6001,,,430 Green Springs Hwy Ste 17,Birmingham,AL,35209,,,,,"['Mo-Sa 10:00-20:00', 'Su 13:00-17:00']",2.5,2,,,,,,https://www.yellowpages.com/birmingham-al/mip/the-shoe-outlet-459115272,
Shoe Dept,(205) 655-0299,,http://www.shoedept.com,5042 Pinnacle Sq Ste 104,Birmingham,AL,35235,,,,,['Mo-Fr 10:00-21:00'],1,1,,,,,,https://www.yellowpages.com/birmingham-al/mip/shoe-dept-455710488,
DSW Designer Shoe Warehouse,(205) 238-6245,info@dswinc.com,https://stores.dsw.com/usa/al/birmingham/dsw-designer-shoe-warehouse-brookwood-village.html?y_source=1_MTY1MTc1MS01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,545 Brookwood Vlg,Birmingham,AL,35209,,,,,"['Mo-Th 11:00-18:00', 'Fr-Sa 11:00-19:00', 'Su 11:00-18:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/dsw-designer-shoe-warehouse-483114277,"DSW Designer Shoe Warehouse is where Shoe Lovers go to find brands and styles that are in season and on trend. Each store features 25,000+ pairs of designer shoes for men and women from brands like Nike, Cole Haan, Sperry Top-Sider, Puma, Dr. Scholls, New Balance, TOMS, Vince Camuto and more. And shoes are just the beginning. Handbags, accessories, and kids’ shoes are also there—ready for customers to find just what they need. Plus, our free Rewards program, DSW Rewards, gives perks to its members (like Rewards certificates, offers, and other great stuff). Just shop, earn, and enjoy—it’s as easy as that. Because shoes say a lot about you—so say something great. 
  
DSW (Designer Shoe Warehouse) Inc. is a leading branded footwear and accessories retailer that offers a huge selection of brand name and designer footwear and accessories for women, men, and kids. DSW opened its first store in July 1991 in Dublin, Ohio, and has since grown to operate more than 400 stores across the United States, as well small format shop-in-shop locations. 
  
The DSW brand promise is “Designer shoes. Warehouse prices.” and the company delivers an experience of “breathtaking assortment, irresistible value, and simple convenience.” DSW stores average approximately 22,000 square feet and stock nearly 25,000 pairs of shoes per location."
Hayes Shoes,(800) 239-7233,bhamstore@hayes-shoes.com,http://hayesshoes.biz,5970 Chalkville Mt. Road,Birmingham,AL,35235,,,,,"['Mo-Sa 09:00-18:00', 'Su 13:00-17:00']",,,61 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/hayes-shoes-497136751,"Hayes Shoes, in Birmingham, AL, is the area's leading shoe store serving Birmingham, Trussville and the surrounding areas. Hayes Shoes has been proudly servicing its customers since 1962. We carry safety and comfort shoes, steel toed shoes, western shoes, durable work shoes and much more. For your next shoe purchase, visit Hayes Shoes in Birmingham."
Shoe Corp,(205) 326-2800,shoes@shoecorp.com,http://www.shoecorp.com,125 45th Pl N,Birmingham,AL,35222,,,,,,,,51 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/shoe-corp-465172247,"Shoe Corp of Birmingham offers a range of work boots, athletic shoes and shower sandals in various styles, colors and sizes for men and women. It provides innersole, socks and laces. The company also offers a variety of slippers, court shoes ties and safety toe work boots. Shoe Corp of Birmingham serves jails, prisons, boot camps, hospitals and canteens."
