Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Niki's West Steak And Seafood Restaurant,(205) 582-0943,nikisrestaurant@bham.rr.com,http://www.nikiswest.com,233 Finley Ave W,Birmingham,AL,35204,https://www.facebook.com/nikiswest,,,,['Mo-Su 06:00-21:00'],5,7,66 Years,12 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/nikis-west-steak-and-seafood-restaurant-11138082?lid=213402264,"Operational since 1957, Niki's West Steak & Seafood Restaurant offers a range of food items. It serves a variety of starts, such as shrimp cocktail, oyster cocktail, crab claws, onion rings and fried mozzarella cheese sticks. The restaurant also offers shrimp and potato salads. Niki's West Steak & Seafood Restaurant s seafood dishes menu includes shrimp creole, fried whole fresh flounder, speckled trout almondine, stuffed deviled crabs and fresh scallops. Its dessert selection features Lemon Ice Box, Pecan and Cheesecake. The restaurant also provides bacon and eggs omelet, French toast and hot cakes. Niki's West Steak & Seafood Restaurant s menu also includes grilled tuna, grouper, scamp, Amberjake, grilled salmon speckled trout and stuffed deviled crabs."
Saltgrass Steak House,(205) 967-1181,sgbi@ldry.com,https://www.saltgrass.com/location/saltgrass-birmingham,14 Perimeter Park S,Birmingham,AL,35243,,,,,"['Mo-Th 11:00-21:00', 'Fr-Sa 11:00-22:00', 'Su 11:00-21:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/saltgrass-steak-house-546174205,"Saltgrass Steak House is an award-winning steakhouse in Birmingham, AL famous for serving Certified Angus Beef® steaks. Each steak is cooked to perfection with Saltgrass-7 Steak Spice, and topped with garlic butter. All breads, dressings, soups and desserts are made from scratch daily. Great food and legendary hospitality make Saltgrass an enjoyable experience for the whole family."
Steak-Out Charbroiled Delivery,(205) 871-0000,info@steakout.com,http://www.wedeliversteaks.com,1717 28th Ave S,Birmingham,AL,35209,,,,,"['Mo-Th 10:00-22:00', 'Fr-Sa 10:00-23:00', 'Su 10:00-22:00']",,,33 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/steak-out-charbroiled-delivery-1441884,"Steak-Out Char-Broiled Delivery is a home and business meal delivery company and has been in business for more than 20 years. The chain company offers group ordering services for corporate staff. Its menu includes fresh charbroiled rib eye steaks, steak tips, chicken breast filets and sandwiches. All its entrees come with a salad, hot-baked potato with condiments and a baked roll. The chain company provides a variety of desserts, such as chocolate chip cakes and cookies and New York-style cheesecake. Its children s menu features cheeseburgers, chicken nuggets and hamburgers. Steak-Out Char-Broiled Delivery also offers catering services for groups of all sizes."
Ruth's Chris Steak House,(205) 879-9995,gmbirmingham3@ruthschris.com,https://ruthschris.com/birmingham,2300 Woodcrest Place Embassy Suites Hotel,Birmingham,AL,35209,,,,,"['Mo-Th 16:00-21:30', 'Fr-Sa 16:00-22:00', 'Su 16:00-21:30']",,,58 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/ruths-chris-steak-house-565179163,"Ruth's Chris Steak House specializes in serving USDA Prime steaks, each seared to perfection, finished with butter and freshly chopped parsley, and served sizzling on a 500-degree plate. We invite you to join us in Birmingham, AL!"
Perry's Steakhouse & Grille- Birmingham,(205) 968-1597,Birmingham@PerrysSteakhouse.com,http://www.perryssteakhouse.com/menu-locations/alabama/birmingham,4 Perimeter Park S,Birmingham,AL,35243,,,,,"['Mo-Th 16:00-22:00', 'Fr 10:30-22:00', 'Sa 16:00-22:00', 'Su 16:00-21:00']",,,44 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/perrys-steakhouse-grille-birmingham-516686618,"Celebrating its 40th anniversary, Perry’s has earned a faithful following by perfecting prime since it began as a butcher shop in Texas in 1979. A renowned group of award-winning restaurants perfect for intimate dinners, business meetings and special events, Perry’s features USDA Prime beef, tableside carvings, signature selections, unique and decadent desserts, handcrafted cocktails at its Bar 79. Perry’s specializes in a Rare and Well Done® experience.Celebrating its 40th anniversary, Perry’s has earned a faithful following by perfecting prime since it began as a butcher shop in Texas in 1979. A renowned group of award-winning restaurants perfect for intimate dinners, business meetings and special events, Perry’s features USDA Prime beef, tableside carvings, signature selections, unique and decadent desserts, handcrafted cocktails at its Bar 79. Perry’s specializes in a Rare and Well Done® experience."
LongHorn Steakhouse,(205) 661-8070,,https://www.longhornsteakhouse.com/locations/al/birmingham/trussville/5642,5957 Chalkville Mountain Rd,Birmingham,AL,35235,,,,,"['Mo-Th 11:00-22:00', 'Fr-Sa 11:00-23:00', 'Su 11:00-22:00']",,,42 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/longhorn-steakhouse-569530186,"At LongHorn Steakhouse, we serve steak as it was meant to be - perfectly seasoned and expertly grilled by our Grill Masters. Choose from legendary favorites like our Bone-In Outlaw Ribeye or our tender, center-cut Flo's Filet. And if you love steak, wait until you see what our Grill Masters can do with other favorites like our Parmesan Crusted Chicken, hand-cut LongHorn Salmon or our slow-cooked Baby Back Ribs. Looking for a bigger, better lunch? Try one of our Steakhouse Lunch Plates, like our Half-Pound Steakhouse Cheeseburger or our 6 oz. Crispy Buttermilk Chicken Sandwich with your choice of side, soup, or salad. Don't forget to save room for our Chocolate Stampede! Come in today and experience steak done right."
B&W Philly Steaks,(205) 578-1560,,http://www.bwphillysteaksseafood.com,707 Richard Arrington Jr Blvd S,Birmingham,AL,35233,,,,,['Mo-Sa 10:30-21:00'],,,,,,,,https://www.yellowpages.com/birmingham-al/mip/b-w-philly-steaks-567899955,
T Bones,(205) 582-9993,,http://www.tbonescheesesteaks.com,1017 20th St S,Birmingham,AL,35205,,,,,"['Mo-Th 11:00-22:00', 'Fr-Sa 23:00-00:00', 'Su 11:00-22:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/t-bones-504412224,
Imperico Steakhouse And Grill,(205) 848-2471,,http://www.imperiosteakhousegrill.com,5961 Chalkville Mountain Rd,Birmingham,AL,35235,,,,,"['Mo-Th 11:00-21:00', 'Fr-Sa 11:00-22:00', 'Su 11:00-21:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/imperico-steakhouse-and-grill-563597447,
Outback Steakhouse,(205) 991-4418,OBS1260@Outback.com,https://locations.outback.com/alabama/birmingham/5231-highway-280-south?utm_source=gmb&utm_medium=local_search&utm_campaign=website_cta&y_source=1_MTU1MDIwNjYtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,5231 Highway 280,Birmingham,AL,35242,,,,,"['Mo-Th 16:00-21:00', 'Fr-Sa 11:00-22:00', 'Su 11:00-21:00']",3,2,35 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/outback-steakhouse-470320414,"Outback Steakhouse, the home of juicy steaks, spirited drinks and Aussie hospitality. Find our location in Birmingham off Highway 280 in between Brock Highlands Parkway and 119 locted in the Brooks Highlands Plaza."
