Business Name,Phone Number,Email,Website,Street Address,City,State,Zip Code,Facebook URL,Instagram URL,Linkedin URL,Twitter URL,Business Hours,Yellow Page Rating,Review Count,Years in Business,Years with yellow pages,Trip Advisor Ratings,Trip Advisor Count,Accreditation,Page Destination URL,Business Information
Birmingham Flag Store,(205) 798-2261,Sales@birminghamflagstore.com,http://birminghamflagstore.com,"1441 Forestdale Blvd, Ste 105",Birmingham,AL,35214,https://www.facebook.com/Forestdale-Mini-Storage-169819323057635/,,,,"['Mo-Fr 09:00-16:30', 'Sa 09:00-15:00', 'Su 17:44-17:44']",,,25 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/birmingham-flag-store-2191773?lid=1000437174971,"Veteran Owned, Locally owned and operated.  We treat you like we want to be treated. We have been serving the Forestdale, Adamsville, Graysville and Birmingham area since 1994. Birmingham Flag Store is your source for American Made Military & American Flags. We stock or can order flagpoles from 5ft to commercial grade 100ft poles. Discounts available for Military, Police and Fire.  Prices that cant be beat!"
Eastwood Montclair Mini Storage,(205) 956-4233,,,1549 Cooper Hill Rd,Birmingham,AL,35206,,,,,,,,,6 Years ,,,,https://www.yellowpages.com/birmingham-al/mip/eastwood-montclair-mini-storage-531928298?lid=1001809825567,"Open Door Acess, 24 Hours, All sizes"
A Z Storage,(205) 854-0090,azstorage1@att.net,https://www.azstorageal.com,2155 Sweeney Hollow Rd,Birmingham,AL,35215,https://www.facebook.com/pages/A-Z-Storage/542615069231179,,,,"['Mo-Fr 09:00-17:00', 'Sa 09:00-15:00']",,,24 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/a-z-storage-537652161?lid=1001564198954,"A-Z Storage has been serving Birmingham and the surrounding neighborhoods for 20 years. We are your go-to storage facility that provides your belongings with safety and security. Our storage facilities are covered with security cameras and lighting, and 24/7 access with your own personal gate code so you will feel safe even after hours. A-Z Storage safeguards your personal belongings from the elements and outside unauthorized persons. We also allow complimentary use of our company moving truck for your initial move-in process. If you need a secure place to safeguard your precious items for a period of time, call us today to set up a move-in date!"
"Reliable Moving Company Inc, Bekins Agent",(205) 769-4478,sales@reliablemoving.net,https://www.bekins.com/?utm_source=YP.com&utm_medium=listing&utm_campaign=geminibuy,1320 50th St N,Birmingham,AL,35212,https://www.facebook.com/pages/wheaton-worldwide-moving/167377636608308,,,,['Mo-Fr 08:00-17:00'],,,131 Years,9 Years ,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/reliable-moving-company-inc-bekins-agent-8040930?lid=1002150411339,"Our team has been moving families, business and older adults for more than a century. We've been around all these years because we keep our word: be on time, treat your possessions with care and communicate proactively with our customers. Families, senior citizens and businesses trust us with their downsizing, local, state-to-state and long distance moves. We have more than 450 interstate moving agents, which means there is almost certainly a Bekins Agent close to you. Looking for senior movers? Need help moving your business? Bekins can help with that and everything in between. From our senior moving services to our commercial relocation services, you can count on a hassle-free move. Ready to get started with Bekins? Visit our website or give us a call to start planning your move today."
Move Masters LLC,(205) 862-6683,movemastersbham@gmail.com,http://www.movemasters.net,2300 Crestwood Blvd,Birmingham,AL,35210,https://www.facebook.com/movemastersbham?ref=hl,,,,['Mo-Su 07:00-20:00'],5,1,8 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/move-masters-llc-507871107?lid=1001105934402,
Life Storage,(205) 991-8427,,,6604 Walt Dr,Birmingham,AL,35242,,,,,"['Mo-Sa 09:00-18:00', 'Su 12:00-16:00']",,,41 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/life-storage-530898035,"Month-to-month storage unit rental in a variety sizes and climates, truck rental, vehicle storage, and moving boxes and packing supplies. Everything you need for the do-it-yourself move!"
Jefferson Storage,(205) 434-3549,,https://www.jeffersonstorage.com,1716 2nd Ave N,Birmingham,AL,35203,,,,,"['Mo-Fr 09:00-18:00', 'Sa 09:00-17:00']",,,,,,,,https://www.yellowpages.com/birmingham-al/mip/jefferson-storage-560641009,Central Downtown Birmingham Climate Controlled Self Storage for Personal and Commercial Use
Extra Space Storage,(205) 307-0500,fac1937@extraspace.com,https://www.extraspace.com/storage/facilities/us/alabama/birmingham/1937/?cid=org::ld::yext&utm_source=yext&utm_medium=referral&utm_campaign=org::ld::yext,720 Montclair Rd,Birmingham,AL,35213,,,,,,,,46 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/extra-space-storage-558588868,"Store your belongings at Extra Space Storage on 720 Montclair Rd in Birmingham, AL today! Our large selection of storage units, climate controlled units, exceptional security, electronic gate access and helpful staff make finding the right self storage unit for you easy and hassle-free. Experience the professionalism, cleanliness, and commitment to exceptional customer service that Extra Space Storage is known for. Contact us today to reserve your storage unit or set up a time to stop by and take a tour of our facility!"
Overton Road Self Storage,(205) 209-4353,,https://www.overtonroadselfstorage.com,5101 Overton Rd,Birmingham,AL,35210,,,,,"['Mo-Fr 09:00-17:30', 'Sa 09:00-13:00']",,,16 Years,,,,Accredited Business,https://www.yellowpages.com/birmingham-al/mip/overton-road-self-storage-4279844,"When you need to free up space in your home, office, or garage, Overton Road Self Storage in Birmingham, AL, has the storage solutions to help. With a variety of storage unit sizes and affordable prices, Overton Road Self Storage can help you get organized again. 
 
Visit our unit sizes and prices page to see all of our storage options, including Boat & RV storage."
Coolbox Self Storage,(205) 991-9449,,https://www.coolboxselfstorage.com/5215-caldwell-mill-rd-birmingham-al-35242?utm_source=CitationLocal&utm_medium=storEDGE&utm_content=Yext,5215 Caldwell Mill Rd,Birmingham,AL,35242,,,,,,,,5 Years,,,,,https://www.yellowpages.com/birmingham-al/mip/coolbox-self-storage-547807190,"Coolbox Self Storage is the leading safe and secure self storage facility in Birmingham Alabama.  Featuring temperature controlled storage and other great amenities, we've got all of your storage needs covered!"
